player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231227,/player/231227/niklas-dorsch/240002,24.0,2.0,2023-09-22,N. Dorsch,Niklas Bernd Dorsch,"CDM, CM",76,81,10000000.0,23000.0,25,1998-01-15,175,76,100409.0,FC Augsburg,19.0,Bundesliga,1.0,LDM,30.0,,2021-07-08,2026.0,21,Germany,,,,Right,3,3,2,Medium/Medium,Normal (170-185),Yes,18800000.0,,"Long Ball Pass, Slide Tackle, Flair, Press Proven",66.0,72.0,74.0,78.0,72.0,73.0,65,66,61,80,65,77,63,63,77,80,74,60,80,75,84,82,74,76,69,80,78,71,64,74,62,73.0,73,74,71,12,9,5,9,5,,71+2,71+2,71+2,73,73,73,73,73,75+2,75+2,75+2,73+2,76+2,76+2,76+2,73+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,72+2,72+2,16+2
210625,/player/210625/kevin-mbabu/240002,24.0,2.0,2023-09-22,K. Mbabu,Melingo Kevin Mbabu,RB,76,76,7000000.0,63000.0,28,1995-04-19,184,83,100409.0,FC Augsburg,19.0,Bundesliga,1.0,RB,43.0,Fulham,,2024.0,47,Switzerland,,,,Right,3,3,2,High/Medium,Normal (170-185),Yes,,,"Jockey, Rapid, Long Throw",84.0,51.0,67.0,71.0,72.0,80.0,73,49,64,67,39,71,65,48,66,69,86,82,78,64,71,66,84,83,78,44,78,76,70,69,35,70.0,70,73,77,8,7,7,14,14,,65+2,65+2,65+2,68,67,67,67,68,67+2,67+2,67+2,71+2,68+2,68+2,68+2,71+2,74+2,72+2,72+2,72+2,74+2,74+2,73+2,73+2,73+2,74+2,16+2
237629,/player/237629/arne-maier/240002,24.0,2.0,2023-09-22,A. Maier,Arne Maier,"RM, CM, CDM",75,80,8500000.0,22000.0,24,1999-01-08,187,84,100409.0,FC Augsburg,19.0,Bundesliga,1.0,SUB,10.0,,2022-05-24,2025.0,21,Germany,,,,Right,3,3,1,High/High,Normal (185+),Yes,15900000.0,,"Long Ball Pass, Slide Tackle",68.0,62.0,75.0,76.0,69.0,74.0,71,59,49,80,43,76,56,53,77,78,66,70,68,77,72,75,68,78,77,66,61,70,73,78,38,74.0,71,73,70,14,10,10,8,7,,69+2,69+2,69+2,73,73,73,73,73,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,74+2,74+2,74+2,74+2,74+2,72+2,70+2,70+2,70+2,72+2,17+2
232144,/player/232144/felix-uduokhai/240002,24.0,2.0,2023-09-22,F. Uduokhai,Ohis Felix Uduokhai,CB,75,79,7000000.0,22000.0,25,1997-09-09,193,89,100409.0,FC Augsburg,19.0,Bundesliga,1.0,LCB,19.0,,2020-06-04,2025.0,21,Germany,,,,Left,3,2,2,Medium/Medium,Lean (185+),Yes,13100000.0,,,67.0,39.0,53.0,59.0,76.0,75.0,35,33,77,70,24,49,34,31,59,65,66,67,66,75,63,62,79,63,83,35,67,75,35,49,38,72.0,75,78,76,6,10,10,9,14,,55+2,55+2,55+2,53,54,54,54,53,56+2,56+2,56+2,55+2,60+2,60+2,60+2,55+2,66+2,70+2,70+2,70+2,66+2,69+2,75+2,75+2,75+2,69+2,17+2
238900,/player/238900/ermedin-demirovic/240002,24.0,2.0,2023-09-22,E. Demirović,Ermedin Demirović,"LM, ST",75,78,7500000.0,24000.0,25,1998-03-25,185,84,100409.0,FC Augsburg,19.0,Bundesliga,1.0,LM,9.0,,2022-07-08,2026.0,8,Bosnia and Herzegovina,,,,Right,3,3,2,High/Medium,Normal (185+),Yes,14100000.0,,Flair,72.0,76.0,70.0,76.0,41.0,75.0,68,77,68,74,74,77,73,43,64,78,69,74,70,77,72,83,77,71,76,68,76,36,77,73,65,73.0,38,39,42,9,8,9,7,6,,76+2,76+2,76+2,75,76,76,76,75,75+2,75+2,75+2,74+2,70+2,70+2,70+2,74+2,60+2,59+2,59+2,59+2,60+2,57+2,55+2,55+2,55+2,57+2,15+2
251182,/player/251182/iago-amaral-borduchi/240002,24.0,2.0,2023-09-22,Iago,Iago Amaral Borduchi,"LB, LM",75,78,7000000.0,23000.0,26,1997-03-23,181,67,100409.0,FC Augsburg,19.0,Bundesliga,1.0,SUB,22.0,,2019-07-01,2024.0,54,Brazil,,,,Left,2,3,2,High/Medium,Lean (170-185),Yes,13100000.0,,,80.0,58.0,69.0,73.0,71.0,70.0,74,58,67,73,39,73,68,35,69,73,77,82,76,71,75,65,76,75,67,56,72,71,67,67,46,74.0,70,71,76,7,8,15,12,13,,67+2,67+2,67+2,71,69,69,69,71,70+2,70+2,70+2,72+2,70+2,70+2,70+2,72+2,74+2,71+2,71+2,71+2,74+2,73+2,71+2,71+2,71+2,73+2,17+2
202201,/player/202201/jeffrey-gouweleeuw/240002,24.0,2.0,2023-09-22,J. Gouweleeuw,Jeffrey Gouweleeuw,CB,75,75,3800000.0,23000.0,31,1991-07-10,188,83,100409.0,FC Augsburg,19.0,Bundesliga,1.0,RES,6.0,,2016-01-09,2024.0,34,Netherlands,,,,Right,2,2,2,High/Medium,Normal (185+),Yes,6800000.0,,"Long Ball Pass, Block",66.0,58.0,66.0,64.0,77.0,75.0,60,46,71,68,49,60,45,54,76,66,66,66,65,76,64,72,73,68,77,76,77,80,61,71,42,74.0,78,77,75,13,7,16,13,7,,64+2,64+2,64+2,64,65,65,65,64,66+2,66+2,66+2,65+2,70+2,70+2,70+2,65+2,71+2,74+1,74+1,74+1,71+2,72+2,75,75,75,72+2,18+2
236600,/player/236600/japhet-tanganga/240002,24.0,2.0,2023-09-22,J. Tanganga,Japhet Tanganga,"RB, CB, RWB",74,80,6000000.0,46000.0,24,1999-03-31,180,73,100409.0,FC Augsburg,19.0,Bundesliga,1.0,SUB,39.0,Tottenham Hotspur,,2024.0,14,England,,,,Right,3,2,1,Medium/High,Normal (170-185),Yes,,,"Slide Tackle, Bruiser",73.0,33.0,63.0,70.0,75.0,77.0,66,28,70,71,36,72,54,37,56,69,66,78,68,74,66,52,79,60,81,19,87,74,47,59,45,71.0,75,76,75,11,9,12,7,14,,57+2,57+2,57+2,61,59,59,59,61,61+2,61+2,61+2,64+2,63+2,63+2,63+2,64+2,71+2,71+2,71+2,71+2,71+2,72+2,76+2,76+2,76+2,72+2,17+2
225908,/player/225908/reece-oxford/240002,24.0,2.0,2023-09-22,R. Oxford,Reece Oxford,"CB, CDM",74,79,6000000.0,19000.0,24,1998-12-16,193,86,100409.0,FC Augsburg,19.0,Bundesliga,1.0,SUB,4.0,,2019-08-02,2025.0,14,England,,,,Right,3,2,1,Medium/Medium,Lean (185+),Yes,11300000.0,,,65.0,33.0,54.0,61.0,75.0,76.0,34,23,74,66,36,59,44,36,58,63,66,65,62,76,53,49,83,65,82,37,72,74,34,55,48,67.0,75,77,72,10,11,7,9,14,,52+2,52+2,52+2,53,54,54,54,53,56+2,56+2,56+2,56+2,60+2,60+2,60+2,56+2,65+2,70+2,70+2,70+2,65+2,68+2,74+2,74+2,74+2,68+2,18+2
241590,/player/241590/patric-pfeiffer/240002,24.0,2.0,2023-09-22,P. Pfeiffer,Patric Pfeiffer,CB,74,79,6000000.0,19000.0,23,1999-08-20,196,91,100409.0,FC Augsburg,19.0,Bundesliga,1.0,RES,5.0,,2023-07-01,2027.0,21,Germany,,,,Right,5,2,1,Medium/High,Normal (185+),No,11300000.0,"#Aerial threat, #Strength","Power Header, Long Ball Pass, Intercept, Aerial",72.0,35.0,47.0,57.0,74.0,81.0,34,30,75,64,34,57,29,28,61,62,63,80,42,69,38,51,86,66,90,28,75,70,39,28,39,68.0,74,76,70,13,11,10,11,11,,55+2,55+2,55+2,51,52,52,52,51,51+2,51+2,51+2,54+2,56+2,56+2,56+2,54+2,65+2,68+2,68+2,68+2,65+2,67+2,74+2,74+2,74+2,67+2,18+2
