player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
184344,/player/184344/leonardo-bonucci/240002,24.0,2.0,2023-09-22,L. Bonucci,Leonardo Bonucci,CB,80,80,3800000.0,28000.0,36,1987-05-01,190,85,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,SUB,23.0,,2023-09-01,2024.0,27,Italy,,,,Right,4,2,3,Medium/High,Normal (185+),Yes,6500000.0,,"Power Header, Incisive Pass, Long Ball Pass, Intercept",47.0,59.0,70.0,71.0,82.0,75.0,44,50,82,80,58,69,56,60,85,78,41,52,55,79,53,74,78,59,81,65,79,82,38,71,74,85.0,82,82,78,2,2,3,2,4,,64+3,64+3,64+3,62,64,64,64,62,67+3,67+3,67+3,63+3,74+3,74+3,74+3,63+3,70+3,79+1,79+1,79+1,70+3,71+3,80,80,80,71+3,11+3
200610,/player/200610/kevin-volland/240002,24.0,2.0,2023-09-22,K. Volland,Kevin Volland,"ST, CAM, CF",79,79,17000000.0,44000.0,30,1992-07-30,179,85,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,SUB,10.0,,2023-08-17,2026.0,21,Germany,,,,Left,4,3,2,High/High,Stocky (170-185),Yes,28900000.0,,Trivela,68.0,82.0,78.0,78.0,46.0,84.0,78,82,76,78,85,78,79,80,74,79,69,68,73,77,79,85,86,83,85,81,80,45,82,80,72,82.0,36,50,38,8,7,9,7,12,,79,79,79,78,79,79,79,78,78+1,78+1,78+1,78+1,75+2,75+2,75+2,78+1,64+2,65+2,65+2,65+2,64+2,61+2,60+2,60+2,60+2,61+2,16+2
201269,/player/201269/frederik-ronnow/240002,24.0,2.0,2023-09-22,F. Rønnow,Frederik Riis Rønnow,GK,79,79,11500000.0,30000.0,30,1992-08-04,188,81,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,GK,1.0,,2021-07-20,2024.0,13,Denmark,1331.0,SUB,22.0,Right,2,1,2,Medium/Medium,Lean (185+),No,19600000.0,,,,,,,,,14,9,12,25,7,13,16,7,30,12,48,45,34,74,40,52,66,32,67,13,17,12,14,48,17,31.0,15,11,13,79,80,69,80,79,47.0,27+2,27+2,27+2,25,27,27,27,25,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,24+2,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,24+2,78+1
223697,/player/223697/robin-gosens/240002,24.0,2.0,2023-09-22,R. Gosens,Robin Everardus Gosens,"LWB, LM",79,79,16000000.0,39000.0,28,1994-07-05,183,76,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,LWB,6.0,,2023-08-15,2028.0,21,Germany,1337.0,SUB,20.0,Left,3,3,3,Medium/Medium,Normal (170-185),Yes,27200000.0,,Block,78.0,74.0,73.0,75.0,76.0,79.0,76,78,79,77,69,75,69,58,75,77,76,80,71,79,66,76,88,84,76,68,80,76,79,67,55,77.0,73,77,76,7,16,15,16,10,,77+2,77+2,77+2,76,76,76,76,76,75+3,75+3,75+3,77+2,76+3,76+3,76+3,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,77+2,20+3
232658,/player/232658/danilho-doekhi/240002,24.0,2.0,2023-09-22,D. Doekhi,Danilho Raimundo Doekhi,CB,78,80,15500000.0,32000.0,25,1998-06-30,190,86,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,RCB,5.0,,2022-07-01,2026.0,34,Netherlands,,,,Right,3,2,1,Medium/High,Normal (185+),No,27500000.0,#Strength,,64.0,42.0,59.0,65.0,78.0,82.0,46,39,83,70,39,60,39,29,68,69,57,69,64,76,58,61,86,77,86,31,76,75,49,57,33,75.0,79,79,74,9,9,10,13,14,,60+2,60+2,60+2,58,59,59,59,58,60+2,60+2,60+2,61+2,65+2,65+2,65+2,61+2,70+2,74+2,74+2,74+2,70+2,71+2,78+2,78+2,78+2,71+2,18+2
223790,/player/223790/sheraldo-becker/240002,24.0,2.0,2023-09-22,S. Becker,Sheraldo Becker,"ST, RM",78,78,14500000.0,41000.0,28,1995-02-09,180,77,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,LS,27.0,,2019-07-01,2025.0,92,Suriname,,,,Right,2,3,2,Medium/Low,Normal (170-185),No,24700000.0,#Speedster,"Rapid, Quick Step",94.0,76.0,70.0,79.0,35.0,69.0,74,79,65,74,73,80,66,50,69,78,93,95,78,79,80,79,84,73,73,71,52,45,78,66,66,73.0,21,32,33,6,14,15,16,13,,78,78,78,79-1,78,78,78,79-1,76+2,76+2,76+2,78,70+2,70+2,70+2,78,62+2,57+2,57+2,57+2,62+2,59+2,50+2,50+2,50+2,59+2,20+2
227234,/player/227234/lucas-tousart/240002,24.0,2.0,2023-09-22,L. Tousart,Lucas Simon Pierre Tousart,"CDM, CM",77,80,12500000.0,31000.0,26,1997-04-29,185,83,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,SUB,29.0,,2023-07-19,2028.0,18,France,,,,Right,3,2,2,Medium/High,Normal (185+),Yes,22200000.0,,"Incisive Pass, Slide Tackle, Bruiser, Press Proven, Relentless",62.0,56.0,65.0,69.0,77.0,84.0,56,47,75,77,43,71,39,45,74,70,52,70,59,71,65,73,78,90,82,62,82,78,57,60,48,68.0,75,79,76,11,15,16,10,15,,65+2,65+2,65+2,64,65,65,65,64,66+2,66+2,66+2,66+2,71+2,71+2,71+2,66+2,73+2,76+2,76+2,76+2,73+2,73+2,77+2,77+2,77+2,73+2,19+2
193254,/player/193254/christopher-trimmel/240002,24.0,2.0,2023-09-22,C. Trimmel,Christopher Trimmel,"RWB, RM",77,77,2300000.0,23000.0,36,1987-02-24,189,82,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,SUB,28.0,,2014-07-01,2026.0,4,Austria,,,,Right,3,3,2,Medium/Medium,Normal (185+),No,3900000.0,,"Whipped Cross, Long Throw",70.0,65.0,74.0,68.0,75.0,81.0,86,61,72,72,57,69,77,68,72,71,62,76,58,73,53,75,81,80,82,65,79,78,66,67,60,70.0,76,76,69,16,8,6,8,15,,69+2,69+2,69+2,70,69,69,69,70,68+2,68+2,68+2,71+2,71+2,71+2,71+2,71+2,75+2,75+2,75+2,75+2,75+2,75+2,76+1,76+1,76+1,75+2,18+2
203030,/player/203030/robin-knoche/240002,24.0,2.0,2023-09-22,R. Knoche,Robin Knoche,CB,77,77,7000000.0,31000.0,31,1992-05-22,190,77,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,CB,31.0,,2020-08-04,2024.0,21,Germany,,,,Right,4,2,2,Medium/Medium,Lean (185+),Yes,11900000.0,,"Incisive Pass, Anticipate",34.0,42.0,54.0,50.0,81.0,75.0,30,38,82,74,28,42,33,39,70,54,33,34,52,80,49,58,75,68,78,35,78,77,35,42,60,74.0,84,81,77,14,10,16,10,9,,52+2,52+2,52+2,46,49,49,49,46,51+2,51+2,51+2,49+2,60+2,60+2,60+2,49+2,64+2,73+2,73+2,73+2,64+2,66+2,77,77,77,66+2,19+2
257771,/player/257771/josip-juranovic/240002,24.0,2.0,2023-09-22,J. Juranović,Josip Juranović,"RWB, LWB",77,77,10000000.0,31000.0,27,1995-08-16,173,68,1831.0,FC Union Berlin,19.0,Bundesliga,1.0,RWB,18.0,,2023-01-22,2027.0,10,Croatia,1328.0,RB,22.0,Right,4,2,1,High/High,Normal (170-185),No,17000000.0,,"Whipped Cross, Relentless",85.0,64.0,75.0,74.0,70.0,70.0,78,57,57,76,57,73,76,77,69,72,85,85,82,73,82,78,74,82,61,62,75,67,69,74,82,73.0,71,75,68,12,9,10,15,11,,68+2,68+2,68+2,73,72,72,72,73,72+2,72+2,72+2,74+2,72+2,72+2,72+2,74+2,75+2,72+2,72+2,72+2,75+2,74+2,70+2,70+2,70+2,74+2,18+2
