player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
185122,/player/185122/peter-gulacsi/240002,24.0,2.0,2023-09-22,P. Gulácsi,Péter Gulácsi,GK,84,84,13500000.0,60000.0,33,1990-05-06,191,86,112172.0,RB Leipzig,19.0,Bundesliga,1.0,GK,1.0,,2015-07-01,2025.0,23,Hungary,1886.0,RES,25.0,Right,2,1,3,Medium/Medium,Normal (185+),Yes,23000000.0,,,,,,,,,16,10,23,35,10,19,18,11,31,25,42,44,41,80,42,57,72,37,74,12,34,23,11,44,24,45.0,25,16,20,85,84,76,83,84,43.0,31+3,31+3,31+3,29,31,31,31,29,31+3,31+3,31+3,31+3,32+3,32+3,32+3,31+3,31+3,33+3,33+3,33+3,31+3,30+3,33+3,33+3,33+3,30+3,83+1
244260,/player/244260/daniel-olmo-carvajal/240002,24.0,2.0,2023-09-22,Dani Olmo,Daniel Olmo Carvajal,"CAM, CF",83,87,50500000.0,71000.0,25,1998-05-07,179,72,112172.0,RB Leipzig,19.0,Bundesliga,1.0,LAM,7.0,,2020-01-25,2027.0,45,Spain,1362.0,SUB,21.0,Right,4,4,3,Medium/High,Lean (170-185),Yes,89600000.0,"#Dribbler, #Acrobat","Pinged Pass, Tiki Taka, Technical, Flair, First Touch, Trivela",68.0,76.0,82.0,86.0,50.0,59.0,78,74,43,86,76,87,75,75,79,86,77,61,86,84,86,79,60,76,54,77,51,57,82,85,66,82.0,50,50,44,15,15,13,12,11,,75+3,75+3,75+3,81,81,81,81,81,83+3,83+3,83+3,81+3,80+3,80+3,80+3,81+3,69+3,68+3,68+3,68+3,69+3,64+3,56+3,56+3,56+3,64+3,21+3
204638,/player/204638/willi-orban/240002,24.0,2.0,2023-09-22,W. Orban,Vilmos Tamás Orban,CB,83,83,30000000.0,67000.0,30,1992-11-03,186,87,112172.0,RB Leipzig,19.0,Bundesliga,1.0,LCB,4.0,,2015-07-01,2025.0,23,Hungary,1886.0,CB,6.0,Right,3,2,3,Low/Medium,Normal (185+),Yes,51000000.0,,"Power Header, Long Ball Pass, Anticipate",58.0,36.0,56.0,56.0,85.0,81.0,39,38,85,74,31,52,28,32,68,59,50,65,48,82,56,37,90,68,85,29,83,83,42,44,41,72.0,86,86,81,15,12,15,10,6,,55+3,55+3,55+3,53,54,54,54,53,55+3,55+3,55+3,56+3,63+3,63+3,63+3,56+3,70+3,76+3,76+3,76+3,70+3,73+3,83,83,83,73+3,19+3
243580,/player/243580/lois-openda/240002,24.0,2.0,2023-09-22,L. Openda,Ikoma Loïs Openda,ST,82,86,44000000.0,65000.0,23,2000-02-16,177,79,112172.0,RB Leipzig,19.0,Bundesliga,1.0,RS,17.0,,2023-07-14,2028.0,7,Belgium,1325.0,SUB,17.0,Right,4,3,2,High/Medium,Normal (170-185),No,78100000.0,#Speedster,"Finesse Shot, Rapid, Quick Step, Trivela",93.0,79.0,68.0,80.0,31.0,78.0,69,83,79,75,69,80,59,48,59,80,94,93,82,83,84,79,93,79,78,72,74,26,84,69,75,78.0,29,23,19,9,8,10,8,13,,82+2,82+2,82+2,80,81,81,81,80,78+2,78+2,78+2,79+2,70+2,70+2,70+2,79+2,58+2,54+2,54+2,54+2,58+2,55+2,50+2,50+2,50+2,55+2,18+2
212188,/player/212188/timo-werner/240002,24.0,2.0,2023-09-22,T. Werner,Timo Werner,ST,82,83,35500000.0,73000.0,27,1996-03-06,180,76,112172.0,RB Leipzig,19.0,Bundesliga,1.0,LS,11.0,,2022-08-09,2026.0,21,Germany,,,,Right,4,3,3,High/Medium,Unique,Yes,63000000.0,#Speedster,"Rapid, Quick Step",91.0,80.0,70.0,82.0,35.0,69.0,69,78,75,79,82,82,70,58,55,83,93,89,79,85,76,85,84,81,64,77,63,37,86,68,78,79.0,39,20,24,9,9,8,15,9,,81+2,81+2,81+2,81,82,82,82,81,79+3,79+3,79+3,80+3,71+3,71+3,71+3,80+3,61+3,56+3,56+3,56+3,61+3,58+3,50+3,50+3,50+3,58+3,19+3
233195,/player/233195/xaver-schlager/240002,24.0,2.0,2023-09-22,X. Schlager,Xaver Schlager,"CDM, CM",81,84,31000000.0,54000.0,25,1997-09-28,174,78,112172.0,RB Leipzig,19.0,Bundesliga,1.0,RDM,24.0,,2022-07-01,2026.0,4,Austria,,,,Left,3,3,2,Medium/High,Stocky (170-185),Yes,55000000.0,,"Slide Tackle, Bruiser, Relentless",74.0,70.0,74.0,78.0,75.0,80.0,59,66,44,80,60,78,73,60,80,78,74,74,75,81,77,78,68,86,76,76,85,83,75,78,56,74.0,77,77,73,6,8,8,12,7,,72+2,72+2,72+2,75,76,76,76,75,77+2,77+2,77+2,76+2,79+2,79+2,79+2,76+2,76+2,80+2,80+2,80+2,76+2,75+2,75+2,75+2,75+2,75+2,16+2
208448,/player/208448/emil-forsberg/240002,24.0,2.0,2023-09-22,E. Forsberg,Emil Peter Forsberg,"CAM, CF",80,80,17500000.0,58000.0,31,1991-10-23,177,76,112172.0,RB Leipzig,19.0,Bundesliga,1.0,SUB,10.0,,2015-01-07,2025.0,46,Sweden,1363.0,LM,10.0,Right,4,4,3,Medium/Low,Normal (170-185),Yes,29800000.0,,"Pinged Pass, Technical, Flair, First Touch, Trivela",65.0,73.0,82.0,82.0,36.0,61.0,81,74,44,85,65,82,79,75,77,84,67,64,78,83,81,71,57,67,59,72,61,44,77,83,79,81.0,38,27,33,13,7,9,15,11,,72+3,72+3,72+3,79,78,78,78,79,80,80,80,79+1,76+3,76+3,76+3,79+1,62+3,61+3,61+3,61+3,62+3,57+3,48+3,48+3,48+3,57+3,19+3
245367,/player/245367/xavi-simons/240002,24.0,2.0,2023-09-22,X. Simons,Xavi Quentin Shay Simons,"CAM, LW, RW",79,89,38500000.0,58000.0,20,2003-04-21,179,61,112172.0,RB Leipzig,19.0,Bundesliga,1.0,RAM,20.0,Paris Saint Germain,,2024.0,34,Netherlands,105035.0,RF,7.0,Right,3,4,2,High/High,Lean (170-185),Yes,,,"Chip Shot, Tiki Taka, Technical, Flair, First Touch, Trivela",87.0,73.0,76.0,83.0,61.0,74.0,74,77,53,77,62,83,75,65,76,84,89,85,89,78,84,69,68,84,67,72,79,65,74,77,63,78.0,60,62,56,9,11,5,8,10,,75+2,75+2,75+2,80,79,79,79,80,79+2,79+2,79+2,80+2,77+2,77+2,77+2,80+2,73+2,72+2,72+2,72+2,73+2,71+2,65+2,65+2,65+2,71+2,17+2
243854,/player/243854/mohamed-simakan/240002,24.0,2.0,2023-09-22,M. Simakan,Mohamed Simakan,"CB, RB",79,86,32500000.0,43000.0,23,2000-05-03,187,82,112172.0,RB Leipzig,19.0,Bundesliga,1.0,RCB,2.0,,2021-07-01,2027.0,18,France,,,,Right,3,2,2,Medium/Medium,Normal (185+),Yes,61800000.0,,Slide Tackle,74.0,43.0,64.0,68.0,80.0,80.0,60,39,80,70,31,67,55,32,69,68,71,76,64,76,64,61,88,74,82,33,79,81,54,63,47,74.0,76,84,76,8,6,6,11,15,,62+2,62+2,62+2,63,62,62,62,63,63+2,63+2,63+2,66+2,67+2,67+2,67+2,66+2,73+2,75+2,75+2,75+2,73+2,75+2,79+2,79+2,79+2,75+2,17+2
242187,/player/242187/christoph-baumgartner/240002,24.0,2.0,2023-09-22,C. Baumgartner,Christoph Baumgartner,"CAM, CM, CF",79,84,26500000.0,48000.0,23,1999-08-01,180,73,112172.0,RB Leipzig,19.0,Bundesliga,1.0,SUB,14.0,,2023-07-01,2028.0,4,Austria,,,,Right,3,4,2,Medium/Medium,Lean (170-185),Yes,47000000.0,,"Technical, Flair, First Touch",75.0,73.0,74.0,81.0,45.0,59.0,63,76,71,79,74,82,66,52,77,80,82,70,81,77,79,75,73,71,49,65,63,34,79,81,65,76.0,31,55,50,10,11,9,14,11,,75+2,75+2,75+2,77,78,78,78,77,79+2,79+2,79+2,77+2,75+2,75+2,75+2,77+2,62+2,61+2,61+2,61+2,62+2,60+2,54+2,54+2,54+2,60+2,19+2
