player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
216354,/player/216354/andrej-kramaric/240002,24.0,2.0,2023-09-22,A. Kramarić,Andrej Kramarić,"CF, CM, CAM",81,81,21000000.0,50000.0,32,1991-06-19,177,73,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,LCM,27.0,,2015-01-16,2025.0,10,Croatia,1328.0,ST,9.0,Right,4,4,3,Medium/Medium,Normal (170-185),Yes,35700000.0,,"Chip Shot, Technical, Flair, Trivela",72.0,81.0,76.0,82.0,32.0,74.0,73,80,69,81,79,82,82,77,65,83,74,70,82,83,84,82,76,85,69,78,71,29,83,79,91,81.0,35,20,26,8,14,14,7,15,,79+2,79+2,79+2,80,80,80,80,80,80+1,80+1,80+1,79+2,74+3,74+3,74+3,79+2,59+3,57+3,57+3,57+3,59+3,55+3,49+3,49+3,49+3,55+3,19+3
193698,/player/193698/oliver-baumann/240002,24.0,2.0,2023-09-22,O. Baumann,Oliver Baumann,GK,80,80,7000000.0,32000.0,33,1990-06-02,187,82,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,GK,1.0,,2014-07-01,2024.0,21,Germany,1337.0,SUB,22.0,Right,1,1,2,Medium/Medium,Normal (185+),Yes,11900000.0,,Footwork,,,,,,,14,11,16,30,11,19,12,11,25,17,37,41,45,82,43,57,65,39,69,13,32,21,10,41,22,52.0,15,18,14,80,80,76,78,79,39.0,29+2,29+2,29+2,27,29,29,29,27,29+2,29+2,29+2,28+2,30+2,30+2,30+2,28+2,28+2,30+2,30+2,30+2,28+2,27+2,29+2,29+2,29+2,27+2,79+1
237321,/player/237321/mergim-berisha/240002,24.0,2.0,2023-09-22,M. Berisha,Mërgim Berisha,"ST, CF",78,82,20000000.0,38000.0,25,1998-05-11,188,84,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,7.0,,2023-08-30,2027.0,21,Germany,,,,Right,3,3,2,High/Medium,Normal (185+),No,35500000.0,,Finesse Shot,73.0,79.0,72.0,75.0,37.0,74.0,69,80,72,75,77,75,80,77,65,78,74,73,69,78,66,83,83,75,76,75,67,32,81,73,76,75.0,38,32,26,10,5,10,7,6,,78+2,78+2,78+2,76,77,77,77,76,76+2,76+2,76+2,75+2,70+2,70+2,70+2,75+2,58+2,57+2,57+2,57+2,58+2,55+2,52+2,52+2,52+2,55+2,15+2
216258,/player/216258/ihlas-bebou/240002,24.0,2.0,2023-09-22,I. Bebou,Ihlas Bebou,"ST, RM, RW",77,77,10500000.0,39000.0,29,1994-04-23,185,80,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,LS,9.0,,2019-07-01,2026.0,144,Togo,,,,Right,3,4,2,High/Medium,Normal (185+),Yes,17900000.0,,"Rapid, Quick Step",87.0,75.0,68.0,79.0,34.0,64.0,74,78,64,74,70,81,66,46,53,77,86,87,78,77,74,77,80,69,69,70,40,31,80,69,67,73.0,26,35,33,10,11,12,11,11,,77,77,77,78-1,78-1,78-1,78-1,78-1,76+1,76+1,76+1,76+1,68+2,68+2,68+2,76+1,59+2,53+2,53+2,53+2,59+2,56+2,48+2,48+2,48+2,56+2,18+2
223689,/player/223689/wout-weghorst/240002,24.0,2.0,2023-09-22,W. Weghorst,Wout Weghorst,ST,77,77,10500000.0,51000.0,30,1992-08-07,197,84,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,RS,10.0,Burnley,,2024.0,34,Netherlands,105035.0,SUB,9.0,Right,3,2,2,High/High,Normal (185+),Yes,,"#Aerial threat, #Strength",Power Header,56.0,76.0,61.0,68.0,58.0,88.0,38,75,86,77,76,65,40,48,54,80,52,60,54,81,40,84,88,85,90,68,87,54,80,70,71,74.0,48,64,52,11,9,14,16,12,,77,77,77,68,74,74,74,68,72+2,72+2,72+2,68+2,71+2,71+2,71+2,68+2,63+2,68+2,68+2,68+2,63+2,63+2,68+2,68+2,68+2,63+2,20+2
253170,/player/253170/attila-szalai/240002,24.0,2.0,2023-09-22,A. Szalai,Attila Árpád Szalai,CB,76,80,9500000.0,28000.0,25,1998-01-20,192,83,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,41.0,,2023-07-24,2027.0,23,Hungary,1886.0,LCB,4.0,Left,3,2,1,Medium/High,Normal (185+),No,16900000.0,,"Long Ball Pass, Jockey, Bruiser, Aerial",73.0,45.0,64.0,65.0,76.0,82.0,64,37,76,70,35,64,57,34,75,66,67,77,67,75,48,68,79,82,84,40,79,75,62,53,47,72.0,76,77,76,10,14,9,10,12,,62+2,62+2,62+2,62,62,62,62,62,62+2,62+2,62+2,66+2,67+2,67+2,67+2,66+2,73+2,74+2,74+2,74+2,73+2,74+2,76+2,76+2,76+2,74+2,18+2
228336,/player/228336/florian-grillitsch/240002,24.0,2.0,2023-09-22,F. Grillitsch,Florian Grillitsch,"CDM, CB",76,77,7500000.0,29000.0,27,1995-08-07,187,77,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,CDM,11.0,,2023-07-01,2026.0,4,Austria,,,,Right,3,3,2,Medium/Medium,Lean (185+),Yes,13300000.0,,Long Ball Pass,64.0,60.0,76.0,75.0,73.0,66.0,66,58,64,81,53,74,47,66,82,79,61,67,67,78,64,64,71,69,71,60,50,79,70,80,50,78.0,73,73,68,13,12,7,14,7,,68+2,68+2,68+2,71,72,72,72,71,74+2,74+2,74+2,73+2,77,77,77,73+2,73+2,75+2,75+2,75+2,73+2,72+2,71+2,71+2,71+2,72+2,19+2
192641,/player/192641/kevin-vogt/240002,24.0,2.0,2023-09-22,K. Vogt,Kevin Vogt,CB,76,76,5000000.0,29000.0,31,1991-09-23,194,87,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,LCB,22.0,,2016-07-01,2025.0,21,Germany,,,,Right,3,2,2,High/Medium,Normal (185+),Yes,8500000.0,#Aerial threat,"Long Ball Pass, Trivela",69.0,57.0,72.0,68.0,76.0,76.0,63,50,75,80,51,67,50,62,81,73,66,72,54,76,46,76,76,67,83,57,70,80,55,67,53,80.0,75,76,75,6,13,8,7,14,,66+2,66+2,66+2,66,67,67,67,66,68+2,68+2,68+2,68+2,72+2,72+2,72+2,68+2,73+2,76,76,76,73+2,74+2,76,76,76,74+2,17+2
204082,/player/204082/john-brooks/240002,24.0,2.0,2023-09-22,J. Brooks,John Anthony Brooks,CB,76,76,6000000.0,29000.0,30,1993-01-28,194,94,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,CB,23.0,,2023-01-26,2024.0,95,United States,,,,Left,3,2,2,Low/Medium,Normal (185+),Yes,10200000.0,#Aerial threat,"Power Header, Long Ball Pass, Aerial",56.0,40.0,57.0,61.0,77.0,76.0,36,39,84,70,32,59,30,28,70,63,53,58,53,75,51,52,78,61,85,29,74,73,40,58,45,81.0,76,80,74,8,7,10,9,10,,57+2,57+2,57+2,54,56,56,56,54,58+2,58+2,58+2,57+2,63+2,63+2,63+2,57+2,65+2,72+2,72+2,72+2,65+2,68+2,76,76,76,68+2,16+2
228595,/player/228595/grischa-promel/240002,24.0,2.0,2023-09-22,G. Prömel,Grischa Prömel,"CM, CDM",76,76,7500000.0,34000.0,28,1995-01-09,184,81,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,RCM,6.0,,2022-07-01,2026.0,21,Germany,,,,Right,4,3,2,High/High,Normal (170-185),No,12800000.0,#Engine,Relentless,67.0,71.0,69.0,74.0,75.0,81.0,61,71,77,76,65,74,55,51,74,76,65,69,67,78,67,77,83,92,76,71,79,77,73,71,51,76.0,73,76,72,8,14,7,10,6,,74+2,74+2,74+2,72,74,74,74,72,73+2,73+2,73+2,73+2,76,76,76,73+2,74+2,77-1,77-1,77-1,74+2,74+2,76,76,76,74+2,17+2
239890,/player/239890/ozan-kabak/240002,24.0,2.0,2023-09-22,O. Kabak,Ozan Muhammed Kabak,CB,75,81,8000000.0,24000.0,23,2000-03-25,186,86,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,RCB,5.0,,2022-07-23,2026.0,48,Turkey,,,,Right,3,2,2,High/Medium,Stocky (185+),Yes,15200000.0,,"Power Header, Slide Tackle, Bruiser",63.0,37.0,59.0,66.0,74.0,80.0,26,35,76,76,28,64,32,31,74,71,52,72,64,66,64,48,81,67,84,30,85,68,30,65,51,67.0,73,77,73,10,13,10,6,5,,55+2,55+2,55+2,55,57,57,57,55,61+2,61+2,61+2,58+2,66+2,66+2,66+2,58+2,65+2,73+2,73+2,73+2,65+2,67+2,75+2,75+2,75+2,67+2,15+2
257191,/player/257191/anton-stach/240002,24.0,2.0,2023-09-22,A. Stach,Anton Stach,"CM, CDM, CF",75,81,9000000.0,27000.0,24,1998-11-15,194,88,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,16.0,,2023-09-01,2027.0,21,Germany,,,,Right,5,2,2,High/High,Normal (185+),Yes,17100000.0,#Aerial threat,"Power Shot, Intercept, Relentless, Aerial",72.0,67.0,74.0,71.0,74.0,79.0,70,58,76,76,54,72,71,64,73,75,70,73,62,76,44,84,86,79,81,78,73,85,74,76,51,68.0,66,77,66,7,14,8,7,11,,72+2,72+2,72+2,72,73,73,73,72,73+2,73+2,73+2,73+2,75+2,75+2,75+2,73+2,74+2,76+2,76+2,76+2,74+2,74+2,75+2,75+2,75+2,74+2,17+2
235526,/player/235526/dennis-geiger/240002,24.0,2.0,2023-09-22,D. Geiger,Dennis Geiger,"CDM, CM",75,80,7500000.0,27000.0,25,1998-06-10,173,67,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,8.0,,2016-07-01,2027.0,21,Germany,,,,Right,3,3,2,Medium/High,Unique,Yes,13300000.0,,Press Proven,46.0,53.0,76.0,79.0,63.0,62.0,69,46,29,81,45,77,68,55,78,81,56,38,85,79,83,57,42,78,49,70,81,69,59,79,40,74.0,67,66,67,7,8,12,10,5,,58+2,58+2,58+2,69,67,67,67,69,73+2,73+2,73+2,70+2,76+2,76+2,76+2,70+2,70+2,74+2,74+2,74+2,70+2,67+2,63+2,63+2,63+2,67+2,16+2
235424,/player/235424/diadie-samassekou/240002,24.0,2.0,2023-09-22,D. Samassékou,Diadié Samassékou,"CDM, CM",75,76,6000000.0,28000.0,27,1996-01-11,175,70,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,RES,18.0,,2019-08-15,2025.0,126,Mali,,,,Right,3,3,2,Low/High,Lean (170-185),Yes,10700000.0,,Intercept,65.0,49.0,64.0,72.0,75.0,73.0,57,42,60,72,37,68,55,34,69,72,70,60,79,73,80,60,70,80,66,54,80,85,55,63,56,79.0,75,74,73,5,11,11,14,8,,60+2,60+2,60+2,64,63,63,63,64,65+2,65+2,65+2,66+2,69+2,69+2,69+2,66+2,72+2,74+2,74+2,74+2,72+2,72+2,73+2,73+2,73+2,72+2,17+2
203605,/player/203605/pavel-kaderabek/240002,24.0,2.0,2023-09-22,P. Kadeřábek,Pavel Kadeřábek,"RWB, RM",75,75,4100000.0,28000.0,31,1992-04-25,182,81,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,RWB,3.0,,2015-07-01,2025.0,12,Czech Republic,,,,Right,2,3,2,Medium/Medium,Normal (170-185),Yes,7000000.0,,Slide Tackle,72.0,45.0,70.0,70.0,72.0,76.0,76,34,74,72,57,69,57,52,68,73,75,69,66,75,67,64,84,77,76,41,74,69,70,71,54,73.0,70,71,80,10,11,14,13,7,,63+2,63+2,63+2,67,66,66,66,67,67+2,67+2,67+2,70+2,70+2,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,74+1,73+2,73+2,73+2,74+1,18+2
244390,/player/244390/marius-bulter/240002,24.0,2.0,2023-09-22,M. Bülter,Marius Bülter,"LM, ST",75,75,5500000.0,31000.0,30,1993-03-29,188,85,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,LWB,21.0,,2023-07-06,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Normal (185+),Yes,9400000.0,,"Rapid, Flair",82.0,76.0,68.0,73.0,48.0,77.0,71,76,64,72,67,74,69,47,64,73,80,84,69,75,70,83,82,78,77,72,73,38,74,68,70,67.0,45,53,42,7,7,6,14,13,,75,75,75,74,74,74,74,74,73+2,73+2,73+2,74+1,69+2,69+2,69+2,74+1,63+2,61+2,61+2,61+2,63+2,61+2,58+2,58+2,58+2,61+2,17+2
211856,/player/211856/kevin-akpoguma/240002,24.0,2.0,2023-09-22,K. Akpoguma,Kevin John Ufuoma Akpoguma,"CB, RWB",74,76,4200000.0,27000.0,28,1995-04-19,192,85,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,25.0,,2013-07-01,2024.0,133,Nigeria,,,,Right,4,3,2,Medium/Medium,Normal (185+),Yes,7500000.0,,"Block, Slide Tackle",77.0,48.0,59.0,70.0,75.0,74.0,65,45,73,68,35,73,40,27,62,73,75,78,54,76,51,70,78,65,80,38,69,74,45,46,48,60.0,75,76,71,14,13,10,12,7,,63+2,63+2,63+2,64,63,63,63,64,62+2,62+2,62+2,66+2,64+2,64+2,64+2,66+2,72+2,71+2,71+2,71+2,72+2,72+2,74+2,74+2,74+2,72+2,19+2
215449,/player/215449/robert-skov/240002,24.0,2.0,2023-09-22,R. Skov,Robert Skov,"RWB, LWB, RM",74,75,4400000.0,26000.0,27,1996-05-25,185,81,10029.0,TSG Hoffenheim,19.0,Bundesliga,1.0,SUB,29.0,,2019-07-27,2024.0,13,Denmark,,,,Left,3,3,1,Medium/Medium,Normal (185+),No,7800000.0,#FK Specialist,"Power Shot, Whipped Cross",74.0,77.0,76.0,74.0,66.0,69.0,85,72,52,74,73,74,87,86,70,74,77,71,75,75,73,87,70,69,67,82,72,64,71,70,78,71.0,69,69,67,15,16,15,13,11,,72+2,72+2,72+2,75,74,74,74,75,73+2,73+2,73+2,74+1,72+2,72+2,72+2,74+1,72+2,70+2,70+2,70+2,72+2,71+2,67+2,67+2,67+2,71+2,21+2
