player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215441,/player/215441/serhou-guirassy/240002,24.0,2.0,2023-09-22,S. Guirassy,Serhou Yadaly Guirassy,ST,77,77,11500000.0,28000.0,27,1996-03-12,187,82,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,ST,9.0,,2023-05-31,2026.0,118,Guinea,,,,Right,3,3,2,High/Low,Normal (185+),Yes,20700000.0,,Flair,65.0,77.0,66.0,76.0,38.0,77.0,56,77,77,73,73,77,66,67,63,79,65,65,67,75,66,81,85,71,81,74,72,29,80,68,79,73.0,42,29,34,11,8,12,12,8,,77,77,77,73,75,75,75,73,74+2,74+2,74+2,72+2,68+2,68+2,68+2,72+2,56+2,57+2,57+2,57+2,56+2,53+2,53+2,53+2,53+2,53+2,17+2
223885,/player/223885/alexander-nubel/240002,24.0,2.0,2023-09-22,A. Nübel,Alexander Nübel,GK,76,80,8000000.0,36000.0,26,1996-09-30,193,86,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,GK,33.0,FC Bayern München,,2024.0,21,Germany,,,,Right,5,1,2,Medium/Medium,Normal (185+),Yes,,,Footwork,,,,,,,15,18,13,29,13,18,20,20,18,20,49,46,34,73,58,53,67,39,70,18,23,20,10,32,16,32.0,23,14,13,74,72,71,75,80,48.0,30+2,30+2,30+2,27,29,29,29,27,28+2,28+2,28+2,28+2,27+2,27+2,27+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,75+2
234205,/player/234205/hiroki-ito/240002,24.0,2.0,2023-09-22,H. Ito,伊藤 宏樹,"CB, CDM",75,80,7500000.0,18000.0,24,1999-05-12,188,84,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,LB,21.0,,2022-05-20,2027.0,163,Japan,,,,Left,3,2,2,Medium/Medium,Normal (185+),Yes,14100000.0,,"Long Ball Pass, Jockey, Block",81.0,56.0,67.0,68.0,76.0,74.0,66,48,68,72,45,66,45,45,80,71,81,81,66,78,64,72,84,72,76,64,68,75,53,61,47,72.0,78,78,75,13,10,10,10,10,,65+2,65+2,65+2,67,66,66,66,67,67+2,67+2,67+2,69+2,70+2,70+2,70+2,69+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,18+2
229476,/player/229476/waldemar-anton/240002,24.0,2.0,2023-09-22,W. Anton,Waldemar Anton,CB,75,78,6500000.0,21000.0,26,1996-07-20,189,86,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,RCB,2.0,,2020-07-28,2025.0,21,Germany,,,,Right,3,3,2,Medium/Medium,Normal (185+),Yes,12200000.0,,,67.0,46.0,59.0,65.0,75.0,82.0,42,42,73,74,38,63,37,39,67,67,55,77,62,71,57,58,80,85,83,45,76,72,52,52,48,74.0,78,76,69,11,12,12,13,13,,60+2,60+2,60+2,59,60,60,60,59,61+2,61+2,61+2,62+2,66+2,66+2,66+2,62+2,69+2,73+2,73+2,73+2,69+2,70+2,75+2,75+2,75+2,70+2,19+2
244176,/player/244176/deniz-undav/240002,24.0,2.0,2023-09-22,D. Undav,Deniz Undav,"ST, CAM",75,76,6500000.0,69000.0,26,1996-07-19,179,86,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,26.0,Brighton & Hove Albion,,2024.0,21,Germany,,,,Right,5,3,1,Medium/Low,Stocky (170-185),No,,,Finesse Shot,67.0,79.0,70.0,74.0,32.0,72.0,67,80,66,72,79,73,74,66,62,77,66,67,68,74,70,79,74,66,74,76,72,18,80,77,74,79.0,25,37,29,9,12,9,11,13,,75+1,75+1,75+1,74,75,75,75,74,74+2,74+2,74+2,72+2,68+2,68+2,68+2,72+2,54+2,53+2,53+2,53+2,54+2,51+2,48+2,48+2,48+2,51+2,18+2
252512,/player/252512/anthony-rouault/240002,24.0,2.0,2023-09-22,A. Rouault,Anthony Rouault,CB,74,82,9000000.0,16000.0,22,2001-05-29,186,77,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,29.0,Toulouse,,2024.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,,,"Block, Anticipate",54.0,30.0,60.0,56.0,75.0,73.0,47,25,73,76,28,45,44,35,72,65,63,47,58,74,58,45,78,71,74,24,74,74,35,48,43,72.0,75,76,74,6,15,13,14,8,,50+2,50+2,50+2,51,51,51,51,51,54+2,54+2,54+2,55+2,62+2,62+2,62+2,55+2,67+2,72+2,72+2,72+2,67+2,69+2,74+2,74+2,74+2,69+2,18+2
245940,/player/245940/silas-katompa-mvumpa/240002,24.0,2.0,2023-09-22,Silas,Silas Katompa Mvumpa,"RM, ST",74,80,6500000.0,19000.0,24,1998-10-06,189,82,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,RM,14.0,,2019-08-13,2026.0,110,Congo DR,,,,Right,2,5,1,High/Medium,Normal (185+),No,13000000.0,,"Technical, Flair, Trickster, Quick Step, Acrobatic",87.0,70.0,61.0,80.0,52.0,67.0,66,78,65,68,65,84,59,33,48,77,85,88,84,68,75,70,82,56,74,49,59,54,79,59,83,67.0,53,50,39,8,13,13,9,11,,75+2,75+2,75+2,75,75,75,75,75,72+2,72+2,72+2,73+2,64+2,64+2,64+2,73+2,62+2,59+2,59+2,59+2,62+2,61+2,59+2,59+2,59+2,61+2,17+2
238476,/player/238476/dan-axel-zagadou/240002,24.0,2.0,2023-09-22,D. Zagadou,Dan-Axel Zagadou,CB,74,79,6000000.0,17000.0,24,1999-06-03,196,90,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,LCB,23.0,,2022-09-19,2026.0,18,France,,,,Left,3,2,2,Medium/Medium,Stocky (185+),Yes,11300000.0,"#Aerial threat, #Strength","Power Header, Block, Aerial",58.0,34.0,60.0,50.0,74.0,80.0,46,26,84,72,25,51,37,25,70,52,48,67,33,67,34,66,79,62,92,25,73,70,31,59,30,68.0,70,77,70,9,13,5,14,14,,53+2,53+2,53+2,49,51,51,51,49,52+2,52+2,52+2,54+2,60+2,60+2,60+2,54+2,64+2,69+2,69+2,69+2,64+2,66+2,74+2,74+2,74+2,66+2,18+2
227647,/player/227647/maximilian-mittelstadt/240002,24.0,2.0,2023-09-22,M. Mittelstädt,Maximilian Mittelstädt,"LWB, LM, LB",74,77,5000000.0,20000.0,26,1997-03-18,180,71,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,7.0,,2023-07-01,2026.0,21,Germany,,,,Left,3,3,2,High/Medium,Lean (170-185),Yes,9400000.0,,Intercept,76.0,61.0,67.0,73.0,70.0,67.0,74,56,66,70,43,73,73,44,67,73,79,74,76,69,78,73,76,74,63,68,64,80,64,60,42,65.0,65,72,67,13,10,7,13,13,,67+2,67+2,67+2,70,68,68,68,70,68+2,68+2,68+2,70+2,69+2,69+2,69+2,70+2,72+2,70+2,70+2,70+2,72+2,72+2,69+2,69+2,69+2,72+2,18+2
242602,/player/242602/josha-vagnoman/240002,24.0,2.0,2023-09-22,J. Vagnoman,Josha Mamadou Karaboue Vagnoman,"RWB, RM, RB",73,79,4600000.0,16000.0,22,2000-12-11,190,90,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,4.0,,2022-07-09,2026.0,21,Germany,,,,Right,4,3,2,Medium/Medium,Stocky (185+),No,9200000.0,,"Rapid, Long Throw",79.0,58.0,68.0,72.0,68.0,80.0,69,55,67,74,38,75,60,39,64,71,83,76,67,70,68,68,87,79,84,64,70,68,70,68,36,66.0,66,71,64,12,13,14,10,8,,68+2,68+2,68+2,71,70,70,70,71,70+2,70+2,70+2,72+2,70+2,70+2,70+2,72+2,71+2,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,71+2,17+2
250959,/player/250959/angelo-stiller/240002,24.0,2.0,2023-09-22,A. Stiller,Angelo Stiller,"CM, CDM",73,79,4900000.0,17000.0,22,2001-04-04,183,79,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,LDM,6.0,,2023-08-25,2027.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,9800000.0,,,60.0,56.0,74.0,73.0,68.0,66.0,64,49,63,79,45,73,66,66,76,75,65,55,73,65,76,66,68,77,62,65,64,68,61,76,42,72.0,68,71,68,7,14,5,9,9,,63+2,63+2,63+2,67,67,67,67,67,70+2,70+2,70+2,69+2,73+2,73+2,73+2,69+2,69+2,72+2,72+2,72+2,69+2,68+2,68+2,68+2,68+2,68+2,16+2
241925,/player/241925/chris-fuhrich/240002,24.0,2.0,2023-09-22,C. Führich,Chris Führich,"CAM, CF",73,77,4200000.0,19000.0,25,1998-01-09,181,70,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,LM,27.0,,2021-07-19,2025.0,21,Germany,,,,Right,4,4,1,Medium/Medium,Lean (170-185),No,7900000.0,,"Technical, Trivela",82.0,67.0,69.0,78.0,53.0,59.0,67,67,54,73,58,80,68,56,68,78,83,81,86,65,83,70,64,78,49,67,58,43,68,66,61,60.0,53,59,55,6,7,12,12,6,,69+2,69+2,69+2,74,72,72,72,74,73+2,73+2,73+2,73+2,69+2,69+2,69+2,73+2,66+2,62+2,62+2,62+2,66+2,64+2,56+2,56+2,56+2,64+2,14+2
239096,/player/239096/atakan-karazor/240002,24.0,2.0,2023-09-22,A. Karazor,Atakan Karazor,"CDM, CM, CB",73,74,3200000.0,18000.0,26,1996-10-13,191,76,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,RDM,16.0,,2019-07-01,2026.0,21,Germany,,,,Right,3,2,1,Low/Medium,Lean (185+),Yes,6000000.0,,Anticipate,51.0,36.0,61.0,62.0,76.0,72.0,39,35,78,75,27,59,42,31,67,68,47,55,62,64,43,47,73,78,69,29,74,75,34,64,38,67.0,78,77,71,12,10,6,11,5,,53+2,53+2,53+2,54,55,55,55,54,58+2,58+2,58+2,57+2,65+2,65+2,65+2,57+2,67+2,72+2,72+2,72+2,67+2,68+2,74,74,74,68+2,15+2
252448,/player/252448/jamie-leweling/240002,24.0,2.0,2023-09-22,J. Leweling,Jamie Leweling,"ST, RW",72,81,5500000.0,22000.0,22,2001-02-26,185,86,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,18.0,FC Union Berlin,,2024.0,21,Germany,,,,Right,4,4,1,Medium/Medium,Normal (185+),No,,,"Technical, Flair",83.0,70.0,61.0,77.0,33.0,71.0,64,71,58,69,65,79,55,43,49,76,85,81,79,70,78,73,81,70,76,67,57,26,71,59,55,62.0,33,31,23,6,11,10,14,9,,72+2,72+2,72+2,73,73,73,73,73,71+2,71+2,71+2,71+2,63+2,63+2,63+2,71+2,55+2,51+2,51+2,51+2,55+2,52+2,47+2,47+2,47+2,52+2,17+2
239138,/player/239138/woo-yeong-jeong/240002,24.0,2.0,2023-09-22,Jeong Woo Yeong,정우영 Woo Yeong Jeong,"CAM, CF",72,76,3400000.0,15000.0,23,1999-09-20,179,71,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,CAM,10.0,,2023-07-11,2026.0,167,Korea Republic,,,,Right,4,4,1,Medium/Medium,Unique,Yes,6400000.0,,Technical,77.0,62.0,67.0,78.0,36.0,63.0,68,66,61,73,58,78,46,40,59,77,78,76,87,69,84,59,69,85,54,56,55,30,71,71,50,61.0,34,32,36,12,6,9,7,7,,68+2,68+2,68+2,73,72,72,72,73,72+2,72+2,72+2,73+2,67+2,67+2,67+2,73+2,59+2,54+2,54+2,54+2,59+2,55+2,47+2,47+2,47+2,55+2,15+2
217648,/player/217648/genki-haraguchi/240002,24.0,2.0,2023-09-22,G. Haraguchi,原口 元気,"CAM, CM",72,72,1900000.0,18000.0,32,1991-05-09,178,72,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,17.0,,2023-01-30,2024.0,163,Japan,,,,Right,4,4,2,High/Medium,Lean (170-185),Yes,3400000.0,,,73.0,64.0,70.0,76.0,44.0,51.0,65,67,51,74,56,76,72,54,66,75,75,72,86,70,83,57,54,79,41,68,39,37,64,72,56,69.0,46,46,42,16,11,11,11,7,,65+2,65+2,65+2,72,70,70,70,72,72,72,72,72,69+2,69+2,69+2,72,61+2,58+2,58+2,58+2,61+2,58+2,48+2,48+2,48+2,58+2,18+2
252259,/player/252259/enzo-millot/240002,24.0,2.0,2023-09-22,E. Millot,Enzo Camille Alain Millot,"CAM, CM, CF",71,80,4100000.0,12000.0,20,2002-07-17,174,66,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,8.0,,2021-08-14,2025.0,18,France,,,,Left,3,4,1,Medium/Low,Lean (170-185),Yes,8200000.0,,Technical,73.0,63.0,69.0,76.0,54.0,45.0,67,65,44,71,54,76,68,59,65,75,75,71,87,68,84,62,46,56,35,62,57,57,68,72,58,67.0,49,63,50,13,15,12,8,8,,64+2,64+2,64+2,71,70,70,70,71,71+2,71+2,71+2,70+2,68+2,68+2,68+2,70+2,63+2,62+2,62+2,62+2,63+2,61+2,55+2,55+2,55+2,61+2,17+2
223603,/player/223603/fabian-bredlow/240002,24.0,2.0,2023-09-22,F. Bredlow,Fabian Bredlow,GK,71,71,1300000.0,12000.0,28,1995-03-02,190,89,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,1.0,,2019-07-01,2024.0,21,Germany,,,,Left,4,1,1,Medium/Medium,Normal (185+),Yes,2300000.0,,,,,,,,,8,5,11,17,4,14,13,14,20,23,41,36,50,68,39,50,60,20,62,7,18,14,14,38,30,45.0,15,12,10,71,67,66,68,74,39.0,25+2,25+2,25+2,23,25,25,25,23,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,21+2,23+2,23+2,23+2,21+2,21+2,23+2,23+2,23+2,21+2,70+1
247360,/player/247360/leonidas-stergiou/240002,24.0,2.0,2023-09-22,L. Stergiou,Leonidas Stergiou,CB,70,82,3700000.0,5000.0,21,2002-03-03,180,75,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,20.0,St. Gallen,,2024.0,47,Switzerland,,,,Right,3,2,1,Low/Medium,Normal (170-185),No,,,"Incisive Pass, Jockey, Intercept, Quick Step",84.0,32.0,54.0,52.0,70.0,77.0,36,27,64,66,28,38,33,29,65,56,84,84,77,70,72,49,85,80,77,25,69,72,39,52,39,60.0,70,72,68,7,8,11,6,9,,51+2,51+2,51+2,52,51,51,51,52,54+2,54+2,54+2,55+2,58+2,58+2,58+2,55+2,66+2,68+2,68+2,68+2,66+2,68+2,70+2,70+2,70+2,68+2,15+2
238379,/player/238379/nikolas-nartey/240002,24.0,2.0,2023-09-22,N. Nartey,Nikolas Terkelsen Nartey,"CM, CDM, LWB",69,76,2800000.0,10000.0,23,2000-02-22,185,81,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,28.0,,2019-08-29,2025.0,13,Denmark,,,,Left,3,3,1,Medium/Medium,Normal (185+),Yes,5600000.0,,Technical,72.0,49.0,67.0,74.0,66.0,70.0,65,55,60,73,32,73,45,40,65,74,71,73,76,73,78,51,75,69,72,38,67,66,63,70,41,67.0,67,68,61,13,9,13,6,12,,63+2,63+2,63+2,68,67,67,67,68,69+2,69+2,69+2,70+2,69+2,69+2,69+2,70+2,69+2,69+2,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,17+2
229584,/player/229584/pascal-stenzel/240002,24.0,2.0,2023-09-22,P. Stenzel,Pascal Stenzel,"CB, RB",69,69,1300000.0,10000.0,27,1996-03-20,183,74,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,RB,15.0,,2020-07-01,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,2300000.0,,Long Ball Pass,51.0,60.0,66.0,66.0,70.0,68.0,62,55,63,74,39,65,62,58,69,68,52,51,61,67,63,75,64,74,63,66,73,72,52,57,49,67.0,70,72,71,13,11,10,11,8,,61+2,61+2,61+2,62,62,62,62,62,63+2,63+2,63+2,63+2,67+2,67+2,67+2,63+2,68+1,70-1,70-1,70-1,68+1,68+1,69,69,69,68+1,17+2
241689,/player/241689/roberto-massimo/240002,24.0,2.0,2023-09-22,R. Massimo,Roberto Massimo,RM,68,75,2500000.0,9000.0,22,2000-10-12,183,82,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,32.0,,2018-07-01,2024.0,21,Germany,,,,Right,5,3,1,High/Medium,Normal (170-185),Yes,5000000.0,,"Slide Tackle, Rapid",86.0,60.0,57.0,71.0,53.0,63.0,61,64,50,63,40,72,38,32,54,71,85,87,81,58,74,62,71,69,63,55,52,44,60,57,58,55.0,59,55,49,12,13,8,6,9,,64+2,64+2,64+2,68,66,66,66,68,65+2,65+2,65+2,67+2,61+2,61+2,61+2,67+2,62+2,57+2,57+2,57+2,62+2,60+2,56+2,56+2,56+2,60+2,15+2
254480,/player/254480/lilian-egloff/240002,24.0,2.0,2023-09-22,L. Egloff,Lilian Niclas Egloff,"CAM, CF",65,76,1600000.0,5000.0,20,2002-08-20,182,79,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,SUB,25.0,,2019-11-24,2024.0,21,Germany,,,,Right,3,3,1,Medium/Medium,Normal (170-185),Yes,3200000.0,,,65.0,56.0,63.0,68.0,41.0,62.0,59,61,33,67,48,69,54,39,61,67,67,64,73,62,77,58,55,54,69,42,56,37,62,68,53,59.0,40,46,40,11,8,15,10,5,,60+2,60+2,60+2,64,63,63,63,64,65+2,65+2,65+2,64+2,61+2,61+2,61+2,64+2,54+2,54+2,54+2,54+2,54+2,51+2,48+2,48+2,48+2,51+2,15+2
269951,/player/269951/thomas-kastanaras/240002,24.0,2.0,2023-09-22,T. Kastanaras,Thomas Kastanaras,ST,63,75,1200000.0,4000.0,20,2003-01-09,186,83,36.0,VfB Stuttgart,19.0,Bundesliga,1.0,RES,22.0,,2022-07-01,2025.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2400000.0,,,63.0,64.0,51.0,59.0,22.0,58.0,40,68,59,57,56,59,53,58,43,61,62,64,56,59,55,65,66,55,66,57,39,21,66,56,65,59.0,20,14,16,7,12,14,11,5,,63+2,63+2,63+2,59,61,61,61,59,59+2,59+2,59+2,58+2,53+2,53+2,53+2,58+2,41+2,40+2,40+2,40+2,41+2,39+2,36+2,36+2,36+2,39+2,15+2
