player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
199339,/player/199339/manuel-riemann/240002,24.0,2.0,2023-09-22,M. Riemann,Manuel Riemann,GK,77,77,1800000.0,19000.0,34,1988-09-09,186,83,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,GK,1.0,,2015-07-01,2025.0,21,Germany,,,,Right,5,1,2,Medium/Medium,Normal (185+),No,3200000.0,,,,,,,,,17,12,15,59,13,30,15,14,65,47,57,45,49,71,64,62,69,43,65,18,38,30,13,69,34,67.0,30,14,19,77,72,83,76,82,52.0,36+2,36+2,36+2,39,41,41,41,39,46+2,46+2,46+2,42+2,48+2,48+2,48+2,42+2,37+2,44+2,44+2,44+2,37+2,35+2,34+2,34+2,34+2,35+2,76+1
216283,/player/216283/danilo-teodoro-soares/240002,24.0,2.0,2023-09-22,Danilo,Danilo Teodoro Soares,LB,76,76,5500000.0,22000.0,31,1991-10-29,170,73,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,LB,3.0,,2017-07-01,2024.0,54,Brazil,,,,Left,3,3,2,Medium/Medium,Normal (170-),No,9900000.0,,"Slide Tackle, Technical",72.0,59.0,67.0,78.0,74.0,70.0,72,54,62,73,53,77,62,49,69,76,77,67,84,75,86,68,74,76,65,67,74,77,64,58,42,76.0,74,76,78,10,11,15,10,12,,66+2,66+2,66+2,71,69,69,69,71,70+2,70+2,70+2,71+2,71+2,71+2,71+2,71+2,75+1,74+2,74+2,74+2,75+1,74+2,73+2,73+2,73+2,74+2,18+2
199288,/player/199288/anthony-losilla/240002,24.0,2.0,2023-09-22,A. Losilla,Anthony Losilla,"CDM, CM, CB",75,75,1100000.0,15000.0,37,1986-03-10,185,78,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,RDM,8.0,,2014-07-01,2024.0,18,France,,,,Right,3,3,1,Medium/High,Normal (185+),No,2000000.0,,"Slide Tackle, Trivela",51.0,59.0,67.0,71.0,73.0,76.0,55,55,72,75,66,71,58,47,71,74,51,51,66,72,66,67,74,84,75,65,67,76,41,67,49,75.0,72,75,69,16,8,10,10,7,,63+2,63+2,63+2,63,64,64,64,63,66+2,66+2,66+2,65+2,71+2,71+2,71+2,65+2,70+2,74+1,74+1,74+1,70+2,70+2,73+2,73+2,73+2,70+2,17+2
204497,/player/204497/kevin-stoger/240002,24.0,2.0,2023-09-22,K. Stöger,Kevin Stöger,"CM, CDM, CAM",75,75,5500000.0,24000.0,29,1993-08-27,175,74,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,LDM,7.0,,2022-07-01,2024.0,4,Austria,,,,Left,3,3,2,High/High,Normal (170-185),Yes,9900000.0,,"Dead Ball, Pinged Pass, Long Ball Pass, Slide Tackle, Press Proven, Relentless",58.0,66.0,78.0,74.0,60.0,63.0,74,64,45,79,62,71,70,72,77,76,62,55,78,78,78,70,59,75,63,70,50,67,69,82,50,72.0,62,62,53,15,12,13,10,12,,66+2,66+2,66+2,72,71,71,71,72,74+1,74+1,74+1,72+2,75,75,75,72+2,68+2,70+2,70+2,70+2,68+2,66+2,61+2,61+2,61+2,66+2,20+2
206606,/player/206606/philipp-hofmann/240002,24.0,2.0,2023-09-22,P. Hofmann,Philipp Hofmann,ST,75,75,5500000.0,25000.0,30,1993-03-30,195,89,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,ST,33.0,,2022-07-01,2026.0,21,Germany,,,,Left,2,2,1,Medium/Medium,Normal (185+),No,9900000.0,"#Aerial threat, #Strength","Power Header, Bruiser, Aerial",52.0,74.0,55.0,65.0,38.0,83.0,35,76,84,69,68,65,48,39,44,73,41,61,46,75,36,83,84,63,93,64,81,30,80,66,62,75.0,26,40,33,14,10,15,11,15,,75,75,75,64,71,71,71,64,67+2,67+2,67+2,63+2,63+2,63+2,63+2,63+2,49+2,54+2,54+2,54+2,49+2,49+2,55+2,55+2,55+2,49+2,20+2
224811,/player/224811/ivan-ordets/240002,24.0,2.0,2023-09-22,I. Ordets,Ivan Ordets,CB,74,74,3500000.0,20000.0,30,1992-07-08,195,88,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,RCB,20.0,,2019-06-19,2024.0,49,Ukraine,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,6300000.0,#Strength,"Power Header, Intercept, Bruiser, Aerial",63.0,53.0,49.0,46.0,75.0,82.0,41,46,74,60,59,38,39,46,60,51,54,71,47,71,38,73,75,73,91,57,74,80,38,34,34,72.0,74,75,70,15,14,10,13,11,,58+2,58+2,58+2,49,51,51,51,49,50+2,50+2,50+2,51+2,56+2,56+2,56+2,51+2,64+2,68+2,68+2,68+2,64+2,67+2,74,74,74,67+2,19+2
232610,/player/232610/takuma-asano/240002,24.0,2.0,2023-09-22,T. Asano,浅野 佐藤,"RM, CAM",74,74,4200000.0,22000.0,28,1994-11-10,173,71,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,RM,11.0,,2021-07-01,2024.0,163,Japan,,,,Right,4,3,2,Medium/Medium,Normal (170-185),No,7600000.0,"#Speedster, #Acrobat","Rapid, Quick Step",90.0,68.0,62.0,78.0,32.0,68.0,65,71,58,67,65,77,61,39,47,75,92,88,90,77,85,70,82,71,74,61,46,29,74,67,65,72.0,31,22,40,15,7,6,9,14,,73+1,73+1,73+1,75-1,74,74,74,75-1,72+2,72+2,72+2,73+1,63+2,63+2,63+2,73+1,58+2,51+2,51+2,51+2,58+2,55+2,47+2,47+2,47+2,55+2,18+2
238473,/player/238473/erhan-masovic/240002,24.0,2.0,2023-09-22,E. Mašović,Erhan Mašović,"CB, CDM",73,77,3900000.0,16000.0,24,1998-11-22,189,82,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,LCB,4.0,,2020-10-05,2025.0,51,Serbia,,,,Right,3,2,1,Low/Medium,Normal (185+),No,7300000.0,,,70.0,33.0,49.0,56.0,75.0,71.0,22,35,73,68,28,49,27,24,60,62,64,74,58,67,55,42,78,66,73,26,70,73,23,48,31,67.0,76,77,75,5,5,8,13,5,,50+2,50+2,50+2,49,50,50,50,49,53+2,53+2,53+2,52+2,58+2,58+2,58+2,52+2,64+2,69+2,69+2,69+2,64+2,67+2,73+2,73+2,73+2,67+2,14+2
216452,/player/216452/goncalo-mendes-paciencia/240002,24.0,2.0,2023-09-22,Gonçalo Paciência,Gonçalo Mendes Paciência,ST,73,73,3100000.0,21000.0,28,1994-08-01,184,80,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,SUB,9.0,Celta de Vigo,,2024.0,38,Portugal,,,,Right,4,4,1,Medium/Low,Normal (170-185),No,,,"Power Header, Flair",42.0,75.0,59.0,75.0,33.0,77.0,42,75,84,64,78,76,67,47,51,75,49,36,71,75,73,76,84,67,81,72,79,37,77,74,80,78.0,21,30,23,9,8,14,12,7,,73,73,73,67,71,71,71,67,70+2,70+2,70+2,65+2,65+2,65+2,65+2,65+2,48+2,53+2,53+2,53+2,48+2,46+2,50+2,50+2,50+2,46+2,17+2
224423,/player/224423/maximilian-wittek/240002,24.0,2.0,2023-09-22,M. Wittek,Maximilian Wittek,"LB, LM",73,73,2900000.0,18000.0,27,1995-08-21,173,68,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,SUB,32.0,,2023-08-14,2026.0,21,Germany,,,,Left,3,3,1,High/Low,Normal (170-185),No,5200000.0,,"Power Shot, Dead Ball, Whipped Cross, Trivela",78.0,67.0,68.0,72.0,66.0,73.0,77,61,58,68,70,71,78,78,63,70,77,78,79,71,85,80,73,79,68,71,77,66,71,58,52,72.0,65,69,71,15,12,12,13,7,,69+2,69+2,69+2,70,69,69,69,70,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,72+1,68+2,68+2,68+2,72+1,71+2,68+2,68+2,68+2,71+2,18+2
237540,/player/237540/philipp-forster/240002,24.0,2.0,2023-09-22,P. Förster,Philipp Förster,"CAM, CF, CM",73,73,3100000.0,21000.0,28,1995-02-04,188,82,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,CAM,10.0,,2022-07-01,2024.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Normal (185+),Yes,5600000.0,,Power Shot,69.0,70.0,72.0,71.0,62.0,79.0,69,68,54,75,49,71,62,70,72,74,54,82,63,76,63,77,67,84,80,74,73,58,74,75,54,68.0,65,64,63,8,8,6,6,6,,71+2,71+2,71+2,72,72,72,72,72,73,73,73,72+1,73,73,73,72+1,70+2,70+2,70+2,70+2,70+2,68+2,66+2,66+2,66+2,68+2,15+2
239073,/player/239073/christopher-antwi-adjei/240002,24.0,2.0,2023-09-22,C. Antwi-Adjei,Christopher Antwi-Adjei,"LM, RM",73,73,3000000.0,21000.0,29,1994-02-07,174,72,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,LM,22.0,,2021-07-01,2024.0,117,Ghana,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,5400000.0,#Acrobat,"Rapid, Quick Step, Long Throw",87.0,63.0,64.0,75.0,30.0,54.0,67,64,36,69,57,74,58,35,54,74,88,87,90,69,90,70,59,72,53,57,35,27,69,66,49,57.0,32,30,27,10,8,7,13,5,,66+2,66+2,66+2,72,70,70,70,72,70+2,70+2,70+2,72+1,63+2,63+2,63+2,72+1,56+2,50+2,50+2,50+2,56+2,52+2,41+2,41+2,41+2,52+2,16+2
250931,/player/250931/patrick-osterhage/240002,24.0,2.0,2023-09-22,P. Osterhage,Patrick Osterhage,"CDM, CM",72,78,3400000.0,14000.0,23,2000-02-01,184,75,160.0,VfL Bochum 1848,19.0,Bundesliga,1.0,SUB,6.0,,2021-07-01,2026.0,21,Germany,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,6800000.0,,Slide Tackle,76.0,54.0,66.0,72.0,70.0,72.0,62,52,67,70,47,74,59,42,69,74,71,80,69,68,68,58,74,86,67,59,67,71,61,68,45,65.0,70,69,78,12,5,12,6,6,,64+2,64+2,64+2,68,67,67,67,68,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,72+2,70+2,70+2,70+2,72+2,14+2
