player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
220971,/player/220971/naby-keita/240002,24.0,2.0,2023-09-22,N. Keïta,Naby Keïta,CM,78,78,14000000.0,29000.0,28,1995-02-10,172,64,38.0,Werder Bremen,19.0,Bundesliga,1.0,RCM,18.0,,2023-07-01,2026.0,118,Guinea,,,,Right,4,4,3,Medium/Medium,Lean (170-185),Yes,25200000.0,,"Technical, Flair",69.0,72.0,75.0,84.0,69.0,67.0,63,72,42,81,75,83,64,67,75,83,77,62,87,79,89,74,63,69,62,73,78,76,74,79,58,83.0,69,73,67,7,14,15,14,9,,72+3,72+3,72+3,77,77,77,77,77,79-1,79-1,79-1,76+2,78,78,78,76+2,73+3,75+3,75+3,75+3,73+3,71+3,69+3,69+3,69+3,71+3,19+3
197031,/player/197031/marvin-ducksch/240002,24.0,2.0,2023-09-22,M. Ducksch,Marvin Ducksch,ST,77,77,10500000.0,30000.0,29,1994-03-07,188,79,38.0,Werder Bremen,19.0,Bundesliga,1.0,LS,7.0,,2021-08-25,2026.0,21,Germany,,,,Right,3,3,1,High/Medium,Lean (185+),Yes,18900000.0,,Finesse Shot,69.0,78.0,76.0,73.0,34.0,70.0,73,80,71,79,77,72,82,80,64,78,72,66,66,80,65,78,80,74,73,77,54,31,80,78,66,73.0,27,35,22,6,12,7,12,16,,77,77,77,76,77,77,77,76,76+1,76+1,76+1,75+2,71+2,71+2,71+2,75+2,57+2,56+2,56+2,56+2,57+2,54+2,49+2,49+2,49+2,54+2,19+2
206591,/player/206591/mitchell-weiser/240002,24.0,2.0,2023-09-22,M. Weiser,Mitchell Weiser,RWB,77,77,9500000.0,25000.0,29,1994-04-21,177,70,38.0,Werder Bremen,19.0,Bundesliga,1.0,RWB,8.0,,2022-07-15,2024.0,21,Germany,,,,Right,4,4,2,High/Medium,Normal (170-185),Yes,17100000.0,,"Slide Tackle, Rapid, Flair",82.0,63.0,74.0,80.0,69.0,68.0,75,65,66,77,59,82,69,52,68,78,77,86,84,77,81,58,75,76,64,61,68,71,73,77,58,76.0,66,70,72,13,15,10,13,9,,71+2,71+2,71+2,76,75,75,75,76,76+1,76+1,76+1,77,74+2,74+2,74+2,77,75+2,72+2,72+2,72+2,75+2,74+2,70+2,70+2,70+2,74+2,19+2
236583,/player/236583/jiri-pavlenka/240002,24.0,2.0,2023-09-22,J. Pavlenka,Jiří Pavlenka,GK,77,77,5500000.0,19000.0,31,1992-04-14,196,81,38.0,Werder Bremen,19.0,Bundesliga,1.0,GK,1.0,,2017-07-01,2025.0,12,Czech Republic,1330.0,GK,1.0,Right,3,1,2,Medium/Medium,Normal (185+),Yes,9900000.0,,Footwork,,,,,,,11,16,14,27,19,12,10,14,16,19,35,36,39,78,27,47,63,20,68,17,22,13,14,25,18,39.0,12,10,14,78,74,62,69,83,35.0,29+2,29+2,29+2,24,26,26,26,24,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,23+2,24+2,24+2,24+2,23+2,22+2,25+2,25+2,25+2,22+2,76+1
220883,/player/220883/rafael-santos-borre/240002,24.0,2.0,2023-09-22,R. Borré,Rafael Santos Borré Maury,ST,76,76,8000000.0,37000.0,27,1995-09-15,174,70,38.0,Werder Bremen,19.0,Bundesliga,1.0,SUB,19.0,Eintracht Frankfurt,,2024.0,56,Colombia,,,,Right,3,3,2,High/High,Normal (170-185),No,,,"Finesse Shot, Trivela, Acrobatic",76.0,75.0,74.0,77.0,45.0,76.0,71,75,74,77,74,75,78,67,69,76,83,70,84,76,80,79,83,85,67,73,85,41,78,78,72,80.0,44,45,29,11,14,14,11,8,,76,76,76,76,76,76,76,76,76,76,76,76,73+2,73+2,73+2,76,62+2,62+2,62+2,62+2,62+2,59+2,57+2,57+2,57+2,59+2,18+2
237595,/player/237595/marco-friedl/240002,24.0,2.0,2023-09-22,M. Friedl,Marco Friedl,CB,74,78,5500000.0,19000.0,25,1998-03-16,187,82,38.0,Werder Bremen,19.0,Bundesliga,1.0,LCB,32.0,,2019-05-29,2026.0,4,Austria,,,,Left,2,2,1,Medium/Medium,Normal (185+),Yes,10300000.0,,"Long Ball Pass, Jockey, Intercept, Anticipate, Slide Tackle",73.0,42.0,61.0,67.0,75.0,75.0,63,37,66,65,47,64,45,42,74,71,67,77,65,73,62,48,76,70,77,44,78,76,56,50,45,65.0,75,77,76,11,15,6,6,7,,59+2,59+2,59+2,62,60,60,60,62,61+2,61+2,61+2,64+2,65+2,65+2,65+2,64+2,71+2,72+2,72+2,72+2,71+2,72+2,74+2,74+2,74+2,72+2,17+2
246836,/player/246836/amos-pieper/240002,24.0,2.0,2023-09-22,A. Pieper,Amos Pieper,CB,74,78,5500000.0,19000.0,25,1998-01-17,192,86,38.0,Werder Bremen,19.0,Bundesliga,1.0,RCB,5.0,,2022-07-01,2026.0,21,Germany,,,,Right,3,2,1,Medium/Medium,Lean (185+),Yes,10300000.0,,Aerial,66.0,32.0,52.0,52.0,77.0,75.0,37,27,75,66,26,46,30,35,58,59,60,70,41,75,49,50,72,76,78,23,66,76,31,48,52,72.0,77,79,75,12,12,10,9,11,,51+2,51+2,51+2,49,50,50,50,49,51+2,51+2,51+2,53+2,58+2,58+2,58+2,53+2,67+2,70+2,70+2,70+2,67+2,70+2,74+2,74+2,74+2,70+2,18+2
232711,/player/232711/jens-stage/240002,24.0,2.0,2023-09-22,J. Stage,Jens Dalsgaard Stage,CM,74,76,5000000.0,22000.0,26,1996-11-08,185,83,38.0,Werder Bremen,19.0,Bundesliga,1.0,LCM,6.0,,2022-07-01,2026.0,13,Denmark,,,,Right,3,3,1,High/High,Normal (185+),Yes,9400000.0,#Engine,Relentless,73.0,65.0,70.0,72.0,72.0,81.0,65,65,76,76,60,70,61,56,70,76,68,77,67,76,73,70,84,89,78,60,77,73,73,70,60,73.0,69,74,70,11,12,5,10,6,,72+2,72+2,72+2,71,72,72,72,71,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,17+2
212977,/player/212977/niklas-stark/240002,24.0,2.0,2023-09-22,N. Stark,Niklas Stark,"CB, CDM",74,75,4000000.0,21000.0,28,1995-04-14,190,88,38.0,Werder Bremen,19.0,Bundesliga,1.0,CB,4.0,,2022-07-01,2026.0,21,Germany,,,,Right,3,2,2,Medium/Medium,Normal (185+),Yes,7500000.0,,Slide Tackle,72.0,50.0,62.0,66.0,74.0,76.0,50,45,77,72,48,65,41,35,65,67,72,72,65,73,62,63,80,73,79,52,72,74,50,68,39,69.0,74,74,75,7,15,10,15,13,,62+2,62+2,62+2,62,63,63,63,62,64+2,64+2,64+2,64+2,67+2,67+2,67+2,64+2,70+2,72+2,72+2,72+2,70+2,71+2,74+1,74+1,74+1,71+2,19+2
239701,/player/239701/romano-schmid/240002,24.0,2.0,2023-09-22,R. Schmid,Romano Christian Schmid,"CAM, CM",73,79,4800000.0,17000.0,23,2000-01-27,168,73,38.0,Werder Bremen,19.0,Bundesliga,1.0,SUB,20.0,,2019-01-03,2025.0,4,Austria,,,,Right,3,3,1,High/Medium,Normal (170-),Yes,9600000.0,,,78.0,64.0,69.0,79.0,51.0,55.0,67,60,39,75,58,79,70,46,63,78,75,80,87,69,85,72,54,71,51,71,43,63,67,70,52,66.0,58,43,39,7,9,7,9,6,,66+2,66+2,66+2,73,72,72,72,73,73+2,73+2,73+2,72+2,70+2,70+2,70+2,72+2,65+2,62+2,62+2,62+2,65+2,61+2,53+2,53+2,53+2,61+2,14+2
