player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
202589,/player/202589/javier-hernandez-gonzalez/240002,24.0,2.0,2023-09-22,Javi Hernández,Francisco Javier Hernández González,"CAM, CF",68,68,575000.0,1000.0,34,1989-06-06,184,79,113302.0,Bengaluru,2149.0,Super League,1.0,CAM,10.0,,2022-06-22,2024.0,45,Spain,,,,Left,2,3,1,Low/Low,Normal (170-185),No,776000.0,,"Dead Ball, Long Ball Pass",67.0,69.0,67.0,69.0,45.0,63.0,68,69,37,67,65,70,68,69,65,70,66,68,71,60,66,71,51,72,73,69,31,56,65,69,62,62.0,48,43,29,8,11,12,7,10,,65+2,65+2,65+2,68,67,67,67,68,68,68,68,68,66+2,66+2,66+2,68,59+2,57+2,57+2,57+2,59+2,55+2,49+2,49+2,49+2,55+2,15+2
190939,/player/190939/sunil-chhetri/240002,24.0,2.0,2023-09-22,S. Chhetri,Sunil Chhetri,"ST, LW",66,66,300000.0,750.0,38,1984-08-03,169,69,113302.0,Bengaluru,2149.0,Super League,1.0,LS,11.0,,2017-01-01,2024.0,159,India,,,,Right,4,3,1,High/Medium,Normal (170-),No,405000.0,,"Chip Shot, Power Header",74.0,67.0,56.0,65.0,32.0,71.0,55,68,66,58,67,63,66,66,46,64,76,73,73,63,76,65,86,83,69,65,59,25,69,57,68,67.0,30,24,44,10,7,11,9,10,,66,66,66,65,65,65,65,65,63+2,63+2,63+2,64+2,57+2,57+2,57+2,64+2,53+2,48+2,48+2,48+2,53+2,51+2,46+2,46+2,46+2,51+2,15+2
189910,/player/189910/curtis-main/240002,24.0,2.0,2023-09-22,C. Main,Curtis Lee Main,ST,65,65,600000.0,850.0,31,1992-06-20,178,67,113302.0,Bengaluru,2149.0,Super League,1.0,RS,9.0,,2023-07-18,2024.0,14,England,,,,Right,3,2,1,Medium/Medium,Stocky (170-185),No,810000.0,,"Power Shot, Bruiser, Relentless",73.0,64.0,48.0,58.0,32.0,82.0,45,62,65,54,57,58,42,57,45,57,71,74,62,58,58,83,83,79,85,52,80,22,62,41,57,64.0,36,26,22,10,16,11,15,10,,65,65,65,58,60,60,60,58,56+2,56+2,56+2,58+2,51+2,51+2,51+2,58+2,47+2,46+2,46+2,46+2,47+2,46+2,47+2,47+2,47+2,46+2,18+2
204882,/player/204882/ryan-williams/240002,24.0,2.0,2023-09-22,R. Williams,Ryan Dale Williams,"RW, RWB, ST",65,65,700000.0,900.0,29,1993-10-28,173,67,113302.0,Bengaluru,2149.0,Super League,1.0,SUB,28.0,,2023-07-28,2024.0,195,Australia,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,945000.0,#Acrobat,"Finesse Shot, Rapid",82.0,59.0,60.0,67.0,53.0,68.0,60,59,52,60,61,64,63,49,57,63,85,80,90,60,90,60,69,87,57,58,73,58,62,62,55,58.0,48,55,53,13,8,7,8,15,,62+2,62+2,62+2,65,63,63,63,65,64+1,64+1,64+1,65,62+2,62+2,62+2,65,63+2,60+2,60+2,60+2,63+2,62+2,57+2,57+2,57+2,62+2,16+2
263952,/player/263952/slavko-damjanovic/240002,24.0,2.0,2023-09-22,S. Damjanović,Slavko Damjanović,CB,65,65,575000.0,700.0,30,1992-11-02,189,82,113302.0,Bengaluru,2149.0,Super League,1.0,CB,3.0,,2023-06-28,2024.0,51,Serbia,,,,Left,3,2,1,High/Medium,Normal (185+),No,776000.0,,,58.0,44.0,49.0,55.0,64.0,81.0,46,34,59,57,41,50,35,33,57,53,65,53,66,56,66,62,76,81,84,49,76,59,47,40,35,72.0,65,66,65,14,14,10,10,5,,52+2,52+2,52+2,50,50,50,50,50,51+2,51+2,51+2,52+2,54+2,54+2,54+2,52+2,60+2,62+2,62+2,62+2,60+2,61+2,65,65,65,61+2,16+2
222410,/player/222410/keziah-veendorp/240002,24.0,2.0,2023-09-22,K. Veendorp,Keziah Veendorp,"CDM, RWB, CB",64,66,650000.0,650.0,26,1997-02-17,187,77,113302.0,Bengaluru,2149.0,Super League,1.0,SUB,6.0,,2023-08-05,2025.0,34,Netherlands,,,,Right,4,2,1,Low/Medium,Stocky (185+),No,926000.0,,Long Throw,61.0,49.0,57.0,55.0,62.0,74.0,46,39,62,64,50,52,40,57,63,62,53,67,45,59,53,68,72,67,78,56,73,63,23,54,62,59.0,59,64,62,13,13,16,10,9,,53+2,53+2,53+2,52,52,52,52,52,54+2,54+2,54+2,54+2,58+2,58+2,58+2,54+2,60+2,63+2,63+2,63+2,60+2,61+2,65+1,65+1,65+1,61+2,17+2
213327,/player/213327/aleksandar-jovanovic/240002,24.0,2.0,2023-09-22,A. Jovanović,Aleksandar Jovanović,CB,64,64,275000.0,650.0,33,1989-08-04,196,83,113302.0,Bengaluru,2149.0,Super League,1.0,RCB,4.0,,2022-07-22,2024.0,195,Australia,,,,Right,2,2,1,Medium/High,Lean (185+),No,371000.0,,,47.0,32.0,47.0,51.0,62.0,74.0,28,26,64,61,29,49,26,25,56,56,42,51,36,60,48,52,63,62,85,25,63,61,36,43,38,61.0,62,63,62,8,11,12,12,7,,48+2,48+2,48+2,44,47,47,47,44,48+2,48+2,48+2,48+2,53+2,53+2,53+2,48+2,55+2,61+2,61+2,61+2,55+2,57+2,64,64,64,57+2,15+2
225213,/player/225213/gurpreet-singh-sandhu/240002,24.0,2.0,2023-09-22,G. Singh Sandhu,Gurpreet Singh Sandhu,GK,64,64,300000.0,500.0,31,1992-02-03,197,92,113302.0,Bengaluru,2149.0,Super League,1.0,GK,1.0,,2017-08-18,2028.0,159,India,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,405000.0,,Far Throw,,,,,,,20,13,18,24,16,13,14,20,27,23,42,40,38,65,37,47,63,36,70,13,23,23,16,40,15,57.0,19,15,11,63,62,62,63,63,41.0,28+2,28+2,28+2,26,27,27,27,26,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,27+2,28+2,28+2,28+2,27+2,26+2,28+2,28+2,28+2,26+2,63+1
260147,/player/260147/roshan-singh/240002,24.0,2.0,2023-09-22,R. Singh,Roshan Singh,"LWB, RWB, LW",59,66,425000.0,500.0,24,1999-02-02,172,68,113302.0,Bengaluru,2149.0,Super League,1.0,RM,32.0,,2020-08-01,2026.0,159,India,,,,Left,4,2,1,High/Medium,Lean (170-185),No,659000.0,,Anticipate,71.0,50.0,55.0,59.0,51.0,59.0,56,45,36,57,50,58,55,54,55,56,70,71,74,40,88,56,52,79,60,54,31,48,52,53,49,52.0,50,56,55,7,14,12,11,15,,52+2,52+2,52+2,56,54,54,54,56,55+2,55+2,55+2,57+2,55+2,55+2,55+2,57+2,57+2,53+2,53+2,53+2,57+2,56+2,50+2,50+2,50+2,56+2,15+2
228199,/player/228199/halicharan-narzary/240002,24.0,2.0,2023-09-22,H. Narzary,Halicharan Narzary,"LW, LM",58,58,200000.0,550.0,29,1994-05-10,179,66,113302.0,Bengaluru,2149.0,Super League,1.0,SUB,19.0,,2023-06-14,2026.0,159,India,,,,Left,3,2,1,Low/Medium,Lean (170-185),No,270000.0,,,79.0,54.0,52.0,59.0,34.0,60.0,57,57,45,50,43,59,53,52,50,57,77,80,70,45,71,55,65,74,65,50,31,43,54,50,48,52.0,24,38,21,7,12,11,13,8,,56+2,56+2,56+2,58,56,56,56,58,55+2,55+2,55+2,58,52+2,52+2,52+2,58,50+2,45+2,45+2,45+2,50+2,48+2,41+2,41+2,41+2,48+2,14+2
253504,/player/253504/jessel-carneiro/240002,24.0,2.0,2023-09-22,J. Carneiro,Jessel Carneiro,LWB,58,58,140000.0,500.0,32,1990-07-14,163,66,113302.0,Bengaluru,2149.0,Super League,1.0,LM,14.0,,2023-07-25,2025.0,159,India,,,,Left,2,2,1,Medium/Medium,Normal (170-),No,189000.0,,Long Ball Pass,70.0,33.0,51.0,54.0,52.0,59.0,56,25,33,49,43,49,50,48,46,48,69,71,82,49,93,40,45,77,51,40,61,53,49,52,32,43.0,54,54,54,8,10,8,12,12,,44+2,44+2,44+2,51,47,47,47,51,49+2,49+2,49+2,52+2,50+2,50+2,50+2,52+2,56+2,53+2,53+2,53+2,56+2,56+2,51+2,51+2,51+2,56+2,15+2
264788,/player/264788/sivasakthi-narayanan/240002,24.0,2.0,2023-09-22,S. Narayanan,Sivasakthi Narayanan,ST,56,67,325000.0,500.0,21,2001-07-09,165,61,113302.0,Bengaluru,2149.0,Super League,1.0,SUB,39.0,,2021-04-08,2025.0,159,India,,,,Right,4,2,1,High/Low,Lean (170-),No,504000.0,,,77.0,56.0,48.0,57.0,31.0,46.0,39,58,52,51,51,53,42,43,48,54,77,77,78,51,80,54,62,64,41,52,30,29,59,52,55,50.0,35,23,24,9,10,8,14,13,,56+2,56+2,56+2,56,56,56,56,56,56+2,56+2,56+2,56+2,50+2,50+2,50+2,56+2,45+2,41+2,41+2,41+2,45+2,44+2,37+2,37+2,37+2,44+2,16+2
253064,/player/253064/suresh-wangjam/240002,24.0,2.0,2023-09-22,S. Wangjam,Suresh Singh Wangjam,"CM, CDM",56,65,325000.0,500.0,22,2000-08-07,166,65,113302.0,Bengaluru,2149.0,Super League,1.0,RCM,8.0,,2019-06-09,2028.0,159,India,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,504000.0,,Relentless,83.0,38.0,51.0,58.0,49.0,73.0,37,32,40,58,26,52,30,41,57,55,85,81,85,57,84,47,55,88,68,45,71,54,41,55,39,57.0,48,51,48,8,12,6,12,8,,49+2,49+2,49+2,54,52,52,52,54,55+2,55+2,55+2,56+2,56+2,56+2,56+2,56+2,58+2,57+2,57+2,57+2,58+2,57+2,54+2,54+2,54+2,57+2,15+2
248308,/player/248308/rohit-kumar/240002,24.0,2.0,2023-09-22,R. Kumar,Rohit Kumar,"CDM, CM",55,60,170000.0,500.0,26,1997-04-01,183,75,113302.0,Bengaluru,2149.0,Super League,1.0,LCM,18.0,,2021-06-29,2025.0,159,India,,,,Right,3,2,1,Low/Low,Lean (170-185),No,242000.0,,,54.0,44.0,49.0,55.0,50.0,67.0,45,41,49,54,39,53,42,36,52,56,45,61,69,50,59,52,65,64,71,46,61,52,43,47,40,46.0,50,50,49,8,14,6,7,5,,50+2,50+2,50+2,50,50,50,50,50,51+2,51+2,51+2,51+2,52+2,52+2,52+2,51+2,52+2,54+2,54+2,54+2,52+2,52+2,54+2,54+2,54+2,52+2,13+2
259311,/player/259311/rohit-danu/240002,24.0,2.0,2023-09-22,R. Danu,Rohit Danu,"LW, ST",54,63,240000.0,500.0,20,2002-07-10,173,59,113302.0,Bengaluru,2149.0,Super League,1.0,SUB,24.0,,2023-07-07,2026.0,159,India,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,372000.0,,,76.0,52.0,46.0,55.0,26.0,43.0,40,52,50,48,44,54,40,43,45,53,77,75,70,49,59,54,50,62,36,51,35,24,51,50,55,51.0,21,25,21,8,9,10,11,7,,53+2,53+2,53+2,54,54,54,54,54,53+2,53+2,53+2,54+2,48+2,48+2,48+2,54+2,42+2,38+2,38+2,38+2,42+2,41+2,33+2,33+2,33+2,41+2,13+2
256304,/player/256304/parag-shrivas/240002,24.0,2.0,2023-09-22,P. Shrivas,Parag Satish Shrivas,"CB, RB, LB",54,58,130000.0,500.0,26,1997-06-09,180,73,113302.0,Bengaluru,2149.0,Super League,1.0,LCB,2.0,,2019-01-01,2025.0,159,India,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,185000.0,,,64.0,28.0,42.0,45.0,53.0,67.0,49,27,42,45,24,46,34,29,37,37,64,64,53,51,64,29,67,65,73,24,56,52,46,39,39,37.0,54,56,55,14,7,6,8,14,,42+2,42+2,42+2,45,42,42,42,45,43+2,43+2,43+2,47+2,44+2,44+2,44+2,47+2,53+2,50+2,50+2,50+2,53+2,53+2,54+2,54+2,54+2,53+2,15+2
