player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
195838,/player/195838/rafael-schuler-crivellaro/240002,24.0,2.0,2023-09-22,Crivellaro,Rafael Schuler Crivellaro,CAM,65,65,325000.0,650.0,34,1989-02-18,184,81,113297.0,Chennaiyin,2149.0,Super League,1.0,CAM,50.0,,2023-08-05,2027.0,54,Brazil,,,,Left,3,3,1,Low/Medium,Normal (170-185),No,439000.0,,"Dead Ball, Technical",44.0,66.0,68.0,66.0,45.0,69.0,64,64,54,69,56,66,69,64,68,67,51,38,66,63,64,73,65,67,77,68,54,51,64,70,66,64.0,31,54,41,4,4,4,4,4,,63+2,63+2,63+2,63,64,64,64,63,65,65,65,63+2,66-1,66-1,66-1,63+2,56+2,59+2,59+2,59+2,56+2,53+2,53+2,53+2,53+2,53+2,10+2
202827,/player/202827/cristian-battocchio/240002,24.0,2.0,2023-09-22,C. Battocchio,Cristian Damián Battocchio,"CM, CDM, CAM",64,64,475000.0,600.0,31,1992-02-10,169,65,113297.0,Chennaiyin,2149.0,Super League,1.0,LDM,16.0,,2023-08-21,2027.0,27,Italy,,,,Right,3,3,1,Low/Low,Normal (170-),No,641000.0,,Trivela,64.0,63.0,65.0,68.0,56.0,57.0,62,58,49,66,48,67,67,67,65,67,67,61,70,66,82,73,54,56,52,69,71,56,60,67,61,63.0,58,55,57,9,14,13,9,12,,62+2,62+2,62+2,65-1,65-1,65-1,65-1,65-1,65-1,65-1,65-1,64,64,64,64,64,61+2,61+2,61+2,61+2,61+2,60+2,58+2,58+2,58+2,60+2,17+2
242809,/player/242809/connor-shields/240002,24.0,2.0,2023-09-22,C. Shields,Connor Shields,"ST, RM",62,64,500000.0,500.0,25,1997-07-29,179,80,113297.0,Chennaiyin,2149.0,Super League,1.0,ST,10.0,,2023-07-26,2026.0,42,Scotland,,,,Right,3,2,1,Medium/Medium,Stocky (170-185),No,713000.0,,,76.0,60.0,56.0,63.0,38.0,63.0,61,61,56,59,64,63,42,41,56,60,74,77,74,62,70,61,69,74,61,55,54,32,62,55,55,56.0,30,43,38,6,11,7,5,11,,62+2,62+2,62+2,63,62,62,62,63,61+2,61+2,61+2,63+1,58+2,58+2,58+2,63+1,54+2,50+2,50+2,50+2,54+2,52+2,47+2,47+2,47+2,52+2,14+2
245653,/player/245653/jordan-murray/240002,24.0,2.0,2023-09-22,J. Murray,Jordan Murray,ST,62,62,425000.0,500.0,27,1995-10-02,184,80,113297.0,Chennaiyin,2149.0,Super League,1.0,SUB,17.0,,2023-07-13,2026.0,195,Australia,,,,Right,3,3,1,High/Medium,Normal (170-185),No,574000.0,,,68.0,62.0,46.0,61.0,18.0,68.0,31,60,67,56,59,61,31,37,40,62,70,67,63,48,65,64,79,72,77,62,40,11,63,53,64,54.0,15,11,16,9,11,14,10,15,,62,62,62,58,60,60,60,58,58+2,58+2,58+2,57+2,51+2,51+2,51+2,57+2,40+2,38+2,38+2,38+2,40+2,37+2,36+2,36+2,36+2,37+2,15+2
253478,/player/253478/rahim-ali/240002,24.0,2.0,2023-09-22,R. Ali,Rahim Ali,"LM, ST, RM",56,62,230000.0,500.0,23,2000-04-21,184,75,113297.0,Chennaiyin,2149.0,Super League,1.0,SUB,11.0,,2018-09-04,2024.0,159,India,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,357000.0,,Rapid,81.0,53.0,46.0,56.0,24.0,60.0,40,58,48,49,45,54,42,35,47,55,75,85,71,53,67,49,64,61,65,48,44,13,56,49,50,44.0,30,20,19,13,11,6,12,14,,56+2,56+2,56+2,56,56,56,56,56,55+2,55+2,55+2,55+2,48+2,48+2,48+2,55+2,42+2,39+2,39+2,39+2,42+2,40+2,36+2,36+2,36+2,40+2,17+2
248319,/player/248319/farukh-choudhary/240002,24.0,2.0,2023-09-22,F. Choudhary,Farukh Choudhary,"LM, RM, ST",56,57,170000.0,500.0,26,1996-11-08,180,74,113297.0,Chennaiyin,2149.0,Super League,1.0,LM,77.0,,2023-07-11,2027.0,159,India,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,242000.0,,"Technical, Acrobatic",76.0,45.0,51.0,56.0,39.0,57.0,52,48,49,53,48,52,43,36,52,51,78,74,88,50,73,44,71,53,56,35,60,37,52,50,45,51.0,31,44,42,15,9,9,12,9,,52+2,52+2,52+2,55,52,52,52,55,53+2,53+2,53+2,55+2,50+2,50+2,50+2,55+2,49+2,47+2,47+2,47+2,49+2,49+2,46+2,46+2,46+2,49+2,15+2
234507,/player/234507/mohammed-rafique/240002,24.0,2.0,2023-09-22,M. Rafique,Mohammed Rafique,"RB, RM, CM",56,56,100000.0,500.0,32,1991-03-26,172,65,113297.0,Chennaiyin,2149.0,Super League,1.0,SUB,8.0,,2022-06-16,2024.0,159,India,,,,Right,2,2,1,Medium/High,Normal (170-185),No,135000.0,,,67.0,47.0,52.0,54.0,48.0,58.0,52,45,42,55,53,49,39,48,50,51,68,67,75,52,78,52,47,73,52,43,56,48,46,53,46,46.0,45,52,50,13,13,13,5,7,,50+2,50+2,50+2,53,51,51,51,53,52+2,52+2,52+2,54+2,52+2,52+2,52+2,54+2,55+1,52+2,52+2,52+2,55+1,54+2,50+2,50+2,50+2,54+2,14+2
270735,/player/270735/aakash-sangwan/240002,24.0,2.0,2023-09-22,A. Sangwan,Aakash Sangwan,LB,56,56,140000.0,500.0,27,1995-07-28,178,70,113297.0,Chennaiyin,2149.0,Super League,1.0,LB,27.0,,2022-06-21,2024.0,159,India,,,,Left,4,2,1,Medium/High,Normal (170-185),No,189000.0,,,68.0,36.0,47.0,50.0,52.0,56.0,49,33,35,47,35,49,42,29,45,47,70,66,59,53,68,41,49,63,56,39,50,54,43,52,34,44.0,52,56,54,15,14,7,8,7,,45+2,45+2,45+2,49,47,47,47,49,48+2,48+2,48+2,51+2,49+2,49+2,49+2,51+2,54+2,52+2,52+2,52+2,54+2,54+2,51+2,51+2,51+2,54+2,15+2
263224,/player/263224/vincy-barretto/240002,24.0,2.0,2023-09-22,V. Barretto,Vincy Barretto,"RM, LM",55,62,250000.0,500.0,23,1999-12-08,170,57,113297.0,Chennaiyin,2149.0,Super League,1.0,RM,47.0,,2022-06-09,2025.0,159,India,,,,Right,3,2,1,High/Medium,Lean (170-),No,388000.0,,Quick Step,88.0,46.0,48.0,57.0,24.0,47.0,52,49,33,48,40,55,47,36,48,54,84,91,76,40,81,47,53,44,52,39,38,17,46,45,50,45.0,25,25,26,9,15,7,11,9,,50+2,50+2,50+2,55,52,52,52,55,52+2,52+2,52+2,54+2,45+2,45+2,45+2,54+2,43+2,37+2,37+2,37+2,43+2,41+2,34+2,34+2,34+2,41+2,14+2
248246,/player/248246/debjit-majumder/240002,24.0,2.0,2023-09-22,D. Majumder,Debjit Majumder,GK,55,55,15000.0,500.0,35,1988-03-06,175,71,113297.0,Chennaiyin,2149.0,Super League,1.0,GK,24.0,,2021-07-07,2024.0,159,India,,,,Right,2,1,1,Medium/Medium,Normal (170-185),No,20000.0,,,,,,,,,10,7,9,21,9,7,13,12,22,10,37,44,23,53,41,37,38,28,41,6,30,14,8,33,14,32.0,11,14,14,54,51,49,55,60,40.0,20+2,20+2,20+2,19,20,20,20,19,20+2,20+2,20+2,20+2,21+2,21+2,21+2,20+2,21+2,21+2,21+2,21+2,21+2,21+2,20+2,20+2,20+2,21+2,54+1
