player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
256998,/player/256998/cleiton-augusto-oliveira-silva/240002,24.0,2.0,2023-09-22,Cleiton Silva,Cleiton Augusto Oliveira Silva,ST,68,68,400000.0,1000.0,36,1987-02-03,175,73,111629.0,East Bengal,2149.0,Super League,1.0,ST,10.0,,2022-08-12,2024.0,54,Brazil,,,,Right,4,3,1,High/Medium,Normal (170-185),No,540000.0,,"Trivela, Acrobatic",76.0,68.0,62.0,69.0,22.0,68.0,58,70,63,62,60,68,64,62,60,67,78,75,73,63,82,72,77,81,68,64,50,15,66,65,67,66.0,19,18,16,12,13,6,10,8,,68,68,68,67,67,67,67,67,66+2,66+2,66+2,67+1,60+2,60+2,60+2,67+1,48+2,45+2,45+2,45+2,48+2,45+2,39+2,39+2,39+2,45+2,16+2
252088,/player/252088/saul-crespo-prieto/240002,24.0,2.0,2023-09-22,Saúl Crespo,Saúl Crespo Prieto,CDM,66,69,1000000.0,950.0,26,1996-07-23,186,79,111629.0,East Bengal,2149.0,Super League,1.0,CDM,21.0,,2023-06-17,2024.0,45,Spain,,,,Right,3,2,1,Low/Medium,Lean (185+),No,1400000.0,,,54.0,52.0,61.0,63.0,64.0,75.0,52,52,68,67,48,64,54,56,63,64,50,58,61,64,49,56,74,65,81,49,75,63,55,61,56,57.0,62,66,63,10,11,8,10,8,,60+2,60+2,60+2,59,60,60,60,59,61+2,61+2,61+2,60+2,63+2,63+2,63+2,60+2,62+2,65+2,65+2,65+2,62+2,62+2,67+2,67+2,67+2,62+2,16+2
235754,/player/235754/borja-herrera-gonzalez/240002,24.0,2.0,2023-09-22,Borja Herrera,Borja Herrera González,"CAM, LB, CM",65,65,700000.0,900.0,30,1993-01-08,176,70,111629.0,East Bengal,2149.0,Super League,1.0,LCM,26.0,,2023-06-12,2024.0,45,Spain,,,,Left,2,3,1,High/Medium,Lean (170-185),No,945000.0,,,71.0,62.0,64.0,68.0,61.0,63.0,67,63,63,65,50,69,64,65,63,67,72,71,75,58,69,64,70,71,59,61,59,62,62,62,60,57.0,59,61,62,7,9,9,10,11,,64+1,64+1,64+1,66-1,65,65,65,66-1,65,65,65,66-1,64+1,64+1,64+1,66-1,65,63+2,63+2,63+2,65,64+1,62+2,62+2,62+2,64+1,15+2
250884,/player/250884/javier-siverio-toro/240002,24.0,2.0,2023-09-22,Javi Siverio,Javier Siverio Toro,ST,64,68,825000.0,850.0,25,1997-11-14,182,75,111629.0,East Bengal,2149.0,Super League,1.0,SUB,99.0,,2023-06-17,2027.0,45,Spain,,,,Right,5,2,1,Medium/Medium,Lean (170-185),No,1200000.0,,,60.0,65.0,50.0,62.0,26.0,61.0,35,67,65,58,53,63,36,54,52,65,61,59,57,54,63,66,70,59,69,65,42,28,65,50,58,57.0,20,20,17,14,6,11,8,13,,64+2,64+2,64+2,59,62,62,62,59,60+2,60+2,60+2,58+2,55+2,55+2,55+2,58+2,42+2,43+2,43+2,43+2,42+2,40+2,39+2,39+2,39+2,40+2,15+2
201362,/player/201362/jose-antonio-pardo-lucas/240002,24.0,2.0,2023-09-22,Pardo,José Antonio Pardo Lucas,"CB, CDM",63,63,130000.0,500.0,35,1988-04-21,188,78,111629.0,East Bengal,2149.0,Super League,1.0,SUB,4.0,,2023-08-05,2027.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,176000.0,,Long Ball Pass,48.0,46.0,52.0,44.0,61.0,73.0,30,25,61,57,25,36,36,68,59,48,50,47,52,57,52,82,73,52,82,62,76,63,41,58,46,57.0,61,61,60,6,7,14,14,10,,50+2,50+2,50+2,44,48,48,48,44,49+2,49+2,49+2,46+2,53+2,53+2,53+2,46+2,52+2,60+2,60+2,60+2,52+2,55+2,63,63,63,55+2,15+2
216154,/player/216154/jordan-elsey/240002,24.0,2.0,2023-09-22,J. Elsey,Jordan Elsey,CB,62,62,325000.0,600.0,29,1994-03-02,188,82,111629.0,East Bengal,2149.0,Super League,1.0,RCB,44.0,,2023-08-05,2028.0,195,Australia,,,,Right,3,2,1,Medium/High,Normal (185+),No,439000.0,,"Long Ball Pass, Slide Tackle",45.0,26.0,44.0,48.0,60.0,78.0,36,27,64,56,29,41,28,24,57,52,48,43,56,54,52,31,74,78,85,19,62,62,21,29,35,58.0,57,61,59,13,12,7,15,12,,42+2,42+2,42+2,41,40,40,40,41,42+2,42+2,42+2,44+2,49+2,49+2,49+2,44+2,55+2,59+2,59+2,59+2,55+2,56+2,62,62,62,56+2,17+2
217232,/player/217232/harmanjot-khabra/240002,24.0,2.0,2023-09-22,H. Khabra,Harmanjot Singh Khabra,"RB, CDM, CB",59,59,80000.0,500.0,34,1988-12-18,176,73,111629.0,East Bengal,2149.0,Super League,1.0,RCM,7.0,,2023-06-21,2024.0,159,India,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,108000.0,,"Slide Tackle, Bruiser",61.0,44.0,54.0,53.0,52.0,80.0,59,39,56,58,41,52,47,41,54,53,60,61,54,55,69,56,81,81,78,40,81,48,48,49,48,50.0,51,54,54,9,12,11,8,14,,52+2,52+2,52+2,52,51,51,51,52,52+2,52+2,52+2,55+2,54+2,54+2,54+2,55+2,57+2,57+2,57+2,57+2,57+2,57+2,58+1,58+1,58+1,57+2,16+2
253065,/player/253065/prabhsukhan-gill/240002,24.0,2.0,2023-09-22,P. Gill,Prabhushkan Singh Gill,GK,58,66,400000.0,500.0,22,2001-01-02,183,70,111629.0,East Bengal,2149.0,Super League,1.0,GK,13.0,,2023-07-12,2026.0,159,India,,,,Left,1,1,1,Medium/Medium,Lean (170-185),No,620000.0,,,,,,,,,13,7,15,34,9,13,12,12,30,20,29,29,29,40,49,44,57,22,52,10,28,12,7,33,12,28.0,19,14,13,59,58,58,58,60,29.0,22+2,22+2,22+2,20,22,22,22,20,23+2,23+2,23+2,22+2,24+2,24+2,24+2,22+2,21+2,24+2,24+2,24+2,21+2,20+2,23+2,23+2,23+2,20+2,57+2
259560,/player/259560/naorem-mahesh-singh/240002,24.0,2.0,2023-09-22,N. Singh,Naorem Mahesh Singh,"LM, RM",58,64,325000.0,500.0,24,1999-03-03,175,59,111629.0,East Bengal,2149.0,Super League,1.0,LM,29.0,,2022-08-03,2024.0,159,India,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,504000.0,,,74.0,55.0,53.0,56.0,31.0,58.0,49,57,45,56,39,54,49,47,53,53,74,74,74,52,76,55,68,60,56,53,60,39,55,56,52,45.0,21,34,24,8,7,6,7,7,,55+2,55+2,55+2,57,56,56,56,57,57+2,57+2,57+2,57+2,53+2,53+2,53+2,57+2,47+2,46+2,46+2,46+2,47+2,45+2,42+2,42+2,42+2,45+2,12+2
248264,/player/248264/nishu-kumar/240002,24.0,2.0,2023-09-22,N. Kumar,Nishu Kumar Tashni,"RB, LB",58,61,250000.0,500.0,25,1997-11-05,169,68,111629.0,East Bengal,2149.0,Super League,1.0,SUB,22.0,Kerala Blasters,,2024.0,159,India,,,,Left,3,2,1,Medium/Medium,Normal (170-),No,,,,80.0,45.0,46.0,52.0,51.0,61.0,50,43,48,49,50,49,47,36,41,46,79,81,77,51,82,55,62,73,56,40,59,55,52,41,30,43.0,47,54,53,9,10,9,7,15,,52+2,52+2,52+2,53,51,51,51,53,50+2,50+2,50+2,53+2,48+2,48+2,48+2,53+2,56+2,51+2,51+2,51+2,56+2,56+2,53+2,53+2,53+2,56+2,15+2
