player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
251644,/player/251644/odei-onaindia-zabala/240002,24.0,2.0,2023-09-22,Odei,Odei Onaindia Zabala,CB,68,68,575000.0,950.0,33,1989-12-07,180,71,113298.0,Goa,2149.0,Super League,1.0,RCB,16.0,,2023-07-12,2024.0,45,Spain,,,,Right,3,2,1,Low/Medium,Normal (170-185),No,776000.0,,Jockey,56.0,34.0,47.0,48.0,70.0,76.0,37,28,64,61,37,42,28,31,54,54,60,52,34,65,68,50,74,87,76,30,62,70,25,36,44,64.0,72,70,71,6,6,10,13,8,,47+2,47+2,47+2,44,45,45,45,44,46+2,46+2,46+2,49+2,53+2,53+2,53+2,49+2,63+2,65+2,65+2,65+2,63+2,65+2,68,68,68,65+2,15+2
204787,/player/204787/carl-mchugh/240002,24.0,2.0,2023-09-22,C. McHugh,Carl Gerard McHugh,"CDM, CB, CM",67,67,850000.0,800.0,30,1993-02-05,180,72,113298.0,Goa,2149.0,Super League,1.0,LDM,4.0,,2023-08-21,2025.0,25,Republic of Ireland,,,,Left,2,2,1,Low/High,Normal (170-185),No,1100000.0,,Long Ball Pass,49.0,52.0,60.0,63.0,65.0,80.0,57,52,65,65,42,58,60,59,63,63,61,40,72,60,77,54,84,86,79,49,72,65,51,54,60,72.0,67,65,63,7,12,14,7,15,,57+2,57+2,57+2,57,57,57,57,57,58+2,58+2,58+2,59+2,62+2,62+2,62+2,59+2,64+2,66+1,66+1,66+1,64+2,63+2,67,67,67,63+2,16+2
211017,/player/211017/victor-rodriguez-romero/240002,24.0,2.0,2023-09-22,Víctor Rodríguez,Víctor Rodríguez Romero,"LM, CAM, RM",66,66,525000.0,750.0,33,1989-07-23,167,65,113298.0,Goa,2149.0,Super League,1.0,SUB,32.0,,2023-07-20,2024.0,45,Spain,,,,Right,4,3,1,Medium/Medium,Normal (170-),Yes,709000.0,,Technical,69.0,65.0,66.0,68.0,41.0,56.0,66,65,37,66,49,68,67,70,64,67,72,67,73,57,77,68,49,45,64,67,52,33,65,67,61,64.0,44,45,41,12,11,15,11,9,,62+2,62+2,62+2,66,65,65,65,66,66,66,66,65+1,61+2,61+2,61+2,65+1,54+2,53+2,53+2,53+2,54+2,51+2,48+2,48+2,48+2,51+2,16+2
270741,/player/270741/noah-sadaoui/240002,24.0,2.0,2023-09-22,N. Sadaoui,Noah Wail Sadaoui,"LM, ST, RM",66,66,850000.0,800.0,29,1993-09-14,180,78,113298.0,Goa,2149.0,Super League,1.0,LM,7.0,,2022-07-19,2024.0,129,Morocco,,,,Right,4,4,1,High/Medium,Lean (170-185),No,1100000.0,,Rapid,84.0,62.0,57.0,67.0,31.0,65.0,54,63,50,59,50,67,60,52,56,65,81,87,83,57,67,58,71,70,67,65,50,24,68,60,53,52.0,28,30,33,15,7,9,12,8,,64+2,64+2,64+2,66,65,65,65,66,65+1,65+1,65+1,65+1,58+2,58+2,58+2,65+1,51+2,47+2,47+2,47+2,51+2,49+2,43+2,43+2,43+2,49+2,16+2
269221,/player/269221/carlos-martinez-rodriguez/240002,24.0,2.0,2023-09-22,Carlos Martínez,Carlos Martínez Rodríguez,"ST, CF",65,65,240000.0,550.0,37,1986-06-27,185,79,113298.0,Goa,2149.0,Super League,1.0,ST,9.0,,2023-07-07,2028.0,45,Spain,,,,Left,2,3,1,Medium/Medium,Normal (185+),No,324000.0,,,56.0,67.0,47.0,59.0,19.0,56.0,32,70,68,62,58,59,33,37,42,60,54,58,55,60,55,68,68,51,70,62,26,11,67,45,58,55.0,18,10,18,6,6,13,8,14,,65,65,65,58,61,61,61,58,58+2,58+2,58+2,55+2,51+2,51+2,51+2,55+2,38+2,37+2,37+2,37+2,38+2,36+2,35+2,35+2,35+2,36+2,14+2
223763,/player/223763/sandesh-jhingan/240002,24.0,2.0,2023-09-22,S. Jhingan,Sandesh Jhingan,CB,64,64,500000.0,550.0,29,1993-07-21,188,80,113298.0,Goa,2149.0,Super League,1.0,LCB,3.0,,2023-06-20,2026.0,159,India,,,,Right,3,2,1,Medium/High,Normal (185+),No,675000.0,,"Jockey, Bruiser, Aerial",62.0,33.0,42.0,41.0,62.0,78.0,33,26,63,55,25,31,30,30,44,46,62,62,57,54,41,52,86,76,81,33,70,61,27,33,34,60.0,64,62,61,13,11,7,11,12,,45+2,45+2,45+2,41,41,41,41,41,42+2,42+2,42+2,44+2,46+2,46+2,46+2,44+2,56+2,58+2,58+2,58+2,56+2,58+2,64,64,64,58+2,16+2
213281,/player/213281/paulo-retre/240002,24.0,2.0,2023-09-22,P. Retre,Paulo Retre,"CDM, CM",62,62,325000.0,500.0,30,1993-03-04,170,63,113298.0,Goa,2149.0,Super League,1.0,SUB,28.0,,2023-07-01,2025.0,195,Australia,,,,Right,3,2,1,Medium/Medium,Lean (170-),No,439000.0,,,47.0,49.0,58.0,61.0,57.0,72.0,57,50,50,63,45,60,42,37,61,62,49,46,63,57,65,48,60,81,72,45,62,58,58,58,54,59.0,55,59,57,7,10,14,13,8,,55+2,55+2,55+2,57,56,56,56,57,58+2,58+2,58+2,59+2,61+1,61+1,61+1,59+2,60+2,61+1,61+1,61+1,60+2,58+2,59+2,59+2,59+2,58+2,15+2
248298,/player/248298/brandon-fernandes/240002,24.0,2.0,2023-09-22,B. Fernandes,Brandon Fernandes,"LM, CAM",61,61,325000.0,500.0,28,1994-09-20,167,63,113298.0,Goa,2149.0,Super League,1.0,CAM,10.0,,2017-07-23,2024.0,159,India,,,,Right,3,3,1,Medium/Low,Lean (170-),No,439000.0,,"Pinged Pass, Technical",76.0,46.0,59.0,64.0,36.0,52.0,63,43,30,60,45,62,61,57,59,62,76,76,83,50,82,52,55,69,45,48,48,34,50,55,45,58.0,38,38,34,7,14,15,14,12,,51+2,51+2,51+2,60,56,56,56,60,58+2,58+2,58+2,60+1,56+2,56+2,56+2,60+1,53+2,49+2,49+2,49+2,53+2,50+2,42+2,42+2,42+2,50+2,16+2
248296,/player/248296/seriton-fernandes/240002,24.0,2.0,2023-09-22,S. Fernandes,Seriton Fernandes,"RB, RWB",60,60,210000.0,500.0,30,1992-10-26,174,70,113298.0,Goa,2149.0,Super League,1.0,RB,20.0,,2017-07-23,2024.0,159,India,,,,Right,3,2,1,Low/High,Normal (170-185),No,284000.0,,"Relentless, Long Throw",72.0,32.0,46.0,52.0,55.0,72.0,50,24,40,49,35,49,49,31,44,49,71,73,67,45,73,50,58,87,67,30,68,53,44,42,32,46.0,53,62,60,14,5,10,8,14,,45+2,45+2,45+2,48,46,46,46,48,47+2,47+2,47+2,51+2,49+2,49+2,49+2,51+2,58+2,55+2,55+2,55+2,58+2,58+2,56+2,56+2,56+2,58+2,14+2
231933,/player/231933/rowllin-borges/240002,24.0,2.0,2023-09-22,R. Borges,Rowllin Borges,"CDM, CM",58,58,140000.0,550.0,31,1992-06-05,182,72,113298.0,Goa,2149.0,Super League,1.0,SUB,18.0,Mumbai City,,2024.0,159,India,,,,Right,3,2,1,Medium/High,Lean (170-185),No,,,,56.0,41.0,50.0,51.0,57.0,72.0,41,38,53,55,36,50,33,49,54,51,59,54,49,51,53,48,65,77,74,41,60,59,42,50,40,55.0,57,58,54,10,7,6,5,6,,49+2,49+2,49+2,48,49,49,49,48,50+2,50+2,50+2,51+2,53+2,53+2,53+2,51+2,56+2,57+1,57+1,57+1,56+2,56+2,58,58,58,56+2,12+2
