player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
203902,/player/203902/adrian-luna/240002,24.0,2.0,2023-09-22,A. Luna,Adrián Nicolás Luna Retamar,"LM, CAM",68,68,1000000.0,1000.0,31,1992-04-12,169,60,113299.0,Kerala Blasters,2149.0,Super League,1.0,CAM,10.0,,2021-07-21,2024.0,60,Uruguay,,,,Right,3,4,1,Low/Low,Normal (170-),No,1400000.0,,"Dead Ball, Tiki Taka, Technical",81.0,63.0,66.0,70.0,40.0,44.0,64,60,56,67,61,68,70,73,64,68,82,80,81,61,84,67,57,65,32,66,45,45,64,66,64,64.0,38,36,31,12,13,15,7,13,,63+2,63+2,63+2,68,67,67,67,68,67+1,67+1,67+1,67+1,63+2,63+2,63+2,67+1,56+2,53+2,53+2,53+2,56+2,54+2,45+2,45+2,45+2,54+2,17+2
210380,/player/210380/dimitris-diamantakos/240002,24.0,2.0,2023-09-22,D. Diamantakos,Dimitrios Diamantakos,ST,68,68,1200000.0,2000.0,30,1993-03-05,183,83,113299.0,Kerala Blasters,2149.0,Super League,1.0,LS,9.0,,2022-08-25,2024.0,22,Greece,,,,Left,2,3,1,High/Low,Normal (170-185),No,1600000.0,,,77.0,69.0,58.0,66.0,29.0,73.0,62,70,70,62,66,64,55,54,49,63,80,75,75,66,78,70,82,75,71,67,74,19,67,54,70,64.0,25,26,29,10,11,10,14,9,,68,68,68,66,66,66,66,66,64+2,64+2,64+2,65+2,57+2,57+2,57+2,65+2,51+2,47+2,47+2,47+2,51+2,49+2,45+2,45+2,45+2,49+2,17+2
241672,/player/241672/marko-leskovic/240002,24.0,2.0,2023-09-22,M. Lešković,Marko Lešković,CB,68,68,775000.0,1000.0,32,1991-04-28,188,88,113299.0,Kerala Blasters,2149.0,Super League,1.0,LCB,55.0,,2021-09-15,2024.0,10,Croatia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1000000.0,,Slide Tackle,63.0,25.0,36.0,44.0,69.0,71.0,21,22,74,54,21,36,29,25,32,51,62,64,43,59,46,32,74,59,80,24,65,67,26,25,32,61.0,67,70,70,13,11,6,10,15,,44+2,44+2,44+2,40,41,41,41,40,41+2,41+2,41+2,42+2,44+2,44+2,44+2,42+2,56+2,58+2,58+2,58+2,56+2,60+2,68,68,68,60+2,17+2
264384,/player/264384/kwame-peprah/240002,24.0,2.0,2023-09-22,K. Peprah,Kwame Peprah,"ST, LM",66,74,1900000.0,1000.0,22,2000-12-16,180,75,113299.0,Kerala Blasters,2149.0,Super League,1.0,RS,14.0,,2023-08-20,2025.0,117,Ghana,,,,Left,4,3,1,High/Medium,Stocky (170-185),No,2900000.0,,,78.0,68.0,54.0,65.0,35.0,67.0,46,68,60,55,59,68,62,51,47,56,83,74,71,66,86,69,82,68,74,67,42,36,66,62,69,62.0,28,35,31,13,12,8,8,14,,66+2,66+2,66+2,64,65,65,65,64,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,51+2,48+2,48+2,48+2,51+2,49+2,46+2,46+2,46+2,49+2,18+2
228188,/player/228188/pritam-kotal/240002,24.0,2.0,2023-09-22,P. Kotal,Pritam Kotal,"CB, RB",63,63,400000.0,700.0,29,1993-08-09,179,74,113299.0,Kerala Blasters,2149.0,Super League,1.0,RCB,20.0,,2023-07-14,2026.0,159,India,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,540000.0,,Long Throw,72.0,40.0,47.0,54.0,61.0,77.0,46,37,59,52,36,49,42,40,48,52,70,74,69,55,72,45,72,90,72,37,74,63,50,43,48,57.0,59,63,62,10,7,11,12,8,,51+2,51+2,51+2,51,50,50,50,51,50+2,50+2,50+2,54+2,53+2,53+2,53+2,54+2,61+2,60+2,60+2,60+2,61+2,62+1,63,63,63,62+1,14+2
277758,/player/277758/milos-drincic/240002,24.0,2.0,2023-09-22,M. Drinčić,Miloš Drinčić,CB,62,71,825000.0,500.0,24,1999-02-14,195,85,113299.0,Kerala Blasters,2149.0,Super League,1.0,SUB,15.0,,2023-08-14,2024.0,15,Montenegro,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1300000.0,,,65.0,38.0,41.0,44.0,63.0,72.0,35,35,58,48,27,37,35,36,45,46,64,65,62,54,41,43,76,68,84,44,48,59,33,34,34,49.0,63,66,64,6,11,8,10,10,,46+2,46+2,46+2,44,44,44,44,44,44+2,44+2,44+2,45+2,47+2,47+2,47+2,45+2,56+2,56+2,56+2,56+2,56+2,58+2,62+2,62+2,62+2,58+2,14+2
221285,/player/221285/jaushua-sotirio/240002,24.0,2.0,2023-09-22,J. Sotirio,Jaushua Sotirio,"LM, ST, RM",62,62,425000.0,650.0,27,1995-10-11,175,71,113299.0,Kerala Blasters,2149.0,Super League,1.0,RES,24.0,,2023-07-01,2025.0,195,Australia,,,,Right,3,2,1,High/Medium,Normal (170-185),No,574000.0,#Speedster,Rapid,90.0,61.0,52.0,59.0,44.0,76.0,58,63,54,50,49,56,53,52,48,53,91,90,84,58,82,65,82,80,76,59,67,46,59,51,54,51.0,35,48,49,15,14,11,9,10,,62,62,62,61,60,60,60,61,58+2,58+2,58+2,61+1,54+2,54+2,54+2,61+1,57+2,52+2,52+2,52+2,57+2,57+2,53+2,53+2,53+2,57+2,17+2
253508,/player/253508/jeakson-singh/240002,24.0,2.0,2023-09-22,J. Singh,Jeakson Singh Thaunaojam,"CDM, CM",60,68,525000.0,500.0,22,2001-06-21,189,81,113299.0,Kerala Blasters,2149.0,Super League,1.0,CDM,5.0,,2018-09-22,2025.0,159,India,,,,Right,3,2,1,Low/High,Normal (185+),No,814000.0,,Intercept,63.0,38.0,50.0,56.0,59.0,72.0,43,31,59,59,31,55,37,40,57,60,61,64,65,48,48,51,70,75,75,39,63,57,45,44,41,47.0,57,61,58,5,9,6,14,6,,50+2,50+2,50+2,51,51,51,51,51,52+2,52+2,52+2,53+2,55+2,55+2,55+2,53+2,58+2,59+2,59+2,59+2,58+2,58+2,61+2,61+2,61+2,58+2,13+2
246778,/player/246778/daisuke-sakai/240002,24.0,2.0,2023-09-22,D. Sakai,坂井 大將,"LM, RM, CAM",59,60,275000.0,550.0,26,1997-01-18,167,64,113299.0,Kerala Blasters,2149.0,Super League,1.0,SUB,28.0,,2023-09-02,2026.0,163,Japan,,,,Right,4,3,1,High/Medium,Normal (170-),No,392000.0,,Technical,74.0,51.0,55.0,58.0,41.0,46.0,53,53,36,60,40,55,48,53,55,58,76,72,66,57,85,53,41,60,33,49,61,39,56,51,41,48.0,31,51,47,13,12,9,11,8,,53+2,53+2,53+2,58,57,57,57,58,57+2,57+2,57+2,58+2,55+2,55+2,55+2,58+2,53+2,50+2,50+2,50+2,53+2,52+2,45+2,45+2,45+2,52+2,16+2
228195,/player/228195/prabir-das/240002,24.0,2.0,2023-09-22,P. Das,Prabir Das,"RB, RM",59,59,200000.0,550.0,29,1993-12-20,171,67,113299.0,Kerala Blasters,2149.0,Super League,1.0,RM,33.0,,2023-06-01,2026.0,159,India,,,,Right,3,2,1,Medium/Low,Normal (170-185),No,270000.0,,Rapid,76.0,42.0,51.0,57.0,52.0,72.0,53,33,51,52,46,53,50,42,49,55,74,78,77,55,80,51,67,72,66,46,86,52,56,53,50,45.0,48,55,55,9,8,15,14,11,,52+2,52+2,52+2,55,53,53,53,55,54+2,54+2,54+2,56+2,53+2,53+2,53+2,56+2,57+2,56+2,56+2,56+2,57+2,57+2,57+2,57+2,57+2,57+2,16+2
