player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
230899,/player/230899/ademola-lookman/240002,24.0,2.0,2023-09-22,A. Lookman,Ademola Lookman,"ST, RM, RW",81,83,33000000.0,62000.0,25,1997-10-20,174,71,39.0,Atalanta,31.0,Serie A,1.0,LS,11.0,,2022-08-04,2026.0,133,Nigeria,,,,Right,4,4,1,Medium/Medium,Lean (170-185),Yes,58600000.0,"#Dribbler, #Acrobat","Dead Ball, Pinged Pass, Technical, Flair, First Touch",86.0,81.0,69.0,85.0,30.0,67.0,66,86,64,76,80,86,69,51,56,83,88,84,90,85,85,79,79,69,67,75,62,32,85,76,62,78.0,27,23,24,12,12,9,15,6,,81+2,81+2,81+2,82,82,82,82,82,81+2,81+2,81+2,79+2,71+2,71+2,71+2,79+2,58+2,54+2,54+2,54+2,58+2,54+2,47+2,47+2,47+2,54+2,19+2
240679,/player/240679/teun-koopmeiners/240002,24.0,2.0,2023-09-22,T. Koopmeiners,Teun Koopmeiners,"CM, CDM",80,83,27500000.0,53000.0,25,1998-02-28,183,77,39.0,Atalanta,31.0,Serie A,1.0,CAM,7.0,,2021-08-30,2025.0,34,Netherlands,105035.0,SUB,20.0,Left,2,3,2,Medium/Medium,Normal (170-185),No,48800000.0,,"Pinged Pass, Long Ball Pass, Relentless",68.0,75.0,80.0,76.0,76.0,77.0,76,70,73,84,69,75,69,77,83,81,64,72,66,83,71,79,78,85,75,80,73,79,75,77,85,79.0,77,75,75,14,8,14,12,10,,75+2,75+2,75+2,76,77,77,77,76,78+2,78+2,78+2,77+2,80+2,80+2,80+2,77+2,78+2,80+2,80+2,80+2,78+2,77+2,77+2,77+2,77+2,77+2,19+2
187598,/player/187598/rafael-toloi/240002,24.0,2.0,2023-09-22,Rafael Tolói,Rafael Tolói,CB,80,80,13500000.0,51000.0,32,1990-10-10,185,75,39.0,Atalanta,31.0,Serie A,1.0,SUB,2.0,,2015-08-26,2024.0,27,Italy,,,,Right,3,2,2,Medium/High,Normal (185+),No,23000000.0,,"Jockey, Bruiser",67.0,52.0,59.0,65.0,82.0,82.0,44,40,83,69,30,58,41,70,68,70,64,70,61,80,66,75,87,82,82,62,82,81,40,50,64,86.0,81,83,80,11,12,16,16,8,,62+2,62+2,62+2,58,60,60,60,58,60+2,60+2,60+2,61+2,66+2,66+2,66+2,61+2,72+2,76+2,76+2,76+2,72+2,75+2,80,80,80,75+2,19+2
208461,/player/208461/marten-de-roon/240002,24.0,2.0,2023-09-22,M. de Roon,Marten Elco de Roon,"CDM, CM, CB",80,80,14000000.0,51000.0,32,1991-03-29,185,76,39.0,Atalanta,31.0,Serie A,1.0,RCM,15.0,,2017-08-10,2024.0,34,Netherlands,105035.0,RCM,15.0,Right,3,3,3,Medium/High,Normal (185+),Yes,23800000.0,,Relentless,69.0,70.0,71.0,72.0,82.0,83.0,68,63,75,76,63,71,61,54,74,75,64,73,61,78,73,77,81,86,81,77,84,83,70,70,80,83.0,82,84,79,14,15,7,12,12,,72+3,72+3,72+3,71,72,72,72,71,72+3,72+3,72+3,72+3,75+3,75+3,75+3,72+3,77+3,79+1,79+1,79+1,77+3,78+2,81-1,81-1,81-1,78+2,20+3
223273,/player/223273/mario-pasalic/240002,24.0,2.0,2023-09-22,M. Pašalić,Mario Pašalić,"CAM, CF, CM",80,80,21000000.0,58000.0,28,1995-02-09,189,82,39.0,Atalanta,31.0,Serie A,1.0,SUB,8.0,,2020-09-01,2025.0,10,Croatia,1328.0,RW,15.0,Right,4,4,2,Medium/Medium,Normal (185+),No,35700000.0,,"Long Ball Pass, Trivela",73.0,78.0,76.0,80.0,67.0,77.0,68,80,65,81,73,82,69,59,79,86,72,74,74,74,54,78,77,83,75,76,76,72,84,77,61,77.0,61,72,64,11,13,13,13,14,,78+2,78+2,78+2,79,80,80,80,79,80,80,80,79+1,80,80,80,79+1,74+2,75+2,75+2,75+2,74+2,72+2,71+2,71+2,71+2,72+2,20+2
252154,/player/252154/marco-carnesecchi/240002,24.0,2.0,2023-09-22,M. Carnesecchi,Marco Carnesecchi,GK,79,87,33500000.0,32000.0,23,2000-07-01,191,83,39.0,Atalanta,31.0,Serie A,1.0,SUB,29.0,,2019-07-01,2026.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,63700000.0,,,,,,,,,11,8,20,36,7,14,18,12,31,21,24,39,40,66,25,54,57,28,55,10,27,13,9,54,17,40.0,16,15,12,80,76,72,79,84,30.0,26+2,26+2,26+2,25,27,27,27,25,29+2,29+2,29+2,26+2,31+2,31+2,31+2,26+2,24+2,28+2,28+2,28+2,24+2,23+2,26+2,26+2,26+2,23+2,78+2
214979,/player/214979/juan-musso/240002,24.0,2.0,2023-09-22,J. Musso,Juan Agustín Musso,GK,79,80,13500000.0,41000.0,29,1994-05-06,191,93,39.0,Atalanta,31.0,Serie A,1.0,GK,1.0,,2021-07-02,2025.0,52,Argentina,1369.0,SUB,12.0,Right,3,1,1,Medium/Medium,Normal (185+),No,24000000.0,,Footwork,,,,,,,20,18,15,31,15,16,16,12,24,20,46,42,32,70,39,55,68,35,70,14,27,18,19,48,25,67.0,12,14,16,79,77,73,81,82,44.0,31+2,31+2,31+2,29,31,31,31,29,30+2,30+2,30+2,30+2,30+2,30+2,30+2,30+2,27+2,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,27+2,78+2
199110,/player/199110/luis-muriel/240002,24.0,2.0,2023-09-22,L. Muriel,Luis Fernando Muriel Fruto,ST,79,79,14000000.0,57000.0,32,1991-04-16,179,79,39.0,Atalanta,31.0,Serie A,1.0,SUB,9.0,,2019-07-01,2024.0,56,Colombia,,,,Right,4,4,2,High/Medium,Normal (170-185),Yes,23800000.0,#Dribbler,"Pinged Pass, Rapid, Flair, Trivela",88.0,80.0,73.0,85.0,27.0,68.0,70,80,69,78,78,87,79,78,58,83,87,88,85,78,85,80,83,71,72,80,50,16,78,76,89,82.0,26,24,22,8,10,10,14,6,,79,79,79,81-2,81-2,81-2,81-2,81-2,80-1,80-1,80-1,79,70+2,70+2,70+2,79,57+2,52+2,52+2,52+2,57+2,52+2,45+2,45+2,45+2,52+2,17+2
216150,/player/216150/davide-zappacosta/240002,24.0,2.0,2023-09-22,D. Zappacosta,Davide Zappacosta,"LWB, LM, RM",79,79,12500000.0,48000.0,31,1992-06-11,182,75,39.0,Atalanta,31.0,Serie A,1.0,RM,77.0,,2021-08-24,2025.0,27,Italy,,,,Right,3,3,2,High/High,Lean (170-185),Yes,21300000.0,,Whipped Cross,78.0,67.0,73.0,74.0,75.0,72.0,81,60,69,75,69,76,76,59,68,74,77,78,71,73,68,78,76,81,66,74,75,76,72,68,59,73.0,74,77,78,11,9,8,6,11,,71+2,71+2,71+2,73,72,72,72,73,72+2,72+2,72+2,74+2,73+2,73+2,73+2,74+2,77+2,74+2,74+2,74+2,77+2,77+2,74+2,74+2,74+2,77+2,16+2
226710,/player/226710/gianluca-scamacca/240002,24.0,2.0,2023-09-22,G. Scamacca,Gianluca Scamacca,ST,78,83,21500000.0,46000.0,24,1999-01-01,195,85,39.0,Atalanta,31.0,Serie A,1.0,RS,90.0,,2023-08-07,2027.0,27,Italy,,,,Right,3,4,2,Medium/Medium,Normal (185+),No,38200000.0,#Aerial threat,"Power Header, Flair, Trivela",68.0,78.0,66.0,74.0,36.0,74.0,44,80,82,74,79,74,69,68,68,79,61,74,61,76,59,81,87,65,85,73,55,26,81,70,68,78.0,40,28,20,12,10,11,7,12,,78+2,78+2,78+2,72,76,76,76,72,74+2,74+2,74+2,71+2,69+2,69+2,69+2,71+2,52+2,55+2,55+2,55+2,52+2,50+2,51+2,51+2,51+2,50+2,18+2
