player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215689,/player/215689/andrea-petagna/240002,24.0,2.0,2023-09-22,A. Petagna,Andrea Petagna,ST,77,77,11000000.0,53000.0,28,1995-06-30,190,85,1842.0,Cagliari,31.0,Serie A,1.0,RS,32.0,Monza,,2024.0,27,Italy,,,,Left,3,3,2,Medium/Medium,Stocky (185+),No,,#Strength,Power Header,58.0,76.0,68.0,75.0,34.0,79.0,60,80,78,75,66,76,59,45,64,80,52,62,55,73,69,80,85,65,93,63,62,22,80,74,80,74.0,40,27,20,3,3,3,5,3,,77,77,77,72,75,75,75,72,73+2,73+2,73+2,71+2,68+2,68+2,68+2,71+2,52+2,55+2,55+2,55+2,52+2,49+2,51+2,51+2,51+2,49+2,11+2
230965,/player/230965/nahitan-nandez/240002,24.0,2.0,2023-09-22,N. Nández,Nahitan Michel Nández Acosta,"CM, RM",75,76,6500000.0,23000.0,27,1995-12-28,172,70,1842.0,Cagliari,31.0,Serie A,1.0,RM,8.0,,2019-08-09,2024.0,60,Uruguay,,,,Right,2,3,2,High/High,Normal (170-185),No,12200000.0,"#Engine, #Acrobat","Pinged Pass, Slide Tackle, Rapid, Relentless, Trivela",85.0,63.0,71.0,79.0,69.0,80.0,70,60,58,75,64,78,73,55,71,75,88,82,88,83,87,68,80,91,72,62,87,76,74,69,58,72.0,63,72,72,8,8,14,5,15,,71+2,71+2,71+2,75,74,74,74,75,74+2,74+2,74+2,76,75+1,75+1,75+1,76,76,75+1,75+1,75+1,76,75+1,72+2,72+2,72+2,75+1,17+2
211302,/player/211302/gianluca-lapadula/240002,24.0,2.0,2023-09-22,G. Lapadula,Gianluca Lapadula Vargas,ST,75,75,3600000.0,25000.0,33,1990-02-07,178,71,1842.0,Cagliari,31.0,Serie A,1.0,RES,9.0,,2022-07-25,2025.0,59,Peru,,,,Left,4,3,2,High/Medium,Normal (170-185),No,6500000.0,,"Slide Tackle, Aerial",74.0,73.0,60.0,74.0,39.0,73.0,50,76,74,69,77,72,62,67,47,73,72,76,81,78,81,75,79,72,68,63,84,29,80,63,73,71.0,35,39,35,9,15,15,11,12,,75,75,75,71,73,73,73,71,71+2,71+2,71+2,69+2,64+2,64+2,64+2,69+2,55+2,55+2,55+2,55+2,55+2,54+2,53+2,53+2,53+2,54+2,19+2
229150,/player/229150/pantelis-hatzidiakos/240002,24.0,2.0,2023-09-22,P. Hatzidiakos,Pantelis Hatzidiakos,"CB, RB",74,76,4600000.0,20000.0,26,1997-01-18,185,75,1842.0,Cagliari,31.0,Serie A,1.0,SUB,17.0,,2023-09-01,2027.0,22,Greece,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,8600000.0,,Long Throw,73.0,53.0,65.0,68.0,73.0,75.0,60,45,73,74,49,65,39,38,72,71,72,74,69,75,67,74,82,76,74,57,73,73,44,64,43,72.0,73,74,72,9,14,11,11,9,,63+2,63+2,63+2,64,64,64,64,64,65+2,65+2,65+2,66+2,68+2,68+2,68+2,66+2,72+2,73+2,73+2,73+2,72+2,72+2,74+2,74+2,74+2,72+2,18+2
172786,/player/172786/marco-mancosu/240002,24.0,2.0,2023-09-22,M. Mancosu,Marco Mancosu,"CAM, CF",73,73,1400000.0,20000.0,34,1988-08-22,177,75,1842.0,Cagliari,31.0,Serie A,1.0,RES,5.0,,2022-08-18,2024.0,27,Italy,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,2500000.0,,Flair,60.0,73.0,75.0,73.0,42.0,62.0,73,69,52,75,73,73,76,74,73,76,66,55,66,67,72,80,61,64,59,75,66,44,73,77,77,72.0,32,47,43,13,16,13,6,7,,69+2,69+2,69+2,71,72,72,72,71,73,73,73,71+2,71+2,71+2,71+2,71+2,59+2,60+2,60+2,60+2,59+2,56+2,51+2,51+2,51+2,56+2,17+2
226592,/player/226592/jakub-jankto/240002,24.0,2.0,2023-09-22,J. Jankto,Jakub Jankto,"LM, CM",73,73,3200000.0,20000.0,27,1996-01-19,184,74,1842.0,Cagliari,31.0,Serie A,1.0,LM,21.0,,2023-07-15,2025.0,12,Czech Republic,,,,Left,3,3,2,High/High,Lean (170-185),No,5800000.0,,Rapid,74.0,70.0,71.0,73.0,66.0,65.0,73,67,65,72,66,73,69,55,70,74,75,73,76,72,71,76,70,72,57,72,73,67,74,71,58,73.0,64,68,64,7,16,9,14,15,,71+2,71+2,71+2,73,72,72,72,73,72+1,72+1,72+1,72+1,72+1,72+1,72+1,72+1,70+2,69+2,69+2,69+2,70+2,69+2,67+2,67+2,67+2,69+2,19+2
240100,/player/240100/tommaso-augello/240002,24.0,2.0,2023-09-22,T. Augello,Tommaso Augello,"LB, LWB, LM",73,73,2800000.0,19000.0,28,1994-08-30,180,70,1842.0,Cagliari,31.0,Serie A,1.0,LB,27.0,,2023-07-18,2025.0,27,Italy,,,,Left,2,3,1,High/Medium,Normal (170-185),No,5000000.0,,"Whipped Cross, Anticipate",76.0,52.0,67.0,71.0,68.0,62.0,80,46,59,68,58,70,73,50,62,72,73,78,76,68,77,62,65,79,53,50,62,70,66,61,48,68.0,67,70,68,10,15,10,5,11,,62+2,62+2,62+2,68,65,65,65,68,66+2,66+2,66+2,69+2,67+2,67+2,67+2,69+2,72+1,68+2,68+2,68+2,72+1,71+2,66+2,66+2,66+2,71+2,17+2
237586,/player/237586/alberto-dossena/240002,24.0,2.0,2023-09-22,A. Dossena,Alberto Dossena,CB,72,78,3400000.0,14000.0,24,1998-10-13,188,77,1842.0,Cagliari,31.0,Serie A,1.0,RCB,4.0,,2022-08-12,2027.0,27,Italy,,,,Right,3,2,1,Low/High,Lean (185+),No,6800000.0,,"Jockey, Block, Bruiser, Aerial",53.0,32.0,47.0,53.0,73.0,76.0,35,23,69,58,32,48,33,32,56,58,55,52,51,71,47,50,76,68,82,31,72,74,32,39,40,65.0,75,73,72,11,8,13,14,8,,48+2,48+2,48+2,46,47,47,47,46,48+2,48+2,48+2,49+2,54+2,54+2,54+2,49+2,62+2,66+2,66+2,66+2,62+2,65+2,72+2,72+2,72+2,65+2,17+2
270597,/player/270597/antoine-makoumbou/240002,24.0,2.0,2023-09-22,A. Makoumbou,Antoine Makoumbou,"CDM, CM",72,78,3400000.0,14000.0,24,1998-07-18,187,80,1842.0,Cagliari,31.0,Serie A,1.0,RDM,29.0,,2022-07-15,2026.0,107,Congo,,,,Right,3,3,1,Medium/High,Lean (185+),No,6800000.0,,Slide Tackle,75.0,55.0,65.0,75.0,68.0,77.0,57,52,60,72,45,76,63,48,67,75,76,75,79,68,72,70,80,84,76,51,72,71,52,65,52,74.0,65,70,68,8,15,7,6,14,,64+2,64+2,64+2,67,66,66,66,67,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,70+2,70+2,70+2,70+2,70+2,17+2
224302,/player/224302/mateusz-wieteska/240002,24.0,2.0,2023-09-22,M. Wieteska,Mateusz Wieteska,CB,72,75,2700000.0,16000.0,26,1997-02-11,187,77,1842.0,Cagliari,31.0,Serie A,1.0,LCB,23.0,,2023-08-29,2027.0,37,Poland,1353.0,SUB,3.0,Right,3,2,1,Medium/Medium,Lean (185+),No,5100000.0,,"Block, Aerial",57.0,37.0,48.0,56.0,73.0,76.0,33,36,74,63,34,47,33,30,57,61,50,62,64,69,55,46,77,67,79,31,78,72,41,40,42,72.0,73,73,70,15,12,13,16,9,,53+2,53+2,53+2,50,51,51,51,50,52+2,52+2,52+2,52+2,56+2,56+2,56+2,52+2,62+2,67+2,67+2,67+2,62+2,65+2,72+2,72+2,72+2,65+2,19+2
231073,/player/231073/boris-radunovic/240002,24.0,2.0,2023-09-22,B. Radunović,Boris Radunović,GK,72,75,2300000.0,13000.0,27,1996-05-26,194,84,1842.0,Cagliari,31.0,Serie A,1.0,GK,1.0,,2021-07-14,2025.0,51,Serbia,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,4300000.0,,"Far Throw, Footwork",,,,,,,15,19,15,32,13,17,15,15,34,26,42,41,35,67,41,52,67,32,73,15,29,22,13,35,22,54.0,20,13,14,74,68,69,69,75,42.0,31+2,31+2,31+2,28,29,29,29,28,29+2,29+2,29+2,29+2,30+2,30+2,30+2,29+2,27+2,30+2,30+2,30+2,27+2,27+2,29+2,29+2,29+2,27+2,71+2
229636,/player/229636/gaston-pereiro/240002,24.0,2.0,2023-09-22,G. Pereiro,Gastón Rodrigo Pereiro López,"CAM, CF, ST",72,72,2400000.0,18000.0,28,1995-06-11,188,79,1842.0,Cagliari,31.0,Serie A,1.0,RES,20.0,,2020-01-31,2025.0,60,Uruguay,,,,Left,3,3,2,Low/Low,Normal (185+),Yes,4300000.0,,"Finesse Shot, Technical, Flair, Trivela",73.0,72.0,71.0,75.0,40.0,68.0,69,68,72,72,69,77,76,72,68,79,69,76,72,62,56,81,80,65,74,75,54,36,70,71,72,71.0,38,36,32,7,15,10,10,12,,72,72,72,72,73-1,73-1,73-1,72,72,72,72,72,68+2,68+2,68+2,72,57+2,56+2,56+2,56+2,57+2,54+2,51+2,51+2,51+2,54+2,17+2
239964,/player/239964/eldor-shomurodov/240002,24.0,2.0,2023-09-22,E. Shomurodov,Eldor Shomurodov,"ST, CF",72,72,2400000.0,42000.0,28,1995-06-29,190,76,1842.0,Cagliari,31.0,Serie A,1.0,SUB,61.0,Roma,,2024.0,191,Uzbekistan,,,,Right,4,3,1,Medium/Medium,Lean (185+),No,,,"Chip Shot, Rapid",78.0,71.0,63.0,73.0,39.0,70.0,58,72,71,67,75,75,68,53,58,74,82,74,73,63,70,73,87,67,75,67,59,39,73,68,65,65.0,37,34,31,8,11,5,7,5,,72,72,72,71,72,72,72,71,70+2,70+2,70+2,70+2,65+2,65+2,65+2,70+2,55+2,54+2,54+2,54+2,55+2,53+2,51+2,51+2,51+2,53+2,14+2
220048,/player/220048/simone-scuffet/240002,24.0,2.0,2023-09-22,S. Scuffet,Simone Scuffet,GK,71,73,1700000.0,12000.0,27,1996-05-31,193,77,1842.0,Cagliari,31.0,Serie A,1.0,SUB,22.0,,2023-07-14,2026.0,27,Italy,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3200000.0,,,,,,,,,20,20,18,34,20,13,20,22,36,21,50,50,60,68,45,47,67,40,65,16,35,20,12,35,18,61.0,15,24,18,71,68,63,71,75,50.0,30+2,30+2,30+2,29,29,29,29,29,30+2,30+2,30+2,30+2,31+2,31+2,31+2,30+2,30+2,31+2,31+2,31+2,30+2,30+2,30+2,30+2,30+2,30+2,70+2
173160,/player/173160/nicolas-viola/240002,24.0,2.0,2023-09-22,N. Viola,Benito Nicolas Viola,"CM, CDM, CAM",71,71,1200000.0,16000.0,33,1989-10-12,180,77,1842.0,Cagliari,31.0,Serie A,1.0,RES,10.0,,2022-07-02,2024.0,27,Italy,,,,Left,2,3,1,Medium/Medium,Normal (170-185),No,2200000.0,,,57.0,69.0,76.0,73.0,59.0,65.0,76,63,61,76,63,73,82,78,74,76,65,50,68,63,69,74,69,58,66,74,68,64,65,75,84,71.0,56,59,58,14,6,9,11,11,,67+2,67+2,67+2,70,69,69,69,70,71,71,71,70+1,71,71,71,70+1,65+2,67+2,67+2,67+2,65+2,63+2,63+2,63+2,63+2,63+2,16+2
