player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231969,/player/231969/ruslan-malinovskyi/240002,24.0,2.0,2023-09-22,R. Malinovskyi,Ruslan Malinovskyi,"CF, CAM",78,78,14000000.0,43000.0,30,1993-05-04,181,79,110556.0,Genoa,31.0,Serie A,1.0,RF,17.0,Olympique de Marseille,,2024.0,49,Ukraine,1366.0,RCM,8.0,Left,4,4,3,Medium/Medium,Stocky (170-185),No,,#FK Specialist,"Power Shot, Long Ball Pass, Technical",74.0,79.0,80.0,78.0,64.0,80.0,79,74,74,80,70,79,85,86,78,80,74,74,69,77,73,88,86,80,81,85,78,66,76,80,84,75.0,55,72,50,6,6,12,15,13,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,72+3,73+3,73+3,73+3,72+3,70+3,70+3,70+3,70+3,70+3,17+3
240938,/player/240938/junior-messias/240002,24.0,2.0,2023-09-22,Junior Messias,Junior Walter Messias,"RM, RW",78,78,11000000.0,59000.0,32,1991-05-13,179,70,110556.0,Genoa,31.0,Serie A,1.0,SUB,10.0,Milan,,2024.0,54,Brazil,,,,Left,3,3,1,High/Medium,Lean (170-185),No,,,Rapid,82.0,73.0,73.0,81.0,49.0,60.0,69,75,61,77,68,84,74,71,71,81,80,84,81,72,74,72,72,66,58,74,55,46,73,74,62,65.0,45,51,46,8,8,15,9,12,,74+2,74+2,74+2,78,77,77,77,78,77+1,77+1,77+1,77+1,73+2,73+2,73+2,77+1,64+2,62+2,62+2,62+2,64+2,62+2,56+2,56+2,56+2,62+2,16+2
241850,/player/241850/mateo-retegui/240002,24.0,2.0,2023-09-22,M. Retegui,Mateo Retegui,ST,77,84,21500000.0,25000.0,24,1999-04-29,186,86,110556.0,Genoa,31.0,Serie A,1.0,ST,19.0,,2023-07-26,2028.0,27,Italy,1343.0,SUB,9.0,Right,3,3,1,High/Low,Normal (185+),No,43000000.0,,First Touch,74.0,77.0,64.0,70.0,36.0,77.0,51,82,78,70,68,69,62,52,67,76,69,78,62,75,58,78,80,74,85,70,62,32,81,67,66,75.0,34,29,25,7,9,9,13,9,,77+2,77+2,77+2,72,75,75,75,72,72+2,72+2,72+2,71+2,68+2,68+2,68+2,71+2,54+2,55+2,55+2,55+2,54+2,52+2,51+2,51+2,51+2,52+2,17+2
236295,/player/236295/aaron-martin-caricol/240002,24.0,2.0,2023-09-22,Aarón,Aarón Martín Caricol,"LB, LM, LWB",75,78,7000000.0,21000.0,26,1997-04-22,178,70,110556.0,Genoa,31.0,Serie A,1.0,SUB,3.0,,2023-07-03,2026.0,45,Spain,,,,Left,3,3,1,Medium/Medium,Normal (170-185),Yes,13100000.0,,"Dead Ball, Whipped Cross",61.0,54.0,73.0,76.0,73.0,67.0,78,43,63,75,45,75,82,85,66,77,69,54,78,75,76,69,70,77,64,65,59,74,65,65,46,70.0,74,74,72,11,14,10,12,12,,64+2,64+2,64+2,69,67,67,67,69,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,74+2,72+2,72+2,72+2,74+2,73+2,70+2,70+2,70+2,73+2,19+2
222475,/player/222475/morten-thorsby/240002,24.0,2.0,2023-09-22,M. Thorsby,Morten Thorsby,"CM, LM",74,75,4800000.0,28000.0,27,1996-05-05,189,79,110556.0,Genoa,31.0,Serie A,1.0,SUB,2.0,FC Union Berlin,,2024.0,36,Norway,1352.0,RES,97.0,Right,3,2,2,High/High,Normal (185+),No,,#Engine,"Power Header, Block, Slide Tackle",64.0,63.0,70.0,72.0,75.0,81.0,68,62,85,75,55,71,56,48,73,76,69,60,65,78,66,69,88,86,77,60,83,75,73,70,49,74.0,73,78,66,13,14,10,7,13,,71+2,71+2,71+2,70,71,71,71,70,71+2,71+2,71+2,72+2,74+1,74+1,74+1,72+2,73+2,76-1,76-1,76-1,73+2,74+1,76-1,76-1,76-1,74+1,19+2
238004,/player/238004/albert-gudhmundsson/240002,24.0,2.0,2023-09-22,A. Guðmundsson,Albert Guðmundsson,"ST, LM, RM",74,75,5000000.0,24000.0,26,1997-06-15,178,78,110556.0,Genoa,31.0,Serie A,1.0,LF,11.0,,2022-01-31,2024.0,24,Iceland,1341.0,SUB,8.0,Right,4,3,1,High/Low,Lean (170-185),No,9400000.0,,"Technical, Flair, Trivela",84.0,73.0,68.0,78.0,36.0,71.0,63,74,69,72,69,79,69,63,63,77,82,86,82,69,77,74,82,79,72,73,55,29,69,70,70,75.0,25,39,43,5,10,7,6,6,,74+1,74+1,74+1,74,74,74,74,74,74+1,74+1,74+1,74+1,68+2,68+2,68+2,74+1,59+2,55+2,55+2,55+2,59+2,57+2,50+2,50+2,50+2,57+2,14+2
231108,/player/231108/silvan-hefti/240002,24.0,2.0,2023-09-22,S. Hefti,Silvan Hefti,"RB, RWB, RM",73,78,4200000.0,17000.0,25,1997-10-25,183,80,110556.0,Genoa,31.0,Serie A,1.0,SUB,36.0,,2022-01-03,2025.0,47,Switzerland,,,,Right,3,2,1,High/High,Normal (170-185),No,7900000.0,#Engine,,78.0,49.0,63.0,65.0,67.0,80.0,66,38,66,68,53,63,56,43,64,66,75,81,71,66,65,70,81,91,78,52,72,65,52,59,47,65.0,67,68,71,11,12,12,6,8,,60+2,60+2,60+2,62,61,61,61,62,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,71+2,69+2,69+2,69+2,71+2,71+2,69+2,69+2,69+2,71+2,16+2
189712,/player/189712/kevin-strootman/240002,24.0,2.0,2023-09-22,K. Strootman,Kevin Strootman,"CM, CDM",73,73,1900000.0,20000.0,33,1990-02-13,186,78,110556.0,Genoa,31.0,Serie A,1.0,RCM,8.0,,2023-07-01,2024.0,34,Netherlands,,,,Left,3,2,3,Low/Medium,Normal (185+),Yes,3400000.0,,,45.0,67.0,72.0,70.0,71.0,76.0,68,58,68,76,60,67,71,69,71,78,42,48,57,67,66,77,68,75,76,75,80,75,69,70,72,74.0,69,75,64,7,12,11,6,7,,67+3,67+3,67+3,66,68,68,68,66,69+3,69+3,69+3,67+3,73,73,73,67+3,69+3,73,73,73,69+3,68+3,72+1,72+1,72+1,68+3,15+3
242633,/player/242633/morten-frendrup/240002,24.0,2.0,2023-09-22,M. Frendrup,Morten Wetche Frendrup,"CDM, CM",72,81,5000000.0,14000.0,22,2001-04-07,178,70,110556.0,Genoa,31.0,Serie A,1.0,LCM,32.0,,2022-01-30,2026.0,13,Denmark,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,10000000.0,,"Jockey, Intercept",80.0,56.0,64.0,72.0,67.0,77.0,46,53,57,73,35,72,54,40,71,73,82,79,73,68,77,64,78,88,71,64,80,65,64,68,39,68.0,69,71,67,10,12,10,12,5,,65+2,65+2,65+2,68,68,68,68,68,70+2,70+2,70+2,69+2,71+2,71+2,71+2,69+2,69+2,71+2,71+2,71+2,69+2,69+2,69+2,69+2,69+2,69+2,16+2
243311,/player/243311/josep-martinez-riera/240002,24.0,2.0,2023-09-22,Josep Martínez,Josep Martínez Riera,GK,72,76,2600000.0,12000.0,25,1998-05-27,191,78,110556.0,Genoa,31.0,Serie A,1.0,GK,1.0,,2023-07-01,2025.0,45,Spain,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,4900000.0,,,,,,,,,12,6,11,27,6,8,11,12,24,11,24,30,32,65,22,50,53,42,58,7,24,11,11,52,18,42.0,15,13,15,74,70,66,70,74,26.0,23+2,23+2,23+2,20,23,23,23,20,24+2,24+2,24+2,23+2,27+2,27+2,27+2,23+2,23+2,25+2,25+2,25+2,23+2,22+2,23+2,23+2,23+2,22+2,71+2
