player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215363,/player/215363/lorenzo-montipo/240002,24.0,2.0,2023-09-22,L. Montipò,Lorenzo Montipò,GK,77,80,10500000.0,21000.0,27,1996-02-20,191,82,206.0,Hellas Verona,31.0,Serie A,1.0,GK,1.0,,2022-07-01,2025.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,19700000.0,,Footwork,,,,,,,15,20,17,21,18,19,17,15,23,20,40,45,46,74,49,52,60,35,55,14,31,18,15,40,29,38.0,10,19,11,75,73,69,75,83,42.0,30+2,30+2,30+2,27,29,29,29,27,28+2,28+2,28+2,28+2,28+2,28+2,28+2,28+2,26+2,26+2,26+2,26+2,26+2,25+2,26+2,26+2,26+2,25+2,76+2
230065,/player/230065/suat-serdar/240002,24.0,2.0,2023-09-22,S. Serdar,Suat Serdar,CM,76,79,9500000.0,16000.0,26,1997-04-11,184,75,206.0,Hellas Verona,31.0,Serie A,1.0,SUB,25.0,Hertha BSC,,2024.0,21,Germany,,,,Right,3,4,2,High/Medium,Normal (170-185),Yes,,,"Finesse Shot, Slide Tackle, Technical",68.0,71.0,71.0,79.0,73.0,77.0,62,70,70,74,65,80,78,52,73,80,69,67,73,77,76,75,76,81,74,74,82,76,70,75,53,75.0,72,74,73,15,8,5,13,10,,73+2,73+2,73+2,73,75,75,75,73,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,74+2,76+2,76+2,76+2,74+2,73+2,74+2,74+2,74+2,73+2,18+2
195272,/player/195272/marco-davide-faraoni/240002,24.0,2.0,2023-09-22,M. Faraoni,Marco Davide Faraoni,"RWB, RM, RB",76,76,5500000.0,24000.0,31,1991-10-25,180,71,206.0,Hellas Verona,31.0,Serie A,1.0,SUB,5.0,,2019-07-01,2025.0,27,Italy,,,,Right,4,3,1,High/High,Normal (170-185),No,9900000.0,,Long Throw,76.0,72.0,74.0,75.0,70.0,72.0,78,66,69,76,81,74,77,66,72,76,77,76,71,76,79,79,77,74,68,75,77,72,74,67,66,73.0,68,72,68,11,8,13,12,15,,73+2,73+2,73+2,74,74,74,74,74,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,74+2,73+2,73+2,73+2,74+2,73+2,71+2,71+2,71+2,73+2,19+2
201046,/player/201046/riccardo-saponara/240002,24.0,2.0,2023-09-22,R. Saponara,Riccardo Saponara,"LM, LW, CF",76,76,6000000.0,26000.0,31,1991-12-21,184,73,206.0,Hellas Verona,31.0,Serie A,1.0,SUB,20.0,,2023-07-21,2024.0,27,Italy,,,,Right,4,4,2,Medium/Medium,Normal (170-185),No,10800000.0,,"Pinged Pass, Technical, Trivela",68.0,71.0,78.0,79.0,41.0,59.0,73,66,58,80,73,80,82,70,72,82,69,67,71,74,74,75,66,62,60,78,52,30,76,84,68,77.0,54,34,30,5,3,5,5,3,,72+2,72+2,72+2,76,76,76,76,76,78-2,78-2,78-2,75+1,73+2,73+2,73+2,75+1,59+2,59+2,59+2,59+2,59+2,55+2,50+2,50+2,50+2,55+2,12+2
212127,/player/212127/darko-lazovic/240002,24.0,2.0,2023-09-22,D. Lazović,Darko Lazović,"LM, CF",76,76,6000000.0,26000.0,32,1990-09-15,181,66,206.0,Hellas Verona,31.0,Serie A,1.0,SUB,8.0,,2019-08-06,2024.0,51,Serbia,,,,Right,4,3,1,High/Medium,Lean (170-185),No,10800000.0,,"Whipped Cross, Rapid, Trivela",77.0,72.0,73.0,77.0,64.0,62.0,76,69,59,75,71,77,74,76,69,75,80,75,84,71,83,79,67,80,51,74,68,65,74,69,55,70.0,63,67,65,14,10,11,11,9,,71+2,71+2,71+2,75,74,74,74,75,74+2,74+2,74+2,75+1,72+2,72+2,72+2,75+1,72+2,69+2,69+2,69+2,72+2,70+2,65+2,65+2,65+2,70+2,18+2
260697,/player/260697/isak-hien/240002,24.0,2.0,2023-09-22,I. Hien,Isak Hien,CB,75,83,11500000.0,20000.0,24,1999-01-13,191,90,206.0,Hellas Verona,31.0,Serie A,1.0,CB,6.0,,2022-08-27,2026.0,46,Sweden,1363.0,RCB,4.0,Right,3,2,1,Low/High,Normal (185+),No,23000000.0,#Strength,"Bruiser, Aerial",73.0,37.0,49.0,56.0,75.0,78.0,28,30,71,62,33,54,29,25,58,61,67,78,49,73,47,49,85,54,89,39,80,76,39,49,45,58.0,77,76,70,12,5,10,11,13,,54+2,54+2,54+2,52,54,54,54,52,54+2,54+2,54+2,54+2,58+2,58+2,58+2,54+2,63+2,69+2,69+2,69+2,63+2,66+2,75+2,75+2,75+2,66+2,17+2
255561,/player/255561/josh-doig/240002,24.0,2.0,2023-09-22,J. Doig,Josh Thomas Doig,"LWB, LM, LB",75,82,11000000.0,16000.0,21,2002-05-18,189,71,206.0,Hellas Verona,31.0,Serie A,1.0,LM,3.0,,2022-07-13,2026.0,42,Scotland,,,,Left,4,3,1,High/High,Lean (185+),No,22000000.0,,,82.0,63.0,68.0,71.0,68.0,75.0,75,62,67,72,58,74,66,45,63,71,78,85,71,63,71,66,80,84,72,66,71,67,69,63,37,60.0,62,72,72,15,6,8,10,11,,68+2,68+2,68+2,71,69,69,69,71,69+2,69+2,69+2,72+2,69+2,69+2,69+2,72+2,73+2,69+2,69+2,69+2,73+2,72+2,69+2,69+2,69+2,72+2,16+2
222148,/player/222148/ondrej-duda/240002,24.0,2.0,2023-09-22,O. Duda,Ondrej Duda,"CM, CAM, CF",74,74,4200000.0,24000.0,28,1994-12-05,181,75,206.0,Hellas Verona,31.0,Serie A,1.0,RCM,33.0,,2023-07-01,2026.0,43,Slovakia,,,,Right,4,4,2,Medium/Medium,Lean (170-185),Yes,7600000.0,,"Technical, Flair",69.0,72.0,73.0,78.0,61.0,62.0,65,70,52,76,71,79,77,74,73,78,71,68,77,72,75,78,63,76,57,69,57,62,72,73,70,78.0,63,65,52,15,12,14,16,10,,70+2,70+2,70+2,73,74,74,74,73,74,74,74,73+1,74,74,74,73+1,68+2,68+2,68+2,68+2,68+2,66+2,62+2,62+2,62+2,66+2,20+2
231835,/player/231835/thomas-henry/240002,24.0,2.0,2023-09-22,T. Henry,Thomas Henry,ST,74,74,4300000.0,26000.0,28,1994-09-20,191,86,206.0,Hellas Verona,31.0,Serie A,1.0,RES,9.0,,2022-07-16,2026.0,18,France,,,,Right,3,2,1,High/Medium,Normal (185+),No,7700000.0,#Strength,Power Header,57.0,74.0,64.0,66.0,39.0,78.0,51,76,80,72,72,63,45,59,63,73,51,62,55,75,50,80,84,64,86,62,74,25,77,69,82,76.0,39,39,29,5,13,9,6,15,,74,74,74,67,71,71,71,67,69+2,69+2,69+2,66+2,66+2,66+2,66+2,66+2,52+2,56+2,56+2,56+2,52+2,50+2,54+2,54+2,54+2,50+2,17+2
246457,/player/246457/cyril-ngonge/240002,24.0,2.0,2023-09-22,C. Ngonge,Cyril Ngonge,"CF, RW, ST",73,81,7000000.0,20000.0,23,2000-05-26,179,67,206.0,Hellas Verona,31.0,Serie A,1.0,RF,26.0,,2023-01-20,2026.0,7,Belgium,,,,Left,3,4,1,High/Low,Lean (170-185),No,14000000.0,,"Rapid, Flair",85.0,71.0,64.0,75.0,35.0,67.0,67,69,68,72,67,76,71,55,52,75,88,83,81,68,72,74,81,68,67,74,60,40,71,58,60,62.0,22,35,35,15,7,10,7,8,,72+2,72+2,72+2,73,73,73,73,73,71+2,71+2,71+2,72+2,64+2,64+2,64+2,72+2,58+2,53+2,53+2,53+2,58+2,55+2,50+2,50+2,50+2,55+2,16+2
