player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
231478,/player/231478/lautaro-martinez/240002,24.0,2.0,2023-09-22,L. Martínez,Lautaro Javier Martínez,ST,87,90,107000000.0,150000.0,25,1997-08-22,174,72,44.0,Inter,31.0,Serie A,1.0,LS,10.0,,2018-07-05,2026.0,52,Argentina,1369.0,SUB,22.0,Right,4,4,3,High/Medium,Unique,Yes,189900000.0,#Acrobat,"Technical, Flair, Trivela",80.0,86.0,71.0,85.0,48.0,85.0,58,90,86,75,91,84,78,54,73,86,83,77,86,88,89,85,93,80,84,78,90,45,90,78,74,86.0,55,31,44,11,8,8,8,13,,86+3,86+3,86+3,82,84,84,84,82,82+3,82+3,82+3,80+3,76+3,76+3,76+3,80+3,64+3,66+3,66+3,66+3,64+3,62+3,62+3,62+3,62+3,62+3,18+3
224232,/player/224232/nicolo-barella/240002,24.0,2.0,2023-09-22,N. Barella,Nicolò Barella,CM,86,88,83500000.0,135000.0,26,1997-02-07,175,68,44.0,Inter,31.0,Serie A,1.0,RCM,23.0,,2020-09-01,2026.0,27,Italy,1343.0,RCM,18.0,Right,3,3,3,High/High,Normal (170-),Yes,148200000.0,"#Engine, #Acrobat","Relentless +, Tiki Taka, Slide Tackle",78.0,78.0,82.0,85.0,78.0,80.0,79,78,53,86,80,81,79,67,83,87,79,78,90,89,90,77,73,94,73,79,84,83,83,83,73,86.0,80,79,81,11,5,13,14,11,,78+3,78+3,78+3,83,82,82,82,83,84+3,84+3,84+3,83+3,85+3,85+3,85+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,78+3,78+3,78+3,82+3,19+3
237383,/player/237383/alessandro-bastoni/240002,24.0,2.0,2023-09-22,A. Bastoni,Alessandro Bastoni,CB,85,90,73500000.0,95000.0,24,1999-04-13,190,75,44.0,Inter,31.0,Serie A,1.0,LCB,95.0,,2017-08-31,2028.0,27,Italy,1343.0,LCB,23.0,Left,3,2,2,Medium/High,Unique,Yes,130500000.0,#Tactician ,"Incisive Pass, Long Ball Pass, Jockey",73.0,35.0,72.0,73.0,86.0,83.0,70,26,83,78,35,73,53,36,82,76,68,77,58,86,57,49,86,81,83,37,83,87,39,69,47,84.0,87,87,83,11,5,9,11,12,,59+2,59+2,59+2,65,63,63,63,65,66+2,66+2,66+2,69+2,73+2,73+2,73+2,69+2,80+2,82+2,82+2,82+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
208128,/player/208128/hakan-calhanoglu/240002,24.0,2.0,2023-09-22,H. Çalhanoğlu,Hakan Çalhanoğlu,"CM, CDM",85,85,52500000.0,130000.0,29,1994-02-08,178,76,44.0,Inter,31.0,Serie A,1.0,CDM,20.0,,2021-07-01,2027.0,48,Turkey,,,,Right,4,4,3,High/Medium,Normal (170-185),Yes,89300000.0,#Playmaker ,"Long Ball Pass, Trivela",67.0,80.0,86.0,85.0,70.0,66.0,78,75,53,88,74,85,85,85,87,88,72,62,83,86,79,86,64,80,55,87,76,76,74,88,81,85.0,74,70,65,9,14,11,6,10,,76+3,76+3,76+3,81,81,81,81,81,84+1,84+1,84+1,81+3,84+1,84+1,84+1,81+3,77+3,79+3,79+3,79+3,77+3,75+3,70+3,70+3,70+3,75+3,18+3
177683,/player/177683/yann-sommer/240002,24.0,2.0,2023-09-22,Y. Sommer,Yann Sommer,GK,84,84,7000000.0,84000.0,34,1988-12-17,183,79,44.0,Inter,31.0,Serie A,1.0,GK,1.0,,2023-08-07,2026.0,47,Switzerland,,,,Right,4,1,3,Medium/Medium,Normal (170-185),Yes,11900000.0,,,,,,,,,13,13,10,40,8,15,12,13,36,25,48,54,55,82,58,62,67,45,68,12,38,21,15,64,24,54.0,9,19,12,78,79,83,84,90,50.0,32+3,32+3,32+3,32,34,34,34,32,36+3,36+3,36+3,34+3,37+3,37+3,37+3,34+3,30+3,34+3,34+3,34+3,30+3,29+3,29+3,29+3,29+3,29+3,83+1
226851,/player/226851/benjamin-pavard/240002,24.0,2.0,2023-09-22,B. Pavard,Benjamin Pavard,"CB, RB",83,84,36500000.0,95000.0,27,1996-03-28,186,81,44.0,Inter,31.0,Serie A,1.0,SUB,28.0,,2023-08-30,2028.0,18,France,1335.0,SUB,2.0,Right,3,3,3,Medium/Medium,Normal (185+),Yes,64800000.0,#Tactician ,"Jockey, Intercept, Anticipate, Slide Tackle",70.0,62.0,73.0,72.0,85.0,78.0,75,49,84,79,81,68,66,51,78,77,68,72,66,84,66,80,85,81,78,70,74,86,60,66,51,78.0,85,86,83,9,7,15,7,15,,70+3,70+3,70+3,70,70,70,70,70,70+3,70+3,70+3,72+3,75+3,75+3,75+3,72+3,80+3,81+3,81+3,81+3,80+3,81+3,83+1,83+1,83+1,81+3,18+3
199845,/player/199845/francesco-acerbi/240002,24.0,2.0,2023-09-22,F. Acerbi,Francesco Acerbi,CB,83,83,9500000.0,67000.0,35,1988-02-10,192,88,44.0,Inter,31.0,Serie A,1.0,RES,15.0,,2023-07-01,2025.0,27,Italy,,,,Left,3,3,3,Medium/High,Normal (185+),No,16200000.0,,"Long Ball Pass, Block, Bruiser, Aerial",60.0,50.0,64.0,64.0,86.0,80.0,34,37,84,75,39,65,58,56,79,71,61,59,32,85,33,75,86,68,85,60,80,85,20,65,61,86.0,87,87,83,11,9,9,13,11,,60+3,60+3,60+3,57,60,60,60,57,62+3,62+3,62+3,60+3,70+3,70+3,70+3,60+3,72+3,80+3,80+3,80+3,72+3,74+3,83,83,83,74+3,19+3
226268,/player/226268/federico-dimarco/240002,24.0,2.0,2023-09-22,F. Dimarco,Federico Dimarco,"LWB, LM, CB",82,85,37000000.0,82000.0,25,1997-11-10,175,75,44.0,Inter,31.0,Serie A,1.0,LM,32.0,,2018-07-01,2026.0,27,Italy,1343.0,LB,3.0,Left,2,3,2,High/Medium,Normal (170-185),No,65700000.0,,Whipped Cross,79.0,71.0,80.0,79.0,74.0,71.0,85,69,49,80,77,78,82,79,78,84,81,77,74,81,84,69,69,84,65,76,68,80,81,77,66,69.0,77,76,76,9,8,12,7,7,,73+2,73+2,73+2,79,78,78,78,79,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,80+2,78+2,78+2,78+2,80+2,78+2,73+2,73+2,73+2,78+2,16+2
198176,/player/198176/stefan-de-vrij/240002,24.0,2.0,2023-09-22,S. de Vrij,Stefan de Vrij,CB,82,82,21000000.0,86000.0,31,1992-02-05,189,78,44.0,Inter,31.0,Serie A,1.0,CB,6.0,,2018-07-01,2025.0,34,Netherlands,105035.0,SUB,6.0,Right,3,2,3,Medium/High,Unique,Yes,35700000.0,#Tactician ,"Long Ball Pass, Intercept, Aerial",64.0,41.0,64.0,69.0,84.0,76.0,49,25,81,74,27,66,45,36,71,72,66,62,61,82,59,65,84,71,78,60,77,87,31,70,41,85.0,84,85,82,8,10,7,14,13,,57+3,57+3,57+3,60,60,60,60,60,63+3,63+3,63+3,62+3,70+3,70+3,70+3,62+3,74+3,78+3,78+3,78+3,74+3,76+3,81+1,81+1,81+1,76+3,19+3
233096,/player/233096/denzel-dumfries/240002,24.0,2.0,2023-09-22,D. Dumfries,Denzel Justus Morris Dumfries,"RWB, RM",81,82,27000000.0,80000.0,27,1996-04-18,188,80,44.0,Inter,31.0,Serie A,1.0,RM,2.0,,2021-08-15,2025.0,34,Netherlands,105035.0,RM,22.0,Right,3,2,3,High/Medium,Normal (185+),Yes,47900000.0,,"Whipped Cross, Block, Rapid, Quick Step, Long Throw",83.0,63.0,70.0,73.0,78.0,89.0,77,67,84,76,38,72,69,35,71,76,77,87,69,81,60,68,94,92,89,54,83,78,76,59,48,74.0,76,79,77,10,10,7,13,14,,74+3,74+3,74+3,74,73,73,73,74,72+3,72+3,72+3,75+3,73+3,73+3,73+3,75+3,79+3,78+3,78+3,78+3,79+3,80+2,80+2,80+2,80+2,80+2,19+3
