player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
192387,/player/192387/ciro-immobile/240002,24.0,2.0,2023-09-22,C. Immobile,Ciro Immobile,ST,85,85,34500000.0,90000.0,33,1990-02-20,185,85,46.0,Lazio,31.0,Serie A,1.0,ST,17.0,,2016-07-27,2026.0,27,Italy,1343.0,ST,17.0,Right,4,3,4,High/Medium,Unique,Yes,58700000.0,#Clinical finisher,Power Shot,85.0,87.0,68.0,78.0,39.0,74.0,55,91,81,79,85,77,70,58,57,80,84,86,75,85,84,86,88,73,74,80,73,40,90,71,88,76.0,34,33,32,6,8,15,12,6,,84+1,84+1,84+1,79,83,83,83,79,79+3,79+3,79+3,77+3,72+3,72+3,72+3,77+3,60+3,59+3,59+3,59+3,60+3,58+3,55+3,55+3,55+3,58+3,17+3
198706,/player/198706/luis-alberto-romero-alconchel/240002,24.0,2.0,2023-09-22,Luis Alberto,Luis Alberto Romero Alconchel,CM,84,84,40500000.0,78000.0,30,1992-09-28,183,74,46.0,Lazio,31.0,Serie A,1.0,LCM,10.0,,2016-08-31,2025.0,45,Spain,,,,Right,3,4,2,Medium/Medium,Lean (170-185),Yes,68900000.0,#Playmaker ,"Pinged Pass +, Finesse Shot, First Touch, Trivela",69.0,77.0,85.0,84.0,62.0,58.0,69,75,49,90,76,83,86,79,88,90,72,67,77,79,83,82,65,68,64,80,29,64,76,91,56,80.0,63,66,59,6,8,6,12,11,,75+2,75+2,75+2,80,81,81,81,80,84,84,84,80+2,83+1,83+1,83+1,80+2,72+2,73+2,73+2,73+2,72+2,69+2,63+2,63+2,63+2,69+2,17+2
210413,/player/210413/alessio-romagnoli/240002,24.0,2.0,2023-09-22,A. Romagnoli,Alessio Romagnoli,CB,83,83,31500000.0,68000.0,28,1995-01-12,185,75,46.0,Lazio,31.0,Serie A,1.0,LCB,13.0,,2022-07-13,2027.0,27,Italy,1343.0,SUB,6.0,Left,3,2,2,Medium/Medium,Unique,Yes,53600000.0,#Tackling ,Aerial,69.0,40.0,56.0,69.0,85.0,80.0,36,30,81,75,28,68,35,24,69,75,69,69,55,82,54,63,87,68,84,46,82,85,31,45,34,77.0,86,86,86,9,14,12,8,9,,59+2,59+2,59+2,58,59,59,59,58,61+2,61+2,61+2,61+2,66+2,66+2,66+2,61+2,73+2,78+2,78+2,78+2,73+2,76+2,83,83,83,76+2,18+2
220502,/player/220502/mattia-zaccagni/240002,24.0,2.0,2023-09-22,M. Zaccagni,Mattia Zaccagni,LW,82,82,30500000.0,73000.0,28,1995-06-16,177,63,46.0,Lazio,31.0,Serie A,1.0,LW,20.0,,2021-09-01,2025.0,27,Italy,1343.0,LW,20.0,Right,4,4,1,High/Medium,Normal (170-185),No,51900000.0,"#Dribbler, #Acrobat","Technical, Flair, Trivela",87.0,77.0,74.0,88.0,57.0,67.0,72,79,66,78,74,89,67,51,75,86,89,85,92,81,87,78,79,77,63,76,61,58,79,77,61,83.0,55,58,52,13,16,14,8,7,,79+2,79+2,79+2,82,82,82,82,82,82,82,82,81+1,78+2,78+2,78+2,81+1,71+2,69+2,69+2,69+2,71+2,69+2,63+2,63+2,63+2,69+2,19+2
224987,/player/224987/ivan-provedel/240002,24.0,2.0,2023-09-22,I. Provedel,Ivan Provedel,GK,82,82,21000000.0,51000.0,29,1994-03-17,192,84,46.0,Lazio,31.0,Serie A,1.0,GK,94.0,,2022-08-08,2027.0,27,Italy,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,35700000.0,,Far Throw,,,,,,,21,17,17,61,14,16,13,13,56,22,44,40,38,75,44,60,63,28,56,20,27,22,16,63,22,68.0,22,22,21,83,79,80,79,85,42.0,33+2,33+2,33+2,33,35,35,35,33,39+2,39+2,39+2,36+2,42+2,42+2,42+2,36+2,32+2,38+2,38+2,38+2,32+2,31+2,31+2,31+2,31+2,31+2,81+1
232730,/player/232730/daichi-kamada/240002,24.0,2.0,2023-09-22,D. Kamada,鎌田 大地,"CAM, CM, CF",81,82,30500000.0,60000.0,26,1996-08-05,184,72,46.0,Lazio,31.0,Serie A,1.0,RCM,6.0,,2023-08-04,2027.0,163,Japan,,,,Right,4,3,2,Medium/Medium,Lean (170-185),Yes,54100000.0,,"Technical, Flair",79.0,73.0,80.0,83.0,54.0,64.0,75,75,53,84,66,83,78,74,80,83,81,78,83,80,82,65,68,84,57,73,54,52,81,82,80,81.0,53,57,54,6,10,11,6,11,,74+2,74+2,74+2,80,79,79,79,80,81+1,81+1,81+1,81+1,79+2,79+2,79+2,81+1,71+2,69+2,69+2,69+2,71+2,68+2,59+2,59+2,59+2,68+2,16+2
201995,/player/201995/felipe-anderson-pereira-gomes/240002,24.0,2.0,2023-09-22,Felipe Anderson,Felipe Anderson Pereira Gomes,"RW, ST",81,81,25000000.0,65000.0,30,1993-04-15,175,70,46.0,Lazio,31.0,Serie A,1.0,RW,7.0,,2021-07-16,2024.0,54,Brazil,,,,Right,4,4,3,High/High,Unique,Yes,42500000.0,#Engine,"Finesse Shot, Rapid, Flair, First Touch, Trivela",87.0,78.0,77.0,85.0,63.0,73.0,74,79,69,79,76,85,77,69,75,86,88,86,87,77,89,82,81,87,67,79,69,69,78,78,54,81.0,57,66,55,12,10,9,5,7,,79+2,79+2,79+2,81,81,81,81,81,81,81,81,81,79+2,79+2,79+2,81,74+3,72+3,72+3,72+3,74+3,72+3,67+3,67+3,67+3,72+3,16+3
224031,/player/224031/adam-marusic/240002,24.0,2.0,2023-09-22,A. Marušić,Adam Marušić,"LB, RB",80,80,18000000.0,51000.0,30,1992-10-17,185,85,46.0,Lazio,31.0,Serie A,1.0,LB,77.0,,2017-07-01,2025.0,15,Montenegro,,,,Right,4,3,2,Low/High,Normal (185+),No,30600000.0,,"Rapid, Long Throw",88.0,66.0,67.0,74.0,76.0,82.0,76,56,76,71,68,75,76,54,55,76,87,89,64,76,77,79,93,82,83,77,76,76,69,60,58,75.0,75,78,75,8,9,7,10,10,,73+2,73+2,73+2,73,72,72,72,73,70+2,70+2,70+2,73+2,70+2,70+2,70+2,73+2,77+2,73+2,73+2,73+2,77+2,78+2,77+2,77+2,77+2,78+2,16+2
237712,/player/237712/valentin-castellanos/240002,24.0,2.0,2023-09-22,V. Castellanos,Valentín Mariano José Castellanos Giménez,ST,79,84,27000000.0,51000.0,24,1998-10-03,178,70,46.0,Lazio,31.0,Serie A,1.0,SUB,19.0,,2023-07-21,2028.0,52,Argentina,,,,Right,3,3,3,Medium/High,Normal (170-185),Yes,47900000.0,,"Power Header, Technical, Flair",76.0,79.0,69.0,76.0,42.0,78.0,58,82,82,78,75,76,65,61,61,77,76,76,72,79,66,79,87,87,71,73,84,29,83,74,73,75.0,43,37,39,15,6,10,12,8,,79+3,79+3,79+3,76,78,78,78,76,77+3,77+3,77+3,75+3,71+3,71+3,71+3,75+3,60+3,60+3,60+3,60+3,60+3,58+3,56+3,56+3,56+3,58+3,18+3
236496,/player/236496/matteo-guendouzi/240002,24.0,2.0,2023-09-22,M. Guendouzi,Mattéo Elias Kenzo Guendouzi Olié,"CM, CF",79,83,25000000.0,38000.0,24,1999-04-14,185,68,46.0,Lazio,31.0,Serie A,1.0,SUB,8.0,Olympique de Marseille,,2024.0,18,France,,,,Right,3,4,2,Medium/High,Lean (185+),Yes,,,"Pinged Pass, Tiki Taka, First Touch",74.0,69.0,78.0,78.0,74.0,81.0,67,66,69,83,58,76,75,67,79,80,73,74,84,79,71,75,78,88,75,69,86,77,74,81,70,82.0,72,76,72,6,13,6,13,11,,73+2,73+2,73+2,75,76,76,76,75,78+2,78+2,78+2,77+2,79+2,79+2,79+2,77+2,77+2,79+2,79+2,79+2,77+2,76+2,76+2,76+2,76+2,76+2,18+2
239770,/player/239770/nicolo-casale/240002,24.0,2.0,2023-09-22,N. Casale,Nicolò Casale,CB,79,82,20500000.0,46000.0,25,1998-02-14,191,80,46.0,Lazio,31.0,Serie A,1.0,RCB,15.0,,2022-07-08,2027.0,27,Italy,1343.0,RES,24.0,Right,3,2,1,Medium/High,Normal (185+),No,36400000.0,,"Block, Slide Tackle",77.0,53.0,66.0,69.0,80.0,79.0,69,47,77,70,47,70,60,44,63,69,74,80,60,79,60,72,89,67,84,48,80,80,54,63,52,77.0,82,80,78,14,8,13,13,9,,66+2,66+2,66+2,66,66,66,66,66,65+2,65+2,65+2,68+2,67+2,67+2,67+2,68+2,75+2,75+2,75+2,75+2,75+2,76+2,79+2,79+2,79+2,76+2,19+2
189505,/player/189505/pedro-rodriguez-ledesma/240002,24.0,2.0,2023-09-22,Pedro,Pedro Eliezer Rodríguez Ledesma,"RW, LW",79,79,7000000.0,44000.0,35,1987-07-28,169,65,46.0,Lazio,31.0,Serie A,1.0,SUB,9.0,,2021-08-19,2024.0,45,Spain,,,,Right,5,4,3,High/Low,Normal (170-),Yes,11900000.0,#Acrobat,"Finesse Shot, Tiki Taka, First Touch, Trivela",70.0,74.0,76.0,86.0,36.0,50.0,69,74,39,81,70,84,82,57,72,88,77,64,90,77,91,73,51,67,40,76,53,42,77,82,66,80.0,41,29,26,5,11,12,15,9,,71+3,71+3,71+3,79,78,78,78,79,80-1,80-1,80-1,78+1,75+3,75+3,75+3,78+1,60+3,59+3,59+3,59+3,60+3,55+3,45+3,45+3,45+3,55+3,17+3
235374,/player/235374/manuel-lazzari/240002,24.0,2.0,2023-09-22,M. Lazzari,Manuel Lazzari,RB,79,79,15500000.0,51000.0,29,1993-11-29,174,67,46.0,Lazio,31.0,Serie A,1.0,RB,29.0,,2019-07-12,2027.0,27,Italy,,,,Right,3,3,2,High/Medium,Lean (170-185),No,26400000.0,#Speedster,"Rapid, Quick Step",92.0,62.0,76.0,82.0,70.0,66.0,83,67,44,78,59,82,68,58,75,81,93,92,89,78,89,53,66,86,56,57,66,73,74,74,55,76.0,72,75,69,14,6,11,5,11,,69+2,69+2,69+2,79,76,76,76,79,77+2,77+2,77+2,80-1,77+2,77+2,77+2,80-1,79,75+2,75+2,75+2,79,77+2,69+2,69+2,69+2,77+2,17+2
255001,/player/255001/nicolo-rovella/240002,24.0,2.0,2023-09-22,N. Rovella,Nicolò Rovella,"CM, CDM",77,86,23500000.0,62000.0,21,2001-12-04,179,70,46.0,Lazio,31.0,Serie A,1.0,SUB,65.0,Juventus,,2025.0,27,Italy,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,,,Long Ball Pass,77.0,63.0,76.0,77.0,74.0,71.0,67,52,56,81,68,75,74,71,79,79,75,79,79,74,77,72,68,87,59,76,80,74,68,76,60,74.0,74,79,77,9,12,11,9,10,,68+2,68+2,68+2,73,72,72,72,73,75+2,75+2,75+2,74+2,77+2,77+2,77+2,74+2,77+2,77+2,77+2,77+2,77+2,76+2,73+2,73+2,73+2,76+2,17+2
211361,/player/211361/danilo-cataldi/240002,24.0,2.0,2023-09-22,D. Cataldi,Danilo Cataldi,CDM,77,77,9500000.0,43000.0,28,1994-08-06,180,70,46.0,Lazio,31.0,Serie A,1.0,CDM,32.0,,2011-07-01,2027.0,27,Italy,,,,Right,4,3,2,Medium/High,Normal (170-185),No,16200000.0,,"Long Ball Pass, Anticipate, Relentless",72.0,71.0,77.0,78.0,73.0,73.0,69,66,66,81,65,77,79,80,76,79,75,69,75,80,78,82,75,77,69,79,75,76,67,77,52,79.0,75,73,71,7,10,11,12,9,,73+2,73+2,73+2,75,75,75,75,75,76+1,76+1,76+1,75+2,77,77,77,75+2,75+2,76+1,76+1,76+1,75+2,74+2,73+2,73+2,73+2,74+2,17+2
219985,/player/219985/matias-vecino/240002,24.0,2.0,2023-09-22,M. Vecino,Matías Vecino Falero,"CM, CDM",77,77,8500000.0,45000.0,31,1991-08-24,187,81,46.0,Lazio,31.0,Serie A,1.0,SUB,5.0,,2022-08-01,2025.0,60,Uruguay,,,,Right,3,3,2,High/Medium,Lean (185+),No,14500000.0,,"Power Shot, Power Header",60.0,72.0,74.0,76.0,77.0,81.0,69,68,83,79,68,76,64,58,75,80,63,58,68,78,64,82,88,75,83,77,81,81,77,78,56,80.0,76,76,73,4,4,4,4,4,,76+1,76+1,76+1,74,75,75,75,74,76+1,76+1,76+1,74+2,77,77,77,74+2,75+2,78-1,78-1,78-1,75+2,74+2,79-2,79-2,79-2,74+2,12+2
206098,/player/206098/patricio-gabarron-gil/240002,24.0,2.0,2023-09-22,Patric,Patricio Gabarrón Gil,CB,76,76,6000000.0,38000.0,30,1993-04-17,184,72,46.0,Lazio,31.0,Serie A,1.0,SUB,4.0,,2015-07-01,2027.0,45,Spain,,,,Right,3,2,1,Medium/High,Normal (170-185),No,10200000.0,,"Anticipate, Slide Tackle",68.0,53.0,69.0,71.0,77.0,73.0,69,49,75,77,25,68,46,48,72,74,69,68,69,77,68,63,80,68,72,57,79,77,55,66,51,72.0,75,79,77,8,14,12,9,14,,64+2,64+2,64+2,67,66,66,66,67,68+2,68+2,68+2,68+2,71+2,71+2,71+2,68+2,74+2,75+1,75+1,75+1,74+2,74+2,76,76,76,74+2,19+2
210864,/player/210864/elseid-hysaj/240002,24.0,2.0,2023-09-22,E. Hysaj,Elseid Hysaj,"LB, RB",76,76,6500000.0,40000.0,29,1994-02-02,182,70,46.0,Lazio,31.0,Serie A,1.0,SUB,23.0,,2021-07-17,2025.0,1,Albania,,,,Right,3,3,2,Medium/Medium,Normal (170-185),No,11100000.0,,,75.0,51.0,66.0,73.0,73.0,70.0,73,47,65,73,40,72,54,30,68,75,73,77,74,74,69,68,73,74,65,43,79,74,63,59,40,74.0,74,75,74,12,6,14,9,11,,64+2,64+2,64+2,68,67,67,67,68,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,73+2,73+2,73+2,74+2,17+2
248729,/player/248729/gustav-isaksen/240002,24.0,2.0,2023-09-22,G. Isaksen,Gustav Tang Isaksen,"RW, ST, CF",74,82,9500000.0,35000.0,22,2001-04-19,178,65,46.0,Lazio,31.0,Serie A,1.0,SUB,18.0,,2023-08-07,2025.0,13,Denmark,,,,Left,3,3,1,High/Medium,Lean (170-185),No,18100000.0,,"Rapid, Flair, Quick Step",89.0,70.0,65.0,77.0,40.0,51.0,59,73,55,70,61,77,70,44,61,75,86,92,85,73,80,71,60,81,35,68,52,35,74,67,53,69.0,42,40,29,7,5,15,7,6,,71+2,71+2,71+2,74,74,74,74,74,73+2,73+2,73+2,74+2,68+2,68+2,68+2,74+2,60+2,55+2,55+2,55+2,60+2,57+2,47+2,47+2,47+2,57+2,14+2
