player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
235840,/player/235840/michele-di-gregorio/240002,24.0,2.0,2023-09-22,M. Di Gregorio,Michele Di Gregorio,GK,79,83,19000000.0,38000.0,25,1997-07-27,187,81,111811.0,Monza,31.0,Serie A,1.0,GK,16.0,,2022-07-01,2027.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,33700000.0,,,,,,,,,13,9,11,28,11,18,17,14,19,20,45,43,45,66,55,54,64,36,62,18,26,15,9,65,17,56.0,21,14,10,80,76,72,80,82,44.0,27+2,27+2,27+2,27,29,29,29,27,31+2,31+2,31+2,29+2,30+2,30+2,30+2,29+2,25+2,27+2,27+2,27+2,25+2,25+2,26+2,26+2,26+2,25+2,78+2
219812,/player/219812/patrick-ciurria/240002,24.0,2.0,2023-09-22,P. Ciurria,Patrick Ciurria,RM,79,79,17500000.0,57000.0,28,1995-02-09,178,67,111811.0,Monza,31.0,Serie A,1.0,RM,84.0,,2021-07-31,2026.0,27,Italy,,,,Left,4,3,1,High/Medium,Lean (170-185),No,29800000.0,,"Rapid, Flair",81.0,74.0,77.0,79.0,48.0,61.0,72,73,55,81,72,78,76,70,73,80,79,83,82,77,77,75,67,81,54,78,52,43,75,78,66,75.0,44,53,51,14,8,10,6,9,,73+2,73+2,73+2,78,77,77,77,78,78+1,78+1,78+1,78+1,75+2,75+2,75+2,78+1,67+2,64+2,64+2,64+2,67+2,64+2,55+2,55+2,55+2,64+2,17+2
239613,/player/239613/matteo-pessina/240002,24.0,2.0,2023-09-22,M. Pessina,Matteo Pessina,"CAM, CM, CF",78,81,18500000.0,50000.0,26,1997-04-21,187,77,111811.0,Monza,31.0,Serie A,1.0,LCM,32.0,,2023-07-01,2026.0,27,Italy,1343.0,RES,26.0,Left,2,3,2,Medium/Medium,Lean (185+),No,32800000.0,,"Finesse Shot, Relentless",72.0,70.0,77.0,79.0,71.0,72.0,70,70,63,83,68,80,76,52,76,82,69,75,69,78,65,74,71,81,68,68,70,72,78,80,60,78.0,72,73,68,13,9,7,13,7,,74+2,74+2,74+2,76,77,77,77,76,78+2,78+2,78+2,77+2,79+2,79+2,79+2,77+2,75+2,76+2,76+2,76+2,75+2,74+2,72+2,72+2,72+2,74+2,18+2
198946,/player/198946/danilo-dambrosio/240002,24.0,2.0,2023-09-22,D. D'Ambrosio,Danilo D'Ambrosio,CB,77,77,3400000.0,43000.0,34,1988-09-09,180,75,111811.0,Monza,31.0,Serie A,1.0,SUB,33.0,,2023-08-02,2024.0,27,Italy,,,,Right,3,3,2,Low/Medium,Normal (170-185),Yes,5800000.0,,,65.0,56.0,67.0,71.0,78.0,75.0,73,48,79,71,57,71,63,62,67,69,68,63,67,78,72,66,85,65,78,58,78,77,66,58,60,73.0,77,80,77,9,10,15,13,15,,66+2,66+2,66+2,67,66,66,66,67,66+2,66+2,66+2,68+2,68+2,68+2,68+2,68+2,73+2,73+2,73+2,73+2,73+2,74+2,77,77,77,74+2,19+2
202848,/player/202848/gianluca-caprari/240002,24.0,2.0,2023-09-22,G. Caprari,Gianluca Caprari,CF,77,77,10500000.0,53000.0,29,1993-07-30,176,72,111811.0,Monza,31.0,Serie A,1.0,LF,17.0,,2023-07-01,2027.0,27,Italy,,,,Right,4,3,2,High/Low,Normal (170-185),No,17900000.0,,"Finesse Shot, Technical, Flair, First Touch, Trivela",84.0,75.0,76.0,82.0,33.0,54.0,74,76,49,77,78,82,83,75,73,81,89,80,89,73,87,75,65,71,50,74,39,35,73,75,75,71.0,33,28,29,9,8,14,6,11,,73+2,73+2,73+2,78-1,77,77,77,78-1,78-1,78-1,78-1,78-1,72+2,72+2,72+2,78-1,60+2,55+2,55+2,55+2,60+2,55+2,44+2,44+2,44+2,55+2,16+2
206654,/player/206654/pablo-mari-villar/240002,24.0,2.0,2023-09-22,Pablo Marí,Pablo Marí Villar,CB,76,76,6500000.0,42000.0,29,1993-08-31,193,87,111811.0,Monza,31.0,Serie A,1.0,CB,22.0,,2023-07-01,2027.0,45,Spain,,,,Left,3,2,2,Medium/Medium,Normal (185+),Yes,11100000.0,,"Power Header, Long Ball Pass",59.0,40.0,51.0,54.0,77.0,75.0,32,38,80,70,28,49,27,30,65,60,56,62,49,73,33,53,83,57,82,40,76,77,34,37,31,74.0,75,79,76,6,14,7,13,12,,55+2,55+2,55+2,50,52,52,52,50,53+2,53+2,53+2,52+2,58+2,58+2,58+2,52+2,64+2,70+2,70+2,70+2,64+2,67+2,76,76,76,67+2,18+2
205343,/player/205343/jean-daniel-akpa-akpro/240002,24.0,2.0,2023-09-22,J. Akpa Akpro,Jean-Daniel Dave Lewis Akpa Akpro,CM,75,75,5500000.0,40000.0,30,1992-10-11,180,70,111811.0,Monza,31.0,Serie A,1.0,SUB,8.0,Lazio,,2024.0,108,Côte d'Ivoire,,,,Right,4,3,1,High/Medium,Lean (170-185),No,,,"Slide Tackle, Rapid",77.0,67.0,71.0,78.0,72.0,77.0,67,65,65,75,68,78,66,56,72,78,76,78,79,71,78,72,79,84,73,69,80,75,76,71,56,77.0,69,75,73,7,10,9,9,8,,72+2,72+2,72+2,74,74,74,74,74,74+1,74+1,74+1,75,75,75,75,75,75,75,75,75,75,74+1,73+2,73+2,73+2,74+1,15+2
251988,/player/251988/andrea-colpani/240002,24.0,2.0,2023-09-22,A. Colpani,Andrea Colpani,"CM, CAM, CF",74,81,8500000.0,34000.0,24,1999-05-11,184,75,111811.0,Monza,31.0,Serie A,1.0,RF,28.0,,2022-07-01,2028.0,27,Italy,,,,Left,2,3,1,Medium/Medium,Lean (170-185),No,16200000.0,,Pinged Pass,76.0,64.0,74.0,75.0,64.0,64.0,66,58,60,79,68,76,75,64,77,77,73,79,72,69,66,72,71,76,64,67,47,62,68,74,62,72.0,62,68,62,10,9,6,12,11,,68+2,68+2,68+2,72,72,72,72,72,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,70+2,69+2,69+2,69+2,70+2,69+2,64+2,64+2,64+2,69+2,17+2
237003,/player/237003/samuele-birindelli/240002,24.0,2.0,2023-09-22,S. Birindelli,Samuele Birindelli,"RWB, RM, RB",74,80,6000000.0,30000.0,23,1999-07-19,176,70,111811.0,Monza,31.0,Serie A,1.0,SUB,19.0,,2022-07-07,2026.0,27,Italy,,,,Right,4,3,1,High/Medium,Normal (170-185),No,11400000.0,,,82.0,52.0,65.0,71.0,70.0,66.0,67,44,58,69,49,68,62,53,68,72,79,85,81,68,80,63,71,79,60,55,63,70,60,59,56,68.0,70,72,72,10,10,15,15,8,,62+2,62+2,62+2,67,65,65,65,67,66+2,66+2,66+2,68+2,67+2,67+2,67+2,68+2,72+2,69+2,69+2,69+2,72+2,72+2,68+2,68+2,68+2,72+2,17+2
234147,/player/234147/dany-mota-carvalho/240002,24.0,2.0,2023-09-22,Dany Mota,Dany Mota Carvalho,"ST, CF",74,77,5500000.0,40000.0,25,1998-05-02,180,74,111811.0,Monza,31.0,Serie A,1.0,ST,47.0,,2020-07-01,2027.0,38,Portugal,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,9800000.0,,Flair,79.0,73.0,66.0,77.0,31.0,65.0,54,76,72,74,72,77,68,51,59,79,78,80,73,70,75,72,82,73,69,68,42,22,74,70,68,72.0,26,28,28,13,10,14,6,7,,74+2,74+2,74+2,73,75,75,75,73,74+2,74+2,74+2,73+2,67+2,67+2,67+2,73+2,54+2,51+2,51+2,51+2,54+2,51+2,46+2,46+2,46+2,51+2,16+2
