player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
215333,/player/215333/duvan-zapata/240002,24.0,2.0,2023-09-22,D. Zapata,Duván Esteban Zapata Banguera,ST,81,81,21000000.0,65000.0,32,1991-04-01,189,88,54.0,Torino,31.0,Serie A,1.0,ST,91.0,Atalanta,,2024.0,56,Colombia,,,,Right,4,3,2,High/Medium,Stocky (185+),Yes,,#Strength,"Power Shot, Power Header",75.0,80.0,63.0,77.0,35.0,85.0,47,83,80,74,79,79,55,62,57,81,76,75,67,78,58,86,94,75,95,69,72,20,84,66,75,82.0,44,24,22,9,9,8,6,8,,81,81,81,75,78,78,78,75,75+2,75+2,75+2,73+2,68+2,68+2,68+2,73+2,54+2,55+2,55+2,55+2,54+2,51+2,53+2,53+2,53+2,51+2,16+2
241854,/player/241854/perr-schuurs/240002,24.0,2.0,2023-09-22,P. Schuurs,Perr Schuurs,CB,79,85,25000000.0,39000.0,23,1999-11-26,191,79,54.0,Torino,31.0,Serie A,1.0,RCB,3.0,,2022-08-18,2026.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,47500000.0,,Block,72.0,64.0,74.0,69.0,81.0,75.0,69,57,75,78,52,68,68,71,77,75,65,78,62,75,36,85,80,75,77,70,70,82,44,70,57,77.0,80,83,80,10,13,9,7,6,,68+2,68+2,68+2,68,68,68,68,68,69+2,69+2,69+2,69+2,73+2,73+2,73+2,69+2,76+2,78+2,78+2,78+2,76+2,77+2,79+2,79+2,79+2,77+2,16+2
241095,/player/241095/nikola-vlasic/240002,24.0,2.0,2023-09-22,N. Vlašić,Nikola Vlašić,"CF, LM, CAM",78,80,18000000.0,47000.0,25,1997-10-04,178,79,54.0,Torino,31.0,Serie A,1.0,LF,16.0,,2023-08-08,2027.0,10,Croatia,1328.0,SUB,13.0,Right,5,3,2,Medium/Medium,Stocky (170-185),Yes,32000000.0,,Technical,77.0,75.0,76.0,81.0,57.0,73.0,71,73,65,80,71,82,70,72,74,82,79,76,78,77,88,80,77,77,70,80,75,62,75,77,66,77.0,54,62,37,6,14,15,9,14,,76+2,76+2,76+2,78,78,78,78,78,79+1,79+1,79+1,78+2,77+2,77+2,77+2,78+2,68+2,69+2,69+2,69+2,68+2,66+2,64+2,64+2,64+2,66+2,18+2
219932,/player/219932/antonio-sanabria/240002,24.0,2.0,2023-09-22,A. Sanabria,Arnaldo Antonio Sanabria Ayala,ST,78,79,16500000.0,49000.0,27,1996-03-04,181,73,54.0,Torino,31.0,Serie A,1.0,RES,9.0,,2021-01-31,2025.0,58,Paraguay,,,,Right,4,4,1,High/Medium,Normal (170-185),No,29300000.0,,Rapid,78.0,76.0,69.0,81.0,32.0,61.0,63,81,77,77,67,81,69,64,63,82,80,76,83,75,76,80,84,64,68,65,36,21,82,69,66,78.0,42,20,15,8,14,9,14,13,,78+1,78+1,78+1,77,78,78,78,77,77+2,77+2,77+2,76+2,68+2,68+2,68+2,76+2,54+2,52+2,52+2,52+2,54+2,51+2,45+2,45+2,45+2,51+2,19+2
243241,/player/243241/alessandro-buongiorno/240002,24.0,2.0,2023-09-22,A. Buongiorno,Alessandro Buongiorno,CB,77,86,22000000.0,33000.0,24,1999-06-06,194,80,54.0,Torino,31.0,Serie A,1.0,CB,4.0,,2018-08-10,2028.0,27,Italy,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,41800000.0,,"Block, Aerial",66.0,45.0,69.0,64.0,79.0,74.0,63,36,72,77,46,60,52,43,72,71,62,69,57,77,60,65,79,70,77,47,71,78,37,67,49,70.0,81,81,76,13,11,7,11,12,,58+2,58+2,58+2,61,60,60,60,61,63+2,63+2,63+2,64+2,68+2,68+2,68+2,64+2,73+2,76+2,76+2,76+2,73+2,74+2,77+2,77+2,77+2,74+2,19+2
253473,/player/253473/samuele-ricci/240002,24.0,2.0,2023-09-22,S. Ricci,Samuele Ricci,"CDM, CM",76,86,16000000.0,26000.0,21,2001-08-21,178,72,54.0,Torino,31.0,Serie A,1.0,RCM,28.0,,2022-07-01,2026.0,27,Italy,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,30400000.0,,Jockey,74.0,55.0,71.0,75.0,72.0,70.0,62,42,57,78,54,73,56,62,75,78,75,74,76,73,70,70,70,82,64,68,72,72,68,72,52,78.0,74,75,75,14,12,6,11,13,,65+2,65+2,65+2,70,70,70,70,70,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,74+2,75+2,75+2,75+2,74+2,73+2,71+2,71+2,71+2,73+2,19+2
258683,/player/258683/ivan-ilic/240002,24.0,2.0,2023-09-22,I. Ilić,Ivan Ilić,"CM, CF",76,83,15000000.0,34000.0,22,2001-03-17,185,75,54.0,Torino,31.0,Serie A,1.0,LCM,8.0,,2023-07-01,2027.0,51,Serbia,,,,Left,3,3,1,High/Medium,Lean (185+),No,28500000.0,,"Flair, Trivela",70.0,72.0,77.0,77.0,66.0,71.0,71,68,58,80,61,78,72,63,80,81,73,67,73,71,68,81,72,72,70,77,71,65,68,78,59,69.0,68,68,64,10,10,8,11,14,,72+2,72+2,72+2,74,75,75,75,74,76+2,76+2,76+2,75+2,76+2,76+2,76+2,75+2,71+2,73+2,73+2,73+2,71+2,69+2,68+2,68+2,68+2,69+2,18+2
224836,/player/224836/vanja-milinkovic-savic/240002,24.0,2.0,2023-09-22,V. Milinković-Savić,Vanja Milinković-Savić,GK,76,80,8000000.0,29000.0,26,1997-02-20,202,90,54.0,Torino,31.0,Serie A,1.0,GK,32.0,,2017-07-01,2026.0,51,Serbia,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,14200000.0,,Far Throw,,,,,,,18,20,12,31,16,15,55,59,30,18,41,45,38,63,38,62,66,33,73,45,34,21,12,58,24,65.0,11,15,19,78,75,82,75,76,43.0,31+2,31+2,31+2,29,31,31,31,29,32+2,32+2,32+2,29+2,32+2,32+2,32+2,29+2,27+2,29+2,29+2,29+2,27+2,26+2,28+2,28+2,28+2,26+2,75+2
278013,/player/278013/saba-sazonov/240002,24.0,2.0,2023-09-22,S. Sazonov,Saba Sazonov,CB,75,83,12000000.0,25000.0,21,2002-02-01,194,85,54.0,Torino,31.0,Serie A,1.0,SUB,15.0,,2023-08-31,2027.0,20,Georgia,,,,Right,3,2,1,Medium/High,Normal (185+),No,22800000.0,#Aerial threat,,68.0,40.0,58.0,61.0,75.0,77.0,61,31,75,72,42,58,38,31,60,65,62,73,60,70,58,70,80,70,78,30,80,75,33,42,55,60.0,75,75,72,11,8,7,12,7,,56+2,56+2,56+2,56,55,55,55,56,55+2,55+2,55+2,59+2,60+2,60+2,60+2,59+2,70+2,70+2,70+2,70+2,70+2,71+2,75+2,75+2,75+2,71+2,16+2
243656,/player/243656/nemanja-radonjic/240002,24.0,2.0,2023-09-22,N. Radonjić,Nemanja Radonjić,"CF, LW, RW",75,76,6500000.0,41000.0,27,1996-02-15,185,76,54.0,Torino,31.0,Serie A,1.0,SUB,10.0,,2023-07-01,2025.0,51,Serbia,,,,Right,4,3,1,High/Low,Normal (185+),Yes,11500000.0,,Rapid,88.0,74.0,69.0,74.0,30.0,61.0,66,75,49,70,74,77,68,54,66,72,89,88,76,74,66,77,72,64,65,75,43,22,71,75,57,68.0,31,30,23,7,9,14,13,6,,72+2,72+2,72+2,75,75,75,75,75,74+2,74+2,74+2,74+2,67+2,67+2,67+2,74+2,55+2,51+2,51+2,51+2,55+2,51+2,43+2,43+2,43+2,51+2,16+2
