player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
263782,/player/263782/brenno-fraga/240002,24.0,2.0,2023-09-22,Brenno,Brenno Fraga,GK,72,79,4000000.0,3000.0,24,1999-04-01,190,85,1848.0,Bari 1908,32.0,Serie B,2.0,GK,22.0,,2020-01-01,2024.0,54,Brazil,,,,Right,1,1,1,Medium/Medium,Normal (185+),No,7200000.0,,Footwork,,,,,,,23,12,13,45,11,18,26,21,34,21,21,17,43,53,27,53,63,30,78,18,26,19,17,39,18,33.0,18,13,24,73,71,70,74,78,19.0,27+2,27+2,27+2,25,27,27,27,25,29+2,29+2,29+2,27+2,31+2,31+2,31+2,27+2,26+2,30+2,30+2,30+2,26+2,25+2,28+2,28+2,28+2,25+2,71+2
215433,/player/215433/francesco-vicari/240002,24.0,2.0,2023-09-22,F. Vicari,Francesco Vicari,CB,72,72,2000000.0,4000.0,28,1994-08-03,190,80,1848.0,Bari 1908,32.0,Serie B,2.0,LCB,23.0,,2022-07-09,2024.0,27,Italy,,,,Right,2,2,1,Low/High,Normal (185+),No,3200000.0,,"Jockey, Block, Slide Tackle",35.0,27.0,52.0,46.0,74.0,66.0,32,21,72,74,30,36,23,28,61,56,35,35,45,68,42,44,71,36,79,21,68,68,24,41,35,62.0,74,77,76,16,11,7,10,13,,44+2,44+2,44+2,41,43,43,43,41,46+2,46+2,46+2,44+2,54+2,54+2,54+2,44+2,58+2,66+2,66+2,66+2,58+2,61+2,72,72,72,61+2,18+2
219984,/player/219984/mattia-aramu/240002,24.0,2.0,2023-09-22,M. Aramu,Mattia Aramu,"CAM, RM, RW",72,72,2400000.0,18000.0,28,1995-05-14,180,69,1848.0,Bari 1908,32.0,Serie B,2.0,SUB,49.0,Genoa,,2024.0,27,Italy,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,,,"Dead Ball, First Touch",74.0,63.0,73.0,75.0,52.0,60.0,72,57,53,76,65,74,70,73,68,77,71,76,81,66,77,70,64,69,59,68,50,48,73,72,60,70.0,56,52,48,8,6,12,7,15,,67+2,67+2,67+2,72,71,71,71,72,72,72,72,72,70+2,70+2,70+2,72,64+2,62+2,62+2,62+2,64+2,62+2,56+2,56+2,56+2,62+2,15+2
236213,/player/236213/davide-diaw/240002,24.0,2.0,2023-09-22,D. Diaw,Davide Djily Diaw,ST,71,71,1600000.0,30000.0,31,1992-01-06,191,78,1848.0,Bari 1908,32.0,Serie B,2.0,SUB,18.0,Monza,,2024.0,27,Italy,,,,Right,3,3,1,High/Low,Normal (185+),No,,,Rapid,82.0,69.0,55.0,68.0,27.0,72.0,54,74,65,60,67,70,61,49,43,66,81,82,69,67,71,73,84,68,77,58,59,19,72,54,57,64.0,26,22,20,10,7,8,7,13,,71,71,71,67,68,68,68,67,65+2,65+2,65+2,66+2,57+2,57+2,57+2,66+2,49+2,45+2,45+2,45+2,49+2,46+2,43+2,43+2,43+2,46+2,16+2
258475,/player/258475/giuseppe-sibilli/240002,24.0,2.0,2023-09-22,G. Sibilli,Giuseppe Sibilli,"CF, LW, CAM",70,71,1900000.0,4000.0,26,1996-08-07,180,76,1848.0,Bari 1908,32.0,Serie B,2.0,CAM,20.0,Pisa,,2024.0,27,Italy,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,77.0,65.0,65.0,74.0,34.0,66.0,64,67,62,70,63,74,62,54,58,75,74,80,74,66,76,65,73,72,65,62,59,26,65,68,59,67.0,37,30,27,10,5,12,13,12,,68+2,68+2,68+2,70,70,70,70,70,70+1,70+1,70+1,70+1,64+2,64+2,64+2,70+1,55+2,52+2,52+2,52+2,55+2,52+2,47+2,47+2,47+2,52+2,16+2
137786,/player/137786/valerio-di-cesare/240002,24.0,2.0,2023-09-22,V. Di Cesare,Valerio Di Cesare,CB,70,70,,2000.0,40,1983-05-23,187,75,1848.0,Bari 1908,32.0,Serie B,2.0,RCB,6.0,,2018-09-13,2024.0,27,Italy,,,,Right,3,2,1,Medium/High,Normal (185+),No,,,Slide Tackle,34.0,47.0,33.0,55.0,72.0,71.0,20,48,74,45,22,54,20,45,37,60,36,32,31,66,49,58,72,51,79,53,75,68,22,22,25,68.0,69,75,73,8,11,12,10,9,,51+2,51+2,51+2,43,46,46,46,43,44+2,44+2,44+2,42+2,47+2,47+2,47+2,42+2,55+2,60+2,60+2,60+2,55+2,58+2,70,70,70,58+2,16+2
160766,/player/160766/jeremy-menez/240002,24.0,2.0,2023-09-22,J. Ménez,Jérémy Ménez,"CF, ST, LW",70,70,550000.0,3000.0,36,1987-05-07,183,77,1848.0,Bari 1908,32.0,Serie B,2.0,RES,7.0,,2023-07-19,2024.0,18,France,,,,Right,4,4,3,High/Low,Lean (170-185),Yes,880000.0,,"Flair, Trivela",63.0,72.0,70.0,74.0,31.0,51.0,67,71,60,73,73,76,79,74,64,74,64,62,71,60,71,73,67,34,63,71,36,28,71,70,79,77.0,45,14,20,3,7,3,7,3,,69+1,69+1,69+1,70,70,70,70,70,71-1,71-1,71-1,68+2,63+3,63+3,63+3,68+2,49+3,48+3,48+3,48+3,49+3,45+3,42+3,42+3,42+3,45+3,11+3
198223,/player/198223/raffaele-maiello/240002,24.0,2.0,2023-09-22,R. Maiello,Raffaele Maiello,"CM, CDM",70,70,1300000.0,3000.0,31,1991-07-10,177,73,1848.0,Bari 1908,32.0,Serie B,2.0,CM,17.0,,2022-07-01,2024.0,27,Italy,,,,Right,3,3,1,Medium/High,Normal (170-185),No,2100000.0,,"Long Ball Pass, Anticipate",69.0,61.0,67.0,73.0,57.0,65.0,53,60,52,74,40,69,55,58,69,74,76,64,80,71,82,64,68,75,61,66,62,56,65,70,60,74.0,58,60,56,11,11,5,11,12,,65+2,65+2,65+2,68,68,68,68,68,70,70,70,68+2,70,70,70,68+2,64+2,66+2,66+2,66+2,64+2,63+2,60+2,60+2,60+2,63+2,18+2
203782,/player/203782/ahmad-benali/240002,24.0,2.0,2023-09-22,A. Benali,Ahmad Benali,"CM, CF, CDM",70,70,1300000.0,3000.0,31,1992-02-07,173,66,1848.0,Bari 1908,32.0,Serie B,2.0,RCM,8.0,,2023-01-31,2024.0,123,Libya,,,,Right,2,4,1,Medium/Medium,Normal (170-185),No,2100000.0,#Acrobat,Flair,76.0,63.0,68.0,75.0,44.0,63.0,56,59,39,73,60,70,60,67,71,74,83,70,92,73,89,66,61,79,58,67,54,58,69,71,67,71.0,31,46,54,8,8,5,9,13,,65+2,65+2,65+2,70,70,70,70,70,72-2,72-2,72-2,70,70,70,70,70,63+2,62+2,62+2,62+2,63+2,60+2,52+2,52+2,52+2,60+2,16+2
242325,/player/242325/malcom-edjouma/240002,24.0,2.0,2023-09-22,M. Edjouma,Malcom Sylas Edjouma Laouari,"CM, CDM",69,71,1700000.0,8000.0,26,1996-10-08,191,88,1848.0,Bari 1908,32.0,Serie B,2.0,SUB,24.0,FCSB,,2024.0,129,Morocco,,,,Right,3,3,1,High/Medium,Normal (185+),No,,#Strength,"Power Header, Bruiser",66.0,65.0,63.0,68.0,69.0,83.0,52,66,73,67,59,68,51,40,73,69,65,66,60,68,72,74,86,79,89,60,72,72,68,70,46,69.0,66,69,64,15,10,14,12,10,,69+2,69+2,69+2,66,68,68,68,66,68+2,68+2,68+2,67+2,69+2,69+2,69+2,67+2,67+2,71,71,71,67+2,67+2,71,71,71,67+2,18+2
