player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
226356,/player/226356/mohamed-fares/240002,24.0,2.0,2023-09-22,M. Fares,Mohamed Salim Fares,"LW, LM",71,71,2000000.0,29000.0,27,1996-02-15,183,72,190.0,Brescia,32.0,Serie B,2.0,RES,93.0,Lazio,,2024.0,97,Algeria,,,,Left,3,3,1,High/Medium,Lean (170-185),No,,,Rapid,71.0,63.0,67.0,75.0,67.0,63.0,75,61,58,69,58,76,69,48,60,76,70,72,76,68,78,68,67,57,62,63,72,66,70,66,64,65.0,65,71,72,8,12,10,15,14,,67+2,67+2,67+2,71,70,70,70,71,70+1,70+1,70+1,70+1,68+2,68+2,68+2,70+1,69+2,67+2,67+2,67+2,69+2,69+2,67+2,67+2,67+2,69+2,18+2
229456,/player/229456/lorenzo-dickmann/240002,24.0,2.0,2023-09-22,L. Dickmann,Lorenzo Maria Dickmann,"RB, RWB, RM",70,73,1900000.0,3000.0,26,1996-09-24,177,70,190.0,Brescia,32.0,Serie B,2.0,LB,24.0,,2019-07-01,2025.0,27,Italy,,,,Right,3,2,1,High/Medium,Normal (170-185),No,3100000.0,,,70.0,52.0,61.0,66.0,69.0,64.0,63,48,53,64,52,65,62,45,58,64,69,70,68,64,81,57,61,81,56,58,64,72,62,60,43,66.0,70,70,70,7,5,5,13,9,,59+2,59+2,59+2,63,62,62,62,63,62+2,62+2,62+2,64+2,64+2,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,66+2,66+2,66+2,68+2,14+2
202489,/player/202489/dimitri-bisoli/240002,24.0,2.0,2023-09-22,D. Bisoli,Dimitri Bisoli,"CM, CDM",70,70,1600000.0,3000.0,29,1994-03-25,180,77,190.0,Brescia,32.0,Serie B,2.0,CM,25.0,,2017-07-01,2027.0,27,Italy,,,,Right,4,3,1,High/High,Lean (170-185),No,2500000.0,,Relentless,71.0,69.0,68.0,70.0,68.0,68.0,63,68,62,71,68,69,65,62,66,73,70,72,65,70,81,68,69,78,61,79,74,69,65,70,55,65.0,68,69,66,15,14,9,15,11,,68+2,68+2,68+2,69,70,70,70,69,70,70,70,69+1,70,70,70,69+1,70,70,70,70,70,69+1,68+2,68+2,68+2,69+1,20+2
226260,/player/226260/andrea-cistana/240002,24.0,2.0,2023-09-22,A. Cistana,Andrea Cistana,CB,69,73,1700000.0,2000.0,26,1997-04-01,185,78,190.0,Brescia,32.0,Serie B,2.0,RCB,15.0,,2016-07-01,2024.0,27,Italy,,,,Right,3,2,1,Medium/High,Lean (185+),No,2800000.0,,Block,68.0,52.0,57.0,63.0,69.0,70.0,51,56,71,66,39,60,51,39,56,65,64,72,70,66,71,62,76,70,70,40,70,70,44,52,40,60.0,71,68,66,16,10,15,7,15,,60+2,60+2,60+2,59,59,59,59,59,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,66+2,66+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,67+2,18+2
220915,/player/220915/gabriele-moncini/240002,24.0,2.0,2023-09-22,G. Moncini,Gabriele Moncini,ST,69,70,1600000.0,3000.0,27,1996-04-26,183,75,190.0,Brescia,32.0,Serie B,2.0,LS,11.0,,2023-08-31,2023.0,27,Italy,,,,Right,3,3,1,High/Medium,Normal (170-185),No,2600000.0,,Rapid,78.0,69.0,56.0,67.0,37.0,66.0,46,71,70,66,66,66,60,52,50,68,80,76,73,67,64,69,79,70,67,64,57,32,70,55,68,65.0,37,33,30,9,13,9,8,14,,69+1,69+1,69+1,66,68,68,68,66,66+2,66+2,66+2,65+2,60+2,60+2,60+2,65+2,53+2,51+2,51+2,51+2,53+2,51+2,49+2,49+2,49+2,51+2,17+2
208146,/player/208146/davide-adorni/240002,24.0,2.0,2023-09-22,D. Adorni,Davide Adorni,CB,69,69,1100000.0,2000.0,30,1992-08-09,185,78,190.0,Brescia,32.0,Serie B,2.0,SUB,28.0,,2022-01-31,2024.0,27,Italy,,,,Right,3,2,1,Medium/High,Normal (185+),No,1700000.0,,"Anticipate, Slide Tackle",73.0,44.0,52.0,53.0,71.0,69.0,45,42,70,65,40,46,38,36,52,53,70,75,66,68,63,59,73,71,66,37,71,68,33,45,47,65.0,72,73,70,13,15,11,12,7,,54+2,54+2,54+2,52,52,52,52,52,52+2,52+2,52+2,54+2,55+2,55+2,55+2,54+2,65+2,65+2,65+2,65+2,65+2,67+2,69,69,69,67+2,18+2
240685,/player/240685/tom-van-de-looi/240002,24.0,2.0,2023-09-22,T. van de Looi,Tom van de Looi,"CDM, CM",68,75,2300000.0,2000.0,23,1999-07-02,186,80,190.0,Brescia,32.0,Serie B,2.0,SUB,5.0,,2020-09-14,2024.0,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,4000000.0,,Finesse Shot,68.0,65.0,67.0,68.0,64.0,70.0,67,64,65,70,60,67,64,60,68,71,71,65,70,67,62,69,77,70,72,70,65,63,63,65,53,65.0,62,65,64,6,11,7,14,10,,67+2,67+2,67+2,67,67,67,67,67,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,66+2,66+2,66+2,66+2,66+2,16+2
235379,/player/235379/emanuele-ndoj/240002,24.0,2.0,2023-09-22,E. Ndoj,Emanuele Ndoj,"CM, CF",68,71,1600000.0,2000.0,26,1996-11-20,189,83,190.0,Brescia,32.0,Serie B,2.0,RCM,8.0,,2016-01-31,2024.0,1,Albania,,,,Right,2,3,1,Medium/Medium,Lean (185+),No,2600000.0,,,74.0,66.0,66.0,68.0,66.0,72.0,62,67,61,69,58,69,61,60,65,68,75,74,66,70,63,69,78,70,75,65,64,66,65,69,58,68.0,66,67,66,11,6,6,7,10,,68+2,68+2,68+2,68,68,68,68,68,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,68+2,15+2
251981,/player/251981/matthieu-huard/240002,24.0,2.0,2023-09-22,M. Huard,Matthieu Huard,LB,68,70,1400000.0,2000.0,25,1998-05-09,178,71,190.0,Brescia,32.0,Serie B,2.0,SUB,3.0,,2021-09-14,2024.0,18,France,,,,Left,3,2,1,Medium/High,Normal (170-185),No,2300000.0,,,78.0,40.0,56.0,64.0,64.0,72.0,59,32,60,62,34,62,55,36,58,62,77,79,70,68,74,50,78,77,72,45,64,63,58,48,40,61.0,64,66,65,14,10,9,6,7,,56+2,56+2,56+2,60,58,58,58,60,58+2,58+2,58+2,62+2,60+2,60+2,60+2,62+2,66+2,64+2,64+2,64+2,66+2,66+2,65+2,65+2,65+2,66+2,16+2
238286,/player/238286/alexander-jallow/240002,24.0,2.0,2023-09-22,A. Jallow,Alexander Jallow,RB,67,72,1400000.0,2000.0,25,1998-03-03,183,71,190.0,Brescia,32.0,Serie B,2.0,SUB,18.0,,2022-08-26,2026.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2300000.0,,,80.0,55.0,58.0,66.0,60.0,66.0,60,54,49,60,45,65,58,44,55,66,79,80,73,67,68,62,67,78,65,55,53,60,57,56,47,59.0,60,63,60,8,12,11,8,12,,61+2,61+2,61+2,64,62,62,62,64,62+2,62+2,62+2,64+2,61+2,61+2,61+2,64+2,65+2,62+2,62+2,62+2,65+2,65+2,61+2,61+2,61+2,65+2,16+2
