player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233425,/player/233425/elhan-kastrati/240002,24.0,2.0,2023-09-22,E. Kastrati,Elhan Kastrati,GK,69,74,1600000.0,1000.0,26,1997-02-02,189,82,111993.0,Cittadella,32.0,Serie B,2.0,GK,36.0,,2020-10-13,2026.0,1,Albania,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2600000.0,,Footwork,,,,,,,11,11,12,23,10,13,13,10,22,16,35,38,38,57,44,48,50,25,48,10,20,9,8,30,10,43.0,12,11,11,70,67,64,70,71,36.0,23+2,23+2,23+2,21,23,23,23,21,23+2,23+2,23+2,22+2,22+2,22+2,22+2,22+2,20+2,21+2,21+2,21+2,20+2,20+2,20+2,20+2,20+2,20+2,68+2
244229,/player/244229/domenico-frare/240002,24.0,2.0,2023-09-22,D. Frare,Domenico Frare,CB,68,69,1200000.0,1000.0,27,1996-05-10,187,80,111993.0,Cittadella,32.0,Serie B,2.0,RCB,15.0,,2018-07-05,2024.0,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2000000.0,,"Jockey, Intercept",58.0,45.0,49.0,51.0,68.0,78.0,45,40,71,55,38,50,30,32,50,52,50,65,46,60,52,61,79,69,84,40,72,63,47,50,47,60.0,70,68,65,11,9,7,12,8,,54+2,54+2,54+2,50,51,51,51,50,51+2,51+2,51+2,52+2,54+2,54+2,54+2,52+2,60+2,62+2,62+2,62+2,60+2,61+2,68+1,68+1,68+1,61+2,15+2
200914,/player/200914/alessandro-salvi/240002,24.0,2.0,2023-09-22,A. Salvi,Alessandro Salvi,"RB, LB, RM",68,68,375000.0,1000.0,35,1988-06-05,183,76,111993.0,Cittadella,32.0,Serie B,2.0,SUB,2.0,,2023-01-06,2024.0,27,Italy,,,,Right,4,3,1,High/Medium,Lean (170-185),No,581000.0,,,74.0,59.0,63.0,66.0,64.0,72.0,61,56,59,68,51,63,52,50,62,65,76,73,79,69,74,64,76,72,71,61,72,59,59,61,60,63.0,67,65,65,10,16,7,13,14,,63+2,63+2,63+2,65,64,64,64,65,65+2,65+2,65+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,66+2,19+2
208311,/player/208311/simone-branca/240002,24.0,2.0,2023-09-22,S. Branca,Simone Branca,"CM, CDM",68,68,1000000.0,2000.0,31,1992-03-25,179,70,111993.0,Cittadella,32.0,Serie B,2.0,CM,23.0,,2018-07-06,2027.0,27,Italy,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1600000.0,,Slide Tackle,71.0,60.0,67.0,69.0,63.0,73.0,61,56,61,71,57,68,60,55,69,69,73,69,72,66,74,68,76,81,71,63,67,65,59,67,55,64.0,62,65,61,15,7,10,15,15,,64+2,64+2,64+2,66,66,66,66,66,67+1,67+1,67+1,67+1,68,68,68,67+1,67+1,68,68,68,67+1,66+2,65+2,65+2,65+2,66+2,19+2
227223,/player/227223/alessio-vita/240002,24.0,2.0,2023-09-22,A. Vita,Alessio Vita,"CM, RB",67,67,975000.0,1000.0,30,1993-03-16,178,67,111993.0,Cittadella,32.0,Serie B,2.0,CAM,16.0,,2019-07-04,2028.0,27,Italy,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1500000.0,,,78.0,62.0,67.0,68.0,58.0,65.0,66,61,55,71,53,64,62,57,68,67,81,75,82,71,78,60,73,68,64,67,62,58,62,66,65,65.0,58,60,58,10,7,13,12,15,,64+2,64+2,64+2,68-1,66,66,66,68-1,68-1,68-1,68-1,68-1,67,67,67,68-1,65+2,64+2,64+2,64+2,65+2,65+2,61+2,61+2,61+2,65+2,18+2
252589,/player/252589/nicola-pavan/240002,24.0,2.0,2023-09-22,N. Pavan,Nicola Pavan,"CM, CDM, CB",66,66,825000.0,1000.0,30,1993-06-15,186,80,111993.0,Cittadella,32.0,Serie B,2.0,LCB,26.0,,2019-08-06,2024.0,27,Italy,,,,Right,3,2,1,Medium/High,Normal (185+),No,1300000.0,,Slide Tackle,69.0,59.0,65.0,66.0,63.0,71.0,60,54,67,70,55,66,64,59,68,69,68,70,60,65,61,70,75,72,71,60,67,62,55,61,55,63.0,63,63,63,8,14,9,7,6,,63+2,63+2,63+2,64,64,64,64,64,64+2,64+2,64+2,65+1,66,66,66,65+1,66,66,66,66,66,65+1,66,66,66,65+1,15+2
243251,/player/243251/andrea-danzi/240002,24.0,2.0,2023-09-22,A. Danzi,Andrea Danzi,"CM, CDM",65,70,1100000.0,850.0,24,1999-02-25,175,75,111993.0,Cittadella,32.0,Serie B,2.0,SUB,27.0,,2021-07-01,2024.0,27,Italy,,,,Right,4,3,1,Medium/High,Lean (170-185),No,1800000.0,,,60.0,47.0,66.0,66.0,60.0,59.0,55,40,55,70,44,64,45,61,72,71,61,59,62,60,80,58,60,58,57,49,66,61,58,71,48,50.0,61,60,62,8,9,12,7,6,,57+2,57+2,57+2,61,61,61,61,61,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,62+2,65+2,65+2,65+2,62+2,61+2,61+2,61+2,61+2,61+2,14+2
270856,/player/270856/giuseppe-carriero/240002,24.0,2.0,2023-09-22,G. Carriero,Giuseppe Carriero,CM,65,68,950000.0,900.0,25,1997-09-04,175,70,111993.0,Cittadella,32.0,Serie B,2.0,RCM,20.0,,2022-07-18,2025.0,27,Italy,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1500000.0,,Pinged Pass,67.0,57.0,65.0,68.0,55.0,64.0,58,54,51,70,61,66,66,57,65,71,70,65,72,65,71,64,61,72,58,56,68,59,57,66,55,65.0,55,54,56,5,7,14,12,15,,61+2,61+2,61+2,64,64,64,64,64,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,63+2,63+2,63+2,63+2,63+2,61+2,59+2,59+2,59+2,61+2,16+2
275912,/player/275912/filippo-pittarello/240002,24.0,2.0,2023-09-22,F. Pittarello,Filippo Pittarello,ST,65,68,950000.0,1000.0,26,1996-10-09,192,88,111993.0,Cittadella,32.0,Serie B,2.0,LS,11.0,,2023-07-08,2028.0,27,Italy,,,,Right,3,3,1,Medium/High,Normal (185+),No,1500000.0,,,69.0,64.0,58.0,60.0,45.0,74.0,55,61,72,63,61,60,65,55,49,64,64,73,59,59,45,75,84,65,83,58,58,40,60,58,69,61.0,37,48,39,8,15,9,9,12,,65+2,65+2,65+2,61,62,62,62,61,61+2,61+2,61+2,61+2,58+2,58+2,58+2,61+2,54+2,53+2,53+2,53+2,54+2,53+2,55+2,55+2,55+2,53+2,16+2
206165,/player/206165/luca-maniero/240002,24.0,2.0,2023-09-22,L. Maniero,Luca Maniero,GK,65,67,600000.0,750.0,28,1995-06-12,187,80,111993.0,Cittadella,32.0,Serie B,2.0,SUB,77.0,,2018-07-04,2027.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Stocky (185+),No,975000.0,,,,,,,,,13,12,16,28,17,13,19,16,25,22,41,39,55,53,32,46,62,30,68,15,17,12,10,30,22,49.0,12,14,14,66,65,61,64,67,40.0,26+2,26+2,26+2,24,25,25,25,24,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,23+2,24+2,24+2,24+2,23+2,23+2,24+2,24+2,24+2,23+2,64+2
