player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
196889,/player/196889/simone-verdi/240002,24.0,2.0,2023-09-22,S. Verdi,Simone Verdi,"CF, CAM",74,74,4100000.0,5000.0,30,1992-07-12,174,72,1745.0,Como,32.0,Serie B,2.0,SUB,90.0,,2023-08-25,2025.0,27,Italy,,,,Left,5,4,2,Medium/Low,Normal (170-185),No,6600000.0,,"Chip Shot, Pinged Pass, Flair, Trivela",76.0,73.0,75.0,78.0,43.0,49.0,72,73,46,76,74,78,80,85,71,75,83,70,84,70,86,74,56,62,43,72,48,36,74,73,78,74.0,40,48,48,12,10,7,15,9,,70+2,70+2,70+2,75-1,74,74,74,75-1,75-1,75-1,75-1,74,70+2,70+2,70+2,74,61+2,58+2,58+2,58+2,61+2,58+2,49+2,49+2,49+2,58+2,18+2
229082,/player/229082/oliver-abildgaard/240002,24.0,2.0,2023-09-22,O. Abildgaard,Oliver Abildgaard,"CDM, CM",73,74,3100000.0,4000.0,27,1996-06-10,192,86,1745.0,Como,32.0,Serie B,2.0,LDM,28.0,,2023-07-12,2024.0,13,Denmark,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,5200000.0,,,60.0,63.0,68.0,70.0,70.0,79.0,55,58,76,75,61,69,62,61,69,72,52,66,62,73,70,74,81,79,82,68,73,68,68,69,45,70.0,68,72,71,11,9,10,11,10,,69+2,69+2,69+2,66,68,68,68,66,69+2,69+2,69+2,67+2,71+2,71+2,71+2,67+2,69+2,72+2,72+2,72+2,69+2,69+2,73+1,73+1,73+1,69+2,17+2
237715,/player/237715/patrick-cutrone/240002,24.0,2.0,2023-09-22,P. Cutrone,Patrick Cutrone,ST,72,76,3300000.0,4000.0,25,1998-01-03,183,79,1745.0,Como,32.0,Serie B,2.0,RS,10.0,,2022-08-29,2025.0,27,Italy,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,5500000.0,,,72.0,71.0,56.0,72.0,29.0,68.0,48,74,72,66,71,72,63,42,44,75,69,74,63,70,74,72,79,64,72,63,62,14,75,56,68,72.0,36,20,18,10,7,7,10,5,,72+2,72+2,72+2,68,71,71,71,68,68+2,68+2,68+2,67+2,59+2,59+2,59+2,67+2,48+2,47+2,47+2,47+2,48+2,46+2,44+2,44+2,44+2,46+2,15+2
211557,/player/211557/federico-barba/240002,24.0,2.0,2023-09-22,F. Barba,Federico Barba,"CB, LB",72,72,2000000.0,4000.0,29,1993-09-01,185,80,1745.0,Como,32.0,Serie B,2.0,LCB,93.0,,2023-08-01,2027.0,27,Italy,,,,Left,2,2,1,Medium/Medium,Normal (185+),No,3200000.0,,"Block, Slide Tackle",69.0,31.0,60.0,61.0,73.0,73.0,66,21,71,67,35,59,50,29,62,63,68,69,66,70,49,49,81,66,76,31,72,72,27,50,45,68.0,75,72,69,7,11,12,13,8,,50+2,50+2,50+2,55,52,52,52,55,54+2,54+2,54+2,58+2,59+2,59+2,59+2,58+2,68+2,68+2,68+2,68+2,68+2,69+2,72,72,72,69+2,16+2
220933,/player/220933/alessandro-bellemo/240002,24.0,2.0,2023-09-22,A. Bellemo,Alessandro Bellemo,"CM, CDM",72,72,2500000.0,4000.0,27,1995-08-07,184,82,1745.0,Como,32.0,Serie B,2.0,RDM,14.0,,2019-07-14,2026.0,27,Italy,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,4000000.0,,"Slide Tackle, Relentless",54.0,62.0,70.0,69.0,64.0,69.0,64,59,58,78,65,68,58,62,72,75,51,56,62,68,67,68,60,92,60,60,65,71,62,66,62,68.0,62,65,63,10,10,7,8,12,,64+2,64+2,64+2,66,66,66,66,66,68+2,68+2,68+2,68+2,72,72,72,68+2,69+2,71+1,71+1,71+1,69+2,68+2,65+2,65+2,65+2,68+2,16+2
254579,/player/254579/lucas-da-cunha/240002,24.0,2.0,2023-09-22,L. Da Cunha,Lucas Da Cunha,"CAM, RM",71,76,2900000.0,3000.0,22,2001-06-09,176,69,1745.0,Como,32.0,Serie B,2.0,RAM,33.0,,2023-01-16,2026.0,18,France,,,,Left,3,3,1,High/Medium,Lean (170-185),No,4900000.0,,Trivela,76.0,67.0,68.0,74.0,39.0,55.0,62,64,56,72,60,74,68,57,69,75,78,75,80,63,73,71,66,60,54,72,50,33,70,67,62,65.0,31,44,42,8,9,14,15,14,,68+2,68+2,68+2,71,70,70,70,71,71+2,71+2,71+2,70+2,66+2,66+2,66+2,70+2,57+2,55+2,55+2,55+2,57+2,54+2,48+2,48+2,48+2,54+2,17+2
205407,/player/205407/daniele-baselli/240002,24.0,2.0,2023-09-22,D. Baselli,Daniele Baselli,"CM, CDM",71,71,1500000.0,3000.0,31,1992-03-12,182,75,1745.0,Como,32.0,Serie B,2.0,SUB,8.0,,2022-08-09,2024.0,27,Italy,,,,Right,3,4,2,High/Medium,Lean (170-185),No,2400000.0,,Power Shot,64.0,71.0,75.0,74.0,64.0,61.0,74,67,61,76,71,74,77,73,74,74,63,65,75,66,75,75,67,53,62,76,65,65,68,76,71,74.0,67,63,62,11,12,13,7,6,,69+2,69+2,69+2,71,71,71,71,71,72-1,72-1,72-1,71,71,71,71,71,67+2,68+2,68+2,68+2,67+2,66+2,65+2,65+2,65+2,66+2,15+2
268762,/player/268762/marco-curto/240002,24.0,2.0,2023-09-22,M. Curto,Marco Curto,"CB, RB",70,77,3000000.0,2000.0,24,1999-01-05,191,80,1745.0,Como,32.0,Serie B,2.0,SUB,5.0,Südtirol,,2024.0,27,Italy,,,,Right,2,2,1,Medium/High,Normal (185+),No,,,,65.0,37.0,48.0,50.0,70.0,78.0,59,33,65,56,32,44,50,17,44,59,62,68,44,69,42,40,78,73,83,37,70,70,58,34,35,50.0,72,70,68,13,15,12,12,11,,53+2,53+2,53+2,52,51,51,51,52,50+2,50+2,50+2,54+2,54+2,54+2,54+2,54+2,65+2,64+2,64+2,64+2,65+2,67+2,70+2,70+2,70+2,67+2,19+2
245714,/player/245714/alejandro-blanco-sanchez/240002,24.0,2.0,2023-09-22,Álex Blanco,Alejandro Blanco Sánchez,"LM, CAM, CM",70,75,2400000.0,3000.0,24,1998-12-16,175,70,1745.0,Como,32.0,Serie B,2.0,SUB,11.0,,2022-01-19,2024.0,45,Spain,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,4000000.0,,"Finesse Shot, Pinged Pass, Technical",81.0,63.0,66.0,72.0,37.0,54.0,69,68,45,70,44,70,54,45,68,72,81,81,82,61,80,66,64,60,56,58,40,42,60,61,56,63.0,38,32,28,6,8,12,14,14,,64+2,64+2,64+2,69,67,67,67,69,68+2,68+2,68+2,69+2,63+2,63+2,63+2,69+2,56+2,53+2,53+2,53+2,56+2,53+2,45+2,45+2,45+2,53+2,16+2
244274,/player/244274/adrian-semper/240002,24.0,2.0,2023-09-22,A. Šemper,Adrian Šemper,GK,70,73,1600000.0,2000.0,25,1998-01-12,194,89,1745.0,Como,32.0,Serie B,2.0,GK,1.0,,2023-07-12,2027.0,10,Croatia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2700000.0,,,,,,,,,14,15,12,34,9,12,12,13,31,29,30,32,31,68,22,47,51,21,51,13,28,11,9,65,15,25.0,13,12,15,71,67,63,68,70,31.0,27+2,27+2,27+2,27,29,29,29,27,32+2,32+2,32+2,28+2,32+2,32+2,32+2,28+2,23+2,28+2,28+2,28+2,23+2,23+2,23+2,23+2,23+2,23+2,69+2
