player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
213993,/player/213993/francesco-forte/240002,24.0,2.0,2023-09-22,F. Forte,Francesco Forte,ST,70,70,1600000.0,4000.0,30,1993-05-01,187,75,112168.0,Cosenza,32.0,Serie B,2.0,SUB,88.0,Ascoli,,2024.0,27,Italy,,,,Left,3,2,1,Medium/Medium,Lean (185+),No,,,,53.0,72.0,62.0,67.0,32.0,72.0,58,75,72,70,57,66,55,45,62,70,53,53,62,72,66,71,75,67,75,66,68,33,76,59,76,73.0,31,23,20,9,12,9,13,12,,70,70,70,66,68,68,68,66,67+2,67+2,67+2,66+2,63+2,63+2,63+2,66+2,50+2,52+2,52+2,52+2,50+2,47+2,47+2,47+2,47+2,47+2,18+2
235021,/player/235021/luigi-canotto/240002,24.0,2.0,2023-09-22,L. Canotto,Luigi Canotto,"RW, ST, RM",70,70,1600000.0,9000.0,29,1994-05-19,175,71,112168.0,Cosenza,32.0,Serie B,2.0,SUB,31.0,Frosinone,,2024.0,27,Italy,,,,Right,5,3,1,High/Low,Lean (170-185),No,,,Technical,73.0,64.0,66.0,71.0,41.0,56.0,68,70,43,71,50,72,54,44,64,69,73,73,74,66,80,66,52,61,49,55,67,38,72,64,50,65.0,41,42,38,13,6,6,10,12,,65+2,65+2,65+2,70,69,69,69,70,69+1,69+1,69+1,69+1,64+2,64+2,64+2,69+1,57+2,55+2,55+2,55+2,57+2,54+2,48+2,48+2,48+2,54+2,16+2
238580,/player/238580/idriz-voca/240002,24.0,2.0,2023-09-22,I. Voca,Idriz Voca,"CDM, CM, CAM",69,73,1700000.0,2000.0,26,1997-05-15,181,74,112168.0,Cosenza,32.0,Serie B,2.0,CAM,42.0,,2022-01-28,2024.0,219,Kosovo,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2800000.0,,Long Ball Pass,61.0,57.0,65.0,66.0,68.0,70.0,58,58,62,70,51,65,55,50,67,67,57,64,66,65,70,60,69,77,71,55,60,64,60,66,50,64.0,69,71,66,15,9,14,13,11,,62+2,62+2,62+2,63,63,63,63,63,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,66+2,68+2,68+2,68+2,66+2,66+2,67+2,67+2,67+2,66+2,18+2
268736,/player/268736/simone-mazzocchi/240002,24.0,2.0,2023-09-22,S. Mazzocchi,Simone Mazzocchi,"ST, CAM",69,73,2000000.0,19000.0,24,1998-08-17,178,70,112168.0,Cosenza,32.0,Serie B,2.0,LAM,30.0,Atalanta,,2024.0,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,Power Header,64.0,70.0,50.0,67.0,26.0,59.0,37,71,68,60,67,62,62,58,38,73,63,65,72,68,71,73,70,68,64,68,30,24,73,51,62,66.0,22,20,16,13,10,12,7,10,,69+2,69+2,69+2,64,67,67,67,64,64+2,64+2,64+2,61+2,57+2,57+2,57+2,61+2,45+2,43+2,43+2,43+2,45+2,43+2,39+2,39+2,39+2,43+2,16+2
189557,/player/189557/andrea-rispoli/240002,24.0,2.0,2023-09-22,A. Rispoli,Andrea Rispoli,"RB, RM",69,69,500000.0,2000.0,34,1988-09-29,188,78,112168.0,Cosenza,32.0,Serie B,2.0,RB,3.0,,2022-07-09,2024.0,27,Italy,,,,Right,3,3,1,High/Medium,Normal (185+),No,775000.0,,"Whipped Cross, Rapid, Long Throw",73.0,61.0,65.0,65.0,64.0,73.0,69,63,67,68,51,65,61,54,64,66,69,76,65,68,53,65,76,73,74,55,69,66,57,58,59,59.0,58,67,63,15,10,14,9,12,,65+2,65+2,65+2,65,64,64,64,65,64+2,64+2,64+2,66+2,65+2,65+2,65+2,66+2,67+2,66+2,66+2,66+2,67+2,67+2,67+2,67+2,67+2,67+2,18+2
224977,/player/224977/alessandro-micai/240002,24.0,2.0,2023-09-22,A. Micai,Alessandro Micai,GK,69,69,950000.0,2000.0,29,1993-07-24,186,77,112168.0,Cosenza,32.0,Serie B,2.0,GK,1.0,,2023-01-02,2026.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1500000.0,,Footwork,,,,,,,20,17,13,26,19,17,17,19,27,19,48,46,36,69,57,48,60,18,57,15,16,18,12,35,24,55.0,17,18,17,67,70,64,64,73,47.0,29+2,29+2,29+2,27,28,28,28,27,27+2,27+2,27+2,28+2,26+2,26+2,26+2,28+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,26+2,68+1
229750,/player/229750/tommaso-dorazio/240002,24.0,2.0,2023-09-22,T. D'Orazio,Tommaso D'Orazio,"LB, LM",69,69,725000.0,2000.0,33,1990-05-03,185,75,112168.0,Cosenza,32.0,Serie B,2.0,LB,11.0,,2023-07-01,2028.0,27,Italy,,,,Left,3,3,1,High/Medium,Normal (185+),No,1100000.0,,Anticipate,76.0,61.0,61.0,67.0,62.0,65.0,67,59,59,65,58,68,65,59,59,67,70,80,64,63,72,64,67,79,60,64,60,62,60,50,59,67.0,60,64,66,11,11,6,9,12,,63+2,63+2,63+2,65,64,64,64,65,63+2,63+2,63+2,66+2,63+2,63+2,63+2,66+2,67+2,63+2,63+2,63+2,67+2,67+2,63+2,63+2,63+2,67+2,16+2
251769,/player/251769/giacomo-calo/240002,24.0,2.0,2023-09-22,G. Calò,Giacomo Calò,"CDM, CM",68,73,1600000.0,2000.0,26,1997-02-05,180,74,112168.0,Cosenza,32.0,Serie B,2.0,LDM,14.0,,2023-07-01,2027.0,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2600000.0,,"Pinged Pass, Slide Tackle",64.0,49.0,63.0,61.0,62.0,71.0,50,45,51,71,43,60,45,55,68,61,67,62,57,70,71,58,65,73,70,52,70,67,51,65,44,67.0,57,67,64,9,7,14,12,9,,57+2,57+2,57+2,59,59,59,59,59,62+2,62+2,62+2,61+2,65+2,65+2,65+2,61+2,64+2,67+2,67+2,67+2,64+2,64+2,64+2,64+2,64+2,64+2,16+2
220528,/player/220528/gennaro-tutino/240002,24.0,2.0,2023-09-22,G. Tutino,Gennaro Tutino,"ST, LW, CAM",68,69,1400000.0,2000.0,26,1996-08-20,177,76,112168.0,Cosenza,32.0,Serie B,2.0,ST,9.0,Parma,,2024.0,27,Italy,,,,Right,3,3,1,High/Low,Normal (170-185),No,,,"Finesse Shot, Rapid",79.0,67.0,68.0,71.0,37.0,65.0,69,64,63,70,63,71,64,71,67,70,75,82,80,65,72,71,74,66,66,68,57,33,64,65,75,59.0,36,34,34,15,7,7,13,7,,68+1,68+1,68+1,70-1,69,69,69,70-1,69,69,69,69,64+2,64+2,64+2,69,56+2,54+2,54+2,54+2,56+2,54+2,49+2,49+2,49+2,54+2,16+2
271572,/player/271572/alessandro-fontanarosa/240002,24.0,2.0,2023-09-22,A. Fontanarosa,Alessandro Fontanarosa,"CB, LB",67,81,2300000.0,13000.0,20,2003-01-07,185,71,112168.0,Cosenza,32.0,Serie B,2.0,LCB,6.0,Inter,,2024.0,27,Italy,,,,Left,3,2,1,Medium/High,Lean (185+),No,,,Slide Tackle,73.0,58.0,61.0,65.0,67.0,62.0,61,59,68,69,45,63,51,46,60,66,75,72,67,60,66,70,75,48,65,48,71,65,50,56,58,68.0,65,69,68,13,8,13,13,7,,62+2,62+2,62+2,62,62,62,62,62,62+2,62+2,62+2,62+2,61+2,61+2,61+2,62+2,64+2,64+2,64+2,64+2,64+2,65+2,67+2,67+2,67+2,65+2,16+2
248147,/player/248147/mateusz-praszelik/240002,24.0,2.0,2023-09-22,M. Praszelik,Mateusz Praszelik,"CF, CAM",66,75,1900000.0,7000.0,22,2000-09-26,184,74,112168.0,Cosenza,32.0,Serie B,2.0,SUB,26.0,Hellas Verona,,2024.0,37,Poland,,,,Right,3,3,1,High/Medium,Lean (170-185),No,,,"Finesse Shot, Technical, Flair",68.0,63.0,67.0,70.0,39.0,62.0,63,61,48,68,57,70,71,69,67,68,72,65,76,64,72,71,63,71,61,63,52,30,60,67,58,66.0,37,42,47,9,7,12,8,8,,63+2,63+2,63+2,66,66,66,66,66,67+2,67+2,67+2,67+2,64+2,64+2,64+2,67+2,56+2,54+2,54+2,54+2,56+2,54+2,48+2,48+2,48+2,54+2,14+2
