player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
207471,/player/207471/franco-vazquez/240002,24.0,2.0,2023-09-22,F. Vázquez,Franco Damián Vázquez,"CAM, CF",76,76,3500000.0,5000.0,34,1989-02-22,187,82,111434.0,Cremonese,32.0,Serie B,2.0,CAM,20.0,,2023-07-17,2024.0,52,Argentina,,,,Left,3,4,2,High/Medium,Normal (185+),Yes,5600000.0,,"Chip Shot, Power Shot, Dead Ball, Flair, First Touch, Trivela",46.0,78.0,77.0,77.0,58.0,76.0,73,80,69,78,79,81,80,68,75,82,40,51,67,70,35,76,69,71,78,80,78,69,75,80,67,77.0,50,59,48,14,15,13,9,7,,74+2,74+2,74+2,74,75,75,75,74,76,76,76,73+2,76,76,76,73+2,66+2,70+2,70+2,70+2,66+2,63+2,65+2,65+2,65+2,63+2,18+2
233732,/player/233732/david-okereke/240002,24.0,2.0,2023-09-22,D. Okereke,David Chidozie Okereke,"ST, RW, LW",74,77,5500000.0,5000.0,25,1997-08-29,181,79,111434.0,Cremonese,32.0,Serie B,2.0,RS,77.0,,2022-07-29,2025.0,133,Nigeria,,,,Right,4,3,1,High/Medium,Normal (170-185),No,9200000.0,,"Slide Tackle, Flair, First Touch",85.0,71.0,56.0,77.0,26.0,67.0,43,76,71,68,72,78,67,51,33,75,81,88,86,70,68,73,83,74,69,56,48,17,76,64,68,68.0,31,17,15,11,14,9,8,8,,74+2,74+2,74+2,72,74,74,74,72,71+2,71+2,71+2,70+2,60+2,60+2,60+2,70+2,50+2,45+2,45+2,45+2,50+2,47+2,42+2,42+2,42+2,47+2,17+2
185144,/player/185144/massimo-coda/240002,24.0,2.0,2023-09-22,M. Coda,Massimo Coda,ST,74,74,2100000.0,24000.0,34,1988-11-10,184,73,111434.0,Cremonese,32.0,Serie B,2.0,SUB,90.0,Genoa,,2024.0,27,Italy,,,,Right,4,3,1,High/Low,Normal (170-185),No,,,Power Header,61.0,75.0,58.0,71.0,25.0,65.0,48,79,75,65,63,71,71,66,42,75,67,56,59,73,66,77,80,58,73,70,51,26,79,60,63,75.0,18,17,16,15,10,7,11,16,,74,74,74,68,72,72,72,68,68+2,68+2,68+2,66+2,60+2,60+2,60+2,66+2,46+2,45+2,45+2,45+2,46+2,44+2,42+2,42+2,42+2,44+2,19+2
192073,/player/192073/andrea-bertolacci/240002,24.0,2.0,2023-09-22,A. Bertolacci,Andrea Bertolacci,"CM, CAM, CDM",73,73,2400000.0,4000.0,32,1991-01-11,179,72,111434.0,Cremonese,32.0,Serie B,2.0,RCM,91.0,,2023-07-21,2025.0,27,Italy,,,,Left,3,3,2,Medium/Low,Normal (170-185),No,3800000.0,,"Technical, Flair",55.0,69.0,73.0,74.0,71.0,65.0,71,65,64,76,69,74,70,64,76,76,57,53,70,69,77,75,65,63,61,74,75,70,74,72,56,75.0,75,71,70,7,8,7,7,9,,69+2,69+2,69+2,70,71,71,71,70,72+1,72+1,72+1,70+2,73,73,73,70+2,69+2,72+1,72+1,72+1,69+2,69+2,70+2,70+2,70+2,69+2,14+2
265187,/player/265187/felix-afena-gyan/240002,24.0,2.0,2023-09-22,F. Afena-Gyan,Felix Ohene Afena-Gyan,ST,72,82,5000000.0,3000.0,20,2003-01-19,175,75,111434.0,Cremonese,32.0,Serie B,2.0,SUB,11.0,,2022-08-30,2026.0,117,Ghana,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,9000000.0,,"Rapid, Quick Step, Trivela",89.0,72.0,59.0,72.0,39.0,62.0,56,75,67,65,71,72,62,61,62,75,88,90,75,64,72,69,81,58,67,70,50,37,68,49,71,64.0,34,38,34,11,5,6,5,7,,72+2,72+2,72+2,71,70,70,70,71,68+2,68+2,68+2,69+2,62+2,62+2,62+2,69+2,56+2,52+2,52+2,52+2,56+2,54+2,50+2,50+2,50+2,54+2,13+2
260593,/player/260593/gonzalo-abrego/240002,24.0,2.0,2023-09-22,G. Abrego,Gonzalo Damián Abrego,"CM, CDM",72,79,4700000.0,7000.0,23,2000-01-07,184,75,111434.0,Cremonese,32.0,Serie B,2.0,SUB,32.0,Godoy Cruz,,2024.0,52,Argentina,,,,Right,3,3,1,High/Medium,Lean (170-185),No,,,"Bruiser, Technical, Flair",66.0,60.0,70.0,72.0,65.0,79.0,57,56,61,74,47,72,68,57,73,74,63,69,74,67,66,77,72,84,75,58,82,64,65,75,53,62.0,65,67,66,12,15,11,13,13,,66+2,66+2,66+2,67,68,68,68,67,70+2,70+2,70+2,69+2,72+2,72+2,72+2,69+2,68+2,71+2,71+2,71+2,68+2,67+2,68+2,68+2,68+2,67+2,19+2
235935,/player/235935/luca-zanimacchia/240002,24.0,2.0,2023-09-22,L. Zanimacchia,Luca Zanimacchia,"RM, CAM",72,75,3200000.0,3000.0,24,1998-07-19,178,70,111434.0,Cremonese,32.0,Serie B,2.0,RM,98.0,,2022-07-01,2026.0,27,Italy,,,,Right,2,3,1,Medium/Medium,Lean (170-185),No,5400000.0,,"Rapid, Flair",69.0,72.0,70.0,69.0,29.0,55.0,70,74,47,70,62,72,68,70,64,73,66,72,60,68,52,75,54,74,52,68,39,18,77,75,67,53.0,29,31,30,10,12,10,14,7,,69+2,69+2,69+2,71,72,72,72,71,71+2,71+2,71+2,71+2,66+2,66+2,66+2,71+2,54+2,50+2,50+2,50+2,54+2,50+2,40+2,40+2,40+2,50+2,17+2
233968,/player/233968/leonardo-sernicola/240002,24.0,2.0,2023-09-22,L. Sernicola,Leonardo Sernicola,"RB, RM, RWB",72,73,2500000.0,4000.0,26,1997-03-30,187,81,111434.0,Cremonese,32.0,Serie B,2.0,SUB,17.0,,2022-07-08,2025.0,27,Italy,,,,Right,3,2,1,Low/High,Normal (185+),No,4200000.0,,Whipped Cross,70.0,58.0,70.0,70.0,68.0,69.0,74,54,65,72,40,71,66,59,67,72,70,70,64,71,73,68,72,78,67,59,62,69,68,70,56,64.0,69,69,67,13,15,7,9,7,,66+2,66+2,66+2,69,68,68,68,69,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,71+2,70+2,68+2,68+2,68+2,70+2,17+2
268576,/player/268576/michele-collocolo/240002,24.0,2.0,2023-09-22,M. Collocolo,Michele Collocolo,"CDM, CM",71,79,3900000.0,3000.0,23,1999-11-08,188,78,111434.0,Cremonese,32.0,Serie B,2.0,LCM,8.0,,2023-07-22,2027.0,27,Italy,,,,Right,3,2,1,High/Medium,Lean (185+),No,7000000.0,,,70.0,59.0,64.0,67.0,68.0,75.0,53,59,54,72,57,67,66,58,68,67,67,73,72,64,62,64,68,77,72,52,81,62,69,61,58,67.0,68,76,74,8,5,9,11,6,,64+2,64+2,64+2,65,65,65,65,65,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,68+2,70+2,70+2,70+2,68+2,68+2,69+2,69+2,69+2,68+2,14+2
258714,/player/258714/emanuele-valeri/240002,24.0,2.0,2023-09-22,E. Valeri,Emanuele Valeri,"LB, LM, LWB",71,77,2800000.0,3000.0,24,1998-12-07,180,78,111434.0,Cremonese,32.0,Serie B,2.0,LM,3.0,,2020-09-10,2024.0,27,Italy,,,,Left,3,3,1,High/Medium,Normal (170-185),No,5000000.0,,"Whipped Cross, Slide Tackle",73.0,63.0,67.0,70.0,65.0,59.0,71,60,52,70,56,69,64,74,65,73,75,71,68,74,68,68,59,75,48,67,65,68,69,60,56,60.0,70,64,64,8,10,13,12,12,,65+2,65+2,65+2,69,68,68,68,69,68+2,68+2,68+2,70+2,68+2,68+2,68+2,70+2,70+2,68+2,68+2,68+2,70+2,69+2,64+2,64+2,64+2,69+2,18+2
