player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224982,/player/224982/antonio-palumbo/240002,24.0,2.0,2023-09-22,A. Palumbo,Antonio Palumbo,"CM, CAM, CF",72,73,2700000.0,4000.0,26,1996-08-06,182,76,1744.0,Modena,32.0,Serie B,2.0,RCM,5.0,,2023-07-18,2027.0,27,Italy,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,4400000.0,,"Pinged Pass, Long Ball Pass, Rapid",67.0,62.0,70.0,72.0,58.0,73.0,58,63,54,76,42,71,60,66,72,74,71,64,75,70,71,58,73,82,77,67,54,63,66,74,55,63.0,53,60,56,10,16,13,14,8,,66+2,66+2,66+2,69,69,69,69,69,71+2,71+2,71+2,70+2,72+1,72+1,72+1,70+2,66+2,67+2,67+2,67+2,66+2,64+2,62+2,62+2,62+2,64+2,18+2
268754,/player/268754/giovanni-zaro/240002,24.0,2.0,2023-09-22,G. Zaro,Giovanni Zaro,CB,72,72,2000000.0,4000.0,29,1994-05-12,193,80,1744.0,Modena,32.0,Serie B,2.0,RCB,19.0,,2023-07-11,2026.0,27,Italy,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,3100000.0,,"Power Header, Jockey, Block",56.0,44.0,42.0,47.0,73.0,76.0,30,45,73,60,43,37,32,33,39,57,48,62,48,69,40,51,78,65,85,40,65,68,27,29,35,52.0,77,73,70,14,7,13,11,12,,52+2,52+2,52+2,46,47,47,47,46,46+2,46+2,46+2,47+2,50+2,50+2,50+2,47+2,60+2,63+2,63+2,63+2,60+2,63+2,72,72,72,63+2,17+2
200930,/player/200930/luca-tremolada/240002,24.0,2.0,2023-09-22,L. Tremolada,Luca Tremolada,"CAM, CM, CF",71,71,1600000.0,3000.0,31,1991-11-25,176,69,1744.0,Modena,32.0,Serie B,2.0,CAM,10.0,,2022-04-22,2024.0,27,Italy,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,2500000.0,,"Finesse Shot, Dead Ball, Pinged Pass, Technical",76.0,67.0,71.0,73.0,51.0,58.0,68,67,55,72,53,72,68,67,74,72,74,77,79,65,77,73,67,72,58,69,38,52,63,73,60,70.0,54,48,42,12,10,11,7,7,,67+2,67+2,67+2,70,70,70,70,70,71,71,71,71,69+2,69+2,69+2,71,62+2,61+2,61+2,61+2,62+2,60+2,54+2,54+2,54+2,60+2,15+2
232271,/player/232271/matteo-cotali/240002,24.0,2.0,2023-09-22,M. Cotali,Matteo Cotali,LB,70,73,1900000.0,3000.0,26,1997-04-22,177,72,1744.0,Modena,32.0,Serie B,2.0,LB,29.0,,2023-07-01,2026.0,27,Italy,,,,Left,3,2,1,High/Medium,Lean (170-185),No,3100000.0,,,72.0,41.0,64.0,66.0,65.0,66.0,67,30,55,69,43,63,61,30,65,67,74,71,73,68,76,51,67,81,59,48,65,66,63,59,38,59.0,67,67,63,12,15,13,11,15,,56+2,56+2,56+2,62,60,60,60,62,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,68+2,67+2,67+2,67+2,68+2,68+2,65+2,65+2,65+2,68+2,19+2
230925,/player/230925/riccardo-gagno/240002,24.0,2.0,2023-09-22,R. Gagno,Riccardo Gagno,GK,68,73,1400000.0,1000.0,25,1997-07-26,186,78,1744.0,Modena,32.0,Serie B,2.0,GK,26.0,,2020-08-21,2026.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2300000.0,,,,,,,,,12,19,16,27,14,15,17,14,25,18,40,42,32,57,63,45,60,35,60,13,21,23,10,23,23,28.0,14,12,14,66,67,60,69,71,41.0,27+2,27+2,27+2,23,25,25,25,23,24+2,24+2,24+2,25+2,24+2,24+2,24+2,25+2,25+2,25+2,25+2,25+2,25+2,24+2,25+2,25+2,25+2,24+2,67+2
193077,/player/193077/diego-falcinelli/240002,24.0,2.0,2023-09-22,D. Falcinelli,Diego Falcinelli,"ST, CF",68,68,975000.0,2000.0,32,1991-06-26,186,75,1744.0,Modena,32.0,Serie B,2.0,RS,11.0,,2022-07-05,2024.0,27,Italy,,,,Left,3,3,1,High/Low,Lean (185+),No,1500000.0,,Power Header,56.0,69.0,53.0,68.0,23.0,60.0,32,70,67,64,66,67,45,45,54,70,59,53,64,68,63,70,69,53,69,65,45,20,72,58,65,69.0,20,15,15,6,12,7,5,14,,68,68,68,63,67,67,67,63,65+2,65+2,65+2,61+2,59+2,59+2,59+2,61+2,41+2,44+2,44+2,44+2,41+2,39+2,39+2,39+2,39+2,39+2,16+2
268923,/player/268923/antonio-pergreffi/240002,24.0,2.0,2023-09-22,A. Pergreffi,Antonio Pergreffi,CB,68,68,325000.0,1000.0,35,1988-05-06,189,85,1744.0,Modena,32.0,Serie B,2.0,LCB,4.0,,2020-09-01,2025.0,27,Italy,,,,Left,3,2,1,Medium/High,Normal (185+),No,504000.0,,Intercept,55.0,40.0,47.0,48.0,70.0,73.0,34,41,70,60,39,47,36,32,46,51,55,55,33,57,45,45,76,67,81,30,60,66,40,42,45,60.0,70,72,70,7,6,12,7,9,,51+2,51+2,51+2,47,48,48,48,47,48+2,48+2,48+2,49+2,52+2,52+2,52+2,49+2,59+2,62+2,62+2,62+2,59+2,61+2,68,68,68,61+2,13+2
268934,/player/268934/nicholas-bonfanti/240002,24.0,2.0,2023-09-22,N. Bonfanti,Nicholas Bonfanti,ST,67,78,2300000.0,1000.0,21,2002-03-28,178,66,1744.0,Modena,32.0,Serie B,2.0,SUB,9.0,,2021-07-14,2025.0,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,4000000.0,,,71.0,67.0,48.0,66.0,29.0,59.0,35,66,71,60,64,67,57,45,35,68,70,71,62,68,71,70,76,64,64,70,38,17,64,48,56,53.0,22,25,40,12,13,10,13,8,,67+2,67+2,67+2,63,65,65,65,63,62+2,62+2,62+2,60+2,55+2,55+2,55+2,60+2,47+2,43+2,43+2,43+2,47+2,46+2,43+2,43+2,43+2,46+2,18+2
197689,/player/197689/andrea-seculin/240002,24.0,2.0,2023-09-22,A. Seculin,Andrea Seculin,GK,67,67,500000.0,1000.0,32,1990-07-14,190,83,1744.0,Modena,32.0,Serie B,2.0,SUB,12.0,,2022-07-01,2024.0,27,Italy,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,775000.0,,,,,,,,,13,12,12,29,11,12,12,12,25,21,32,30,43,58,37,41,48,29,48,12,33,10,11,46,23,55.0,23,10,12,68,62,54,67,73,31.0,24+2,24+2,24+2,23,25,25,25,23,27+2,27+2,27+2,25+2,27+2,27+2,27+2,25+2,22+2,25+2,25+2,25+2,22+2,22+2,23+2,23+2,23+2,22+2,66+1
235867,/player/235867/luca-strizzolo/240002,24.0,2.0,2023-09-22,L. Strizzolo,Luca Strizzolo,"ST, LM",67,67,850000.0,2000.0,31,1992-04-29,188,83,1744.0,Modena,32.0,Serie B,2.0,LS,32.0,,2023-07-17,2025.0,27,Italy,,,,Right,3,2,1,Medium/High,Normal (185+),No,1300000.0,,Power Header,70.0,66.0,51.0,63.0,32.0,72.0,30,70,71,65,50,63,39,42,55,65,68,72,63,63,63,66,83,68,79,62,58,29,68,52,50,60.0,32,25,22,14,6,8,8,12,,67,67,67,62,65,65,65,62,63+2,63+2,63+2,61+2,58+2,58+2,58+2,61+2,47+2,49+2,49+2,49+2,47+2,45+2,47+2,47+2,47+2,45+2,16+2
