player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
193786,/player/193786/francesco-bardi/240002,24.0,2.0,2023-09-22,F. Bardi,Francesco Bardi,GK,72,72,1200000.0,3000.0,31,1992-01-18,188,80,110740.0,Reggiana,32.0,Serie B,2.0,GK,22.0,,2023-07-06,2025.0,27,Italy,,,,Right,1,1,1,Medium/Medium,Lean (185+),No,1900000.0,,,,,,,,,18,10,11,31,17,13,14,19,31,12,51,46,48,70,33,49,59,29,54,18,21,10,11,34,21,68.0,18,11,10,73,71,65,70,74,49.0,26+2,26+2,26+2,26,26,26,26,26,27+2,27+2,27+2,27+2,26+2,26+2,26+2,27+2,24+2,25+2,25+2,25+2,24+2,24+2,23+2,23+2,23+2,24+2,71+1
206601,/player/206601/mario-sampirisi/240002,24.0,2.0,2023-09-22,M. Sampirisi,Mario Sampirisi,"RB, RWB, CB",71,71,1600000.0,3000.0,30,1992-10-31,188,75,110740.0,Reggiana,32.0,Serie B,2.0,SUB,31.0,,2023-08-28,2025.0,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2500000.0,,,67.0,41.0,61.0,62.0,71.0,76.0,67,31,73,66,43,59,63,40,64,63,64,69,65,67,69,58,81,75,77,43,74,68,57,48,41,63.0,69,74,73,8,8,12,6,6,,57+2,57+2,57+2,58,57,57,57,58,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,69+2,68+2,68+2,68+2,69+2,69+2,72-1,72-1,72-1,69+2,14+2
259331,/player/259331/manolo-portanova/240002,24.0,2.0,2023-09-22,M. Portanova,Manolo Portanova,"CM, CAM",69,77,3100000.0,10000.0,23,2000-06-02,183,77,110740.0,Reggiana,32.0,Serie B,2.0,CAM,90.0,Genoa,,2024.0,27,Italy,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,,73.0,63.0,69.0,70.0,55.0,62.0,68,60,50,73,57,73,56,54,71,74,70,75,57,65,58,68,64,60,66,61,54,56,72,70,68,69.0,49,62,58,8,8,9,15,14,,66+2,66+2,66+2,70,69,69,69,70,70+2,70+2,70+2,70+2,69+2,69+2,69+2,70+2,64+2,64+2,64+2,64+2,64+2,63+2,59+2,59+2,59+2,63+2,17+2
231137,/player/231137/domen-crnigoj/240002,24.0,2.0,2023-09-22,D. Črnigoj,Domen Črnigoj,CM,69,70,1600000.0,2000.0,27,1995-11-18,185,70,110740.0,Reggiana,32.0,Serie B,2.0,SUB,33.0,Venezia,,2024.0,44,Slovenia,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,,,,71.0,61.0,69.0,72.0,56.0,67.0,69,58,28,72,55,71,64,55,69,71,70,72,82,69,66,67,57,71,71,68,55,63,71,69,33,66.0,56,62,54,10,10,11,14,9,,63+2,63+2,63+2,70,68,68,68,70,70,70,70,70,69+1,69+1,69+1,70,66+2,66+2,66+2,66+2,66+2,64+2,59+2,59+2,59+2,64+2,17+2
234873,/player/234873/marko-pajac/240002,24.0,2.0,2023-09-22,M. Pajač,Marko Pajač,"LB, LM, LWB",69,69,1200000.0,11000.0,30,1993-05-11,185,69,110740.0,Reggiana,32.0,Serie B,2.0,SUB,29.0,Genoa,,2024.0,10,Croatia,,,,Left,2,3,1,High/Medium,Normal (185+),No,,,"Whipped Cross, Rapid",76.0,63.0,67.0,64.0,61.0,66.0,71,59,55,70,54,63,65,66,64,63,74,77,70,68,65,69,66,81,58,70,68,67,69,59,53,70.0,62,58,63,6,10,6,7,10,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,68+1,65+2,65+2,65+2,68+1,67+2,63+2,63+2,63+2,67+2,15+2
230940,/player/230940/cedric-diomande-gondo/240002,24.0,2.0,2023-09-22,C. Gondo,Cedric Diomandè Gondo,ST,68,71,1600000.0,2000.0,26,1996-11-25,187,75,110740.0,Reggiana,32.0,Serie B,2.0,SUB,11.0,Cremonese,,2024.0,108,Côte d'Ivoire,,,,Right,3,2,1,Medium/Low,Lean (185+),No,,,"Chip Shot, Power Header",71.0,69.0,46.0,62.0,22.0,65.0,39,75,69,54,53,63,44,34,38,68,74,68,56,58,52,70,76,62,69,59,54,19,70,48,64,48.0,22,11,11,14,5,13,9,7,,68+2,68+2,68+2,62,65,65,65,62,61+2,61+2,61+2,60+2,52+2,52+2,52+2,60+2,42+2,40+2,40+2,40+2,42+2,40+2,38+2,38+2,38+2,40+2,14+2
173146,/player/173146/luca-cigarini/240002,24.0,2.0,2023-09-22,L. Cigarini,Luca Cigarini,"CDM, CM",68,68,240000.0,1000.0,37,1986-06-20,175,72,110740.0,Reggiana,32.0,Serie B,2.0,CDM,8.0,,2021-08-23,2024.0,27,Italy,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,372000.0,,"Long Ball Pass, Long Throw",48.0,60.0,74.0,68.0,64.0,53.0,69,53,48,75,65,66,73,74,74,73,51,46,59,67,74,69,48,52,50,66,61,69,59,79,67,77.0,72,59,56,11,9,7,12,11,,60+2,60+2,60+2,65,65,65,65,65,68,68,68,65+2,70-2,70-2,70-2,65+2,64+2,67+1,67+1,67+1,64+2,62+2,61+2,61+2,61+2,62+2,17+2
255839,/player/255839/janis-antiste/240002,24.0,2.0,2023-09-22,J. Antiste,Janis Antiste,ST,67,77,2300000.0,5000.0,20,2002-08-18,182,77,110740.0,Reggiana,32.0,Serie B,2.0,SUB,28.0,Sassuolo,,2024.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,"Technical, Flair",79.0,67.0,51.0,68.0,20.0,61.0,35,69,64,63,65,66,57,40,45,70,79,79,78,59,56,69,78,64,70,60,31,15,65,50,69,68.0,15,15,14,13,11,15,7,13,,67+2,67+2,67+2,64,66,66,66,64,64+2,64+2,64+2,62+2,55+2,55+2,55+2,62+2,43+2,41+2,41+2,41+2,43+2,41+2,36+2,36+2,36+2,41+2,16+2
237382,/player/237382/filippo-melegoni/240002,24.0,2.0,2023-09-22,F. Melegoni,Filippo Melegoni,"CM, CAM, RM",67,74,2000000.0,7000.0,24,1999-02-18,186,74,110740.0,Reggiana,32.0,Serie B,2.0,SUB,72.0,Genoa,,2024.0,27,Italy,,,,Right,2,2,1,Medium/Medium,Lean (185+),No,,,,52.0,54.0,68.0,68.0,60.0,56.0,59,49,49,72,47,67,62,57,71,70,53,51,66,70,67,70,52,61,56,47,49,62,64,70,64,63.0,58,63,61,12,13,6,7,7,,60+2,60+2,60+2,63,64,64,64,63,65+2,65+2,65+2,64+2,67+2,67+2,67+2,64+2,63+2,65+2,65+2,65+2,63+2,61+2,59+2,59+2,59+2,61+2,16+2
226108,/player/226108/filippo-romagna/240002,24.0,2.0,2023-09-22,F. Romagna,Filippo Romagna,CB,67,70,1200000.0,6000.0,26,1997-05-26,186,75,110740.0,Reggiana,32.0,Serie B,2.0,LCB,19.0,Sassuolo,,2024.0,27,Italy,,,,Right,3,2,1,Low/High,Normal (185+),No,,,,45.0,32.0,49.0,56.0,70.0,57.0,38,23,64,63,34,51,32,32,62,58,49,42,61,63,60,48,64,32,65,30,67,67,36,36,43,63.0,73,70,70,12,12,6,7,13,,46+2,46+2,46+2,46,47,47,47,46,49+2,49+2,49+2,48+2,53+2,53+2,53+2,48+2,57+2,62+2,62+2,62+2,57+2,59+2,67+2,67+2,67+2,59+2,16+2
