player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
186200,/player/186200/fabio-borini/240002,24.0,2.0,2023-09-22,F. Borini,Fabio Borini,"LW, LM, ST",77,77,8500000.0,6000.0,32,1991-03-23,180,73,1837.0,Sampdoria,32.0,Serie B,2.0,SUB,16.0,,2023-07-10,2025.0,27,Italy,,,,Right,3,3,2,High/Medium,Lean (170-185),Yes,13600000.0,,"Finesse Shot, Whipped Cross",76.0,77.0,73.0,77.0,46.0,70.0,74,79,76,76,75,77,72,61,62,76,78,75,79,77,74,77,83,75,65,74,72,30,80,76,78,76.0,68,30,26,11,6,8,12,6,,77,77,77,77,77,77,77,77,76+1,76+1,76+1,76+1,70+2,70+2,70+2,76+1,61+2,59+2,59+2,59+2,61+2,58+2,55+2,55+2,55+2,58+2,16+2
225995,/player/225995/petar-stojanovic/240002,24.0,2.0,2023-09-22,P. Stojanović,Petar Stojanović,RB,74,75,4400000.0,10000.0,27,1995-10-07,178,72,1837.0,Sampdoria,32.0,Serie B,2.0,RB,40.0,Empoli,,2024.0,44,Slovenia,,,,Right,3,3,1,High/High,Lean (170-185),No,,,Long Ball Pass,78.0,51.0,70.0,71.0,69.0,73.0,77,41,60,73,49,72,66,54,73,73,78,78,66,65,71,68,74,81,64,51,83,66,65,62,54,60.0,67,76,73,7,8,11,11,7,,63+2,63+2,63+2,68,66,66,66,68,67+2,67+2,67+2,70+2,69+2,69+2,69+2,70+2,73+2,71+2,71+2,71+2,73+2,72+2,70+2,70+2,70+2,72+2,15+2
205531,/player/205531/valerio-verre/240002,24.0,2.0,2023-09-22,V. Verre,Valerio Verre,"CM, CAM, LM",73,73,3000000.0,4000.0,29,1994-01-11,181,70,1837.0,Sampdoria,32.0,Serie B,2.0,LCM,10.0,,2023-02-07,2025.0,27,Italy,,,,Right,4,3,2,High/Medium,Normal (170-185),No,4800000.0,,"Finesse Shot, Pinged Pass, Flair",71.0,73.0,73.0,74.0,68.0,70.0,70,72,66,74,70,73,72,72,71,77,72,70,71,73,75,77,75,70,69,72,70,68,74,77,75,72.0,67,68,68,5,13,9,8,11,,73,73,73,73,74-1,74-1,74-1,73,74-1,74-1,74-1,73,73,73,73,73,71+2,71+2,71+2,71+2,71+2,70+2,69+2,69+2,69+2,70+2,16+2
235834,/player/235834/fabio-depaoli/240002,24.0,2.0,2023-09-22,F. Depaoli,Fabio Depaoli,"RB, LM, RM",72,73,2500000.0,3000.0,26,1997-04-24,182,71,1837.0,Sampdoria,32.0,Serie B,2.0,RW,23.0,,2019-07-01,2028.0,27,Italy,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4200000.0,,,71.0,56.0,69.0,73.0,68.0,60.0,73,55,65,72,48,75,73,44,68,73,72,70,69,73,72,59,67,68,53,51,64,67,69,66,65,65.0,66,72,71,8,10,5,6,13,,65+2,65+2,65+2,69,68,68,68,69,69+2,69+2,69+2,71+2,69+2,69+2,69+2,71+2,71+2,69+2,69+2,69+2,71+2,70+2,67+2,67+2,67+2,70+2,16+2
233943,/player/233943/ronaldo-augusto-vieira-nan/240002,24.0,2.0,2023-09-22,Ronaldo Vieira,Ronaldo Augusto Vieira Nan,"CDM, CM",71,76,2600000.0,2000.0,24,1998-07-19,178,70,1837.0,Sampdoria,32.0,Serie B,2.0,SUB,4.0,,2018-08-01,2027.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4400000.0,,,71.0,58.0,65.0,72.0,67.0,73.0,56,53,53,72,50,71,63,49,67,73,69,73,73,67,78,65,68,73,71,62,80,68,58,66,57,71.0,66,71,68,12,10,7,6,8,,63+2,63+2,63+2,66,66,66,66,66,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,68+2,70+2,70+2,70+2,68+2,68+2,68+2,68+2,68+2,68+2,15+2
208424,/player/208424/matteo-ricci/240002,24.0,2.0,2023-09-22,M. Ricci,Matteo Ricci,"CDM, CM",71,71,1600000.0,3000.0,29,1994-05-27,176,68,1837.0,Sampdoria,32.0,Serie B,2.0,SUB,8.0,,2023-07-10,2026.0,27,Italy,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2600000.0,,Long Ball Pass,71.0,66.0,70.0,70.0,63.0,68.0,62,59,39,73,54,67,69,66,74,71,74,69,78,68,84,75,58,84,60,71,72,67,71,72,74,70.0,65,67,59,15,8,15,9,8,,65+2,65+2,65+2,69,69,69,69,69,70+1,70+1,70+1,70+1,71,71,71,70+1,68+2,70+1,70+1,70+1,68+2,67+2,63+2,63+2,63+2,67+2,17+2
247888,/player/247888/sebastiano-esposito/240002,24.0,2.0,2023-09-22,S. Esposito,Sebastiano Esposito,"ST, CAM",69,78,3100000.0,24000.0,20,2002-07-02,186,76,1837.0,Sampdoria,32.0,Serie B,2.0,SUB,7.0,Inter,,2024.0,27,Italy,,,,Right,3,3,1,Medium/Low,Lean (185+),No,,,"Finesse Shot, Technical, Trivela",71.0,70.0,70.0,72.0,35.0,61.0,70,70,64,71,66,73,75,75,70,75,71,71,71,59,68,72,73,63,65,69,45,30,66,65,69,64.0,24,40,35,15,12,12,10,10,,69+2,69+2,69+2,70,69,69,69,70,70+2,70+2,70+2,70+2,65+2,65+2,65+2,70+2,55+2,53+2,53+2,53+2,55+2,52+2,47+2,47+2,47+2,52+2,17+2
219852,/player/219852/alex-ferrari/240002,24.0,2.0,2023-09-22,A. Ferrari,Alex Ferrari,"CB, RB",69,70,1300000.0,2000.0,29,1994-07-01,191,80,1837.0,Sampdoria,32.0,Serie B,2.0,RCB,25.0,,2019-07-01,2025.0,27,Italy,,,,Right,2,2,1,Low/High,Lean (185+),No,2200000.0,,"Block, Intercept",60.0,35.0,50.0,62.0,71.0,69.0,58,19,70,57,49,60,50,30,56,63,61,59,63,70,67,59,71,71,67,48,73,70,32,32,27,68.0,72,71,71,9,11,12,12,6,,51+2,51+2,51+2,52,50,50,50,52,51+2,51+2,51+2,54+2,55+2,55+2,55+2,54+2,66+2,65+2,65+2,65+2,66+2,67+2,69+1,69+1,69+1,67+2,16+2
205934,/player/205934/nicola-murru/240002,24.0,2.0,2023-09-22,N. Murru,Nicola Murru,"LB, CB",69,69,1300000.0,2000.0,28,1994-12-16,180,74,1837.0,Sampdoria,32.0,Serie B,2.0,LCB,29.0,,2017-07-01,2024.0,27,Italy,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,2100000.0,,Block,67.0,40.0,60.0,66.0,67.0,66.0,70,30,63,66,39,65,54,39,60,66,66,68,68,64,71,57,68,69,61,40,72,67,53,44,47,67.0,66,69,66,5,5,5,5,5,,55+2,55+2,55+2,59,57,57,57,59,58+2,58+2,58+2,61+2,60+2,60+2,60+2,61+2,67+2,65+2,65+2,65+2,67+2,67+2,66+2,66+2,66+2,67+2,11+2
269271,/player/269271/filip-stankovic/240002,24.0,2.0,2023-09-22,F. Stanković,Filip Stanković,GK,68,78,2300000.0,12000.0,21,2002-02-25,187,72,1837.0,Sampdoria,32.0,Serie B,2.0,GK,1.0,Inter,,2024.0,51,Serbia,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,11,6,10,15,6,9,11,11,25,12,58,39,42,62,37,50,57,24,48,8,24,11,6,21,19,30.0,6,11,11,69,67,66,67,70,50.0,22+2,22+2,22+2,20,21,21,21,20,20+2,20+2,20+2,21+2,19+2,19+2,19+2,21+2,20+2,19+2,19+2,19+2,20+2,20+2,20+2,20+2,20+2,20+2,67+2
