player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
220165,/player/220165/joel-pohjanpalo/240002,24.0,2.0,2023-09-22,J. Pohjanpalo,Joel Julius Ilmari Pohjanpalo,ST,74,74,4300000.0,5000.0,28,1994-09-13,186,86,205.0,Venezia,32.0,Serie B,2.0,ST,20.0,,2022-08-19,2025.0,17,Finland,1334.0,LS,20.0,Right,3,3,1,Medium/Medium,Normal (185+),Yes,6900000.0,,"Power Header, Aerial",68.0,75.0,62.0,70.0,37.0,72.0,54,76,75,69,75,70,70,47,55,71,64,71,67,74,67,78,81,67,78,71,63,32,76,65,67,70.0,29,40,28,9,13,7,16,6,,74,74,74,69,72,72,72,69,70+2,70+2,70+2,68+2,65+2,65+2,65+2,68+2,53+2,54+2,54+2,54+2,53+2,52+2,51+2,51+2,51+2,52+2,18+2
206225,/player/206225/denis-cheryshev/240002,24.0,2.0,2023-09-22,D. Cheryshev,Denis Cheryshev,"LW, ST, LM",73,73,2400000.0,5000.0,32,1990-12-26,179,74,205.0,Venezia,32.0,Serie B,2.0,SUB,21.0,,2022-08-31,2024.0,40,Russia,,,,Left,3,3,2,High/Medium,Normal (170-185),Yes,3800000.0,,,72.0,73.0,73.0,73.0,55.0,63.0,80,69,58,70,69,72,76,61,69,75,70,74,72,70,70,79,68,60,65,79,62,63,75,74,64,70.0,45,59,55,16,7,14,7,8,,71+2,71+2,71+2,73,73,73,73,73,73,73,73,72+1,70+2,70+2,70+2,72+1,66+2,64+2,64+2,64+2,66+2,64+2,60+2,60+2,60+2,64+2,16+2
242332,/player/242332/gianluca-busio/240002,24.0,2.0,2023-09-22,G. Busio,Gianluca Cristiano Busio,"CM, CDM",72,82,5000000.0,3000.0,21,2002-05-28,170,61,205.0,Venezia,32.0,Serie B,2.0,SUB,6.0,,2021-08-09,2025.0,95,United States,,,,Right,4,3,1,Medium/Medium,Lean (170-),No,9000000.0,,Flair,68.0,64.0,71.0,75.0,62.0,63.0,54,60,58,78,56,72,72,66,72,74,69,68,87,67,92,70,64,76,56,67,64,62,68,74,60,73.0,60,67,58,15,15,6,12,13,,66+2,66+2,66+2,69,70,70,70,69,72+2,72+2,72+2,70+2,72+2,72+2,72+2,70+2,66+2,68+2,68+2,68+2,66+2,65+2,63+2,63+2,63+2,65+2,19+2
199904,/player/199904/jesse-joronen/240002,24.0,2.0,2023-09-22,J. Joronen,Jesse Pekka Joronen,GK,72,72,1600000.0,3000.0,30,1993-03-21,197,89,205.0,Venezia,32.0,Serie B,2.0,GK,1.0,,2022-07-01,2025.0,17,Finland,1334.0,SUB,12.0,Right,3,1,1,Medium/Medium,Normal (185+),No,2600000.0,,Far Throw,,,,,,,15,13,18,20,12,16,14,12,25,16,48,45,50,70,36,51,66,33,64,13,39,19,14,46,14,61.0,19,14,15,70,71,68,71,73,47.0,28+2,28+2,28+2,26,28,28,28,26,28+2,28+2,28+2,27+2,27+2,27+2,27+2,27+2,26+2,27+2,27+2,27+2,26+2,26+2,28+2,28+2,28+2,26+2,71+1
219655,/player/219655/francesco-zampano/240002,24.0,2.0,2023-09-22,F. Zampano,Francesco Filippo Zampano,"LB, RWB, LWB",72,72,2100000.0,4000.0,29,1993-09-30,177,74,205.0,Venezia,32.0,Serie B,2.0,LB,7.0,,2022-07-01,2025.0,27,Italy,,,,Right,4,3,1,High/Medium,Normal (170-185),No,3400000.0,,"Whipped Cross, Relentless",80.0,50.0,65.0,72.0,64.0,73.0,74,45,58,72,45,71,65,34,63,71,81,79,81,64,79,60,76,84,70,53,65,64,62,54,40,68.0,63,67,65,9,11,12,14,11,,62+2,62+2,62+2,67,64,64,64,67,65+2,65+2,65+2,69+2,66+2,66+2,66+2,69+2,71+1,67+2,67+2,67+2,71+1,70+2,66+2,66+2,66+2,70+2,17+2
192612,/player/192612/mato-jajalo/240002,24.0,2.0,2023-09-22,M. Jajalo,Mato Jajalo,"CDM, CM",71,71,525000.0,2000.0,35,1988-05-25,182,78,205.0,Venezia,32.0,Serie B,2.0,SUB,18.0,,2023-01-11,2025.0,8,Bosnia and Herzegovina,,,,Right,3,3,1,Medium/High,Normal (170-185),No,840000.0,,,57.0,64.0,70.0,70.0,70.0,71.0,63,58,68,75,60,71,69,70,71,71,55,59,65,63,75,72,71,66,72,71,73,71,56,68,68,68.0,70,71,67,9,13,6,7,12,,65+2,65+2,65+2,65,66,66,66,65,67+2,67+2,67+2,66+2,69+2,69+2,69+2,66+2,67+2,70+1,70+1,70+1,67+2,67+2,70+1,70+1,70+1,67+2,16+2
263647,/player/263647/giorgio-altare/240002,24.0,2.0,2023-09-22,G. Altare,Giorgio Altare,CB,70,75,2200000.0,11000.0,24,1998-08-09,190,84,205.0,Venezia,32.0,Serie B,2.0,SUB,15.0,Cagliari,,2024.0,27,Italy,,,,Right,3,2,1,Medium/High,Stocky (185+),No,,,"Power Header, Intercept, Aerial",61.0,39.0,47.0,51.0,71.0,77.0,40,35,70,55,33,50,34,32,57,54,54,66,44,58,48,52,77,64,85,34,75,70,42,40,40,53.0,71,72,70,15,11,6,7,10,,52+2,52+2,52+2,48,49,49,49,48,49+2,49+2,49+2,51+2,53+2,53+2,53+2,51+2,61+2,64+2,64+2,64+2,61+2,63+2,70+2,70+2,70+2,63+2,16+2
237502,/player/237502/dennis-johnsen/240002,24.0,2.0,2023-09-22,D. Johnsen,Dennis Tørset Johnsen,"ST, LW, RW",70,72,2000000.0,3000.0,25,1998-02-17,185,75,205.0,Venezia,32.0,Serie B,2.0,RW,17.0,,2020-08-26,2025.0,36,Norway,,,,Right,3,4,1,Medium/Low,Lean (185+),No,3400000.0,,"Pinged Pass, Technical, Flair",86.0,67.0,66.0,72.0,39.0,67.0,68,69,50,68,68,71,65,54,63,70,82,90,82,70,70,73,74,71,71,60,48,40,73,66,55,71.0,40,35,33,8,7,12,13,6,,70+2,70+2,70+2,72,71,71,71,72,70+2,70+2,70+2,71+1,65+2,65+2,65+2,71+1,59+2,55+2,55+2,55+2,59+2,56+2,49+2,49+2,49+2,56+2,15+2
252315,/player/252315/antonio-candela/240002,24.0,2.0,2023-09-22,A. Candela,Antonio Candela,"RB, RWB",69,78,3000000.0,2000.0,23,2000-04-27,184,72,205.0,Venezia,32.0,Serie B,2.0,RB,27.0,,2022-08-25,2025.0,27,Italy,,,,Right,3,2,1,High/Medium,Lean (170-185),No,5400000.0,,Whipped Cross,80.0,54.0,61.0,62.0,65.0,69.0,66,50,60,62,53,63,65,50,58,63,79,81,66,65,49,64,76,68,70,52,66,66,55,59,52,58.0,66,66,64,10,11,13,13,8,,61+2,61+2,61+2,63,62,62,62,63,61+2,61+2,61+2,64+2,61+2,61+2,61+2,64+2,67+2,64+2,64+2,64+2,67+2,67+2,66+2,66+2,66+2,67+2,17+2
201285,/player/201285/christian-gytkjaer/240002,24.0,2.0,2023-09-22,C. Gytkjær,Christian Lund Gytkjær,ST,69,69,900000.0,3000.0,33,1990-05-06,185,77,205.0,Venezia,32.0,Serie B,2.0,SUB,9.0,,2023-07-20,2025.0,13,Denmark,,,,Right,4,3,1,High/Medium,Normal (185+),No,1400000.0,,Finesse Shot,56.0,72.0,56.0,68.0,33.0,67.0,51,72,72,60,62,66,61,55,45,70,55,56,65,74,63,76,76,50,75,70,67,32,70,61,76,70.0,42,16,19,11,12,12,14,15,,69,69,69,65,67,67,67,65,65+2,65+2,65+2,62+2,58+2,58+2,58+2,62+2,47+2,48+2,48+2,48+2,47+2,45+2,47+2,47+2,47+2,45+2,20+2
