team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
111434,/team/111434/cremonese/240002,24,2,2023-09-22,Cremonese,32,Serie B,2.0,27,Italy,71,72,72,70,1553204.0,Stadio Classico,1745,1,8.0,,50000000.0,27.82,26.29,178475.0,207471.0,258714.0,207471.0,207471.0,178475.0,258714.0,258714.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,6.0,3.0,3.0,,,,,,,,
50,/team/50/parma/240002,24,2,2023-09-22,Parma,32,Serie B,2.0,27,Italy,70,68,69,65,130528.0,Arena d'Oro,189,3,9.0,,71000000.0,24.09,24.68,237297.0,252794.0,225475.0,252794.0,243154.0,243154.0,252794.0,243154.0,Balanced,41.0,41.0,,,,,,Long ball,Direct passing,61.0,5.0,3.0,3.0,,,,,,,,
1745,/team/1745/como/240002,24,2,2023-09-22,Como,32,Serie B,2.0,27,Italy,70,71,70,68,462195.0,Town Park,111811,1,5.0,,18000000.0,25.36,26.28,220933.0,254579.0,220933.0,254579.0,254579.0,237715.0,254579.0,238474.0,Balanced,41.0,51.0,,,,,,Balanced,Balanced,41.0,3.0,3.0,3.0,,,,,,,,
1843,/team/1843/palermo/240002,24,2,2023-09-22,Palermo,32,Serie B,2.0,27,Italy,70,72,70,70,127492.0,Stadio Classico,111657,2,8.0,,24000000.0,27.91,25.96,253019.0,212381.0,212381.0,212381.0,212381.0,253019.0,220517.0,212381.0,Balanced,41.0,51.0,,,,,,Slow build up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
110738,/team/110738/pisa/240002,24,2,2023-09-22,Pisa,32,Serie B,2.0,27,Italy,70,66,70,67,727.0,Stadion 23. Maj,110374,1,7.0,,36000000.0,27.36,26.8,252313.0,178007.0,178007.0,178007.0,178007.0,205089.0,178007.0,178007.0,Balanced,61.0,51.0,,,,,,Fast build up,Forward runs,51.0,3.0,3.0,3.0,,,,,,,,
110741,/team/110741/spezia/240002,24,2,2023-09-22,Spezia,32,Serie B,2.0,27,Italy,70,69,72,70,1553203.0,,110556,1,8.0,,76000000.0,25.09,23.96,234760.0,252290.0,252290.0,252290.0,252290.0,225844.0,252290.0,252290.0,Pressure on heavy touch,51.0,61.0,,,,,,Fast build up,Forward runs,61.0,5.0,3.0,3.0,,,,,,,,
205,/team/205/venezia/240002,24,2,2023-09-22,Venezia,32,Serie B,2.0,27,Italy,69,70,68,69,127811.0,Town Park,206,1,7.0,,43000000.0,25.64,25.37,209637.0,237502.0,252315.0,237502.0,237502.0,220165.0,252315.0,252315.0,Press after possession loss,61.0,51.0,,,,,,Slow build up,Possession,61.0,5.0,3.0,3.0,,,,,,,,
1837,/team/1837/sampdoria/240002,24,2,2023-09-22,Sampdoria,32,Serie B,2.0,27,Italy,69,70,68,68,127989.0,Stadion Europa (Generic Europe 2),110556,3,9.0,,80000000.0,24.45,24.07,205934.0,205531.0,205531.0,205531.0,205531.0,228378.0,205531.0,205531.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,5.0,3.0,3.0,,,,,,,,
1848,/team/1848/bari-1908/240002,24,2,2023-09-22,Bari 1908,32,Serie B,2.0,27,Italy,69,63,69,68,130912.0,Stadion Olympik,347,2,8.0,,28000000.0,27.09,26.92,137786.0,203782.0,198223.0,203782.0,203782.0,203782.0,198223.0,198223.0,Balanced,41.0,61.0,,,,,,Long ball,Direct passing,41.0,3.0,3.0,3.0,,,,,,,,
190,/team/190/brescia/240002,24,2,2023-09-22,Brescia,32,Serie B,2.0,27,Italy,68,67,67,68,128192.0,Euro Park,39,1,7.0,,30000000.0,25.82,24.44,202489.0,202489.0,202489.0,202489.0,202489.0,264402.0,202489.0,202489.0,Balanced,51.0,51.0,,,,,,Slow build up,Possession,51.0,5.0,3.0,3.0,,,,,,,,
1847,/team/1847/ascoli/240002,24,2,2023-09-22,Ascoli,32,Serie B,2.0,27,Italy,68,67,67,68,130460.0,Arena d'Oro,206,1,7.0,,15000000.0,26.73,25.86,203888.0,243527.0,243527.0,243527.0,243527.0,254824.0,243527.0,243527.0,Balanced,61.0,41.0,,,,,,Balanced,Balanced,51.0,3.0,3.0,3.0,,,,,,,,
570,/team/570/ternana/240002,24,2,2023-09-22,Ternana,32,Serie B,2.0,27,Italy,67,70,65,68,1553030.0,Stadion 23. Maj,1847,1,5.0,,13500000.0,26.36,25.52,220084.0,220084.0,220084.0,220084.0,220084.0,220084.0,220084.0,220084.0,Press after possession loss,41.0,61.0,,,,,,Slow build up,Possession,61.0,3.0,3.0,3.0,,,,,,,,
1744,/team/1744/modena/240002,24,2,2023-09-22,Modena,32,Serie B,2.0,27,Italy,67,67,67,68,127755.0,Crown Lane,189,1,5.0,,16500000.0,28.27,25.26,268923.0,200930.0,225428.0,200930.0,200930.0,200930.0,200930.0,200930.0,Balanced,61.0,51.0,,,,,,Slow build up,Possession,61.0,3.0,3.0,3.0,,,,,,,,
110740,/team/110740/reggiana/240002,24,2,2023-09-22,Reggiana,32,Serie B,2.0,27,Italy,67,66,67,64,128120.0,Forest Park Stadium (Square Ground),50,1,2.0,,5800000.0,27.0,25.55,173146.0,173146.0,173146.0,173146.0,173146.0,173146.0,173146.0,173146.0,Balanced,41.0,37.0,,,,,,Slow build up,Possession,51.0,3.0,3.0,3.0,,,,,,,,
112168,/team/112168/cosenza/240002,24,2,2023-09-22,Cosenza,32,Serie B,2.0,27,Italy,67,69,67,67,127840.0,Euro Arena,110908,1,2.0,,9500000.0,26.45,24.11,229750.0,220528.0,220528.0,220528.0,220528.0,220528.0,220528.0,220528.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,61.0,5.0,3.0,3.0,,,,,,,,
112499,/team/112499/feralpisalo/240002,24,2,2023-09-22,FeralpiSalò,32,Serie B,2.0,27,Italy,67,64,66,67,608328.0,Euro Arena,111434,1,2.0,,5000000.0,27.0,26.25,197690.0,197690.0,197690.0,197690.0,197690.0,197690.0,197690.0,197690.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,51.0,3.0,3.0,3.0,,,,,,,,
110908,/team/110908/catanzaro/240002,24,2,2023-09-22,Catanzaro,32,Serie B,2.0,27,Italy,66,68,65,66,465900.0,Stadio Classico,112168,1,2.0,,10300000.0,27.27,25.48,209613.0,217338.0,217338.0,217338.0,217338.0,209613.0,217338.0,217338.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,51.0,3.0,3.0,3.0,,,,,,,,
112494,/team/112494/sudtirol/240002,24,2,2023-09-22,Südtirol,32,Serie B,2.0,27,Italy,66,68,65,64,896634.0,_Longville Stadium,55,1,4.0,,14000000.0,28.18,26.28,268753.0,268753.0,268753.0,268753.0,268753.0,268758.0,268753.0,169115.0,Pressure on heavy touch,51.0,41.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
