player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
210941,/player/210941/chang-geun-lee/240002,24.0,2.0,2023-09-22,Lee Chang Geun,이창근 李灿东,GK,72,72,1600000.0,6000.0,29,1993-08-30,186,75,980.0,Daejeon Citizen,83.0,K League 1,1.0,GK,1.0,,2022-01-11,2027.0,167,Korea Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2000000.0,,"Far Throw, Footwork",,,,,,,14,19,16,30,15,16,12,15,24,21,45,46,64,66,55,48,63,22,60,19,24,22,13,43,24,60.0,15,18,14,70,72,64,70,74,45.0,29+2,29+2,29+2,28,29,29,29,28,30+2,30+2,30+2,28+2,28+2,28+2,28+2,28+2,26+2,27+2,27+2,27+2,26+2,26+2,27+2,27+2,27+2,26+2,71+1
263034,/player/263034/anton-krivotsyuk/240002,24.0,2.0,2023-09-22,A. Krivotsyuk,Anton Krivotsyuk,"CB, LB, LWB",71,74,2300000.0,5000.0,24,1998-08-20,186,76,980.0,Daejeon Citizen,83.0,K League 1,1.0,LCB,98.0,,2023-02-21,2027.0,5,Azerbaijan,,,,Left,3,3,1,Medium/High,Lean (185+),No,3000000.0,,"Power Header, Bruiser",80.0,36.0,52.0,59.0,71.0,77.0,58,34,74,58,28,53,45,41,48,65,79,80,70,60,58,44,88,76,78,32,73,70,51,42,37,62.0,72,71,64,14,13,13,7,12,,55+2,55+2,55+2,56,54,54,54,56,54+2,54+2,54+2,58+2,56+2,56+2,56+2,58+2,67+2,65+2,65+2,65+2,67+2,68+2,71+2,71+2,71+2,68+2,17+2
238578,/player/238578/jin-hyun-lee/240002,24.0,2.0,2023-09-22,Lee Jin Hyun,이진현 Jin Hyun Lee,"CM, RW",70,71,1900000.0,5000.0,25,1997-08-26,173,70,980.0,Daejeon Citizen,83.0,K League 1,1.0,LCM,97.0,,2021-01-07,2023.0,167,Korea Republic,,,,Left,3,4,1,High/Medium,Lean (170-185),No,2500000.0,,"Finesse Shot, Pinged Pass, Technical",78.0,66.0,69.0,73.0,53.0,60.0,64,64,31,70,58,71,74,70,68,72,76,79,85,68,75,67,52,86,50,71,52,61,69,73,58,66.0,55,55,49,13,6,13,9,6,,64+2,64+2,64+2,71,70,70,70,71,71,71,71,71,70+1,70+1,70+1,71,66+2,64+2,64+2,64+2,66+2,63+2,55+2,55+2,55+2,63+2,15+2
208063,/player/208063/se-jong-ju/240002,24.0,2.0,2023-09-22,Ju Se Jong,주세종 朱世钟,"CM, CDM",70,70,1300000.0,6000.0,32,1990-10-30,176,68,980.0,Daejeon Citizen,83.0,K League 1,1.0,RCM,8.0,,2023-01-09,2027.0,167,Korea Republic,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1600000.0,,"Dead Ball, Pinged Pass, Long Ball Pass, Anticipate",58.0,54.0,73.0,68.0,63.0,69.0,68,44,41,73,49,62,68,71,77,73,54,62,77,62,75,66,53,81,66,63,65,70,59,76,57,68.0,63,66,57,10,13,8,7,8,,58+2,58+2,58+2,64,63,63,63,64,67+2,67+2,67+2,66+2,70,70,70,66+2,67+2,70,70,70,67+2,65+2,63+2,63+2,63+2,65+2,15+2
267825,/player/267825/orobo-tiago/240002,24.0,2.0,2023-09-22,Tiago Orobó,Orobó Tiago,ST,70,70,1600000.0,6000.0,29,1993-10-28,190,75,980.0,Daejeon Citizen,83.0,K League 1,1.0,ST,28.0,,2023-01-11,2028.0,54,Brazil,,,,Right,5,3,1,High/Low,Normal (185+),No,2000000.0,,"Power Header, Trivela",78.0,70.0,47.0,65.0,27.0,72.0,33,73,73,52,62,64,49,42,43,70,74,81,61,65,65,72,88,62,82,61,57,24,72,54,67,57.0,22,21,15,13,7,6,12,6,,70,70,70,64,67,67,67,64,63+2,63+2,63+2,61+2,55+2,55+2,55+2,61+2,44+2,44+2,44+2,44+2,44+2,43+2,44+2,44+2,44+2,43+2,15+2
223336,/player/223336/leandro-joaquim-ribeiro/240002,24.0,2.0,2023-09-22,Leandrinho,Leandro Joaquim Ribeiro,"RW, ST, LW",69,69,1400000.0,5000.0,28,1995-01-13,176,68,980.0,Daejeon Citizen,83.0,K League 1,1.0,LW,70.0,,2022-01-21,2024.0,54,Brazil,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1800000.0,,"Finesse Shot, Technical",83.0,63.0,61.0,71.0,29.0,58.0,64,62,56,65,63,73,57,46,58,64,80,86,83,69,75,67,70,71,58,57,39,24,71,58,65,65.0,23,29,33,14,10,7,7,12,,66+2,66+2,66+2,69,68,68,68,69,67+2,67+2,67+2,68+1,60+2,60+2,60+2,68+1,54+2,48+2,48+2,48+2,54+2,51+2,42+2,42+2,42+2,51+2,17+2
244798,/player/244798/yu-min-cho/240002,24.0,2.0,2023-09-22,Cho Yu Min,Yu Min Cho,"CB, CDM",68,71,1400000.0,4000.0,26,1996-11-17,182,79,980.0,Daejeon Citizen,83.0,K League 1,1.0,CB,20.0,,2022-01-18,2024.0,167,Korea Republic,,,,Right,4,2,1,Medium/Medium,Normal (170-185),No,1900000.0,,"Power Header, Slide Tackle, Bruiser, Aerial",72.0,49.0,59.0,60.0,66.0,78.0,55,42,70,61,38,58,58,42,64,62,69,75,69,55,68,68,82,70,84,45,73,63,54,60,61,54.0,67,67,62,12,9,6,15,6,,59+2,59+2,59+2,58,58,58,58,58,59+2,59+2,59+2,60+2,60+2,60+2,60+2,60+2,63+2,65+2,65+2,65+2,63+2,64+2,68+2,68+2,68+2,64+2,15+2
235465,/player/235465/young-jae-seo/240002,24.0,2.0,2023-09-22,Seo Young Jae,서영재 徐永在,"LWB, LB, CM",66,66,775000.0,3000.0,28,1995-05-23,182,72,980.0,Daejeon Citizen,83.0,K League 1,1.0,LWB,2.0,,2020-07-01,2026.0,167,Korea Republic,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,969000.0,,,74.0,33.0,53.0,62.0,62.0,62.0,60,31,44,58,32,61,51,49,52,59,71,77,72,60,68,35,56,74,57,29,59,61,49,40,46,55.0,64,65,66,10,8,15,12,8,,49+2,49+2,49+2,56,52,52,52,56,53+2,53+2,53+2,58+2,55+2,55+2,55+2,58+2,64+2,60+2,60+2,60+2,64+2,64+2,60+2,60+2,60+2,64+2,15+2
250896,/player/250896/min-duk-kim/240002,24.0,2.0,2023-09-22,Kim Min Duk,Min-Deok Kim,CB,65,67,775000.0,2000.0,26,1996-07-08,183,78,980.0,Daejeon Citizen,83.0,K League 1,1.0,RES,3.0,,2021-01-11,2027.0,167,Korea Republic,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1000000.0,,"Jockey, Slide Tackle",59.0,29.0,38.0,47.0,66.0,70.0,23,28,69,51,32,38,29,23,46,53,61,58,62,60,59,37,74,64,74,21,67,63,33,32,37,46.0,68,66,59,9,14,5,7,11,,46+2,46+2,46+2,43,43,43,43,43,44+2,44+2,44+2,45+2,47+2,47+2,47+2,45+2,55+2,58+2,58+2,58+2,55+2,58+2,65+2,65+2,65+2,58+2,15+2
228534,/player/228534/kang-hyun-yu/240002,24.0,2.0,2023-09-22,Yu Kang Hyun,Kang Hyun Yu,ST,65,65,775000.0,3000.0,27,1996-04-27,185,79,980.0,Daejeon Citizen,83.0,K League 1,1.0,SUB,10.0,,2023-01-02,2028.0,167,Korea Republic,,,,Right,5,2,1,High/Low,Normal (185+),No,969000.0,,"Finesse Shot, Trivela",71.0,65.0,45.0,61.0,27.0,62.0,35,67,61,52,64,61,59,44,40,64,65,76,57,63,69,68,73,62,75,57,26,20,66,45,66,47.0,33,18,19,11,15,15,16,15,,65,65,65,59,62,62,62,59,58+2,58+2,58+2,58+2,51+2,51+2,51+2,58+2,44+2,41+2,41+2,41+2,44+2,42+2,40+2,40+2,40+2,42+2,20+2
