player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
233018,/player/233018/dae-won-kim/240002,24.0,2.0,2023-09-22,Kim Dae Won,김대원 金大元,"LW, ST",71,72,2200000.0,6000.0,26,1997-02-10,171,65,112115.0,Gangwon,83.0,K League 1,1.0,LW,10.0,,2021-02-08,2024.0,167,Korea Republic,,,,Right,5,4,1,High/Low,Normal (170-185),No,2900000.0,#Acrobat,"Finesse Shot, Dead Ball, Whipped Cross, Technical, Quick Step",87.0,68.0,66.0,72.0,29.0,67.0,64,66,56,66,64,72,70,71,58,67,87,87,90,67,84,67,75,80,61,71,65,26,71,70,69,65.0,34,22,18,10,6,9,11,12,,68+2,68+2,68+2,71,70,70,70,71,70+2,70+2,70+2,71+1,63+2,63+2,63+2,71+1,54+2,50+2,50+2,50+2,54+2,50+2,43+2,43+2,43+2,50+2,16+2
211004,/player/211004/kook-young-han/240002,24.0,2.0,2023-09-22,Han Kook Young,한국영 Kook Young Han,"CM, CDM",71,71,1200000.0,5000.0,33,1990-04-19,183,76,112115.0,Gangwon,83.0,K League 1,1.0,RCM,8.0,,2017-07-05,2024.0,167,Korea Republic,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1500000.0,,"Incisive Pass, Long Ball Pass, Relentless",63.0,54.0,70.0,69.0,67.0,72.0,59,45,61,75,45,67,55,67,73,74,62,63,59,63,81,66,71,79,71,63,66,71,56,74,56,63.0,64,71,65,10,10,10,9,13,,61+2,61+2,61+2,64,64,64,64,64,67+2,67+2,67+2,66+2,71,71,71,66+2,68+2,71,71,71,68+2,68+2,68+2,68+2,68+2,68+2,16+2
203237,/player/203237/sang-hun-yu/240002,24.0,2.0,2023-09-22,Yu Sang Hun,유상훈 柳相勋,GK,69,69,240000.0,3000.0,34,1989-05-25,194,84,112115.0,Gangwon,83.0,K League 1,1.0,GK,1.0,,2022-01-11,2027.0,167,Korea Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,300000.0,,,,,,,,,14,19,19,35,12,12,11,13,34,13,42,34,44,61,52,45,62,32,60,14,32,22,10,61,25,59.0,13,13,18,70,68,60,68,72,39.0,27+2,27+2,27+2,26,28,28,28,26,30+2,30+2,30+2,28+2,31+2,31+2,31+2,28+2,25+2,29+2,29+2,29+2,25+2,25+2,27+2,27+2,27+2,25+2,68+1
222582,/player/222582/young-bin-kim/240002,24.0,2.0,2023-09-22,Kim Young Bin,김영빈 金永斌,"CB, LB",69,69,950000.0,4000.0,31,1991-09-20,184,79,112115.0,Gangwon,83.0,K League 1,1.0,CB,2.0,,2020-01-03,2028.0,167,Korea Republic,,,,Right,4,2,1,Low/High,Normal (170-185),No,1200000.0,,"Anticipate, Slide Tackle, Bruiser, Aerial",65.0,28.0,48.0,45.0,68.0,78.0,46,22,72,60,24,30,33,25,42,52,63,66,64,64,60,35,85,68,87,25,65,66,55,44,38,63.0,72,66,61,6,12,7,7,10,,49+2,49+2,49+2,47,47,47,47,47,48+2,48+2,48+2,50+2,51+2,51+2,51+2,50+2,60+2,62+2,62+2,62+2,60+2,63+2,69,69,69,63+2,15+2
213878,/player/213878/welinton-junior-ferreira-dos-santos/240002,24.0,2.0,2023-09-22,Welinton Júnior,Welinton Júnior Ferreira dos Santos,"ST, LW, RW",68,68,1200000.0,4000.0,30,1993-06-08,175,64,112115.0,Gangwon,83.0,K League 1,1.0,SUB,93.0,,2023-07-09,2028.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1500000.0,,,77.0,70.0,61.0,71.0,22.0,49.0,61,69,61,64,70,70,75,62,52,71,79,75,80,62,74,73,61,64,42,72,45,20,71,59,66,72.0,20,15,15,11,16,12,15,16,,68,68,68,69-1,69-1,69-1,69-1,69-1,67+1,67+1,67+1,67+1,59+2,59+2,59+2,67+1,48+2,43+2,43+2,43+2,48+2,44+2,35+2,35+2,35+2,44+2,20+2
270203,/player/270203/yago-cariello-ribeiro/240002,24.0,2.0,2023-09-22,Yago Cariello,Yago Cariello Ribeiro,ST,67,73,1600000.0,3000.0,23,1999-07-27,186,82,112115.0,Gangwon,83.0,K League 1,1.0,ST,9.0,Portimonense,,2023.0,54,Brazil,,,,Left,3,2,1,High/Low,Normal (185+),No,,,,64.0,67.0,50.0,60.0,23.0,70.0,38,71,72,60,55,59,49,38,42,64,63,64,58,64,54,67,84,59,83,60,47,14,67,55,76,49.0,18,19,22,10,9,8,10,9,,67+2,67+2,67+2,61,63,63,63,61,61+2,61+2,61+2,59+2,54+2,54+2,54+2,59+2,42+2,42+2,42+2,42+2,42+2,41+2,41+2,41+2,41+2,41+2,15+2
255500,/player/255500/min-woo-seo/240002,24.0,2.0,2023-09-22,Seo Min Woo,Min Woo Seo,"CM, CDM",67,71,1400000.0,3000.0,25,1998-03-12,184,75,112115.0,Gangwon,83.0,K League 1,1.0,LCM,4.0,,2020-01-06,2027.0,167,Korea Republic,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1900000.0,,"Pinged Pass, Long Ball Pass, Intercept",60.0,51.0,60.0,63.0,65.0,79.0,39,46,59,67,41,60,46,45,70,69,60,60,56,66,64,58,72,87,79,56,71,69,57,68,44,66.0,62,68,61,13,14,11,10,12,,59+2,59+2,59+2,59,61,61,61,59,63+2,63+2,63+2,62+2,67+2,67+2,67+2,62+2,64+2,69+2,69+2,69+2,64+2,64+2,67+2,67+2,67+2,64+2,18+2
259325,/player/259325/jefferson-f-isidio/240002,24.0,2.0,2023-09-22,Galego,Jefferson Fernando Isídio,LW,67,68,1200000.0,3000.0,26,1997-04-04,176,71,112115.0,Gangwon,83.0,K League 1,1.0,RW,11.0,,2023-01-01,2027.0,54,Brazil,,,,Left,3,4,1,Medium/Medium,Normal (170-185),No,1600000.0,,"Finesse Shot, Rapid",75.0,65.0,63.0,70.0,48.0,53.0,63,63,43,61,63,72,63,61,65,67,72,77,70,62,77,69,50,60,48,65,57,46,68,63,59,63.0,51,49,47,14,7,14,7,7,,63+2,63+2,63+2,67,66,66,66,67,66+2,66+2,66+2,66+2,63+2,63+2,63+2,66+2,59+2,56+2,56+2,56+2,59+2,57+2,51+2,51+2,51+2,57+2,15+2
269093,/player/269093/jin-ho-kim/240002,24.0,2.0,2023-09-22,Kim Jin Ho,Jin Ho Kim,RWB,65,73,1500000.0,2000.0,23,2000-01-21,178,74,112115.0,Gangwon,83.0,K League 1,1.0,LWB,24.0,,2022-02-19,2028.0,167,Korea Republic,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2200000.0,,"Block, Technical",74.0,49.0,47.0,65.0,58.0,62.0,62,47,35,48,47,68,48,45,30,61,75,73,74,62,65,55,55,80,59,46,51,66,59,41,38,52.0,55,64,56,10,9,11,8,14,,55+2,55+2,55+2,60,57,57,57,60,55+2,55+2,55+2,59+2,53+2,53+2,53+2,59+2,63+2,56+2,56+2,56+2,63+2,62+2,57+2,57+2,57+2,62+2,16+2
251157,/player/251157/gwang-yeon-lee/240002,24.0,2.0,2023-09-22,Lee Gwang Yeon,이광연 Gwang Yeon Lee,GK,65,72,1200000.0,1000.0,23,1999-09-11,184,85,112115.0,Gangwon,83.0,K League 1,1.0,SUB,31.0,,2019-01-04,2023.0,167,Korea Republic,,,,Right,2,1,1,Medium/Medium,Stocky (170-185),No,1700000.0,,Footwork,,,,,,,10,8,11,25,7,11,12,13,24,10,20,28,37,58,43,44,53,26,64,8,27,12,6,33,14,26.0,8,14,12,66,59,58,65,72,23.0,21+2,21+2,21+2,18,20,20,20,18,21+2,21+2,21+2,20+2,22+2,22+2,22+2,20+2,19+2,22+2,22+2,22+2,19+2,19+2,22+2,22+2,22+2,19+2,64+2
