player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
209839,/player/209839/timo-letschert/240002,24.0,2.0,2023-09-22,T. Letschert,Timo Letschert,CB,71,71,1500000.0,4000.0,30,1993-05-25,188,83,112258.0,Gwangju,83.0,K League 1,1.0,LCB,5.0,,2023-01-02,2023.0,34,Netherlands,,,,Right,2,2,1,Medium/High,Normal (185+),No,1900000.0,,"Power Header, Long Ball Pass, Jockey, Block, Intercept, Aerial",52.0,54.0,61.0,59.0,70.0,75.0,59,47,74,65,38,55,58,59,62,63,49,55,60,63,54,68,78,58,83,62,74,72,49,55,57,64.0,69,71,66,9,12,12,11,11,,59+2,59+2,59+2,57,57,57,57,57,58+2,58+2,58+2,57+2,61+2,61+2,61+2,57+2,63+2,67+2,67+2,67+2,63+2,64+2,71,71,71,64+2,17+2
260492,/player/260492/ji-sung-eom/240002,24.0,2.0,2023-09-22,Eom Ji Sung,Ji Sung Eom,"LM, LW",69,81,3400000.0,2000.0,21,2002-05-09,178,70,112258.0,Gwangju,83.0,K League 1,1.0,LM,7.0,,2021-01-12,2027.0,167,Korea Republic,,,,Right,3,3,1,High/Medium,Normal (170-185),No,4900000.0,#Acrobat,"Finesse Shot, Rapid, Quick Step",79.0,64.0,60.0,72.0,36.0,61.0,61,63,34,59,56,73,64,63,51,66,71,86,90,70,76,64,53,74,56,67,59,33,72,68,61,61.0,38,37,30,13,6,12,14,13,,64+2,64+2,64+2,69,68,68,68,69,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,55+2,51+2,51+2,51+2,55+2,52+2,44+2,44+2,44+2,52+2,18+2
208073,/player/208073/young-kyu-ahn/240002,24.0,2.0,2023-09-22,Ahn Young Kyu,안영규 安杨奎,CB,69,69,675000.0,3000.0,33,1989-12-04,185,81,112258.0,Gwangju,83.0,K League 1,1.0,RCB,6.0,,2022-01-10,2027.0,167,Korea Republic,,,,Right,3,2,1,Low/High,Normal (185+),No,844000.0,,"Intercept, Slide Tackle, Aerial",61.0,31.0,41.0,56.0,69.0,76.0,25,28,70,54,26,48,23,28,56,62,57,64,67,56,54,48,77,68,82,20,72,65,28,32,39,62.0,72,70,63,12,9,6,13,11,,48+2,48+2,48+2,45,46,46,46,45,47+2,47+2,47+2,48+2,51+2,51+2,51+2,48+2,58+2,63+2,63+2,63+2,58+2,61+2,69,69,69,61+2,16+2
263166,/player/263166/beka-mikeltadze/240002,24.0,2.0,2023-09-22,B. Mikeltadze,Beka Mikeltadze,ST,68,72,1700000.0,3000.0,25,1997-11-26,185,77,112258.0,Gwangju,83.0,K League 1,1.0,SUB,99.0,,2023-06-22,2027.0,20,Georgia,,,,Right,4,3,1,High/High,Normal (185+),No,2300000.0,,Flair,75.0,66.0,63.0,68.0,32.0,67.0,56,70,65,66,54,67,65,60,60,68,75,75,71,68,68,62,75,77,68,62,50,26,75,68,70,72.0,24,36,25,9,14,6,8,11,,68+2,68+2,68+2,68,69,69,69,68,68+2,68+2,68+2,68+2,64+2,64+2,64+2,68+2,53+2,51+2,51+2,51+2,53+2,50+2,45+2,45+2,45+2,50+2,17+2
243422,/player/243422/hyun-seok-doo/240002,24.0,2.0,2023-09-22,Doo Hyun Seok,두현석 Hyeon-Seok Doo,"RB, RWB",68,69,1300000.0,2000.0,27,1995-12-21,169,65,112258.0,Gwangju,83.0,K League 1,1.0,RB,13.0,,2018-01-01,2026.0,167,Korea Republic,,,,Right,3,3,1,High/Medium,Normal (170-),No,1700000.0,,"Whipped Cross, Rapid",82.0,59.0,57.0,69.0,61.0,64.0,64,56,54,58,53,68,48,53,51,64,81,83,81,68,90,65,70,85,60,61,48,62,62,58,59,56.0,60,65,59,11,5,13,5,15,,63+2,63+2,63+2,66,64,64,64,66,63+2,63+2,63+2,66+2,62+2,62+2,62+2,66+2,67+2,61+2,61+2,61+2,67+2,66+2,61+2,61+2,61+2,66+2,16+2
254886,/player/254886/jasir-asani/240002,24.0,2.0,2023-09-22,J. Asani,Jasir Asani,"RM, LM",68,68,1200000.0,3000.0,28,1995-05-19,179,62,112258.0,Gwangju,83.0,K League 1,1.0,RM,11.0,,2023-01-02,2027.0,1,Albania,,,,Left,3,4,1,High/Medium,Normal (170-185),No,1500000.0,,"Finesse Shot, Technical",75.0,63.0,64.0,68.0,34.0,61.0,67,63,41,64,53,71,58,69,64,64,79,72,79,64,65,66,56,73,52,65,68,28,65,63,47,53.0,26,42,38,5,12,13,8,9,,63+2,63+2,63+2,67,66,66,66,67,66+2,66+2,66+2,67+1,62+2,62+2,62+2,67+1,55+2,52+2,52+2,52+2,55+2,52+2,44+2,44+2,44+2,52+2,15+2
238098,/player/238098/soon-min-lee/240002,24.0,2.0,2023-09-22,Lee Soon Min,이순민 李舜敏,"CM, CDM",67,67,1000000.0,2000.0,29,1994-05-22,177,70,112258.0,Gwangju,83.0,K League 1,1.0,LCM,44.0,,2020-07-21,2026.0,167,Korea Republic,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1300000.0,,"Intercept, Anticipate, Relentless",65.0,48.0,63.0,65.0,63.0,75.0,53,44,48,68,30,64,58,48,64,69,68,63,61,63,75,51,65,91,71,59,68,69,54,67,32,58.0,60,68,64,9,6,12,5,7,,56+2,56+2,56+2,61,61,61,61,61,63+2,63+2,63+2,64+2,67,67,67,64+2,67,68-1,68-1,68-1,67,66+1,65+2,65+2,65+2,66+1,13+2
221759,/player/221759/gyeong-min-kim/240002,24.0,2.0,2023-09-22,Kim Gyeong Min,김경민 金京闽,GK,66,66,450000.0,1000.0,31,1991-11-01,189,81,112258.0,Gwangju,83.0,K League 1,1.0,GK,1.0,,2022-01-10,2028.0,167,Korea Republic,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,563000.0,,,,,,,,,16,19,16,30,12,16,19,17,21,20,49,49,40,67,57,46,61,26,58,13,18,23,11,29,21,56.0,22,18,13,67,61,61,66,66,49.0,29+2,29+2,29+2,27,28,28,28,27,27+2,27+2,27+2,27+2,26+2,26+2,26+2,27+2,27+2,27+2,27+2,27+2,27+2,27+2,28+2,28+2,28+2,27+2,65+1
266751,/player/266751/ho-yeon-jung/240002,24.0,2.0,2023-09-22,Jung Ho Yeon,Ho-Yeon Jeong,"CM, CDM",65,73,1600000.0,2000.0,22,2000-09-28,180,73,112258.0,Gwangju,83.0,K League 1,1.0,RES,14.0,,2022-01-20,2028.0,167,Korea Republic,,,,Right,3,2,1,High/High,Normal (170-185),No,2300000.0,,"Tiki Taka, Intercept, Relentless",55.0,46.0,58.0,66.0,60.0,67.0,42,43,46,67,48,65,46,40,58,69,50,59,60,66,60,46,53,83,60,49,67,69,61,66,39,67.0,57,65,54,15,7,11,9,7,,55+2,55+2,55+2,59,60,60,60,59,62+2,62+2,62+2,61+2,65+2,65+2,65+2,61+2,62+2,65+2,65+2,65+2,62+2,61+2,61+2,61+2,61+2,61+2,16+2
233280,/player/233280/min-gi-lee/240002,24.0,2.0,2023-09-22,Lee Min Gi,이민기 李敏基,"LB, LWB, LM",65,65,625000.0,2000.0,30,1993-05-19,175,71,112258.0,Gwangju,83.0,K League 1,1.0,LB,3.0,,2016-01-01,2026.0,167,Korea Republic,,,,Left,4,2,1,Medium/High,Lean (170-185),No,781000.0,,Anticipate,76.0,35.0,55.0,64.0,58.0,65.0,54,29,45,58,37,61,48,49,56,63,76,76,75,61,68,42,64,81,62,37,53,61,49,55,38,65.0,57,61,62,10,15,12,12,10,,50+2,50+2,50+2,57,55,55,55,57,57+2,57+2,57+2,60+2,58+2,58+2,58+2,60+2,63+2,61+2,61+2,61+2,63+2,63+2,59+2,59+2,59+2,63+2,17+2
233017,/player/233017/han-bin-park/240002,24.0,2.0,2023-09-22,Park Han Bin,박한빈 朴限彬,"CM, CB, ST",64,69,850000.0,2000.0,25,1997-09-21,183,80,112258.0,Gwangju,83.0,K League 1,1.0,RCM,33.0,,2022-01-12,2026.0,167,Korea Republic,,,,Right,3,3,1,Medium/High,Normal (170-185),No,1100000.0,,"Long Ball Pass, Anticipate, Slide Tackle",47.0,50.0,60.0,61.0,65.0,74.0,52,39,49,66,44,55,46,43,65,67,51,43,72,64,59,62,60,80,75,62,69,69,60,59,43,55.0,63,68,66,14,10,13,14,13,,56+2,56+2,56+2,57,58,58,58,57,60+2,60+2,60+2,59+2,64+2,64+2,64+2,59+2,64+2,67+2,67+2,67+2,64+2,63+2,65+2,65+2,65+2,63+2,18+2
247748,/player/247748/hee-kyun-lee/240002,24.0,2.0,2023-09-22,Lee Hee Kyun,Hee Kyun Lee,"ST, CM",64,68,825000.0,2000.0,25,1998-04-29,168,66,112258.0,Gwangju,83.0,K League 1,1.0,LS,16.0,,2018-12-28,2026.0,167,Korea Republic,,,,Right,3,3,1,High/Medium,Normal (170-),No,1100000.0,,Technical,71.0,62.0,61.0,70.0,51.0,60.0,58,63,54,63,62,69,61,57,59,67,73,69,82,66,86,67,60,82,51,56,55,54,67,61,57,62.0,45,55,48,6,12,11,6,7,,64+2,64+2,64+2,66,66,66,66,66,65+2,65+2,65+2,66+2,64+2,64+2,64+2,66+2,61+2,59+2,59+2,59+2,61+2,60+2,54+2,54+2,54+2,60+2,14+2
212535,/player/212535/aaron-calver/240002,24.0,2.0,2023-09-22,A. Calver,Aaron Robert Calver,"CB, RB",63,65,500000.0,1000.0,27,1996-01-12,186,76,112258.0,Gwangju,83.0,K League 1,1.0,SUB,28.0,,2022-03-28,2028.0,195,Australia,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,663000.0,,Power Header,63.0,33.0,50.0,51.0,61.0,76.0,53,30,65,57,26,48,42,31,49,52,61,64,55,59,59,41,77,71,81,28,70,60,38,43,45,57.0,61,61,57,10,11,16,7,8,,48+2,48+2,48+2,49,47,47,47,49,48+2,48+2,48+2,52+2,51+2,51+2,51+2,52+2,59+2,59+2,59+2,59+2,59+2,60+2,63+2,63+2,63+2,60+2,15+2
255868,/player/255868/yul-heo/240002,24.0,2.0,2023-09-22,Heo Yul,Yool Heo,ST,62,72,900000.0,1000.0,22,2001-04-12,193,87,112258.0,Gwangju,83.0,K League 1,1.0,RS,9.0,,2019-12-23,2027.0,167,Korea Republic,,,,Left,3,2,1,High/Medium,Normal (185+),No,1300000.0,,Rapid,78.0,59.0,38.0,55.0,26.0,74.0,20,63,72,51,48,56,33,28,32,57,75,80,53,45,48,63,90,63,84,47,60,18,63,41,58,55.0,24,20,24,5,14,11,15,13,,62+2,62+2,62+2,54,58,58,58,54,54+2,54+2,54+2,53+2,46+2,46+2,46+2,53+2,40+2,39+2,39+2,39+2,40+2,40+2,43+2,43+2,43+2,40+2,15+2
238571,/player/238571/jun-lee/240002,24.0,2.0,2023-09-22,Lee Jun,Jun Lee,GK,62,67,475000.0,850.0,25,1997-07-14,188,77,112258.0,Gwangju,83.0,K League 1,1.0,SUB,21.0,,2022-01-10,2026.0,167,Korea Republic,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,629000.0,,,,,,,,,23,19,24,22,16,19,21,11,27,15,28,24,38,52,31,47,58,15,61,16,17,26,18,55,18,34.0,25,22,22,65,57,63,61,66,26.0,27+2,27+2,27+2,25,26,26,26,25,27+2,27+2,27+2,25+2,27+2,27+2,27+2,25+2,24+2,27+2,27+2,27+2,24+2,25+2,29+2,29+2,29+2,25+2,61+2
204969,/player/204969/thomas-jaguaribe-bedinelli/240002,24.0,2.0,2023-09-22,Thomás,Thomás Jaguaribe Bedinelli,"ST, LM",62,62,400000.0,1000.0,30,1993-02-24,179,72,112258.0,Gwangju,83.0,K League 1,1.0,SUB,30.0,,2023-01-02,2027.0,54,Brazil,,,,Right,3,3,1,High/Medium,Lean (170-185),No,500000.0,,Pinged Pass,73.0,62.0,60.0,68.0,27.0,48.0,57,63,44,64,58,69,57,59,51,70,74,73,70,58,55,67,53,51,53,56,32,24,58,64,63,60.0,32,19,24,14,7,9,14,13,,62,62,62,65-3,65-3,65-3,65-3,65-3,64-2,64-2,64-2,64-2,57+2,57+2,57+2,64-2,48+2,44+2,44+2,44+2,48+2,45+2,37+2,37+2,37+2,45+2,17+2
213172,/player/213172/eu-ddeum-lee/240002,24.0,2.0,2023-09-22,Lee Eu Ddeum,이으뜸 李奥登,"LB, LWB",62,62,210000.0,1000.0,33,1989-09-02,177,73,112258.0,Gwangju,83.0,K League 1,1.0,RES,8.0,,2015-01-23,2028.0,167,Korea Republic,,,,Left,3,2,1,Medium/High,Normal (170-185),No,263000.0,,"Finesse Shot, Whipped Cross",69.0,52.0,59.0,60.0,56.0,68.0,63,45,48,56,42,58,64,70,58,59,67,71,69,55,75,60,61,76,68,62,62,59,59,58,39,61.0,56,58,54,15,9,14,7,6,,56+2,56+2,56+2,59,58,58,58,59,58+2,58+2,58+2,60+2,59+2,59+2,59+2,60+2,61+1,59+2,59+2,59+2,61+1,60+2,58+2,58+2,58+2,60+2,15+2
