player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
200601,/player/200601/bit-garam-yoon/240002,24.0,2.0,2023-09-22,Yoon Bit Garam,윤빛가람 尹光河,"CM, CDM",74,74,2600000.0,8000.0,33,1990-05-07,178,75,112558.0,Suwon,83.0,K League 1,1.0,RCM,14.0,,2023-01-04,2027.0,167,Korea Republic,,,,Right,4,3,1,Medium/Medium,Lean (170-185),Yes,3300000.0,,"Finesse Shot, Dead Ball, Pinged Pass, Long Ball Pass",68.0,68.0,76.0,72.0,61.0,66.0,71,64,54,77,68,71,77,80,78,77,69,68,67,67,74,72,64,81,60,75,63,68,67,77,68,72.0,58,63,55,8,11,11,11,6,,67+2,67+2,67+2,71,71,71,71,71,73+1,73+1,73+1,72+2,74,74,74,72+2,69+2,70+2,70+2,70+2,69+2,67+2,63+2,63+2,63+2,67+2,15+2
208153,/player/208153/lars-veldwijk/240002,24.0,2.0,2023-09-22,L. Veldwijk,Lars Veldwijk,ST,74,74,3600000.0,9000.0,31,1991-08-21,197,94,112558.0,Suwon,83.0,K League 1,1.0,RES,9.0,,2020-07-17,2027.0,140,South Africa,,,,Right,4,3,1,High/Medium,Normal (185+),No,4500000.0,"#Aerial threat, #Strength","Power Shot, Power Header, Bruiser, Trivela, Aerial",57.0,75.0,54.0,65.0,33.0,83.0,40,78,82,64,74,67,62,49,42,73,51,62,40,66,39,78,88,67,93,68,75,19,76,58,72,72.0,41,21,22,29,33,27,19,34,,74,74,74,64,69,69,69,64,65+2,65+2,65+2,63+2,59+2,59+2,59+2,63+2,47+2,49+2,49+2,49+2,47+2,45+2,50+2,50+2,50+2,45+2,33+2
228173,/player/228173/ricardo-lopes-pereira/240002,24.0,2.0,2023-09-22,Ricardo Lopes,Ricardo Lopes Pereira,"ST, LW, LM",71,71,1500000.0,6000.0,32,1990-10-28,185,78,112558.0,Suwon,83.0,K League 1,1.0,ST,10.0,,2023-07-01,2028.0,54,Brazil,,,,Right,4,4,1,High/Low,Normal (185+),No,1900000.0,,"Finesse Shot, Technical, Flair, Quick Step",80.0,72.0,64.0,71.0,37.0,74.0,63,72,58,66,66,73,64,64,62,71,78,81,68,67,73,75,79,75,77,72,63,33,73,64,69,70.0,42,31,24,6,15,15,10,6,,71,71,71,71,71,71,71,71,70+1,70+1,70+1,70+1,64+2,64+2,64+2,70+1,56+2,54+2,54+2,54+2,56+2,53+2,49+2,49+2,49+2,53+2,16+2
228007,/player/228007/yeong-jae-lee/240002,24.0,2.0,2023-09-22,Lee Yeong Jae,이영재 李荣载,"CM, CDM, CAM",70,70,1600000.0,5000.0,28,1994-09-13,174,60,112558.0,Suwon,83.0,K League 1,1.0,LCM,28.0,,2021-01-19,2023.0,167,Korea Republic,,,,Left,4,4,1,High/High,Normal (170-185),No,2000000.0,,"Pinged Pass, Intercept, Technical, Relentless",76.0,60.0,68.0,72.0,54.0,61.0,53,58,55,73,40,72,61,69,70,70,72,79,85,68,81,66,59,85,46,64,69,55,68,73,51,61.0,54,55,49,16,15,10,11,8,,64+2,64+2,64+2,69,69,69,69,69,71-1,71-1,71-1,70,70,70,70,70,64+2,64+2,64+2,64+2,64+2,62+2,57+2,57+2,57+2,62+2,18+2
228210,/player/228210/lachlan-jackson/240002,24.0,2.0,2023-09-22,L. Jackson,Lachlan Robert Tua Jackson,"CB, LB",70,70,1400000.0,5000.0,28,1995-03-12,196,90,112558.0,Suwon,83.0,K League 1,1.0,SUB,5.0,,2021-07-15,2028.0,195,Australia,,,,Left,3,2,1,Low/High,Normal (185+),No,1800000.0,"#Aerial threat, #Strength","Power Header, Long Ball Pass, Block, Slide Tackle, Bruiser, Aerial",50.0,26.0,43.0,46.0,70.0,79.0,37,21,75,56,21,40,26,23,51,57,43,55,36,57,34,35,80,65,91,26,67,66,37,28,36,55.0,70,72,67,8,14,14,8,8,,46+2,46+2,46+2,42,43,43,43,42,43+2,43+2,43+2,46+2,50+2,50+2,50+2,46+2,58+2,62+2,62+2,62+2,58+2,61+2,70,70,70,61+2,15+2
229623,/player/229623/hugo-domingos-gomes/240002,24.0,2.0,2023-09-22,Hugo Gomes,Hugo Domingos Gomes,CB,69,71,1400000.0,4000.0,28,1995-01-04,187,81,112558.0,Suwon,83.0,K League 1,1.0,LCB,25.0,,2023-07-04,2028.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1900000.0,,,53.0,28.0,48.0,44.0,69.0,76.0,29,21,74,61,26,32,34,30,60,52,50,55,52,62,53,45,79,63,83,24,72,67,31,45,39,67.0,69,71,66,14,8,11,12,8,,45+2,45+2,45+2,42,43,43,43,42,45+2,45+2,45+2,45+2,52+2,52+2,52+2,45+2,57+2,64+2,64+2,64+2,57+2,60+2,69+2,69+2,69+2,60+2,16+2
236630,/player/236630/walterson-silva/240002,24.0,2.0,2023-09-22,Walterson,Walterson Silva,"LW, RM",69,69,1400000.0,5000.0,28,1994-12-28,180,72,112558.0,Suwon,83.0,K League 1,1.0,RES,37.0,,2023-07-07,2026.0,54,Brazil,,,,Right,4,3,1,Medium/Low,Normal (170-185),No,1800000.0,,,72.0,68.0,65.0,71.0,31.0,67.0,69,68,49,66,61,72,70,68,59,70,71,72,71,67,68,73,68,66,72,66,55,23,70,62,63,68.0,32,29,33,6,9,9,10,8,,67+2,67+2,67+2,69,69,69,69,69,68+1,68+1,68+1,68+1,62+2,62+2,62+2,68+1,53+2,50+2,50+2,50+2,53+2,50+2,45+2,45+2,45+2,50+2,15+2
221762,/player/221762/seon-min-kim/240002,24.0,2.0,2023-09-22,Kim Seon Min,김선민 金善民,"CDM, CM",68,68,850000.0,3000.0,31,1991-12-12,167,65,112558.0,Suwon,83.0,K League 1,1.0,CDM,55.0,,2023-03-24,2023.0,167,Korea Republic,,,,Right,3,3,1,High/High,Normal (170-),No,1100000.0,#Engine,"Long Ball Pass, Intercept, Relentless",68.0,58.0,59.0,64.0,63.0,72.0,45,55,52,68,52,59,48,56,64,66,65,71,74,62,90,64,63,90,64,63,73,67,59,59,53,57.0,61,69,57,10,12,14,8,14,,61+2,61+2,61+2,61,62,62,62,61,63+2,63+2,63+2,62+2,65+2,65+2,65+2,62+2,65+2,67+1,67+1,67+1,65+2,64+2,64+2,64+2,64+2,64+2,17+2
221756,/player/221756/gwang-hyeok-lee/240002,24.0,2.0,2023-09-22,Lee Gwang Hyeok,이광혁 李光赫,"RM, LM",67,67,1100000.0,3000.0,27,1995-09-11,169,60,112558.0,Suwon,83.0,K League 1,1.0,RM,22.0,,2023-01-11,2028.0,167,Korea Republic,,,,Left,4,3,1,High/Medium,Lean (170-),No,1400000.0,,"Pinged Pass, Rapid, Quick Step",84.0,56.0,59.0,70.0,37.0,47.0,62,55,50,58,57,72,61,60,53,63,85,83,86,67,89,55,55,66,33,59,54,38,68,60,52,53.0,37,33,30,7,8,10,12,14,,61+2,61+2,61+2,67,65,65,65,67,65+2,65+2,65+2,66+1,59+2,59+2,59+2,66+1,55+2,49+2,49+2,49+2,55+2,52+2,43+2,43+2,43+2,52+2,16+2
200577,/player/200577/yong-lee/240002,24.0,2.0,2023-09-22,Lee Yong,이용 李镕,"RB, RWB",65,65,160000.0,1000.0,36,1986-12-24,180,74,112558.0,Suwon,83.0,K League 1,1.0,RB,88.0,,2023-03-03,2027.0,167,Korea Republic,,,,Right,3,2,1,Medium/High,Normal (170-185),No,200000.0,,"Whipped Cross, Jockey",66.0,52.0,64.0,61.0,63.0,67.0,69,47,57,65,45,57,64,56,62,63,67,65,67,54,70,58,67,66,66,57,70,63,58,63,51,65.0,64,63,61,16,15,6,10,15,,57+2,57+2,57+2,60,59,59,59,60,60+2,60+2,60+2,61+2,61+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,18+2
206521,/player/206521/hyun-kim/240002,24.0,2.0,2023-09-22,Kim Hyun,김현 金炫,ST,65,65,700000.0,2000.0,30,1993-05-03,190,87,112558.0,Suwon,83.0,K League 1,1.0,SUB,7.0,,2022-01-07,2023.0,167,Korea Republic,,,,Right,4,2,1,High/Medium,Normal (185+),No,875000.0,,"Power Header, Aerial",59.0,65.0,51.0,58.0,27.0,76.0,46,68,71,55,60,56,53,43,45,65,59,59,58,56,36,67,83,66,85,56,65,32,67,53,59,61.0,12,24,22,7,12,15,6,9,,65,65,65,59,61,61,61,59,58+2,58+2,58+2,58+2,54+2,54+2,54+2,58+2,44+2,45+2,45+2,45+2,44+2,43+2,44+2,44+2,44+2,43+2,14+2
212065,/player/212065/dong-ho-jeong/240002,24.0,2.0,2023-09-22,Jeong Dong Ho,정동호 丁东浩,"LB, RB, RWB",65,65,375000.0,2000.0,33,1990-03-07,174,68,112558.0,Suwon,83.0,K League 1,1.0,LB,2.0,,2021-01-08,2027.0,167,Korea Republic,,,,Right,3,2,1,Medium/High,Normal (170-185),No,469000.0,,,70.0,27.0,56.0,63.0,61.0,64.0,64,21,58,59,25,63,45,30,49,62,70,70,68,65,73,32,68,67,64,25,60,61,67,59,40,50.0,60,61,65,6,15,12,11,12,,51+2,51+2,51+2,58,56,56,56,58,57+2,57+2,57+2,61+2,58+2,58+2,58+2,61+2,64+1,60+2,60+2,60+2,64+1,63+2,62+2,62+2,62+2,63+2,17+2
