player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
232595,/player/232595/seung-beom-ko/240002,24.0,2.0,2023-09-22,Ko Seung Beom,고승범 高承范,"CM, CDM",72,72,2300000.0,5000.0,29,1994-04-24,173,70,983.0,Suwon Bluewings,83.0,K League 1,1.0,RCM,7.0,,2016-01-01,2026.0,167,Korea Republic,,,,Right,5,3,1,High/High,Normal (170-185),No,2900000.0,#Engine,"Pinged Pass, Incisive Pass, Tiki Taka, Intercept, Press Proven, Relentless",74.0,61.0,70.0,73.0,64.0,78.0,63,57,46,73,62,72,60,65,72,71,73,75,79,70,90,64,68,92,74,65,71,71,68,73,58,69.0,64,68,59,12,6,7,11,12,,65+2,65+2,65+2,69,69,69,69,69,71+1,71+1,71+1,71+1,72,72,72,71+1,71+1,71+1,71+1,71+1,71+1,69+2,66+2,66+2,66+2,69+2,17+2
232589,/player/232589/kazuki-kozuka/240002,24.0,2.0,2023-09-22,K. Kozuka,小塚 和季,"CM, CAM",70,70,1600000.0,3000.0,28,1994-08-02,173,68,983.0,Suwon Bluewings,83.0,K League 1,1.0,LCM,81.0,,2023-07-06,2024.0,163,Japan,,,,Right,4,3,1,Medium/High,Lean (170-185),No,2000000.0,,"Pinged Pass, Flair",77.0,59.0,71.0,73.0,46.0,58.0,64,59,50,74,53,72,67,66,72,71,73,81,81,69,82,60,61,77,54,57,41,52,72,74,49,68.0,35,53,43,6,5,12,12,9,,65+2,65+2,65+2,70,69,69,69,70,71-1,71-1,71-1,71-1,70,70,70,71-1,62+2,60+2,60+2,60+2,62+2,60+2,52+2,52+2,52+2,60+2,15+2
205565,/player/205565/dave-bulthuis/240002,24.0,2.0,2023-09-22,D. Bulthuis,Dave Bulthuis,CB,69,69,675000.0,2000.0,33,1990-06-28,192,78,983.0,Suwon Bluewings,83.0,K League 1,1.0,RES,4.0,,2022-01-24,2023.0,34,Netherlands,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,844000.0,#Strength,"Long Ball Pass, Block, Intercept, Slide Tackle, Bruiser, Aerial",57.0,38.0,57.0,53.0,66.0,83.0,50,29,71,63,32,53,52,32,67,59,48,65,40,53,49,59,80,69,91,39,82,68,41,53,35,54.0,62,69,64,15,7,11,14,16,,52+2,52+2,52+2,50,51,51,51,50,52+2,52+2,52+2,54+2,58+2,58+2,58+2,54+2,61+2,66+2,66+2,66+2,61+2,62+2,69,69,69,62+2,17+2
212066,/player/212066/ki-je-lee/240002,24.0,2.0,2023-09-22,Lee Ki Je,이기제 李基济,"LB, LWB",69,69,1000000.0,2000.0,31,1991-07-09,175,68,983.0,Suwon Bluewings,83.0,K League 1,1.0,LWB,23.0,,2018-03-01,2025.0,167,Korea Republic,,,,Left,2,3,1,High/Medium,Normal (170-185),No,1300000.0,,"Finesse Shot, Power Shot, Dead Ball, Whipped Cross, Intercept, Anticipate",71.0,59.0,68.0,66.0,63.0,71.0,73,49,52,63,61,60,74,75,68,70,70,71,77,61,83,72,66,82,68,69,64,65,63,70,56,65.0,61,66,63,7,12,6,7,15,,62+2,62+2,62+2,65,64,64,64,65,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,67+2,66+2,66+2,66+2,67+2,67+2,63+2,63+2,63+2,67+2,16+2
226114,/player/226114/fejsal-mulic/240002,24.0,2.0,2023-09-22,F. Mulić,Fejsal Mulić,ST,69,69,1400000.0,3000.0,28,1994-10-03,203,84,983.0,Suwon Bluewings,83.0,K League 1,1.0,ST,44.0,,2023-02-07,2024.0,51,Serbia,,,,Right,3,3,1,High/Medium,Lean (185+),No,1800000.0,#Strength,,72.0,70.0,45.0,59.0,31.0,72.0,42,72,67,49,68,61,57,63,30,68,63,80,37,61,34,75,81,35,88,61,74,34,72,47,67,61.0,26,26,17,12,8,11,13,7,,69,69,69,61,64,64,64,61,59+2,59+2,59+2,58+2,50+2,50+2,50+2,58+2,43+2,43+2,43+2,43+2,43+2,42+2,47+2,47+2,47+2,42+2,16+2
198080,/player/198080/boadu-maxwell-acosty/240002,24.0,2.0,2023-09-22,B. Acosty,Boadu Maxwell Acosty,"RW, RM, LW",68,68,1000000.0,2000.0,31,1991-09-10,178,76,983.0,Suwon Bluewings,83.0,K League 1,1.0,RW,18.0,,2023-01-07,2027.0,117,Ghana,,,,Right,4,4,1,High/Medium,Normal (170-185),No,1300000.0,,"Finesse Shot, Whipped Cross, Technical, Quick Step",85.0,65.0,60.0,70.0,33.0,66.0,65,62,54,60,60,72,65,59,56,68,86,84,76,63,73,72,70,70,74,66,39,32,67,59,65,62.0,23,37,35,14,6,5,15,7,,67+1,67+1,67+1,68,67,67,67,68,66+2,66+2,66+2,68,60+2,60+2,60+2,68,55+2,49+2,49+2,49+2,55+2,52+2,45+2,45+2,45+2,52+2,16+2
234264,/player/234264/seung-won-jeong/240002,24.0,2.0,2023-09-22,Jeong Seung Won,정승원 郑世元,"RWB, CM, RM",67,70,1200000.0,2000.0,26,1997-02-27,173,68,983.0,Suwon Bluewings,83.0,K League 1,1.0,RWB,10.0,,2022-01-27,2024.0,167,Korea Republic,,,,Right,3,3,1,High/High,Normal (170-185),No,1600000.0,#Engine,"Intercept, Press Proven, Relentless",68.0,57.0,62.0,67.0,59.0,71.0,64,52,46,62,57,64,60,58,58,66,73,63,76,64,87,68,63,89,63,58,71,63,61,65,48,63.0,59,61,56,12,12,8,13,11,,60+2,60+2,60+2,63,62,62,62,63,63+2,63+2,63+2,65+2,64+2,64+2,64+2,65+2,65+2,64+2,64+2,64+2,65+2,64+2,60+2,60+2,60+2,64+2,18+2
212792,/player/212792/joo-won-kim/240002,24.0,2.0,2023-09-22,Kim Joo Won,김준수 金俊洙,CB,67,67,700000.0,2000.0,31,1991-07-29,185,83,983.0,Suwon Bluewings,83.0,K League 1,1.0,CB,66.0,,2023-06-23,2024.0,167,Korea Republic,,,,Right,4,2,1,Low/High,Normal (185+),No,875000.0,,,68.0,32.0,52.0,61.0,67.0,67.0,52,27,65,62,32,56,47,23,58,66,66,69,65,63,61,38,73,56,71,33,70,67,41,38,40,63.0,68,68,64,11,8,8,9,7,,50+2,50+2,50+2,54,52,52,52,54,53+2,53+2,53+2,55+2,56+2,56+2,56+2,55+2,63+2,64+2,64+2,64+2,63+2,64+2,67,67,67,64+2,15+2
199183,/player/199183/bo-kyung-kim/240002,24.0,2.0,2023-09-22,Kim Bo Kyung,김보경 金甫炅,"CM, CAM, RM",66,66,525000.0,2000.0,33,1989-10-06,176,72,983.0,Suwon Bluewings,83.0,K League 1,1.0,SUB,13.0,,2023-01-18,2024.0,167,Korea Republic,,,,Left,4,3,1,High/Medium,Normal (170-185),No,656000.0,,"Finesse Shot, Pinged Pass, Tiki Taka, Intercept, Press Proven",71.0,59.0,67.0,69.0,55.0,65.0,63,55,56,67,61,67,69,67,64,71,70,72,74,60,70,60,67,74,64,62,54,63,67,71,66,72.0,50,57,51,12,15,10,13,13,,63+2,63+2,63+2,66,66,66,66,66,67-1,67-1,67-1,67-1,66,66,66,67-1,63+2,62+2,62+2,62+2,63+2,62+2,58+2,58+2,58+2,62+2,18+2
208194,/player/208194/kyung-jung-kim/240002,24.0,2.0,2023-09-22,Kim Kyung Jung,김경중 金京中,"LW, LM, RW",64,64,475000.0,1000.0,32,1991-04-16,179,69,983.0,Suwon Bluewings,83.0,K League 1,1.0,SUB,17.0,,2023-01-05,2027.0,167,Korea Republic,,,,Right,3,3,1,High/Medium,Lean (170-185),No,594000.0,,Technical,79.0,59.0,57.0,64.0,41.0,48.0,63,64,39,59,57,66,61,43,44,60,79,79,72,57,71,55,52,66,49,48,23,41,68,59,58,54.0,45,37,38,15,12,16,7,15,,60+2,60+2,60+2,64,63,63,63,64,62+2,62+2,62+2,64,56+2,56+2,56+2,64,55+2,48+2,48+2,48+2,55+2,53+2,43+2,43+2,43+2,53+2,17+2
