team_id,team_url,fifa_version,fifa_update,update_as_of,team_name,league_id,league_name,league_level,nationality_id,nationality_name,overall,attack,midfield,defence,coach_id,home_stadium,rival_team,international_prestige,domestic_prestige,transfer_budget_eur,club_worth_eur,starting_xi_average_age,whole_team_average_age,captain,short_free_kick,long_free_kick,left_short_free_kick,right_short_free_kick,penalties,left_corner,right_corner,def_style,def_team_width,def_team_depth,def_defence_pressure,def_defence_aggression,def_defence_width,def_defence_defender_line,off_style,off_build_up_play,off_chance_creation,off_team_width,off_players_in_box,off_corners,off_free_kicks,build_up_play_speed,build_up_play_dribbling,build_up_play_passing,build_up_play_positioning,chance_creation_passing,chance_creation_crossing,chance_creation_shooting,chance_creation_positioning
1473,/team/1473/ulsan/240002,24,2,2023-09-22,Ulsan,83,K League 1,1.0,167,Korea Republic,70,72,69,69,452818.0,Waldstadion (Fussballstadion),1474,7,10.0,,19500000.0,28.82,28.82,227790.0,205401.0,205401.0,205401.0,205401.0,213189.0,205401.0,205401.0,Balanced,51.0,51.0,,,,,,Slow build up,Possession,61.0,6.0,3.0,3.0,,,,,,,,
1477,/team/1477/jeonbuk-motors/240002,24,2,2023-09-22,Jeonbuk Motors,83,K League 1,1.0,167,Korea Republic,70,69,70,70,319820.0,Ivy Lane,983,7,9.0,,20000000.0,27.09,27.96,200588.0,237424.0,237424.0,237424.0,237424.0,237424.0,237424.0,237424.0,Press after possession loss,61.0,61.0,,,,,,Slow build up,Possession,61.0,8.0,3.0,3.0,,,,,,,,
982,/team/982/seoul/240002,24,2,2023-09-22,Seoul,83,K League 1,1.0,167,Korea Republic,67,60,68,67,37523318.0,Sanderson Park (FIFA 13 NEW generic),983,6,7.0,,20300000.0,26.45,27.21,193847.0,180283.0,180283.0,180283.0,180283.0,244582.0,238097.0,244582.0,Press after possession loss,51.0,61.0,,,,,,Fast build up,Forward runs,51.0,8.0,3.0,3.0,,,,,,,,
1474,/team/1474/pohang-steelers/240002,24,2,2023-09-22,Pohang Steelers,83,K League 1,1.0,167,Korea Republic,67,71,67,69,319508.0,Stadion Hanguk,1473,5,7.0,,10300000.0,27.55,26.71,212791.0,207730.0,207730.0,207730.0,207730.0,268313.0,207730.0,207730.0,Balanced,41.0,51.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
1478,/team/1478/jeju-united/240002,24,2,2023-09-22,Jeju United,83,K League 1,1.0,167,Korea Republic,67,67,64,67,942499.0,Estadio de las Artes (Generic Stadium NG),982,2,7.0,,11700000.0,28.55,27.25,212439.0,211786.0,211786.0,211786.0,211786.0,211786.0,211786.0,211786.0,Pressure on heavy touch,41.0,51.0,,,,,,Fast build up,Forward runs,51.0,3.0,3.0,3.0,,,,,,,,
110765,/team/110765/incheon-united/240002,24,2,2023-09-22,Incheon United,83,K League 1,1.0,167,Korea Republic,67,68,70,66,465969.0,Estadio de las Artes (Generic Stadium NG),982,2,4.0,,11400000.0,30.36,27.54,207753.0,187858.0,187858.0,187858.0,208636.0,223994.0,208636.0,187858.0,Balanced,71.0,41.0,,,,,,Balanced,Balanced,61.0,3.0,3.0,3.0,,,,,,,,
112558,/team/112558/suwon/240002,24,2,2023-09-22,Suwon,83,K League 1,1.0,167,Korea Republic,67,68,67,65,37476493.0,Stadion 23. Maj,983,1,6.0,,9800000.0,30.55,29.5,228007.0,200601.0,200601.0,200601.0,200601.0,200601.0,200601.0,200601.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,61.0,5.0,3.0,3.0,,,,,,,,
980,/team/980/daejeon-citizen/240002,24,2,2023-09-22,Daejeon Citizen,83,K League 1,1.0,167,Korea Republic,66,66,67,65,37563984.0,Waldstadion (Fussballstadion),983,2,6.0,,12100000.0,28.0,26.36,208063.0,238578.0,238578.0,238578.0,238578.0,267825.0,238578.0,238578.0,Balanced,51.0,61.0,,,,,,Slow build up,Possession,41.0,3.0,3.0,3.0,,,,,,,,
983,/team/983/suwon-bluewings/240002,24,2,2023-09-22,Suwon Bluewings,83,K League 1,1.0,167,Korea Republic,66,64,69,65,22536116.0,Estadio de las Artes (Generic Stadium NG),982,3,3.0,,14100000.0,28.18,28.29,212066.0,212066.0,212066.0,212066.0,212066.0,198080.0,212066.0,212066.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,61.0,3.0,3.0,3.0,,,,,,,,
2056,/team/2056/daegu/240002,24,2,2023-09-22,Daegu,83,K League 1,1.0,167,Korea Republic,66,69,65,65,37646004.0,Stadion Neder,1474,4,7.0,,10600000.0,29.09,25.68,225733.0,225733.0,225733.0,225733.0,225733.0,225733.0,225733.0,225733.0,Balanced,51.0,51.0,,,,,,Long ball,Direct passing,61.0,3.0,3.0,3.0,,,,,,,,
112115,/team/112115/gangwon/240002,24,2,2023-09-22,Gangwon,83,K League 1,1.0,167,Korea Republic,66,66,66,65,453032.0,Euro Arena,1474,1,5.0,,11200000.0,28.73,26.75,211004.0,233018.0,233018.0,233018.0,233018.0,233018.0,233018.0,191980.0,Pressure on heavy touch,71.0,51.0,,,,,,Long ball,Direct passing,61.0,4.0,3.0,3.0,,,,,,,,
112258,/team/112258/gwangju/240002,24,2,2023-09-22,Gwangju,83,K League 1,1.0,167,Korea Republic,65,64,67,66,37620993.0,Town Park,1477,1,3.0,,10800000.0,27.36,26.61,208073.0,260492.0,260492.0,260492.0,260492.0,254886.0,260492.0,260492.0,Balanced,51.0,51.0,,,,,,Fast build up,Forward runs,61.0,5.0,3.0,3.0,,,,,,,,
