player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
229188,/player/229188/vangelis-pavlidis/240002,24.0,2.0,2023-09-22,V. Pavlidis,Vangelis Pavlidis,ST,78,82,20500000.0,13000.0,24,1998-11-21,183,82,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,ST,9.0,,2021-07-09,2025.0,22,Greece,,,,Right,4,3,1,High/Medium,Normal (170-185),No,32300000.0,,"Finesse Shot, Technical, Trivela, Aerial",70.0,78.0,67.0,77.0,44.0,81.0,57,80,77,74,75,79,67,52,70,76,74,67,70,79,77,80,81,84,81,77,75,30,78,65,68,75.0,44,44,37,13,11,10,13,14,,78+2,78+2,78+2,74,76,76,76,74,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,59+2,60+2,60+2,60+2,59+2,57+2,57+2,57+2,57+2,57+2,20+2
199005,/player/199005/mathew-ryan/240002,24.0,2.0,2023-09-22,M. Ryan,Mathew David Ryan,GK,78,78,7500000.0,10000.0,31,1992-04-08,182,82,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,GK,1.0,,2023-01-09,2024.0,195,Australia,,,,Right,4,1,2,Medium/Medium,Normal (170-185),Yes,11300000.0,,Far Throw,,,,,,,25,14,12,48,17,18,28,15,48,32,52,52,55,69,51,61,74,35,64,18,34,20,15,68,26,64.0,14,21,22,76,78,81,77,80,52.0,33+2,33+2,33+2,35,36,36,36,35,40+2,40+2,40+2,37+2,41+2,41+2,41+2,37+2,33+2,36+2,36+2,36+2,33+2,32+2,31+2,31+2,31+2,32+2,77+1
199422,/player/199422/jordy-clasie/240002,24.0,2.0,2023-09-22,J. Clasie,Jordy Clasie,"CDM, CM",78,78,9500000.0,12000.0,32,1991-06-27,170,68,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,CDM,8.0,,2019-07-22,2025.0,34,Netherlands,,,,Right,3,3,2,Low/Medium,Normal (170-),Yes,14300000.0,,"Pinged Pass, Long Ball Pass, Intercept, Press Proven",58.0,63.0,79.0,75.0,71.0,69.0,74,53,34,83,70,73,75,68,84,76,55,61,74,76,86,78,53,76,65,69,73,77,64,78,62,78.0,75,74,72,11,11,14,10,7,,64+2,64+2,64+2,70,69,69,69,70,73+2,73+2,73+2,72+2,77+1,77+1,77+1,72+2,74+2,77+1,77+1,77+1,74+2,72+2,69+2,69+2,69+2,72+2,17+2
242916,/player/242916/yukinari-sugawara/240002,24.0,2.0,2023-09-22,Y. Sugawara,菅原 由勢,"RB, RW",76,79,9500000.0,9000.0,23,2000-06-28,178,68,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,RB,2.0,,2020-01-01,2025.0,163,Japan,,,,Right,3,3,1,High/High,Lean (170-185),No,15000000.0,#Engine,Long Throw,82.0,53.0,74.0,72.0,70.0,73.0,77,48,54,74,50,70,78,50,77,71,80,83,80,74,77,64,79,87,67,54,67,69,70,72,39,71.0,70,75,72,8,12,9,8,12,,64+2,64+2,64+2,70,69,69,69,70,70+2,70+2,70+2,73+2,72+2,72+2,72+2,73+2,75+2,73+2,73+2,73+2,75+2,74+2,70+2,70+2,70+2,74+2,17+2
237496,/player/237496/djordje-mihailovic/240002,24.0,2.0,2023-09-22,D. Mihailovic,Djordje Mihailovic,"CAM, CM",75,80,8500000.0,10000.0,24,1998-11-10,178,69,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,SUB,14.0,,2023-01-01,2027.0,95,United States,,,,Right,4,4,1,High/High,Lean (170-185),No,13400000.0,#Engine,"Finesse Shot, Technical, Flair",72.0,70.0,76.0,74.0,60.0,68.0,73,71,59,79,64,73,73,64,72,74,75,69,74,76,75,75,62,89,61,67,59,62,73,80,55,75.0,67,58,40,14,5,6,14,13,,71+2,71+2,71+2,74,74,74,74,74,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,69+2,69+2,69+2,69+2,69+2,66+2,61+2,61+2,61+2,66+2,18+2
239361,/player/239361/dani-de-wit/240002,24.0,2.0,2023-09-22,D. de Wit,Dani de Wit,"CAM, CM",75,77,7000000.0,11000.0,25,1998-01-28,183,76,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,RCM,10.0,,2019-08-30,2024.0,34,Netherlands,,,,Right,3,3,1,Medium/High,Normal (170-185),No,11000000.0,,"Power Header, Bruiser, Relentless, Aerial",58.0,76.0,72.0,70.0,73.0,88.0,61,77,84,79,67,68,55,52,76,75,66,52,58,80,68,79,82,94,83,74,92,66,83,76,68,77.0,73,73,71,14,8,7,14,11,,77,77,77,72,75,75,75,72,75+2,75+2,75+2,73+2,77,77,77,73+2,72+2,76+1,76+1,76+1,72+2,72+2,76+1,76+1,76+1,72+2,19+2
212269,/player/212269/riechedly-bazoer/240002,24.0,2.0,2023-09-22,R. Bazoer,Riechedly Bazoer,"CM, CDM, CB",74,76,5000000.0,10000.0,26,1996-10-12,184,74,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,RCB,25.0,,2022-08-01,2025.0,34,Netherlands,,,,Right,4,3,2,Medium/Medium,Normal (170-185),Yes,7900000.0,,"Power Shot, Long Ball Pass, Press Proven, Trivela",66.0,68.0,75.0,75.0,72.0,76.0,72,64,71,76,68,75,74,63,78,76,67,66,72,74,74,77,74,71,80,74,71,73,64,75,54,79.0,72,73,71,6,11,12,14,10,,71+2,71+2,71+2,72,72,72,72,72,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,72+2,74+2,74+2,74+2,72+2,72+2,73+2,73+2,73+2,72+2,17+2
199550,/player/199550/bruno-martins-indi/240002,24.0,2.0,2023-09-22,B. Martins Indi,Bruno Maximiliano Martins Indi,CB,74,74,2900000.0,9000.0,31,1992-02-08,185,76,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,SUB,4.0,,2021-07-05,2025.0,34,Netherlands,,,,Left,3,2,2,Low/Medium,Normal (185+),Yes,4400000.0,,,37.0,42.0,58.0,58.0,76.0,78.0,59,38,72,69,32,54,36,38,66,62,38,37,52,69,58,57,74,68,83,40,78,75,42,40,38,68.0,77,76,74,11,9,7,15,6,,54+2,54+2,54+2,52,52,52,52,52,53+2,53+2,53+2,55+2,60+2,60+2,60+2,55+2,66+2,70+2,70+2,70+2,66+2,67+2,74,74,74,67+2,17+2
234671,/player/234671/jens-odgaard/240002,24.0,2.0,2023-09-22,J. Odgaard,Jens Odgaard,"RW, ST",73,78,4600000.0,9000.0,24,1999-03-31,190,80,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,RW,7.0,,2022-07-01,2027.0,13,Denmark,,,,Left,3,3,1,High/Medium,Normal (185+),No,7200000.0,,"Power Shot, Flair",75.0,76.0,68.0,73.0,42.0,79.0,67,75,70,72,73,75,67,58,62,74,72,77,68,74,64,83,82,84,81,75,65,32,72,70,59,69.0,48,39,28,8,13,13,8,11,,75+2,75+2,75+2,73,74,74,74,73,73+2,73+2,73+2,73+2,68+2,68+2,68+2,73+2,59+2,58+2,58+2,58+2,59+2,57+2,54+2,54+2,54+2,57+2,17+2
254789,/player/254789/sven-mijnans/240002,24.0,2.0,2023-09-22,S. Mijnans,Sven Mijnans,"CAM, CM",72,79,4700000.0,7000.0,23,2000-03-09,190,70,1906.0,AZ Alkmaar,10.0,Eredivisie,1.0,LCM,16.0,,2023-01-31,2028.0,34,Netherlands,,,,Left,3,3,1,High/High,Lean (185+),No,8000000.0,#Engine,Relentless,61.0,68.0,69.0,74.0,62.0,69.0,67,70,62,75,58,75,65,46,68,74,74,51,75,68,67,71,64,91,62,67,59,61,74,68,45,70.0,61,64,60,13,10,14,13,10,,69+2,69+2,69+2,71,71,71,71,71,72+2,72+2,72+2,72+2,72+2,72+2,72+2,72+2,68+2,68+2,68+2,68+2,68+2,67+2,63+2,63+2,63+2,67+2,18+2
