player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
193272,/player/193272/samuel-sahin-radlinger/240002,24.0,2.0,2023-09-22,S. Şahin-Radlinger,Samuel Şahin-Radlinger,GK,71,71,1200000.0,8000.0,30,1992-11-07,196,94,111380.0,Almere City,10.0,Eredivisie,1.0,SUB,34.0,Austria Wien,,2024.0,4,Austria,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,"Far Throw, Footwork",,,,,,,12,15,12,24,8,10,19,16,25,23,52,50,36,69,42,49,62,29,59,12,16,12,13,45,16,51.0,13,13,20,69,72,65,71,70,51.0,28+2,28+2,28+2,26,28,28,28,26,28+2,28+2,28+2,28+2,27+2,27+2,27+2,28+2,25+2,25+2,25+2,25+2,25+2,26+2,24+2,24+2,24+2,26+2,70+1
233098,/player/233098/sherel-floranus/240002,24.0,2.0,2023-09-22,S. Floranus,Sherel Floranus,"RB, LB",68,73,1700000.0,3000.0,24,1998-08-23,181,74,111380.0,Almere City,10.0,Eredivisie,1.0,LB,2.0,,2023-08-01,2025.0,85,Curacao,,,,Right,3,2,1,High/Medium,Normal (170-185),No,2600000.0,,Long Throw,85.0,46.0,58.0,68.0,61.0,73.0,60,45,52,67,43,67,55,34,64,65,82,88,81,65,70,55,75,74,71,38,78,63,61,44,40,63.0,57,65,62,9,9,15,9,9,,60+2,60+2,60+2,63,61,61,61,63,61+2,61+2,61+2,65+2,61+2,61+2,61+2,65+2,67+2,65+2,65+2,65+2,67+2,66+2,64+2,64+2,64+2,66+2,15+2
263268,/player/263268/yoann-cathline/240002,24.0,2.0,2023-09-22,Y. Cathline,Yoann Cathline,"LW, CAM",67,79,2500000.0,7000.0,20,2002-07-22,176,68,111380.0,Almere City,10.0,Eredivisie,1.0,LW,19.0,Lorient,,2024.0,18,France,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,,,,75.0,62.0,61.0,70.0,45.0,52.0,60,62,40,66,49,70,61,49,59,70,75,75,77,64,76,66,51,59,49,63,49,45,59,60,55,65.0,39,50,49,12,10,10,13,14,,62+2,62+2,62+2,67,65,65,65,67,66+2,66+2,66+2,66+2,62+2,62+2,62+2,66+2,58+2,55+2,55+2,55+2,58+2,56+2,49+2,49+2,49+2,56+2,18+2
248603,/player/248603/loic-mbe-soh/240002,24.0,2.0,2023-09-22,L. Mbe Soh,Loïc Mbe Soh,CB,67,77,2100000.0,15000.0,22,2001-06-13,187,86,111380.0,Almere City,10.0,Eredivisie,1.0,SUB,5.0,Nottingham Forest,,2024.0,18,France,,,,Right,2,2,1,Low/High,Normal (185+),Yes,,,,60.0,29.0,49.0,48.0,66.0,71.0,49,25,70,63,33,39,34,29,48,60,54,65,35,63,54,39,75,56,80,22,64,65,30,32,41,61.0,65,66,66,9,8,6,6,10,,47+2,47+2,47+2,46,45,45,45,46,46+2,46+2,46+2,49+2,50+2,50+2,50+2,49+2,60+2,61+2,61+2,61+2,60+2,62+2,67+2,67+2,67+2,62+2,14+2
260076,/player/260076/peer-koopmeiners/240002,24.0,2.0,2023-09-22,P. Koopmeiners,Peer Koopmeiners,"CDM, CM",66,75,1800000.0,3000.0,23,2000-05-04,186,78,111380.0,Almere City,10.0,Eredivisie,1.0,LDM,15.0,AZ Alkmaar,,2024.0,34,Netherlands,,,,Right,3,2,1,Medium/High,Normal (185+),No,,,Long Ball Pass,67.0,42.0,62.0,60.0,63.0,70.0,53,35,60,70,34,58,46,57,67,62,64,69,61,64,59,56,72,77,72,45,58,59,43,59,50,63.0,66,65,63,8,6,8,7,11,,54+2,54+2,54+2,57,56,56,56,57,58+2,58+2,58+2,60+2,62+2,62+2,62+2,60+2,64+2,65+2,65+2,65+2,64+2,64+2,64+2,64+2,64+2,64+2,14+2
245809,/player/245809/yann-kitala/240002,24.0,2.0,2023-09-22,Y. Kitala,Yann Kitala,ST,66,70,1200000.0,6000.0,25,1998-04-09,186,83,111380.0,Almere City,10.0,Eredivisie,1.0,SUB,11.0,Le Havre,,2024.0,18,France,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,,,,72.0,66.0,46.0,62.0,24.0,72.0,31,68,65,59,54,60,42,46,43,67,71,73,67,59,58,70,82,60,82,62,58,27,63,42,66,56.0,16,19,17,9,7,7,10,14,,66+2,66+2,66+2,60,63,63,63,60,60+2,60+2,60+2,58+2,53+2,53+2,53+2,58+2,43+2,43+2,43+2,43+2,43+2,41+2,42+2,42+2,42+2,41+2,15+2
188540,/player/188540/rajiv-van-la-parra/240002,24.0,2.0,2023-09-22,R. van La Parra,Rajiv van La Parra,"LW, RW",66,66,675000.0,3000.0,32,1991-06-04,181,75,111380.0,Almere City,10.0,Eredivisie,1.0,RW,27.0,,2023-03-08,2024.0,34,Netherlands,,,,Right,3,4,1,Medium/Medium,Normal (170-185),No,979000.0,,"Technical, Flair",75.0,59.0,60.0,71.0,39.0,62.0,60,58,38,63,51,71,67,57,53,69,77,74,77,66,75,67,61,58,66,54,58,34,63,58,63,66.0,36,48,36,16,14,11,16,12,,62+2,62+2,62+2,66,65,65,65,66,65+1,65+1,65+1,65+1,60+2,60+2,60+2,65+1,55+2,53+2,53+2,53+2,55+2,52+2,48+2,48+2,48+2,52+2,20+2
275858,/player/275858/lance-duijvestijn/240002,24.0,2.0,2023-09-22,L. Duijvestijn,Lance Duijvestijn,"CAM, CM",65,71,1100000.0,2000.0,24,1999-01-15,183,75,111380.0,Almere City,10.0,Eredivisie,1.0,CM,10.0,,2021-07-01,2024.0,34,Netherlands,,,,Right,4,3,1,High/Medium,Normal (170-185),No,1800000.0,,,68.0,61.0,62.0,67.0,40.0,52.0,57,59,47,67,61,69,52,50,65,68,68,68,57,62,64,66,55,72,43,59,48,27,62,63,65,67.0,45,40,41,7,8,7,15,12,,61+2,61+2,61+2,64,64,64,64,64,65+2,65+2,65+2,65+2,62+2,62+2,62+2,65+2,55+2,53+2,53+2,53+2,55+2,52+2,45+2,45+2,45+2,52+2,16+2
223813,/player/223813/damian-van-bruggen/240002,24.0,2.0,2023-09-22,D. van Bruggen,Damian van Bruggen,CB,65,67,750000.0,2000.0,27,1996-03-18,184,79,111380.0,Almere City,10.0,Eredivisie,1.0,RCB,4.0,,2022-07-14,2024.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,,64.0,55.0,50.0,55.0,63.0,71.0,32,48,60,59,34,45,25,55,66,65,60,68,55,63,70,71,72,68,75,66,66,65,35,46,50,65.0,60,65,64,8,13,9,10,14,,56+2,56+2,56+2,52,54,54,54,52,54+2,54+2,54+2,53+2,58+2,58+2,58+2,53+2,59+2,63+2,63+2,63+2,59+2,61+2,65+2,65+2,65+2,61+2,17+2
199407,/player/199407/danny-post/240002,24.0,2.0,2023-09-22,D. Post,Danny Post,CDM,65,65,240000.0,2000.0,34,1989-04-07,191,92,111380.0,Almere City,10.0,Eredivisie,1.0,SUB,8.0,,2022-01-29,2024.0,34,Netherlands,,,,Right,3,2,1,Low/Medium,Normal (185+),No,348000.0,#Strength,,36.0,57.0,57.0,55.0,61.0,84.0,46,51,64,64,42,56,44,58,61,61,38,34,32,61,32,73,72,74,91,59,82,64,51,55,59,63.0,59,63,56,15,11,16,10,13,,58+2,58+2,58+2,53,56,56,56,53,56+2,56+2,56+2,55+2,61+2,61+2,61+2,55+2,58+2,64+1,64+1,64+1,58+2,58+2,66-1,66-1,66-1,58+2,18+2
