player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
227633,/player/227633/bart-ramselaar/240002,24.0,2.0,2023-09-22,B. Ramselaar,Bart Ramselaar,"CAM, LW",73,74,3500000.0,14000.0,27,1996-06-29,178,74,1903.0,FC Utrecht,10.0,Eredivisie,1.0,SUB,23.0,,2019-08-24,2025.0,34,Netherlands,,,,Right,3,3,1,High/Medium,Normal (170-185),No,5500000.0,,"Rapid, Flair, Trivela",83.0,71.0,68.0,75.0,52.0,67.0,62,69,54,73,67,74,72,55,70,75,84,82,81,73,76,73,65,74,65,75,66,48,72,67,63,72.0,57,53,44,7,10,15,12,12,,71+2,71+2,71+2,73,73,73,73,73,73+1,73+1,73+1,73+1,70+2,70+2,70+2,73+1,64+2,63+2,63+2,63+2,64+2,62+2,58+2,58+2,58+2,62+2,17+2
193440,/player/193440/nick-viergever/240002,24.0,2.0,2023-09-22,N. Viergever,Nick Viergever,"CB, LB",73,73,1500000.0,13000.0,33,1989-08-03,183,77,1903.0,FC Utrecht,10.0,Eredivisie,1.0,SUB,24.0,,2022-07-01,2024.0,34,Netherlands,,,,Left,2,2,1,Medium/Medium,Normal (170-185),Yes,2300000.0,,Slide Tackle,67.0,54.0,65.0,67.0,73.0,75.0,62,56,68,72,41,65,52,39,68,69,66,68,64,73,66,62,75,77,75,48,73,74,55,62,48,70.0,75,73,74,8,9,11,7,11,,63+2,63+2,63+2,64,64,64,64,64,65+2,65+2,65+2,66+2,68+2,68+2,68+2,66+2,71+2,72+1,72+1,72+1,71+2,72+1,73,73,73,72+1,16+2
198006,/player/198006/jens-toornstra/240002,24.0,2.0,2023-09-22,J. Toornstra,Jens Toornstra,"CDM, CM",73,73,1000000.0,13000.0,34,1989-04-04,178,74,1903.0,FC Utrecht,10.0,Eredivisie,1.0,LCM,18.0,,2022-08-23,2024.0,34,Netherlands,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,1500000.0,,Long Ball Pass,55.0,73.0,75.0,69.0,70.0,71.0,76,73,62,76,78,68,74,73,74,70,44,64,62,70,76,75,55,78,68,76,72,75,74,76,56,75.0,72,70,60,14,15,16,6,6,,70+2,70+2,70+2,70,70,70,70,70,71+2,71+2,71+2,70+2,73,73,73,70+2,70+2,72+1,72+1,72+1,70+2,69+2,69+2,69+2,69+2,69+2,17+2
239272,/player/239272/vasilios-barkas/240002,24.0,2.0,2023-09-22,V. Barkas,Vasilis Cornelius Barkas,GK,72,73,1800000.0,10000.0,29,1994-05-30,195,91,1903.0,FC Utrecht,10.0,Eredivisie,1.0,GK,1.0,,2023-07-28,2024.0,22,Greece,,,,Left,2,1,1,Medium/Medium,Lean (185+),No,2800000.0,,,,,,,,,14,10,14,31,8,12,14,15,29,20,42,40,45,66,29,54,64,39,70,9,36,13,12,58,20,60.0,17,12,13,71,72,72,70,72,41.0,27+2,27+2,27+2,26,28,28,28,26,30+2,30+2,30+2,28+2,30+2,30+2,30+2,28+2,25+2,29+2,29+2,29+2,25+2,25+2,27+2,27+2,27+2,25+2,71+2
198640,/player/198640/zakaria-labyad/240002,24.0,2.0,2023-09-22,Z. Labyad,Zakaria Labyad,CAM,72,72,2300000.0,13000.0,30,1993-03-09,175,65,1903.0,FC Utrecht,10.0,Eredivisie,1.0,SUB,20.0,,2023-02-20,2024.0,129,Morocco,,,,Right,5,4,1,Medium/Low,Normal (170-185),No,3500000.0,,"Finesse Shot, Tiki Taka, Flair",67.0,74.0,73.0,75.0,36.0,53.0,75,70,52,71,74,75,82,80,68,76,68,67,73,67,79,80,52,61,55,79,38,31,66,76,68,73.0,36,36,28,10,10,14,15,11,,69+2,69+2,69+2,72,72,72,72,72,72,72,72,71+1,68+2,68+2,68+2,71+1,56+2,53+2,53+2,53+2,56+2,52+2,44+2,44+2,44+2,52+2,18+2
207725,/player/207725/mike-van-der-hoorn/240002,24.0,2.0,2023-09-22,M. van der Hoorn,Mike van der Hoorn,CB,72,72,1900000.0,12000.0,30,1992-10-15,190,85,1903.0,FC Utrecht,10.0,Eredivisie,1.0,RCB,3.0,,2022-07-01,2024.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (185+),Yes,2900000.0,,"Power Header, Aerial",63.0,46.0,51.0,49.0,72.0,77.0,41,43,81,64,26,48,35,31,66,52,51,73,34,70,36,72,77,69,84,31,68,70,46,37,40,67.0,72,72,69,7,11,15,10,15,,58+2,58+2,58+2,50,53,53,53,50,51+2,51+2,51+2,54+2,57+2,57+2,57+2,54+2,63+2,66+2,66+2,66+2,63+2,66+2,72,72,72,66+2,17+2
241708,/player/241708/modibo-sagnan/240002,24.0,2.0,2023-09-22,M. Sagnan,Modibo Sagnan,CB,71,76,2600000.0,9000.0,24,1999-04-14,187,77,1903.0,FC Utrecht,10.0,Eredivisie,1.0,LCB,27.0,,2023-07-01,2026.0,18,France,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,4100000.0,,Jockey,62.0,32.0,55.0,55.0,71.0,74.0,48,28,72,70,27,48,33,30,69,65,48,74,51,65,51,40,75,64,78,32,77,68,30,39,39,58.0,71,73,68,10,6,11,9,9,,50+2,50+2,50+2,50,50,50,50,50,52+2,52+2,52+2,54+2,58+2,58+2,58+2,54+2,64+2,68+2,68+2,68+2,64+2,66+2,71+2,71+2,71+2,66+2,15+2
210832,/player/210832/mattijs-branderhorst/240002,24.0,2.0,2023-09-22,M. Branderhorst,Mattijs Branderhorst,GK,71,73,1600000.0,9000.0,29,1993-12-31,192,87,1903.0,FC Utrecht,10.0,Eredivisie,1.0,SUB,31.0,,2023-07-01,2025.0,34,Netherlands,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2500000.0,,,,,,,,,17,15,12,26,18,17,13,15,27,27,40,39,37,69,41,50,61,28,65,19,21,10,4,40,23,55.0,11,15,13,72,69,67,70,72,40.0,28+2,28+2,28+2,26,28,28,28,26,28+2,28+2,28+2,27+2,28+2,28+2,28+2,27+2,24+2,26+2,26+2,26+2,24+2,24+2,24+2,24+2,24+2,24+2,70+2
204684,/player/204684/mats-seuntjens/240002,24.0,2.0,2023-09-22,M. Seuntjens,Mats Seuntjens,"ST, LW",71,71,1600000.0,12000.0,31,1992-04-17,187,81,1903.0,FC Utrecht,10.0,Eredivisie,1.0,LM,21.0,,2023-07-01,2024.0,34,Netherlands,,,,Right,4,3,1,Medium/Low,Normal (185+),No,2400000.0,,"Chip Shot, Rapid",76.0,71.0,70.0,70.0,61.0,76.0,69,68,62,72,64,72,74,68,69,70,73,79,67,68,61,77,72,77,79,73,70,59,72,70,66,71.0,60,64,54,13,7,9,9,10,,71,71,71,71,71,71,71,71,71,71,71,71,70+1,70+1,70+1,71,67+2,67+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,66+2,16+2
258041,/player/258041/hugo-novoa-ramos/240002,24.0,2.0,2023-09-22,Hugo Novoa,Hugo Novoa Ramos,"RW, CF, RWB",70,81,3500000.0,20000.0,20,2003-01-24,182,70,1903.0,FC Utrecht,10.0,Eredivisie,1.0,SUB,17.0,RB Leipzig,,2024.0,45,Spain,,,,Right,3,3,1,Medium/Low,Lean (170-185),Yes,,,Rapid,88.0,68.0,53.0,73.0,37.0,54.0,54,72,65,54,62,74,51,38,48,73,85,91,78,67,75,67,73,60,54,62,40,32,71,59,60,57.0,38,35,26,15,9,14,7,10,,70+2,70+2,70+2,70,70,70,70,70,67+2,67+2,67+2,68+2,59+2,59+2,59+2,68+2,53+2,48+2,48+2,48+2,53+2,52+2,46+2,46+2,46+2,52+2,17+2
