player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
247103,/player/247103/david-hancko/240002,24.0,2.0,2023-09-22,D. Hancko,Dávid Hancko,"CB, LB",80,84,26500000.0,19000.0,25,1997-12-13,188,80,246.0,Feyenoord,10.0,Eredivisie,1.0,LCB,33.0,,2022-08-22,2026.0,43,Slovakia,,,,Left,3,2,2,High/Medium,Lean (185+),No,39100000.0,,"Long Ball Pass, Jockey, Anticipate",79.0,64.0,72.0,74.0,80.0,81.0,69,60,81,76,42,73,60,72,74,77,77,80,74,80,55,74,85,80,84,68,75,79,69,68,69,75.0,78,81,82,14,12,6,7,14,,72+2,72+2,72+2,73,73,73,73,73,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,80+2,80+2,80+2,79+2,19+2
241187,/player/241187/lutsharel-geertruida/240002,24.0,2.0,2023-09-22,L. Geertruida,Lutsharel Geertruida,"RB, CB, CDM",79,85,26500000.0,17000.0,22,2000-07-18,185,73,246.0,Feyenoord,10.0,Eredivisie,1.0,RB,4.0,,2017-05-29,2025.0,34,Netherlands,105035.0,RCB,2.0,Right,3,2,2,Medium/Medium,Normal (185+),No,42400000.0,,"Power Header, Jockey, Anticipate, Rapid",78.0,53.0,69.0,75.0,79.0,80.0,68,61,80,76,31,75,56,30,70,77,77,78,73,73,72,49,91,79,82,42,72,77,67,68,40,77.0,76,81,80,12,11,13,12,10,,68+2,68+2,68+2,71,70,70,70,71,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,76+2,76+2,76+2,76+2,76+2,77+2,78+2,78+2,78+2,77+2,18+2
199813,/player/199813/gernot-trauner/240002,24.0,2.0,2023-09-22,G. Trauner,Gernot Trauner,CB,79,79,12000000.0,19000.0,31,1992-03-25,183,82,246.0,Feyenoord,10.0,Eredivisie,1.0,RCB,18.0,,2021-07-26,2026.0,4,Austria,,,,Right,3,2,2,Medium/High,Normal (170-185),No,16800000.0,,"Power Header, Anticipate, Aerial",63.0,57.0,67.0,67.0,80.0,86.0,59,51,81,74,48,65,58,49,71,70,54,70,63,71,63,68,91,86,86,63,83,74,55,64,49,78.0,81,82,78,8,7,11,7,9,,65+2,65+2,65+2,63,64,64,64,63,65+2,65+2,65+2,66+2,70+2,70+2,70+2,66+2,73+2,76+2,76+2,76+2,73+2,74+2,79,79,79,74+2,15+2
245152,/player/245152/santiago-gimenez/240002,24.0,2.0,2023-09-22,S. Giménez,Santiago Tomás Giménez,ST,78,84,23000000.0,18000.0,22,2001-04-18,182,69,246.0,Feyenoord,10.0,Eredivisie,1.0,ST,29.0,,2022-07-29,2027.0,83,Mexico,1386.0,ST,11.0,Left,3,3,2,High/Medium,Normal (170-185),Yes,36800000.0,,"Chip Shot, Power Header",75.0,78.0,67.0,75.0,53.0,79.0,60,80,80,70,69,75,70,50,66,76,75,75,72,74,70,80,81,80,79,74,78,51,83,73,81,74.0,55,49,32,6,14,12,6,10,,78+2,78+2,78+2,74,76,76,76,74,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,62+2,64+2,64+2,64+2,62+2,61+2,61+2,61+2,61+2,61+2,16+2
232229,/player/232229/justin-bijlow/240002,24.0,2.0,2023-09-22,J. Bijlow,Justin Bijlow,GK,78,83,16500000.0,13000.0,25,1998-01-22,188,76,246.0,Feyenoord,10.0,Eredivisie,1.0,GK,1.0,,2015-07-01,2025.0,34,Netherlands,105035.0,RES,13.0,Right,2,1,2,Medium/Medium,Normal (185+),No,24300000.0,,,,,,,,,10,10,11,33,10,11,10,10,44,21,48,48,56,77,32,59,67,30,70,10,22,10,10,58,16,54.0,16,12,14,80,75,78,74,78,48.0,29+2,29+2,29+2,28,30,30,30,28,32+2,32+2,32+2,30+2,33+2,33+2,33+2,30+2,25+2,30+2,30+2,30+2,25+2,25+2,26+2,26+2,26+2,25+2,77+2
271400,/player/271400/igor-guilherme-barbosa-da-paixao/240002,24.0,2.0,2023-09-22,Igor Paixão,Igor Guilherme Barbosa da Paixão,"LW, RW",77,83,16500000.0,17000.0,23,2000-06-28,168,65,246.0,Feyenoord,10.0,Eredivisie,1.0,RW,14.0,,2022-08-17,2027.0,54,Brazil,,,,Right,4,4,1,High/Medium,Lean (170-),No,26400000.0,,"Whipped Cross, Technical, Flair",86.0,69.0,71.0,80.0,32.0,65.0,72,72,74,71,63,79,65,60,70,79,89,84,86,78,86,63,91,74,62,72,53,22,74,73,64,70.0,21,37,29,8,13,11,12,9,,74+2,74+2,74+2,77,76,76,76,77,76+2,76+2,76+2,76+2,70+2,70+2,70+2,76+2,58+2,54+2,54+2,54+2,58+2,55+2,47+2,47+2,47+2,55+2,18+2
248793,/player/248793/mats-wieffer/240002,24.0,2.0,2023-09-22,M. Wieffer,Mats Wieffer,"CDM, CM",76,83,14000000.0,13000.0,23,1999-11-16,188,76,246.0,Feyenoord,10.0,Eredivisie,1.0,RCM,20.0,,2022-07-01,2027.0,34,Netherlands,105035.0,SUB,19.0,Right,3,3,1,Medium/High,Normal (185+),No,22400000.0,,"Bruiser, Press Proven, Aerial",69.0,64.0,73.0,73.0,72.0,79.0,68,58,75,78,68,72,69,52,79,78,67,71,67,69,65,74,82,77,78,69,84,76,62,70,55,80.0,67,74,68,7,12,14,12,7,,69+2,69+2,69+2,70,70,70,70,70,71+2,71+2,71+2,71+2,74+2,74+2,74+2,71+2,72+2,75+2,75+2,75+2,72+2,72+2,74+2,74+2,74+2,72+2,16+2
252931,/player/252931/luka-ivanusec/240002,24.0,2.0,2023-09-22,L. Ivanušec,Luka Ivanušec,"CAM, LW, CM",76,81,11500000.0,15000.0,24,1998-11-26,175,76,246.0,Feyenoord,10.0,Eredivisie,1.0,LW,17.0,,2023-08-25,2028.0,10,Croatia,1328.0,LW,16.0,Right,3,4,1,High/Medium,Stocky (170-185),No,17000000.0,,"Finesse Shot, Rapid, Flair",82.0,73.0,71.0,82.0,58.0,73.0,66,70,53,74,72,85,70,70,73,78,90,75,81,77,94,76,76,79,70,75,72,59,71,72,74,76.0,60,60,49,6,11,13,10,14,,73+2,73+2,73+2,76,76,76,76,76,76+2,76+2,76+2,76+2,74+2,74+2,74+2,76+2,69+2,68+2,68+2,68+2,69+2,66+2,63+2,63+2,63+2,66+2,18+2
252383,/player/252383/ramiz-zerrouki/240002,24.0,2.0,2023-09-22,R. Zerrouki,Ramiz Larbi Zerrouki,"CM, CDM",76,79,10000000.0,16000.0,25,1998-05-26,183,72,246.0,Feyenoord,10.0,Eredivisie,1.0,SUB,6.0,,2023-07-01,2027.0,97,Algeria,,,,Right,3,3,1,Low/High,Normal (170-185),No,14800000.0,,"Long Ball Pass, Intercept",68.0,65.0,73.0,76.0,70.0,81.0,59,58,52,81,58,75,64,67,80,79,70,66,73,69,72,76,72,85,79,74,82,71,68,72,57,74.0,70,74,70,6,11,14,12,6,,68+2,68+2,68+2,71,71,71,71,71,74+2,74+2,74+2,72+2,76+2,76+2,76+2,72+2,72+2,76+2,76+2,76+2,72+2,71+2,72+2,72+2,72+2,71+2,16+2
226662,/player/226662/bart-nieuwkoop/240002,24.0,2.0,2023-09-22,B. Nieuwkoop,Bart Nieuwkoop,RB,76,76,7000000.0,15000.0,27,1996-03-07,181,75,246.0,Feyenoord,10.0,Eredivisie,1.0,SUB,2.0,,2023-08-10,2027.0,34,Netherlands,,,,Right,3,3,1,High/Medium,Normal (170-185),No,9800000.0,,Rapid,72.0,62.0,71.0,70.0,73.0,77.0,74,63,73,72,48,68,66,50,71,73,69,75,65,74,70,68,79,86,71,58,78,76,73,74,42,74.0,73,73,71,8,11,9,7,16,,69+2,69+2,69+2,70,70,70,70,70,71+2,71+2,71+2,72+2,73+2,73+2,73+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,17+2
