player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
259921,/player/259921/victor-edvardsen/240002,24.0,2.0,2023-09-22,V. Edvardsen,Victor Edvardsen,"ST, LM",69,70,1600000.0,6000.0,27,1996-01-14,185,86,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,ST,16.0,,2023-07-01,2026.0,46,Sweden,,,,Right,4,2,1,Medium/Medium,Stocky (185+),No,2400000.0,,,80.0,68.0,62.0,68.0,32.0,79.0,63,67,54,64,63,70,71,57,57,67,74,85,67,64,70,72,69,75,82,70,78,12,72,61,62,68.0,15,57,27,6,14,7,10,5,,69+1,69+1,69+1,68,68,68,68,68,67+2,67+2,67+2,68+2,62+2,62+2,62+2,68+2,53+2,51+2,51+2,51+2,53+2,50+2,48+2,48+2,48+2,50+2,15+2
217585,/player/217585/bas-kuipers/240002,24.0,2.0,2023-09-22,B. Kuipers,Bas Edo Kuipers,LB,69,69,1300000.0,5000.0,28,1994-08-17,180,74,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,LB,5.0,,2020-07-06,2025.0,34,Netherlands,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1900000.0,,,69.0,44.0,62.0,66.0,66.0,73.0,72,37,58,65,33,63,67,56,67,68,68,70,75,59,75,64,79,78,71,42,71,65,55,45,39,67.0,66,68,68,10,8,15,14,15,,57+2,57+2,57+2,60,58,58,58,60,59+2,59+2,59+2,63+2,61+2,61+2,61+2,63+2,68+1,66+2,66+2,66+2,68+1,67+2,67+2,67+2,67+2,67+2,17+2
270578,/player/270578/willum-thor-willumsson/240002,24.0,2.0,2023-09-22,W. Willumsson,Willum Þór Willumsson,"CAM, RM",68,74,1900000.0,4000.0,24,1998-10-23,193,84,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,CAM,18.0,,2022-07-15,2026.0,24,Iceland,1341.0,SUB,19.0,Left,3,3,1,Medium/Medium,Normal (185+),No,3100000.0,,Power Header,60.0,63.0,70.0,69.0,53.0,77.0,69,62,65,72,50,74,59,68,70,69,52,66,62,59,65,67,66,81,82,64,61,46,65,70,69,58.0,52,53,56,11,10,15,12,9,,66+2,66+2,66+2,67,66,66,66,67,68+2,68+2,68+2,68+2,68+2,68+2,68+2,68+2,62+2,62+2,62+2,62+2,62+2,60+2,59+2,59+2,59+2,60+2,16+2
262403,/player/262403/philippe-rommens/240002,24.0,2.0,2023-09-22,P. Rommens,Philippe Rommens,"CM, CDM",68,71,1600000.0,4000.0,25,1997-08-20,175,69,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,LDM,10.0,,2021-07-01,2024.0,7,Belgium,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,2400000.0,,"Dead Ball, Long Ball Pass, Trivela",61.0,59.0,73.0,65.0,56.0,66.0,77,55,53,74,40,62,75,72,73,68,68,55,65,65,76,67,63,76,62,65,64,63,56,68,57,58.0,53,58,51,9,13,11,8,7,,61+2,61+2,61+2,65,63,63,63,65,66+2,66+2,66+2,67+2,68+2,68+2,68+2,67+2,65+2,65+2,65+2,65+2,65+2,63+2,59+2,59+2,59+2,63+2,15+2
258549,/player/258549/jamal-amofa/240002,24.0,2.0,2023-09-22,J. Amofa,Jamal Amofa,"CB, RB",67,74,1900000.0,3000.0,24,1998-11-25,185,82,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,RCB,25.0,,2022-07-05,2025.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,3100000.0,,"Jockey, Block, Bruiser",76.0,34.0,49.0,65.0,65.0,75.0,45,29,61,57,29,67,38,31,50,62,71,80,68,65,64,46,71,71,80,32,67,65,43,46,31,58.0,64,68,67,7,15,7,7,7,,53+2,53+2,53+2,56,54,54,54,56,55+2,55+2,55+2,58+2,56+2,56+2,56+2,58+2,64+2,63+2,63+2,63+2,64+2,65+2,67+2,67+2,67+2,65+2,15+2
240906,/player/240906/bobby-adekanye/240002,24.0,2.0,2023-09-22,B. Adekanye,Bobby Adekanye,"RM, CAM",67,73,1600000.0,3000.0,24,1999-02-14,175,70,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,RM,11.0,,2022-07-01,2025.0,34,Netherlands,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,2600000.0,,Technical,77.0,61.0,60.0,72.0,30.0,58.0,64,62,50,64,61,74,53,54,48,73,79,76,72,59,74,66,63,42,70,56,48,21,64,61,52,59.0,25,35,30,8,9,5,11,9,,65+2,65+2,65+2,68,67,67,67,68,66+2,66+2,66+2,66+2,58+2,58+2,58+2,66+2,50+2,46+2,46+2,46+2,50+2,47+2,43+2,43+2,43+2,47+2,15+2
239559,/player/239559/jeffrey-de-lange/240002,24.0,2.0,2023-09-22,J. de Lange,Jeffrey de Lange,GK,67,71,1100000.0,2000.0,25,1998-04-01,191,78,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,GK,1.0,,2022-07-01,2026.0,34,Netherlands,,,,Right,4,1,1,Medium/Medium,Normal (185+),No,1700000.0,,Footwork,,,,,,,13,6,12,28,5,9,10,14,27,15,58,54,40,59,39,47,51,26,51,5,17,7,8,34,18,52.0,8,14,13,67,64,63,67,68,56.0,24+2,24+2,24+2,23,24,24,24,23,24+2,24+2,24+2,25+2,24+2,24+2,24+2,25+2,23+2,22+2,22+2,22+2,23+2,23+2,21+2,21+2,21+2,23+2,66+2
253399,/player/253399/oliver-valaker-edvardsen/240002,24.0,2.0,2023-09-22,O. Edvardsen,Oliver Valaker Edvardsen,"LM, ST",67,71,1500000.0,3000.0,24,1999-03-19,175,63,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,LM,23.0,,2022-07-15,2025.0,36,Norway,,,,Right,4,3,1,High/Medium,Normal (170-185),No,2300000.0,,Rapid,83.0,61.0,58.0,69.0,46.0,76.0,61,66,54,59,55,66,61,44,54,65,90,78,87,58,92,59,87,82,71,55,77,50,67,58,50,65.0,36,48,50,12,6,6,9,12,,64+2,64+2,64+2,66,65,65,65,66,64+2,64+2,64+2,66+2,60+2,60+2,60+2,66+2,60+2,57+2,57+2,57+2,60+2,59+2,55+2,55+2,55+2,59+2,15+2
192559,/player/192559/gerrit-nauber/240002,24.0,2.0,2023-09-22,G. Nauber,Gerrit Nauber,CB,67,67,700000.0,3000.0,31,1992-04-13,185,78,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,LCB,3.0,,2021-07-05,2024.0,21,Germany,,,,Right,3,2,1,Medium/High,Normal (185+),No,1000000.0,,Long Throw,47.0,35.0,43.0,47.0,68.0,73.0,35,33,69,60,34,40,26,28,51,48,50,44,58,61,61,46,80,65,77,30,73,68,21,25,37,55.0,67,68,67,12,7,14,14,11,,45+2,45+2,45+2,42,42,42,42,42,43+2,43+2,43+2,44+2,48+2,48+2,48+2,44+2,57+2,61+2,61+2,61+2,57+2,60+2,67,67,67,60+2,17+2
244725,/player/244725/evert-linthorst/240002,24.0,2.0,2023-09-22,E. Linthorst,Henricus Gerardus Hubertus Maria Linthorst,"CM, CDM",66,72,1300000.0,3000.0,23,2000-03-03,185,82,100632.0,Go Ahead Eagles,10.0,Eredivisie,1.0,RDM,8.0,,2022-01-30,2024.0,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Normal (185+),No,2100000.0,,Long Ball Pass,64.0,60.0,61.0,66.0,61.0,75.0,46,60,62,67,45,65,57,47,68,68,68,60,67,66,67,67,76,78,76,58,68,63,66,65,52,63.0,60,61,60,6,10,12,10,13,,64+2,64+2,64+2,63,65,65,65,63,65+2,65+2,65+2,64+2,66+2,66+2,66+2,64+2,63+2,66+2,66+2,66+2,63+2,63+2,64+2,64+2,64+2,63+2,16+2
