player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
222165,/player/222165/emil-hansson/240002,24.0,2.0,2023-09-22,E. Hansson,Emil Hansson,LW,70,73,2100000.0,6000.0,25,1998-06-15,172,68,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,LW,29.0,,2022-01-29,2024.0,46,Sweden,,,,Right,3,3,1,High/Low,Lean (170-185),No,3200000.0,,"Technical, Flair, Trivela",77.0,65.0,68.0,73.0,35.0,52.0,68,68,31,70,65,71,71,64,55,73,77,77,84,67,85,64,58,66,49,64,38,24,60,74,60,68.0,56,24,30,11,10,8,11,9,,63+2,63+2,63+2,70,69,69,69,70,70+2,70+2,70+2,69+2,63+2,63+2,63+2,69+2,56+2,51+2,51+2,51+2,56+2,51+2,42+2,42+2,42+2,51+2,16+2
231823,/player/231823/justin-hoogma/240002,24.0,2.0,2023-09-22,J. Hoogma,Justin Hoogma,CB,69,74,1800000.0,4000.0,25,1998-06-11,190,81,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,LCB,21.0,,2022-01-24,2026.0,34,Netherlands,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,2700000.0,,Power Header,54.0,29.0,51.0,58.0,69.0,72.0,31,23,70,68,30,50,37,33,67,65,46,61,63,68,61,46,71,70,76,24,65,69,36,35,35,63.0,67,70,66,11,13,14,7,9,,49+2,49+2,49+2,48,49,49,49,48,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,61+2,67+2,67+2,67+2,61+2,63+2,69+2,69+2,69+2,63+2,17+2
224859,/player/224859/nikolai-laursen/240002,24.0,2.0,2023-09-22,N. Laursen,Nikolai Rohde Laursen,RW,69,71,1700000.0,5000.0,25,1998-02-19,183,78,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,RW,11.0,,2021-07-01,2024.0,13,Denmark,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,2600000.0,,Whipped Cross,75.0,66.0,66.0,70.0,37.0,56.0,71,63,50,67,69,69,72,72,55,71,74,75,75,65,67,73,55,64,57,68,42,40,63,66,58,65.0,43,28,26,7,7,7,11,6,,65+2,65+2,65+2,69,67,67,67,69,67+2,67+2,67+2,68+2,62+2,62+2,62+2,68+2,56+2,52+2,52+2,52+2,56+2,52+2,45+2,45+2,45+2,52+2,14+2
205995,/player/205995/jetro-willems/240002,24.0,2.0,2023-09-22,J. Willems,Jetro Willems,LB,69,69,1200000.0,4000.0,29,1994-03-30,177,87,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,LB,15.0,,2023-07-01,2024.0,34,Netherlands,,,,Left,4,3,2,Medium/Medium,Stocky (170-185),Yes,1700000.0,,"Flair, Long Throw",64.0,64.0,70.0,70.0,67.0,73.0,73,58,64,68,52,70,76,62,67,72,66,62,64,68,74,79,76,66,78,71,69,65,66,71,46,69.0,69,69,66,9,14,16,7,10,,67+2,67+2,67+2,68,68,68,68,68,68+1,68+1,68+1,68+1,69,69,69,68+1,68+1,68+1,68+1,68+1,68+1,67+2,69,69,69,67+2,17+2
253442,/player/253442/fabian-de-keijzer/240002,24.0,2.0,2023-09-22,F. de Keijzer,Fabian de Keijzer,GK,68,74,1500000.0,2000.0,23,2000-05-10,193,83,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,SUB,16.0,,2023-08-11,2027.0,34,Netherlands,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,2500000.0,,,,,,,,,12,9,13,31,5,11,10,13,29,18,33,28,37,68,33,51,60,31,70,5,24,9,8,44,19,36.0,11,14,11,68,64,68,67,70,31.0,25+2,25+2,25+2,22,25,25,25,22,26+2,26+2,26+2,25+2,27+2,27+2,27+2,25+2,22+2,26+2,26+2,26+2,22+2,22+2,24+2,24+2,24+2,22+2,67+2
189715,/player/189715/marko-vejinovic/240002,24.0,2.0,2023-09-22,M. Vejinović,Marko Vejinović,"CM, CDM",68,68,750000.0,4000.0,33,1990-02-03,186,78,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,LCM,18.0,,2022-07-04,2024.0,34,Netherlands,,,,Right,2,3,1,Medium/Medium,Normal (185+),No,1100000.0,,"Pinged Pass, Long Ball Pass",54.0,68.0,70.0,68.0,62.0,74.0,68,63,67,71,67,67,75,75,66,72,52,56,55,66,75,76,72,72,77,73,68,68,64,71,68,72.0,67,54,49,7,15,9,14,16,,67+1,67+1,67+1,66,67,67,67,66,67+1,67+1,67+1,66+2,68,68,68,66+2,64+2,66+2,66+2,66+2,64+2,63+2,64+2,64+2,64+2,63+2,19+2
215546,/player/215546/michael-brouwer/240002,24.0,2.0,2023-09-22,M. Brouwer,Michael Brouwer,GK,68,68,800000.0,3000.0,30,1993-01-21,189,81,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,GK,1.0,,2013-07-01,2025.0,34,Netherlands,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1200000.0,,,,,,,,,13,18,16,24,17,18,18,16,21,26,25,27,32,68,32,48,44,25,43,17,21,9,4,33,27,39.0,21,20,19,71,67,64,63,66,26.0,26+2,26+2,26+2,24,26,26,26,24,26+2,26+2,26+2,24+2,26+2,26+2,26+2,24+2,24+2,25+2,25+2,25+2,24+2,24+2,24+2,24+2,24+2,24+2,67+1
202050,/player/202050/thomas-bruns/240002,24.0,2.0,2023-09-22,T. Bruns,Thomas Bruns,CM,67,67,825000.0,3000.0,31,1992-01-07,177,69,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,SUB,17.0,,2022-08-03,2025.0,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1200000.0,,,66.0,60.0,68.0,65.0,58.0,65.0,56,54,58,72,55,62,70,71,71,66,68,65,68,63,70,66,66,73,61,67,67,61,69,68,51,68.0,49,63,59,13,11,13,14,9,,63+2,63+2,63+2,64,65,65,65,64,66+1,66+1,66+1,65+2,67,67,67,65+2,63+2,65+2,65+2,65+2,63+2,62+2,61+2,61+2,61+2,62+2,17+2
254831,/player/254831/bryan-limbombe/240002,24.0,2.0,2023-09-22,B. Limbombe,Bryan Michael Limbombe Ekango,"LW, RW",66,74,1900000.0,3000.0,22,2001-05-14,172,73,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,SUB,7.0,,2023-07-01,2027.0,7,Belgium,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,3100000.0,,"Finesse Shot, Technical",82.0,57.0,60.0,69.0,33.0,59.0,64,57,46,63,52,67,62,45,54,68,84,80,77,64,82,58,65,66,58,55,52,35,65,60,55,65.0,28,33,29,7,6,9,11,10,,62+2,62+2,62+2,66,65,65,65,66,65+2,65+2,65+2,66+2,59+2,59+2,59+2,66+2,54+2,50+2,50+2,50+2,54+2,51+2,44+2,44+2,44+2,51+2,15+2
252268,/player/252268/ruben-roosken/240002,24.0,2.0,2023-09-22,R. Roosken,Ruben Roosken,LB,66,72,1300000.0,2000.0,23,2000-03-02,183,70,100634.0,Heracles Almelo,10.0,Eredivisie,1.0,SUB,12.0,,2021-07-01,2024.0,34,Netherlands,,,,Left,3,2,1,High/Medium,Lean (170-185),No,2100000.0,,,83.0,37.0,48.0,62.0,61.0,63.0,58,32,50,48,30,60,39,34,49,62,82,84,76,59,64,58,59,75,58,26,63,63,44,41,48,60.0,59,64,63,13,12,10,14,7,,52+2,52+2,52+2,56,53,53,53,56,52+2,52+2,52+2,58+2,53+2,53+2,53+2,58+2,63+2,59+2,59+2,59+2,63+2,64+2,60+2,60+2,60+2,64+2,17+2
