player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
199987,/player/199987/jasper-cillessen/240002,24.0,2.0,2023-09-22,J. Cillessen,Jasper Cillessen,GK,78,78,2400000.0,11000.0,34,1989-04-22,185,83,1910.0,NEC,10.0,Eredivisie,1.0,GK,1.0,,2022-08-08,2025.0,34,Netherlands,,,,Right,3,1,2,Medium/Medium,Normal (185+),No,3600000.0,,,,,,,,,17,10,12,50,19,12,10,10,35,32,56,50,48,80,50,57,69,40,67,15,25,25,11,60,21,61.0,18,12,11,78,77,76,78,76,54.0,32+2,32+2,32+2,33,35,35,35,33,37+2,37+2,37+2,35+2,38+2,38+2,38+2,35+2,32+2,35+2,35+2,35+2,32+2,31+2,29+2,29+2,29+2,31+2,77+1
172143,/player/172143/lasse-schone/240002,24.0,2.0,2023-09-22,L. Schøne,Lasse Schøne,"CM, CDM",73,73,950000.0,8000.0,37,1986-05-27,178,78,1910.0,NEC,10.0,Eredivisie,1.0,RCM,20.0,,2021-07-01,2024.0,13,Denmark,,,,Right,3,3,1,Low/Low,Normal (170-185),Yes,1400000.0,,"Dead Ball, Flair",36.0,74.0,79.0,74.0,61.0,60.0,81,67,60,78,82,74,83,81,78,80,37,36,63,68,73,82,63,58,58,80,65,74,65,76,76,74.0,66,52,50,16,16,9,12,11,,67+2,67+2,67+2,69,70,70,70,69,72+1,72+1,72+1,69+2,73,73,73,69+2,65+2,69+2,69+2,69+2,65+2,62+2,62+2,62+2,62+2,62+2,19+2
189068,/player/189068/bas-dost/240002,24.0,2.0,2023-09-22,B. Dost,Bas Leon Dost,ST,73,73,1500000.0,11000.0,34,1989-05-31,196,83,1910.0,NEC,10.0,Eredivisie,1.0,SUB,12.0,,2023-08-23,2024.0,34,Netherlands,,,,Right,3,2,2,Low/Medium,Lean (185+),No,2300000.0,"#Aerial threat, #Strength","Power Header, First Touch, Aerial",47.0,75.0,56.0,61.0,46.0,77.0,38,78,87,67,79,62,61,36,42,68,39,54,33,74,33,77,84,61,86,60,75,39,82,67,87,79.0,38,51,26,6,12,15,11,8,,73,73,73,63,69,69,69,63,65+2,65+2,65+2,62+2,62+2,62+2,62+2,62+2,50+2,55+2,55+2,55+2,50+2,50+2,58+2,58+2,58+2,50+2,17+2
193091,/player/193091/bram-nuytinck/240002,24.0,2.0,2023-09-22,B. Nuytinck,Bram Nuytinck,CB,72,72,1100000.0,9000.0,33,1990-05-04,190,82,1910.0,NEC,10.0,Eredivisie,1.0,RCB,17.0,,2023-07-01,2026.0,34,Netherlands,,,,Left,2,2,1,Low/High,Normal (185+),No,1700000.0,,"Power Header, Block",58.0,40.0,53.0,58.0,74.0,70.0,34,32,71,65,40,54,51,34,61,60,53,62,54,68,56,62,68,54,76,36,75,74,34,51,46,73.0,75,75,72,7,6,10,12,9,,53+2,53+2,53+2,51,52,52,52,51,53+2,53+2,53+2,53+2,58+2,58+2,58+2,53+2,62+2,68+2,68+2,68+2,62+2,65+2,72,72,72,65+2,15+2
262334,/player/262334/dirk-proper/240002,24.0,2.0,2023-09-22,D. Proper,Dirk Proper,"CDM, CM",70,78,3400000.0,5000.0,21,2002-02-24,168,63,1910.0,NEC,10.0,Eredivisie,1.0,CDM,71.0,,2020-01-06,2025.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (170-),No,5800000.0,,Technical,62.0,51.0,65.0,74.0,64.0,59.0,55,50,42,74,35,75,42,31,73,71,75,52,74,68,84,64,52,78,48,49,64,66,48,66,39,72.0,65,68,66,13,7,8,7,10,,58+2,58+2,58+2,64,63,63,63,64,66+2,66+2,66+2,66+2,69+2,69+2,69+2,66+2,67+2,69+2,69+2,69+2,67+2,66+2,62+2,62+2,62+2,66+2,16+2
234679,/player/234679/philippe-sandler/240002,24.0,2.0,2023-09-22,P. Sandler,Philippe Sandler,CB,70,74,2000000.0,7000.0,26,1997-02-10,190,82,1910.0,NEC,10.0,Eredivisie,1.0,SUB,3.0,,2022-08-11,2025.0,34,Netherlands,,,,Right,3,3,1,High/Medium,Normal (185+),No,3200000.0,,"Long Ball Pass, Jockey, Long Throw",63.0,39.0,64.0,68.0,70.0,71.0,40,23,69,73,28,70,62,67,71,71,62,64,61,64,52,63,75,65,75,53,66,66,40,66,46,73.0,69,74,69,12,13,15,13,11,,55+2,55+2,55+2,58,59,59,59,58,62+2,62+2,62+2,60+2,66+2,66+2,66+2,60+2,65+2,70+2,70+2,70+2,65+2,66+2,70+2,70+2,70+2,66+2,18+2
245894,/player/245894/roberto-gonzalez-bayon/240002,24.0,2.0,2023-09-22,Rober,Roberto González Bayón,"RW, CAM",69,77,3100000.0,10000.0,22,2001-01-06,169,63,1910.0,NEC,10.0,Eredivisie,1.0,SUB,11.0,Real Betis,,2024.0,45,Spain,,,,Left,5,3,1,High/Medium,Lean (170-),No,,,"Finesse Shot, Technical, Flair",79.0,64.0,65.0,72.0,26.0,47.0,65,64,49,68,40,71,46,65,62,69,80,79,81,66,83,66,54,58,40,67,51,24,61,66,66,67.0,20,27,26,13,7,8,12,13,,63+2,63+2,63+2,69,68,68,68,69,68+2,68+2,68+2,68+2,62+2,62+2,62+2,68+2,51+2,47+2,47+2,47+2,51+2,48+2,38+2,38+2,38+2,48+2,17+2
262335,/player/262335/elayis-tavsan/240002,24.0,2.0,2023-09-22,E. Tavşan,Elayis Tavşan,RW,69,76,2800000.0,6000.0,22,2001-04-30,183,74,1910.0,NEC,10.0,Eredivisie,1.0,SUB,7.0,,2020-07-01,2024.0,34,Netherlands,,,,Left,3,3,1,Medium/Low,Normal (170-185),No,4800000.0,,"Technical, Flair",85.0,60.0,61.0,73.0,24.0,59.0,59,59,54,62,45,75,67,61,58,71,87,83,80,67,76,65,65,69,62,62,38,22,64,62,58,64.0,19,21,19,12,5,7,10,11,,65+2,65+2,65+2,69,68,68,68,69,67+2,67+2,67+2,68+2,60+2,60+2,60+2,68+2,50+2,46+2,46+2,46+2,50+2,47+2,38+2,38+2,38+2,47+2,16+2
232829,/player/232829/koki-ogawa/240002,24.0,2.0,2023-09-22,K. Ogawa,小川 航基,ST,69,72,1900000.0,6000.0,25,1997-08-08,183,77,1910.0,NEC,10.0,Eredivisie,1.0,ST,18.0,,2021-12-27,2026.0,163,Japan,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,3000000.0,,,79.0,66.0,54.0,64.0,29.0,68.0,43,67,72,61,67,61,52,40,45,67,76,81,67,67,55,69,76,71,71,60,55,12,74,63,60,71.0,25,32,19,9,10,14,9,14,,69+2,69+2,69+2,65,67,67,67,65,65+2,65+2,65+2,64+2,58+2,58+2,58+2,64+2,47+2,46+2,46+2,46+2,47+2,46+2,44+2,44+2,44+2,46+2,17+2
255835,/player/255835/lars-olden-larsen/240002,24.0,2.0,2023-09-22,L. Larsen,Lars Olden Larsen,"LW, RW",69,72,1900000.0,6000.0,24,1998-09-17,175,74,1910.0,NEC,10.0,Eredivisie,1.0,LM,14.0,,2023-07-01,2027.0,36,Norway,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3000000.0,,Technical,82.0,69.0,60.0,73.0,52.0,62.0,58,71,51,62,54,74,67,53,58,71,83,81,81,62,79,72,62,81,60,70,43,51,65,62,58,64.0,55,53,46,14,8,11,8,10,,67+2,67+2,67+2,69,69,69,69,69,68+2,68+2,68+2,69+2,64+2,64+2,64+2,69+2,62+2,59+2,59+2,59+2,62+2,61+2,55+2,55+2,55+2,61+2,16+2
