player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
221992,/player/221992/hirving-lozano/240002,24.0,2.0,2023-09-22,H. Lozano,Hirving Rodrigo Lozano Bahena,RW,81,81,27500000.0,27000.0,27,1995-07-30,175,70,247.0,PSV,10.0,Eredivisie,1.0,RW,27.0,,2023-09-01,2028.0,83,Mexico,,,,Right,3,4,3,High/Low,Lean (170-185),Yes,38500000.0,"#Speedster, #Acrobat","Whipped Cross, Rapid, Quick Step, Trivela",93.0,76.0,72.0,82.0,41.0,61.0,73,77,62,74,74,83,72,65,65,80,92,93,89,81,82,76,73,76,52,75,64,45,82,74,73,75.0,42,35,29,11,10,14,14,10,,77+3,77+3,77+3,81,80,80,80,81,79+2,79+2,79+2,79+2,72+3,72+3,72+3,79+2,64+3,59+3,59+3,59+3,64+3,60+3,51+3,51+3,51+3,60+3,19+3
215223,/player/215223/walter-benitez/240002,24.0,2.0,2023-09-22,W. Benítez,Walter Daniel Benítez,GK,79,80,13000000.0,17000.0,30,1993-01-19,191,93,247.0,PSV,10.0,Eredivisie,1.0,GK,1.0,,2022-07-01,2025.0,52,Argentina,,,,Right,2,1,2,Medium/Medium,Normal (185+),No,19200000.0,,,,,,,,,12,14,13,28,13,19,20,17,27,20,38,35,45,75,45,54,69,40,80,14,28,21,17,46,25,62.0,17,20,17,79,77,72,79,82,37.0,30+2,30+2,30+2,27,30,30,30,27,30+2,30+2,30+2,29+2,31+2,31+2,31+2,29+2,27+2,30+2,30+2,30+2,27+2,27+2,30+2,30+2,30+2,27+2,78+2
189805,/player/189805/luuk-de-jong/240002,24.0,2.0,2023-09-22,L. de Jong,Luuk de Jong,ST,79,79,14000000.0,24000.0,32,1990-08-27,189,86,247.0,PSV,10.0,Eredivisie,1.0,ST,9.0,,2022-07-02,2025.0,34,Netherlands,,,,Right,5,3,3,Low/Medium,Normal (185+),Yes,19600000.0,"#Aerial threat, #Strength","Power Header, Aerial",41.0,79.0,71.0,71.0,46.0,77.0,67,81,93,79,83,69,63,69,63,80,35,45,52,81,55,83,89,73,86,72,56,41,87,71,68,76.0,39,43,37,16,10,8,8,11,,79,79,79,71,75,75,75,71,73+3,73+3,73+3,71+3,72+3,72+3,72+3,71+3,58+3,61+3,61+3,61+3,58+3,56+3,58+3,58+3,58+3,56+3,19+3
239380,/player/239380/noa-lang/240002,24.0,2.0,2023-09-22,N. Lang,Noa Noëll Lang,LW,78,83,21000000.0,19000.0,24,1999-06-17,179,69,247.0,PSV,10.0,Eredivisie,1.0,LW,7.0,,2023-07-08,2028.0,34,Netherlands,105035.0,SUB,11.0,Right,4,4,1,High/Medium,Lean (170-185),Yes,31000000.0,,"Whipped Cross, Technical, Flair, First Touch, Quick Step, Trivela",84.0,73.0,71.0,84.0,50.0,69.0,66,75,48,75,80,85,74,57,67,83,88,81,88,78,88,72,70,79,63,69,72,57,74,73,71,82.0,47,51,43,13,7,13,12,12,,74+2,74+2,74+2,78,78,78,78,78,78+2,78+2,78+2,78+2,74+2,74+2,74+2,78+2,67+2,65+2,65+2,65+2,67+2,64+2,58+2,58+2,58+2,64+2,18+2
253109,/player/253109/joey-veerman/240002,24.0,2.0,2023-09-22,J. Veerman,Joey Veerman,"CM, CDM, CAM",78,83,21000000.0,18000.0,24,1998-11-19,185,75,247.0,PSV,10.0,Eredivisie,1.0,CDM,23.0,,2022-01-04,2026.0,34,Netherlands,105035.0,SUB,16.0,Right,4,3,2,Medium/Medium,Normal (185+),No,31000000.0,,"Finesse Shot, Dead Ball, Pinged Pass, Long Ball Pass, Technical, First Touch, Trivela",60.0,69.0,83.0,76.0,61.0,77.0,80,64,54,85,58,76,75,73,86,79,70,51,74,75,69,79,65,85,77,75,68,60,62,86,65,77.0,64,64,53,12,11,10,5,9,,69+2,69+2,69+2,74,73,73,73,74,76+2,76+2,76+2,76+2,78+2,78+2,78+2,76+2,70+2,73+2,73+2,73+2,70+2,67+2,65+2,65+2,65+2,67+2,17+2
245211,/player/245211/jordan-teze/240002,24.0,2.0,2023-09-22,J. Teze,Jordan Teze,"RB, CB",76,82,11000000.0,14000.0,23,1999-09-30,183,68,247.0,PSV,10.0,Eredivisie,1.0,SUB,3.0,,2016-07-27,2025.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (170-185),Yes,17600000.0,,Anticipate,77.0,48.0,64.0,67.0,77.0,80.0,60,44,73,72,27,64,42,41,70,67,78,77,70,76,72,60,81,82,82,50,71,78,56,62,36,76.0,77,77,75,12,5,14,7,10,,62+2,62+2,62+2,64,64,64,64,64,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,74+2,74+2,74+2,74+2,74+2,74+2,76+2,76+2,76+2,74+2,16+2
251804,/player/251804/sergino-dest/240002,24.0,2.0,2023-09-22,S. Dest,Sergiño Gianni Dest,"RB, LB",76,82,11500000.0,80000.0,22,2000-11-03,173,68,247.0,PSV,10.0,Eredivisie,1.0,RB,8.0,FC Barcelona,,2024.0,95,United States,1387.0,RB,2.0,Right,4,4,1,High/Low,Normal (170-185),Yes,,,Flair,83.0,59.0,73.0,81.0,68.0,66.0,74,58,59,80,44,83,72,43,69,77,86,80,88,75,80,65,73,77,59,62,68,68,72,72,39,74.0,66,72,74,11,10,10,15,15,,69+2,69+2,69+2,76,74,74,74,76,75+2,75+2,75+2,76+2,74+2,74+2,74+2,76+2,75+2,72+2,72+2,72+2,75+2,74+2,69+2,69+2,69+2,74+2,19+2
225863,/player/225863/olivier-boscagli/240002,24.0,2.0,2023-09-22,O. Boscagli,Olivier Maxime Boscagli,CB,76,80,9500000.0,15000.0,25,1997-11-18,181,68,247.0,PSV,10.0,Eredivisie,1.0,LCB,18.0,,2019-07-17,2025.0,18,France,,,,Left,4,3,2,Medium/Medium,Lean (170-185),Yes,14000000.0,,Long Ball Pass,72.0,49.0,73.0,74.0,77.0,75.0,72,33,74,76,29,73,52,56,78,77,69,74,72,76,70,73,80,76,75,67,71,79,62,74,36,77.0,76,78,77,8,7,14,8,12,,64+2,64+2,64+2,69,68,68,68,69,70+2,70+2,70+2,71+2,74+2,74+2,74+2,71+2,76+2,77+2,77+2,77+2,76+2,76+2,76+2,76+2,76+2,76+2,16+2
186190,/player/186190/patrick-van-aanholt/240002,24.0,2.0,2023-09-22,P. van Aanholt,Patrick John Miguel van Aanholt,LB,76,76,5000000.0,34000.0,32,1990-08-29,176,67,247.0,PSV,10.0,Eredivisie,1.0,LB,30.0,Galatasaray,,2024.0,34,Netherlands,,,,Left,3,3,2,High/Medium,Normal (170-185),Yes,,,Long Throw,84.0,67.0,70.0,75.0,70.0,74.0,66,62,58,72,62,76,73,71,73,74,83,85,75,74,77,75,84,79,70,68,77,70,74,68,65,69.0,68,75,76,9,15,7,8,6,,71+2,71+2,71+2,73,73,73,73,73,73+2,73+2,73+2,74+2,73+2,73+2,73+2,74+2,74+2,73+2,73+2,73+2,74+2,74+2,72+2,72+2,72+2,74+2,16+2
265450,/player/265450/johan-bakayoko/240002,24.0,2.0,2023-09-22,J. Bakayoko,Johan Bakayoko,RW,75,86,12500000.0,14000.0,20,2003-04-20,179,70,247.0,PSV,10.0,Eredivisie,1.0,SUB,11.0,,2019-07-18,2026.0,7,Belgium,1325.0,RES,24.0,Left,3,3,1,Medium/Medium,Normal (170-185),No,20000000.0,,Technical,86.0,66.0,66.0,78.0,30.0,63.0,70,69,58,68,60,81,66,57,55,77,87,86,82,72,65,67,70,70,68,63,39,21,69,67,57,72.0,23,35,27,7,14,7,6,9,,71+2,71+2,71+2,75,73,73,73,75,72+2,72+2,72+2,74+2,65+2,65+2,65+2,74+2,56+2,50+2,50+2,50+2,56+2,52+2,44+2,44+2,44+2,52+2,16+2
