player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
228591,/player/228591/carlens-arcus/240002,24.0,2.0,2023-09-22,C. Arcus,Carlens Jean Fedlaire Ruby Arcus,RB,72,73,2500000.0,9000.0,27,1996-06-28,176,73,1909.0,Vitesse,10.0,Eredivisie,1.0,RB,2.0,,2022-07-01,2025.0,80,Haiti,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,3800000.0,,Intercept,75.0,43.0,65.0,66.0,67.0,74.0,71,38,62,68,41,62,49,39,63,70,74,76,66,68,77,54,77,79,73,37,69,65,65,64,42,65.0,64,71,69,8,10,6,15,11,,59+2,59+2,59+2,64,62,62,62,64,63+2,63+2,63+2,67+2,65+2,65+2,65+2,67+2,70+2,68+2,68+2,68+2,70+2,70+2,68+2,68+2,68+2,70+2,17+2
189084,/player/189084/eloy-room/240002,24.0,2.0,2023-09-22,E. Room,Eloy Victor Room,GK,72,72,400000.0,8000.0,34,1989-02-06,188,81,1909.0,Vitesse,10.0,Eredivisie,1.0,GK,1.0,,2023-07-18,2025.0,85,Curacao,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,580000.0,,,,,,,,,20,16,11,44,18,12,13,12,46,27,46,44,47,72,46,50,63,34,65,12,27,14,9,58,37,60.0,17,17,13,74,69,67,68,74,45.0,30+2,30+2,30+2,30,31,31,31,30,35+2,35+2,35+2,33+2,36+2,36+2,36+2,33+2,29+2,33+2,33+2,33+2,29+2,28+2,28+2,28+2,28+2,28+2,71+1
199767,/player/199767/marco-van-ginkel/240002,24.0,2.0,2023-09-22,M. van Ginkel,Marco van Ginkel,"CM, CDM",72,72,2200000.0,10000.0,30,1992-12-01,186,82,1909.0,Vitesse,10.0,Eredivisie,1.0,LDM,8.0,,2023-01-31,2024.0,34,Netherlands,,,,Right,4,3,1,Medium/Medium,Normal (185+),Yes,3200000.0,,,53.0,70.0,73.0,71.0,68.0,69.0,69,69,71,77,70,70,65,67,76,75,51,55,65,68,62,70,75,69,76,69,52,63,73,72,81,78.0,70,70,67,7,11,13,13,14,,70+2,70+2,70+2,69,70,70,70,69,71+1,71+1,71+1,70+2,72,72,72,70+2,68+2,70+2,70+2,70+2,68+2,67+2,69+2,69+2,69+2,67+2,18+2
258093,/player/258093/million-manhoef/240002,24.0,2.0,2023-09-22,M. Manhoef,Million Manhoef,"RM, LM",71,81,4200000.0,7000.0,21,2002-01-03,179,68,1909.0,Vitesse,10.0,Eredivisie,1.0,RM,42.0,,2020-08-07,2025.0,34,Netherlands,,,,Left,3,4,1,High/Medium,Normal (170-185),No,6900000.0,,Rapid,83.0,63.0,63.0,72.0,60.0,77.0,64,66,51,67,58,72,62,51,60,69,84,82,73,73,89,66,68,85,73,56,79,63,67,62,48,67.0,60,62,59,13,6,9,7,13,,67+2,67+2,67+2,70,69,69,69,70,68+2,68+2,68+2,70+2,67+2,67+2,67+2,70+2,69+2,66+2,66+2,66+2,69+2,67+2,64+2,64+2,64+2,67+2,17+2
193158,/player/193158/davy-propper/240002,24.0,2.0,2023-09-22,D. Pröpper,David Petrus Wenceslaus Henri Pröpper,"CM, CDM",71,71,1500000.0,9000.0,31,1991-09-02,185,79,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,24.0,,2023-01-27,2024.0,34,Netherlands,,,,Right,3,3,1,Medium/High,Normal (185+),Yes,2200000.0,,,53.0,67.0,73.0,73.0,65.0,66.0,66,62,67,75,72,73,73,71,72,76,57,50,67,71,65,73,69,56,69,73,70,62,70,76,65,79.0,70,63,58,16,8,16,9,6,,68+2,68+2,68+2,69,70,70,70,69,71,71,71,69+2,71,71,71,69+2,65+2,68+2,68+2,68+2,65+2,64+2,66+2,66+2,66+2,64+2,17+2
252508,/player/252508/kacper-kozlowski/240002,24.0,2.0,2023-09-22,K. Kozłowski,Kacper Kozłowski,"LM, CAM",70,85,3800000.0,21000.0,19,2003-10-16,182,68,1909.0,Vitesse,10.0,Eredivisie,1.0,CAM,17.0,Brighton & Hove Albion,,2024.0,37,Poland,1353.0,SUB,6.0,Right,4,4,1,Medium/Medium,Normal (170-185),No,,,"Technical, Trivela",73.0,59.0,64.0,76.0,64.0,69.0,54,59,59,69,57,75,66,41,67,74,78,69,80,70,85,64,74,75,67,59,66,63,59,69,40,77.0,63,66,63,8,14,8,10,6,,65+2,65+2,65+2,68,68,68,68,68,69+2,69+2,69+2,69+2,69+2,69+2,69+2,69+2,67+2,67+2,67+2,67+2,67+2,66+2,65+2,65+2,65+2,66+2,16+2
239512,/player/239512/melle-meulensteen/240002,24.0,2.0,2023-09-22,M. Meulensteen,Melle Meulensteen,"CDM, CB",70,75,2200000.0,6000.0,23,1999-07-04,187,77,1909.0,Vitesse,10.0,Eredivisie,1.0,RDM,20.0,,2022-07-01,2026.0,34,Netherlands,,,,Right,3,3,1,Medium/High,Normal (185+),No,3400000.0,,Power Header,71.0,57.0,65.0,66.0,68.0,73.0,58,53,67,70,50,62,64,63,67,69,70,71,68,68,72,67,76,77,74,58,65,69,59,62,56,72.0,66,70,68,10,5,12,8,14,,64+2,64+2,64+2,64,64,64,64,64,65+2,65+2,65+2,65+2,67+2,67+2,67+2,65+2,68+2,69+2,69+2,69+2,68+2,68+2,69+2,69+2,69+2,68+2,16+2
217391,/player/217391/michael-goncalves-pinto/240002,24.0,2.0,2023-09-22,Mica Pinto,Michael Gonçalves Pinto,LB,69,69,1200000.0,6000.0,30,1993-06-04,176,70,1909.0,Vitesse,10.0,Eredivisie,1.0,LB,5.0,,2023-08-14,2025.0,31,Luxembourg,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1700000.0,,Slide Tackle,79.0,45.0,65.0,67.0,63.0,65.0,75,32,48,66,35,66,68,44,63,65,78,79,74,63,73,74,63,76,57,49,71,65,48,57,33,62.0,63,65,63,10,8,9,8,6,,56+2,56+2,56+2,62,59,59,59,62,61+2,61+2,61+2,64+2,62+2,62+2,62+2,64+2,68+1,65+2,65+2,65+2,68+1,67+2,63+2,63+2,63+2,67+2,14+2
198868,/player/198868/nicolas-isimat-mirin/240002,24.0,2.0,2023-09-22,N. Isimat-Mirin,Nicolas Isimat-Mirin,CB,68,68,825000.0,5000.0,31,1991-11-15,188,82,1909.0,Vitesse,10.0,Eredivisie,1.0,LCB,29.0,,2023-01-10,2024.0,18,France,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1200000.0,,,44.0,34.0,52.0,47.0,68.0,73.0,47,28,73,64,20,36,30,40,65,53,45,44,57,60,50,52,77,53,82,35,73,67,19,34,49,65.0,67,70,62,14,6,16,9,15,,45+2,45+2,45+2,43,42,42,42,43,45+2,45+2,45+2,46+2,52+2,52+2,52+2,46+2,57+2,63+2,63+2,63+2,57+2,59+2,68,68,68,59+2,17+2
276022,/player/276022/amine-boutrah/240002,24.0,2.0,2023-09-22,A. Boutrah,Amine Boutrah,"LM, CAM",67,77,2300000.0,4000.0,22,2000-10-26,173,60,1909.0,Vitesse,10.0,Eredivisie,1.0,LM,7.0,,2023-07-01,2027.0,18,France,,,,Right,3,3,1,High/Medium,Normal (170-185),No,3800000.0,,,80.0,64.0,62.0,71.0,29.0,58.0,59,66,49,67,61,72,67,55,65,68,84,77,81,60,78,68,75,56,58,60,58,16,62,53,50,56.0,44,19,17,6,11,7,8,8,,65+2,65+2,65+2,67,66,66,66,67,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,49+2,47+2,47+2,47+2,49+2,46+2,41+2,41+2,41+2,46+2,14+2
270497,/player/270497/said-hamulic/240002,24.0,2.0,2023-09-22,S. Hamulić,Saïd Hamulić,"ST, LM",67,76,2300000.0,8000.0,22,2000-11-12,188,76,1909.0,Vitesse,10.0,Eredivisie,1.0,ST,10.0,Toulouse,,2024.0,8,Bosnia and Herzegovina,,,,Right,3,3,1,High/Medium,Normal (185+),No,,,Technical,79.0,65.0,59.0,67.0,28.0,67.0,56,66,66,64,55,67,55,42,55,64,83,75,76,65,71,66,82,67,71,65,51,18,67,63,62,67.0,21,29,26,6,10,11,8,5,,67+2,67+2,67+2,67,67,67,67,67,66+2,66+2,66+2,66+2,59+2,59+2,59+2,66+2,49+2,47+2,47+2,47+2,49+2,47+2,43+2,43+2,43+2,47+2,14+2
251829,/player/251829/ramon-hendriks/240002,24.0,2.0,2023-09-22,R. Hendriks,Ramon Hendriks,"CB, LB",66,75,1800000.0,3000.0,21,2001-07-18,189,76,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,15.0,Feyenoord,,2024.0,34,Netherlands,,,,Left,4,2,1,Medium/Medium,Normal (185+),No,,,,68.0,33.0,54.0,57.0,66.0,65.0,46,29,64,65,32,52,31,34,63,62,69,68,65,57,59,47,74,53,72,28,58,65,34,47,42,60.0,65,68,71,12,13,12,6,13,,50+2,50+2,50+2,52,51,51,51,52,53+2,53+2,53+2,54+2,56+2,56+2,56+2,54+2,61+2,63+2,63+2,63+2,61+2,63+2,66+2,66+2,66+2,63+2,16+2
242528,/player/242528/thomas-buitink/240002,24.0,2.0,2023-09-22,T. Buitink,Thomas Buitink,"ST, CAM",66,71,1300000.0,4000.0,23,2000-06-14,174,68,1909.0,Vitesse,10.0,Eredivisie,1.0,RES,19.0,,2016-07-01,2025.0,34,Netherlands,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2000000.0,,Slide Tackle,66.0,65.0,59.0,68.0,40.0,70.0,57,69,56,63,62,67,51,50,60,68,69,64,67,66,76,67,68,72,68,57,74,41,67,59,60,63.0,42,33,35,13,9,10,14,12,,66+2,66+2,66+2,65,66,66,66,65,65+2,65+2,65+2,65+2,61+2,61+2,61+2,65+2,55+2,55+2,55+2,55+2,55+2,52+2,50+2,50+2,50+2,52+2,18+2
242670,/player/242670/toni-domgjoni/240002,24.0,2.0,2023-09-22,T. Domgjoni,Toni Domgjoni,"CM, CDM, CAM",66,70,1200000.0,4000.0,24,1998-09-04,177,74,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,22.0,,2021-07-01,2024.0,219,Kosovo,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1800000.0,,,50.0,57.0,65.0,68.0,64.0,69.0,59,51,61,69,63,67,65,55,66,68,63,39,70,68,73,67,68,74,67,60,67,63,64,64,50,68.0,64,65,62,6,14,9,14,13,,62+2,62+2,62+2,62,63,63,63,62,64+2,64+2,64+2,64+2,66+2,66+2,66+2,64+2,64+2,66+2,66+2,66+2,64+2,63+2,64+2,64+2,64+2,63+2,18+2
258451,/player/258451/enzo-cornelisse/240002,24.0,2.0,2023-09-22,E. Cornelisse,Enzo Cornelisse,CB,65,76,1500000.0,2000.0,21,2002-06-29,178,68,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,13.0,,2020-08-24,2024.0,34,Netherlands,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,2500000.0,,,72.0,33.0,60.0,60.0,65.0,64.0,52,24,59,67,29,52,52,52,65,65,73,72,70,66,67,38,70,67,64,46,57,66,32,55,41,67.0,66,66,65,11,10,14,5,15,,49+2,49+2,49+2,55,52,52,52,55,56+2,56+2,56+2,57+2,60+2,60+2,60+2,57+2,64+2,65+2,65+2,65+2,64+2,65+2,65+2,65+2,65+2,65+2,17+2
260277,/player/260277/dominik-oroz/240002,24.0,2.0,2023-09-22,D. Oroz,Alois Dominik Oroz,CB,65,73,1500000.0,3000.0,22,2000-10-29,192,75,1909.0,Vitesse,10.0,Eredivisie,1.0,RCB,6.0,,2021-01-05,2024.0,10,Croatia,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2500000.0,,,56.0,37.0,53.0,50.0,65.0,68.0,54,33,73,62,32,45,33,33,62,52,53,58,53,60,52,50,72,66,68,39,68,65,29,39,30,59.0,61,66,62,6,7,6,15,13,,48+2,48+2,48+2,48,47,47,47,48,48+2,48+2,48+2,51+2,53+2,53+2,53+2,51+2,60+2,62+2,62+2,62+2,60+2,61+2,65+2,65+2,65+2,61+2,16+2
234383,/player/234383/markus-schubert/240002,24.0,2.0,2023-09-22,M. Schubert,Markus Schubert,GK,65,69,775000.0,2000.0,25,1998-06-12,187,82,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,31.0,,2021-07-14,2024.0,21,Germany,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,1200000.0,,,,,,,,,12,8,10,45,8,23,14,13,30,30,46,30,44,67,45,47,66,28,56,9,23,16,4,52,12,35.0,13,11,10,67,63,62,60,67,40.0,26+2,26+2,26+2,29,30,30,30,29,33+2,33+2,33+2,31+2,33+2,33+2,33+2,31+2,26+2,29+2,29+2,29+2,26+2,24+2,24+2,24+2,24+2,24+2,64+2
274448,/player/274448/mathijs-tielemans/240002,24.0,2.0,2023-09-22,M. Tielemans,Mathijs Tielemans,CM,64,75,1300000.0,2000.0,21,2002-04-26,178,74,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,21.0,,2023-07-01,2026.0,34,Netherlands,,,,Right,4,2,1,High/Medium,Normal (170-185),No,2100000.0,,,70.0,60.0,66.0,64.0,50.0,57.0,57,59,51,72,58,63,58,50,73,68,69,71,58,54,67,63,60,61,58,61,50,36,63,66,58,65.0,53,53,56,9,8,12,12,6,,62+2,62+2,62+2,64,64,64,64,64,65+2,65+2,65+2,65+2,64+2,64+2,64+2,65+2,58+2,58+2,58+2,58+2,58+2,57+2,53+2,53+2,53+2,57+2,14+2
271494,/player/271494/joel-persson/240002,24.0,2.0,2023-09-22,J. Persson,Joel Voelkerling Persson,ST,63,76,1200000.0,3000.0,20,2003-01-15,194,88,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,9.0,Lecce,,2024.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,,,,59.0,60.0,42.0,57.0,31.0,71.0,32,64,72,51,52,57,44,30,32,63,50,66,48,57,35,60,80,56,83,52,55,28,66,48,65,52.0,27,25,26,12,13,5,15,11,,63+2,63+2,63+2,56,59,59,59,56,55+2,55+2,55+2,54+2,50+2,50+2,50+2,54+2,42+2,43+2,43+2,43+2,42+2,42+2,45+2,45+2,45+2,42+2,17+2
264266,/player/264266/fode-fofana/240002,24.0,2.0,2023-09-22,F. Fofana,Fodé Fofana,ST,62,76,975000.0,3000.0,20,2002-10-26,188,78,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,23.0,PSV,,2024.0,34,Netherlands,,,,Right,5,3,1,Medium/Low,Stocky (185+),No,,,,76.0,62.0,56.0,60.0,21.0,67.0,56,64,57,55,58,60,61,61,50,59,75,77,65,55,58,65,70,54,80,59,50,15,59,58,58,59.0,19,17,18,13,6,7,13,10,,62+2,62+2,62+2,61,61,61,61,61,59+2,59+2,59+2,60+2,52+2,52+2,52+2,60+2,43+2,40+2,40+2,40+2,43+2,41+2,38+2,38+2,38+2,41+2,15+2
277700,/player/277700/giovanni-van-zwam/240002,24.0,2.0,2023-09-22,G. Van Zwam,Giovanni Van Zwam,CB,59,77,550000.0,1000.0,19,2004-01-02,185,77,1909.0,Vitesse,10.0,Eredivisie,1.0,SUB,54.0,,2023-08-11,2024.0,34,Netherlands,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1100000.0,,,59.0,32.0,41.0,39.0,61.0,59.0,25,24,61,55,24,34,28,31,53,38,56,61,46,52,58,56,64,58,61,28,55,58,30,28,32,48.0,60,64,63,12,14,8,9,11,,43+2,43+2,43+2,38,40,40,40,38,40+2,40+2,40+2,41+2,45+2,45+2,45+2,41+2,52+2,55+2,55+2,55+2,52+2,55+2,59+2,59+2,59+2,55+2,16+2
