player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
222227,/player/222227/patrick-berg/240002,24.0,2.0,2023-09-22,P. Berg,Patrick Berg,"CDM, CM",75,80,7500000.0,7000.0,25,1997-11-24,178,76,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,CDM,77.0,,2022-08-29,2027.0,36,Norway,1352.0,CDM,6.0,Right,2,3,1,Medium/High,Normal (170-185),No,10300000.0,,"Intercept, Press Proven, Relentless, Trivela",71.0,61.0,72.0,72.0,69.0,77.0,67,57,52,75,54,69,67,64,74,74,70,71,70,75,77,67,70,92,75,64,66,72,66,74,58,75.0,70,71,67,14,11,16,10,8,,66+2,66+2,66+2,69,69,69,69,69,71+2,71+2,71+2,72+2,74+2,74+2,74+2,72+2,73+2,74+2,74+2,74+2,73+2,72+2,69+2,69+2,69+2,72+2,18+2
224874,/player/224874/amahl-pellegrino/240002,24.0,2.0,2023-09-22,A. Pellegrino,Amahl Pellegrino,LW,75,75,3500000.0,9000.0,33,1990-06-18,190,68,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,LW,7.0,,2021-08-17,2024.0,36,Norway,,,,Right,3,4,1,High/Medium,Lean (185+),No,4600000.0,,"Finesse Shot, Pinged Pass, Flair, Trivela",84.0,74.0,70.0,73.0,40.0,60.0,71,74,62,69,74,73,76,69,65,74,83,84,84,72,40,76,71,82,54,75,44,41,75,72,68,75.0,38,33,40,10,16,10,11,8,,73+2,73+2,73+2,75,74,74,74,75,73+2,73+2,73+2,74+1,68+2,68+2,68+2,74+1,61+2,56+2,56+2,56+2,61+2,58+2,49+2,49+2,49+2,58+2,18+2
190824,/player/190824/omar-elabdellaoui/240002,24.0,2.0,2023-09-22,O. Elabdellaoui,Omar Elabdellaoui,RB,73,73,2200000.0,6000.0,31,1991-12-05,179,74,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,SUB,3.0,,2023-01-08,2024.0,36,Norway,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,2900000.0,,"Block, Rapid",76.0,54.0,67.0,72.0,68.0,70.0,69,42,58,69,55,70,69,60,65,72,78,74,82,72,80,70,73,78,66,64,71,68,71,66,42,67.0,69,70,69,8,11,12,6,6,,64+2,64+2,64+2,68,67,67,67,68,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,71+2,69+2,69+2,69+2,71+2,71+2,68+2,68+2,68+2,71+2,15+2
221001,/player/221001/ulrik-saltnes/240002,24.0,2.0,2023-09-22,U. Saltnes,Ulrik Saltnes,CM,73,73,2900000.0,7000.0,30,1992-11-10,187,78,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,SUB,14.0,,2012-01-01,2026.0,36,Norway,,,,Right,3,3,1,High/High,Normal (185+),No,3800000.0,#Engine,Relentless,75.0,65.0,70.0,72.0,69.0,84.0,63,67,69,75,55,70,64,55,73,72,76,75,74,75,73,66,85,91,82,64,78,72,72,71,56,72.0,70,68,64,16,6,9,10,14,,71+2,71+2,71+2,71,71,71,71,71,72+1,72+1,72+1,72+1,73,73,73,72+1,72+1,73,73,73,72+1,72+1,72+1,72+1,72+1,72+1,18+2
233800,/player/233800/fredrik-andre-bjorkan/240002,24.0,2.0,2023-09-22,F. Bjørkan,Fredrik André Bjørkan,LB,72,76,3100000.0,5000.0,24,1998-08-21,180,73,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,LB,15.0,,2023-01-08,2025.0,36,Norway,,,,Left,2,3,1,High/Medium,Stocky (170-185),No,4300000.0,,"Rapid, Relentless",80.0,53.0,62.0,72.0,66.0,72.0,66,53,58,67,48,73,59,38,61,71,81,80,76,68,76,58,75,90,67,47,63,67,64,57,44,67.0,67,67,66,9,13,10,12,9,,63+2,63+2,63+2,67,66,66,66,67,66+2,66+2,66+2,69+2,66+2,66+2,66+2,69+2,71+2,68+2,68+2,68+2,71+2,70+2,66+2,66+2,66+2,70+2,17+2
256949,/player/256949/albert-gronbaek/240002,24.0,2.0,2023-09-22,A. Grønbæk,Albert Grønbæk Erlykke,"CAM, CM",71,81,4200000.0,5000.0,22,2001-05-23,176,65,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,LCM,8.0,,2022-08-13,2027.0,13,Denmark,,,,Right,3,4,1,High/Medium,Normal (170-185),No,6300000.0,,"Pinged Pass, Technical, Flair",77.0,66.0,68.0,74.0,62.0,69.0,65,67,55,69,59,72,66,62,66,72,78,76,84,69,83,67,72,77,65,65,68,64,70,72,56,73.0,62,64,62,8,12,13,6,9,,68+2,68+2,68+2,71,70,70,70,71,71+2,71+2,71+2,71+2,69+2,69+2,69+2,71+2,68+2,67+2,67+2,67+2,68+2,67+2,64+2,64+2,64+2,67+2,16+2
222389,/player/222389/nikita-haikin/240002,24.0,2.0,2023-09-22,N. Haikin,Nikita Haikin,GK,71,73,1700000.0,4000.0,27,1995-07-11,185,74,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,GK,12.0,,2023-03-31,2026.0,40,Russia,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2300000.0,,Footwork,,,,,,,16,18,20,44,17,20,17,15,42,34,50,53,52,68,47,53,67,42,64,14,27,24,19,58,18,52.0,20,19,14,73,68,70,70,72,51.0,34+2,34+2,34+2,34,36,36,36,34,38+2,38+2,38+2,36+2,39+2,39+2,39+2,36+2,32+2,35+2,35+2,35+2,32+2,31+2,31+2,31+2,31+2,31+2,70+2
212938,/player/212938/brede-mathias-moe/240002,24.0,2.0,2023-09-22,B. Moe,Brede Mathias Moe,CB,71,71,1300000.0,5000.0,31,1991-12-15,184,80,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,SUB,18.0,,2014-12-01,2024.0,36,Norway,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,1700000.0,,,67.0,43.0,53.0,59.0,70.0,78.0,42,34,66,66,36,55,41,34,60,63,65,69,56,69,65,64,79,75,83,48,69,70,38,42,39,66.0,71,70,69,6,15,7,6,9,,55+2,55+2,55+2,54,54,54,54,54,55+2,55+2,55+2,56+2,59+2,59+2,59+2,56+2,65+2,67+2,67+2,67+2,65+2,66+2,71,71,71,66+2,16+2
242160,/player/242160/marius-lode/240002,24.0,2.0,2023-09-22,M. Lode,Marius Lode,CB,71,71,1500000.0,5000.0,30,1993-03-11,185,77,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,RCB,2.0,,2022-08-31,2025.0,36,Norway,,,,Right,3,2,1,High/Medium,Normal (185+),No,2000000.0,,Block,77.0,42.0,60.0,66.0,71.0,75.0,54,36,67,70,44,63,51,30,68,67,75,78,68,72,63,56,81,78,76,39,65,71,44,53,44,70.0,71,71,70,9,10,6,14,8,,58+2,58+2,58+2,60,59,59,59,60,60+2,60+2,60+2,63+2,64+2,64+2,64+2,63+2,69+2,70+1,70+1,70+1,69+2,70+1,71,71,71,70+1,17+2
224793,/player/224793/brice-wembangomo/240002,24.0,2.0,2023-09-22,B. Wembangomo,Brice Wembangomo,"RB, LB",70,72,1800000.0,4000.0,26,1996-12-18,180,75,918.0,Bodø / Glimt,41.0,Eliteserien,1.0,RB,5.0,,2022-01-08,2025.0,36,Norway,,,,Right,3,3,1,High/Medium,Lean (170-185),No,2500000.0,#Speedster,"Rapid, Quick Step",90.0,51.0,60.0,72.0,62.0,72.0,64,51,56,63,44,72,57,44,53,70,91,90,82,63,78,56,79,82,70,49,64,63,60,60,42,65.0,61,63,61,16,15,14,9,7,,62+2,62+2,62+2,67,65,65,65,67,65+2,65+2,65+2,68+2,63+2,63+2,63+2,68+2,68+2,64+2,64+2,64+2,68+2,68+2,64+2,64+2,64+2,68+2,18+2
