player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
209264,/player/209264/bard-finne/240002,24.0,2.0,2023-09-22,B. Finne,Bård Finne,"ST, RW",70,70,1600000.0,4000.0,28,1995-02-13,173,70,919.0,Brann,41.0,Eliteserien,1.0,ST,11.0,,2021-08-05,2026.0,36,Norway,1352.0,SUB,21.0,Right,3,3,1,Medium/Low,Lean (170-185),No,2000000.0,,,77.0,70.0,61.0,71.0,27.0,64.0,59,73,61,66,68,69,63,68,46,70,80,74,84,69,84,70,74,79,60,63,52,22,73,63,62,67.0,32,16,18,16,10,14,12,7,,70,70,70,70,70,70,70,70,68+2,68+2,68+2,68+2,61+2,61+2,61+2,68+2,51+2,47+2,47+2,47+2,51+2,48+2,41+2,41+2,41+2,48+2,18+2
221552,/player/221552/sivert-heltne-nilsen/240002,24.0,2.0,2023-09-22,S. Nilsen,Sivert Heltne Nilsen,CDM,68,68,850000.0,2000.0,31,1991-10-02,184,78,919.0,Brann,41.0,Eliteserien,1.0,CDM,19.0,,2021-08-08,2025.0,36,Norway,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1100000.0,,"Pinged Pass, Slide Tackle",47.0,56.0,61.0,62.0,66.0,78.0,55,55,69,67,54,61,56,64,65,64,41,52,48,69,70,62,69,82,76,53,78,66,47,54,65,67.0,70,63,60,16,8,7,9,7,,59+2,59+2,59+2,57,58,58,58,57,59+2,59+2,59+2,59+2,63+2,63+2,63+2,59+2,64+2,67+1,67+1,67+1,64+2,64+2,68,68,68,64+2,16+2
208573,/player/208573/mathias-dyngeland/240002,24.0,2.0,2023-09-22,M. Dyngeland,Mathias Lønne Dyngeland,GK,67,69,925000.0,1000.0,27,1995-10-07,187,81,919.0,Brann,41.0,Eliteserien,1.0,GK,1.0,,2022-01-12,2025.0,36,Norway,1352.0,SUB,12.0,Right,3,1,1,Medium/Medium,Normal (185+),No,1200000.0,,,,,,,,,18,13,14,35,15,18,16,16,32,26,44,42,40,60,48,47,59,35,59,13,24,18,16,40,25,38.0,18,17,16,67,66,63,66,68,43.0,28+2,28+2,28+2,28,29,29,29,28,30+2,30+2,30+2,30+2,31+2,31+2,31+2,30+2,28+2,29+2,29+2,29+2,28+2,27+2,27+2,27+2,27+2,27+2,66+2
207502,/player/207502/ruben-kristiansen/240002,24.0,2.0,2023-09-22,R. Kristiansen,Ruben Kristiansen,"LB, CB",67,67,325000.0,1000.0,35,1988-02-20,183,74,919.0,Brann,41.0,Eliteserien,1.0,LCB,21.0,,2015-08-10,2023.0,36,Norway,,,,Left,3,2,1,Medium/Medium,Lean (170-185),No,406000.0,,"Jockey, Anticipate, Slide Tackle, Rapid",73.0,47.0,58.0,62.0,63.0,68.0,59,44,51,64,39,59,49,46,59,63,74,72,72,65,67,52,68,71,69,47,64,63,59,52,54,64.0,66,65,62,15,7,15,10,12,,57+2,57+2,57+2,60,59,59,59,60,60+2,60+2,60+2,62+2,60+2,60+2,60+2,62+2,65+2,64+2,64+2,64+2,65+2,65+2,64+2,64+2,64+2,65+2,17+2
248855,/player/248855/japhet-sery-larsen/240002,24.0,2.0,2023-09-22,J. Larsen,Japhet Sery Larsen,CB,66,75,1800000.0,1000.0,23,2000-04-10,185,78,919.0,Brann,41.0,Eliteserien,1.0,RCB,6.0,,2023-01-25,2026.0,13,Denmark,,,,Right,4,2,1,Medium/Medium,Lean (185+),No,2600000.0,,"Intercept, Anticipate, Bruiser",78.0,41.0,56.0,62.0,64.0,74.0,54,38,65,66,35,57,46,38,58,64,75,80,70,65,75,52,81,74,76,37,65,64,48,45,43,62.0,64,65,63,7,8,5,8,9,,56+2,56+2,56+2,58,57,57,57,58,57+2,57+2,57+2,60+2,59+2,59+2,59+2,60+2,65+2,64+2,64+2,64+2,65+2,66+2,66+2,66+2,66+2,66+2,14+2
258892,/player/258892/ole-didrik-blomberg/240002,24.0,2.0,2023-09-22,O. Blomberg,Ole Didrik Blomberg,"RW, LW, RB",65,72,1400000.0,1000.0,23,2000-06-12,177,71,919.0,Brann,41.0,Eliteserien,1.0,RW,16.0,,2020-09-16,2025.0,36,Norway,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2000000.0,,"Pinged Pass, Anticipate",76.0,55.0,61.0,67.0,59.0,68.0,61,56,53,64,49,65,57,48,56,66,77,75,73,66,72,55,69,77,64,52,67,58,64,62,48,66.0,58,61,59,9,5,6,7,5,,61+2,61+2,61+2,65,64,64,64,65,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,65+2,62+2,62+2,62+2,65+2,64+2,61+2,61+2,61+2,64+2,13+2
237937,/player/237937/felix-horn-myhre/240002,24.0,2.0,2023-09-22,F. Myhre,Felix Horn Myhre,"CM, RB",65,70,1100000.0,1000.0,24,1999-03-04,180,75,919.0,Brann,41.0,Eliteserien,1.0,LCM,8.0,,2021-07-01,2027.0,36,Norway,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,1500000.0,,"Finesse Shot, Pinged Pass",72.0,56.0,62.0,66.0,61.0,67.0,58,56,48,66,43,64,51,44,63,66,74,70,75,65,76,62,64,77,64,51,65,63,63,65,51,66.0,63,62,62,13,11,14,11,11,,61+2,61+2,61+2,64,64,64,64,64,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,64+2,62+2,62+2,62+2,64+2,18+2
224311,/player/224311/frederik-borsting/240002,24.0,2.0,2023-09-22,F. Børsting,Frederik Børsting,"RW, LB",65,65,725000.0,2000.0,28,1995-02-13,178,74,919.0,Brann,41.0,Eliteserien,1.0,SUB,10.0,,2022-03-09,2025.0,13,Denmark,,,,Right,4,2,1,Medium/High,Normal (170-185),No,906000.0,,,71.0,60.0,60.0,66.0,61.0,79.0,58,61,54,64,55,64,57,51,56,66,72,70,74,70,69,63,72,84,75,55,82,60,64,62,53,66.0,64,61,59,9,11,6,15,7,,64+1,64+1,64+1,65,64,64,64,65,64+1,64+1,64+1,65,64+1,64+1,64+1,65,65,65,65,65,65,65,65,65,65,65,17+2
238755,/player/238755/magnus-warming/240002,24.0,2.0,2023-09-22,M. Warming,Magnus Warming,"LW, LM",64,72,1300000.0,1000.0,23,2000-06-08,188,72,919.0,Brann,41.0,Eliteserien,1.0,SUB,7.0,,2023-08-01,2027.0,13,Denmark,,,,Right,3,3,1,Medium/Low,Lean (185+),No,1900000.0,,,75.0,58.0,55.0,70.0,33.0,49.0,55,61,48,60,46,71,54,45,45,67,79,71,79,61,72,59,56,52,45,54,52,30,60,55,52,62.0,30,33,30,7,9,6,12,9,,61+2,61+2,61+2,64,63,63,63,64,63+2,63+2,63+2,63+2,56+2,56+2,56+2,63+2,50+2,46+2,46+2,46+2,50+2,48+2,41+2,41+2,41+2,48+2,15+2
238263,/player/238263/fredrik-p-knudsen/240002,24.0,2.0,2023-09-22,F. Knudsen,Fredrik Pallesen Knudsen,CB,64,66,650000.0,1000.0,26,1996-08-30,190,83,919.0,Brann,41.0,Eliteserien,1.0,SUB,3.0,,2021-08-12,2024.0,36,Norway,,,,Right,3,2,1,Medium/High,Normal (185+),No,861000.0,,Power Header,42.0,31.0,43.0,46.0,62.0,75.0,34,25,63,58,34,38,30,28,52,55,39,44,40,61,46,51,68,67,80,25,72,64,26,28,35,59.0,59,64,63,13,11,12,8,6,,44+2,44+2,44+2,40,42,42,42,40,42+2,42+2,42+2,44+2,49+2,49+2,49+2,44+2,55+2,60+2,60+2,60+2,55+2,57+2,64+2,64+2,64+2,57+2,15+2
256417,/player/256417/mads-sande/240002,24.0,2.0,2023-09-22,M. Sande,Mads Berg Sande,"RM, CM",64,66,725000.0,1000.0,25,1998-03-22,181,73,919.0,Brann,41.0,Eliteserien,1.0,RES,27.0,,2023-08-31,2026.0,36,Norway,,,,Right,3,3,1,High/High,Normal (170-185),No,961000.0,,Relentless,73.0,52.0,58.0,62.0,48.0,66.0,47,54,53,65,39,62,39,38,64,65,73,73,62,60,65,55,66,81,62,48,59,57,60,62,45,44.0,37,54,44,12,11,9,6,6,,59+2,59+2,59+2,61,61,61,61,61,62+2,62+2,62+2,63+2,63+2,63+2,63+2,63+2,59+2,59+2,59+2,59+2,59+2,57+2,54+2,54+2,54+2,57+2,14+2
