player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
213835,/player/213835/jens-martin-gammelby/240002,24.0,2.0,2023-09-22,J. Gammelby,Jens Martin Gammelby,"RWB, RB",66,66,775000.0,1000.0,28,1995-02-05,192,80,1756.0,HamKam,41.0,Eliteserien,1.0,RWB,3.0,,2023-02-14,2024.0,13,Denmark,,,,Right,4,3,1,High/Medium,Normal (185+),No,969000.0,,,73.0,56.0,58.0,63.0,60.0,77.0,59,56,61,60,54,63,56,48,56,65,73,73,60,55,64,65,79,80,78,52,70,59,62,57,40,61.0,57,64,62,16,8,10,14,10,,62+2,62+2,62+2,62,62,62,62,62,61+2,61+2,61+2,63+2,61+2,61+2,61+2,63+2,64+2,62+2,62+2,62+2,64+2,63+2,64+2,64+2,64+2,63+2,17+2
227866,/player/227866/pal-alexander-kirkevold/240002,24.0,2.0,2023-09-22,P. Kirkevold,Pål Alexander Kirkevold,ST,66,66,700000.0,2000.0,32,1990-11-10,185,90,1756.0,HamKam,41.0,Eliteserien,1.0,LS,16.0,,2022-01-30,2025.0,36,Norway,,,,Left,3,3,1,Medium/Medium,Stocky (185+),No,875000.0,,Pinged Pass,59.0,66.0,62.0,63.0,33.0,77.0,62,65,62,64,62,62,64,67,61,66,53,63,53,65,63,73,74,65,84,60,73,26,65,59,70,68.0,36,27,26,14,6,13,11,16,,66,66,66,62,64,64,64,62,62+2,62+2,62+2,63+2,59+2,59+2,59+2,63+2,50+2,51+2,51+2,51+2,50+2,47+2,48+2,48+2,48+2,47+2,18+2
191153,/player/191153/marcus-sandberg/240002,24.0,2.0,2023-09-22,M. Sandberg,Marcus Sandberg,GK,65,65,350000.0,1000.0,32,1990-11-07,191,80,1756.0,HamKam,41.0,Eliteserien,1.0,GK,12.0,,2023-01-25,2024.0,46,Sweden,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,438000.0,,,,,,,,,11,15,11,36,14,21,10,12,38,25,27,30,28,64,37,47,56,33,67,12,39,22,13,53,14,55.0,16,16,15,65,64,63,64,65,28.0,28+2,28+2,28+2,26,29,29,29,26,31+2,31+2,31+2,29+2,33+2,33+2,33+2,29+2,26+2,32+2,32+2,32+2,26+2,25+2,28+2,28+2,28+2,25+2,64+1
236937,/player/236937/aleksander-melgalvis/240002,24.0,2.0,2023-09-22,A. Melgalvis,Aleksander Melgalvis Andreassen,"RWB, LWB",65,65,375000.0,1000.0,33,1989-08-10,178,73,1756.0,HamKam,41.0,Eliteserien,1.0,LWB,33.0,,2021-01-20,2023.0,36,Norway,,,,Right,3,3,1,High/Medium,Normal (170-185),No,469000.0,,Whipped Cross,69.0,62.0,62.0,62.0,58.0,66.0,65,59,58,62,57,61,62,64,57,61,69,69,64,61,67,70,67,74,64,63,63,60,60,62,58,61.0,56,60,58,13,12,9,14,7,,62+2,62+2,62+2,62,62,62,62,62,62+2,62+2,62+2,63+2,61+2,61+2,61+2,63+2,63+2,61+2,61+2,61+2,63+2,62+2,60+2,60+2,60+2,62+2,17+2
238195,/player/238195/vidhar-ari-jonsson/240002,24.0,2.0,2023-09-22,V. Jónsson,Viðar Ari Jónsson,"RW, RM, RWB",65,65,700000.0,2000.0,29,1994-03-10,184,75,1756.0,HamKam,41.0,Eliteserien,1.0,RES,21.0,,2023-08-31,2024.0,24,Iceland,,,,Right,4,3,1,Medium/Medium,Lean (170-185),No,875000.0,,,81.0,57.0,59.0,64.0,60.0,63.0,62,58,58,61,54,64,56,39,55,63,80,81,73,60,65,56,71,74,59,57,59,61,64,63,38,60.0,58,62,60,12,11,13,15,11,,62+2,62+2,62+2,65,63,63,63,65,63+2,63+2,63+2,65,62+2,62+2,62+2,65,64+1,61+2,61+2,61+2,64+1,64+1,61+2,61+2,61+2,64+1,18+2
266731,/player/266731/morten-bjorlo/240002,24.0,2.0,2023-09-22,M. Bjørlo,Morten Bjørlo,CM,65,65,750000.0,2000.0,27,1995-10-03,176,64,1756.0,HamKam,41.0,Eliteserien,1.0,SUB,17.0,Rosenborg,,2023.0,36,Norway,,,,Right,3,2,1,Medium/High,Lean (170-185),No,,,,62.0,58.0,65.0,65.0,61.0,65.0,63,57,52,67,48,62,64,62,64,66,65,60,71,67,79,62,60,77,59,61,68,64,62,64,54,63.0,61,63,62,10,6,6,10,11,,61+2,61+2,61+2,63,63,63,63,63,64+1,64+1,64+1,64+1,65,65,65,64+1,65,65,65,65,65,64+1,62+2,62+2,62+2,64+1,15+2
263658,/player/263658/brynjar-ingi-bjarnason/240002,24.0,2.0,2023-09-22,B. Bjarnason,Brynjar Ingi Bjarnason,CB,64,72,1200000.0,950.0,23,1999-12-06,194,88,1756.0,HamKam,41.0,Eliteserien,1.0,RCB,26.0,,2023-03-02,2025.0,24,Iceland,,,,Right,3,2,1,Low/Medium,Lean (185+),No,1700000.0,,"Power Header, Anticipate, Bruiser, Aerial",69.0,25.0,47.0,41.0,63.0,70.0,23,20,62,58,25,27,41,43,56,56,68,69,49,58,42,42,76,61,76,19,65,62,20,49,38,50.0,61,66,64,9,12,7,8,6,,43+2,43+2,43+2,41,42,42,42,41,45+2,45+2,45+2,45+2,50+2,50+2,50+2,45+2,56+2,61+2,61+2,61+2,56+2,59+2,64+2,64+2,64+2,59+2,14+2
234638,/player/234638/henrik-udahl/240002,24.0,2.0,2023-09-22,H. Udahl,Henrik Udahl,ST,64,67,775000.0,1000.0,26,1997-01-12,186,76,1756.0,HamKam,41.0,Eliteserien,1.0,RS,14.0,,2023-01-08,2026.0,36,Norway,,,,Right,4,2,1,High/Medium,Normal (185+),No,1000000.0,,,72.0,64.0,46.0,59.0,23.0,68.0,30,67,63,56,54,57,41,36,50,57,72,72,66,60,66,65,73,68,66,55,71,10,68,47,65,57.0,22,17,25,12,8,14,7,10,,64+2,64+2,64+2,58,61,61,61,58,58+2,58+2,58+2,57+2,52+2,52+2,52+2,57+2,42+2,42+2,42+2,42+2,42+2,40+2,39+2,39+2,39+2,40+2,15+2
252434,/player/252434/moses-mawa/240002,24.0,2.0,2023-09-22,M. Mawa,Moses Dramwi Mawa,ST,64,65,700000.0,1000.0,26,1996-08-04,185,78,1756.0,HamKam,41.0,Eliteserien,1.0,SUB,10.0,,2023-08-03,2026.0,36,Norway,,,,Right,2,3,1,Medium/Medium,Lean (185+),No,928000.0,,Finesse Shot,82.0,61.0,53.0,63.0,30.0,74.0,54,63,56,55,53,62,52,43,41,63,82,82,68,60,75,65,84,66,82,55,60,30,62,58,60,61.0,26,28,26,7,6,5,11,5,,64+1,64+1,64+1,63,63,63,63,63,61+2,61+2,61+2,62+2,54+2,54+2,54+2,62+2,50+2,46+2,46+2,46+2,50+2,48+2,45+2,45+2,45+2,48+2,13+2
246911,/player/246911/fredrik-sjolstad/240002,24.0,2.0,2023-09-22,F. Sjølstad,Fredrik Vangstad Sjølstad,"CDM, CB",64,64,500000.0,1000.0,29,1994-03-29,187,78,1756.0,HamKam,41.0,Eliteserien,1.0,CB,23.0,,2022-01-18,2025.0,36,Norway,,,,Right,3,2,1,Low/Medium,Normal (185+),No,625000.0,,,68.0,41.0,56.0,60.0,60.0,68.0,41,28,50,63,36,60,34,42,62,62,67,69,61,61,54,55,64,71,69,51,63,62,60,61,46,58.0,61,61,59,7,10,8,12,9,,54+2,54+2,54+2,56,57,57,57,56,59+2,59+2,59+2,59+2,61+2,61+2,61+2,59+2,60+2,63+1,63+1,63+1,60+2,60+2,61+2,61+2,61+2,60+2,15+2
