player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
190491,/player/190491/ruben-gabrielsen/240002,24.0,2.0,2023-09-22,R. Gabrielsen,Lunan Ruben Gabrielsen,CB,70,70,1100000.0,3000.0,31,1992-03-10,186,87,299.0,Lillestrøm,41.0,Eliteserien,1.0,CB,28.0,,2023-01-08,2027.0,36,Norway,,,,Right,2,2,2,Low/High,Stocky (185+),No,1400000.0,#Strength,"Power Header, Jockey",66.0,48.0,48.0,53.0,69.0,84.0,47,43,73,52,45,49,49,42,53,50,64,68,69,62,63,66,86,76,90,43,76,68,43,40,48,53.0,64,72,69,11,8,16,9,8,,56+2,56+2,56+2,51,51,51,51,51,50+2,50+2,50+2,52+2,53+2,53+2,53+2,52+2,62+2,63+2,63+2,63+2,62+2,64+2,70,70,70,64+2,15+2
197954,/player/197954/gjermund-asen/240002,24.0,2.0,2023-09-22,G. Åsen,Gjermund Åsen,"LM, CM",69,69,1100000.0,3000.0,32,1991-05-22,182,71,299.0,Lillestrøm,41.0,Eliteserien,1.0,LCM,23.0,,2021-11-30,2023.0,36,Norway,,,,Left,3,3,1,High/High,Lean (170-185),No,1400000.0,,"Pinged Pass, Relentless",58.0,65.0,69.0,69.0,51.0,69.0,71,64,61,68,65,69,68,67,67,70,63,54,71,65,68,72,68,76,65,62,68,56,66,72,64,70.0,54,45,40,7,12,15,7,13,,65+2,65+2,65+2,67,67,67,67,67,67+2,67+2,67+2,68+1,67+2,67+2,67+2,68+1,61+2,61+2,61+2,61+2,61+2,58+2,56+2,56+2,56+2,58+2,16+2
213778,/player/213778/thomas-lehne-olsen/240002,24.0,2.0,2023-09-22,T. Olsen,Thomas Lehne Olsen,ST,69,69,1100000.0,3000.0,32,1991-06-29,187,78,299.0,Lillestrøm,41.0,Eliteserien,1.0,RS,10.0,,2022-08-22,2026.0,36,Norway,,,,Right,3,2,1,High/Medium,Normal (185+),No,1400000.0,,,74.0,68.0,57.0,63.0,38.0,78.0,48,69,68,61,55,58,66,65,54,67,76,72,65,68,68,74,85,76,82,64,68,40,70,58,67,68.0,35,34,28,6,13,11,9,8,,69,69,69,64,66,66,66,64,64+2,64+2,64+2,64+2,60+2,60+2,60+2,64+2,53+2,53+2,53+2,53+2,53+2,52+2,52+2,52+2,52+2,52+2,16+2
240489,/player/240489/mads-christiansen/240002,24.0,2.0,2023-09-22,M. Christiansen,Mads Hedenstad Christiansen,GK,68,77,2300000.0,2000.0,22,2000-10-21,186,76,299.0,Lillestrøm,41.0,Eliteserien,1.0,GK,12.0,,2018-05-20,2025.0,36,Norway,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3300000.0,,Footwork,,,,,,,20,23,12,34,14,17,18,18,34,28,47,45,46,60,38,50,62,33,62,14,24,14,12,54,18,40.0,16,15,15,69,67,66,67,70,46.0,30+2,30+2,30+2,30,31,31,31,30,33+2,33+2,33+2,32+2,32+2,32+2,32+2,32+2,27+2,29+2,29+2,29+2,27+2,26+2,26+2,26+2,26+2,26+2,67+2
219990,/player/219990/vebjorn-hoff/240002,24.0,2.0,2023-09-22,V. Hoff,Vebjørn Hoff,"CDM, CM",68,69,1200000.0,2000.0,27,1996-02-13,181,74,299.0,Lillestrøm,41.0,Eliteserien,1.0,CDM,6.0,,2023-03-22,2025.0,36,Norway,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1600000.0,,,67.0,55.0,65.0,68.0,64.0,66.0,60,53,58,70,48,66,60,50,66,69,66,67,72,65,80,59,66,80,64,55,54,65,64,66,51,66.0,65,66,62,12,16,16,8,16,,62+2,62+2,62+2,64,64,64,64,64,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,67+2,67+2,67+2,67+2,67+2,66+2,64+2,64+2,64+2,66+2,19+2
246389,/player/246389/ylldren-ibrahimaj/240002,24.0,2.0,2023-09-22,Y. Ibrahimaj,Ylldren Ibrahimaj,"RM, CM",68,68,1300000.0,3000.0,27,1995-12-24,178,70,299.0,Lillestrøm,41.0,Eliteserien,1.0,RCM,7.0,,2022-02-07,2024.0,219,Kosovo,,,,Left,3,3,1,Medium/Medium,Lean (170-185),No,1600000.0,,Finesse Shot,79.0,61.0,64.0,67.0,55.0,69.0,62,60,45,65,58,66,62,65,61,67,78,79,75,61,72,64,66,78,65,59,68,55,65,66,55,65.0,55,57,55,14,11,11,9,6,,63+2,63+2,63+2,66,65,65,65,66,66+2,66+2,66+2,67+1,64+2,64+2,64+2,67+1,64+2,62+2,62+2,62+2,64+2,62+2,58+2,58+2,58+2,62+2,16+2
261388,/player/261388/espen-bjornsen-garnas/240002,24.0,2.0,2023-09-22,E. Garnås,Espen Bjørnsen Garnås,CB,67,68,975000.0,2000.0,28,1994-12-31,190,84,299.0,Lillestrøm,41.0,Eliteserien,1.0,RCB,4.0,,2020-09-08,2023.0,36,Norway,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1300000.0,#Strength,"Block, Aerial",37.0,33.0,48.0,47.0,65.0,79.0,38,29,67,61,32,42,35,34,54,54,37,37,36,62,51,47,72,68,90,27,69,65,32,36,36,55.0,66,65,62,14,9,12,6,6,,46+2,46+2,46+2,42,44,44,44,42,45+2,45+2,45+2,46+2,52+2,52+2,52+2,46+2,57+2,62+2,62+2,62+2,57+2,58+2,67+1,67+1,67+1,58+2,15+2
266334,/player/266334/samuel-rogers/240002,24.0,2.0,2023-09-22,S. Rogers,Samuel Rogers,CB,66,72,1200000.0,1000.0,24,1999-05-17,193,86,299.0,Lillestrøm,41.0,Eliteserien,1.0,LCB,5.0,,2023-08-31,2026.0,95,United States,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1700000.0,,"Long Ball Pass, Intercept",68.0,42.0,52.0,59.0,64.0,72.0,46,39,63,64,38,54,36,29,58,62,66,69,67,61,64,55,76,65,78,37,67,64,44,41,35,58.0,64,65,64,12,9,6,8,7,,54+2,54+2,54+2,54,54,54,54,54,54+2,54+2,54+2,56+2,56+2,56+2,56+2,56+2,62+2,63+2,63+2,63+2,62+2,63+2,66+2,66+2,66+2,63+2,15+2
243603,/player/243603/lars-mogstad-ranger/240002,24.0,2.0,2023-09-22,L. Ranger,Lars Mogstad Ranger,RWB,65,69,950000.0,1000.0,24,1999-03-12,176,73,299.0,Lillestrøm,41.0,Eliteserien,1.0,SUB,2.0,,2018-02-28,2024.0,36,Norway,,,,Right,2,2,1,High/Medium,Normal (170-185),No,1300000.0,,,83.0,49.0,55.0,63.0,57.0,70.0,60,49,52,57,42,61,54,42,52,61,84,82,77,57,77,56,73,78,67,44,68,57,57,51,42,56.0,56,60,59,15,9,11,13,8,,58+2,58+2,58+2,61,59,59,59,61,58+2,58+2,58+2,62+2,57+2,57+2,57+2,62+2,63+2,59+2,59+2,59+2,63+2,63+2,60+2,60+2,60+2,63+2,16+2
254809,/player/254809/kristoffer-tonnessen/240002,24.0,2.0,2023-09-22,K. Tønnessen,Kristoffer Tønnessen,"LWB, CB",65,69,925000.0,1000.0,25,1997-10-01,184,76,299.0,Lillestrøm,41.0,Eliteserien,1.0,LWB,19.0,,2023-01-08,2025.0,36,Norway,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,1200000.0,,,72.0,46.0,60.0,58.0,61.0,65.0,62,42,56,63,36,56,56,48,61,58,74,71,65,61,65,50,70,72,65,52,55,61,54,58,39,57.0,60,63,60,6,10,14,13,13,,55+2,55+2,55+2,59,57,57,57,59,58+2,58+2,58+2,60+2,60+2,60+2,60+2,60+2,63+2,61+2,61+2,61+2,63+2,63+2,61+2,61+2,61+2,63+2,16+2
