player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
204612,/player/204612/ole-kristian-selnaes/240002,24.0,2.0,2023-09-22,O. Selnæs,Ole Kristian Selnæs,"CM, CDM",72,72,2300000.0,7000.0,28,1994-07-07,188,80,298.0,Rosenborg,41.0,Eliteserien,1.0,SUB,10.0,,2023-09-06,2027.0,36,Norway,,,,Left,3,3,1,Medium/Medium,Lean (185+),No,2900000.0,,Long Ball Pass,66.0,67.0,72.0,72.0,68.0,76.0,69,64,70,74,66,68,73,76,72,74,65,67,79,75,70,71,78,76,78,71,68,73,66,72,65,73.0,69,65,64,12,13,8,12,10,,69+2,69+2,69+2,70,70,70,70,70,71+1,71+1,71+1,70+2,72,72,72,70+2,70+2,72,72,72,70+2,70+2,70+2,70+2,70+2,70+2,19+2
190549,/player/190549/markus-henriksen/240002,24.0,2.0,2023-09-22,M. Henriksen,Markus Henriksen,"CB, CDM, CM",71,71,1500000.0,5000.0,30,1992-07-25,187,85,298.0,Rosenborg,41.0,Eliteserien,1.0,RES,7.0,,2020-09-27,2024.0,36,Norway,,,,Right,2,2,1,Medium/Medium,Normal (185+),Yes,1900000.0,,"Long Ball Pass, Jockey, Intercept, Aerial",52.0,66.0,66.0,64.0,69.0,78.0,62,64,69,71,60,64,56,55,69,70,51,53,46,75,47,72,75,76,84,67,68,70,61,63,62,67.0,70,70,64,16,15,13,10,14,,67+2,67+2,67+2,64,65,65,65,64,65+2,65+2,65+2,65+2,69+2,69+2,69+2,65+2,67+2,71,71,71,67+2,67+2,71,71,71,67+2,20+2
190459,/player/190459/andre-hansen/240002,24.0,2.0,2023-09-22,A. Hansen,André Hansen,GK,70,70,525000.0,4000.0,33,1989-12-17,189,87,298.0,Rosenborg,41.0,Eliteserien,1.0,GK,1.0,,2015-01-01,2023.0,36,Norway,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,656000.0,,Far Throw,,,,,,,15,15,18,42,15,20,15,20,45,29,32,34,42,56,40,53,62,32,70,15,27,20,16,60,22,60.0,23,14,14,71,69,71,71,72,33.0,30+2,30+2,30+2,29,31,31,31,29,35+2,35+2,35+2,31+2,36+2,36+2,36+2,31+2,27+2,33+2,33+2,33+2,27+2,26+2,29+2,29+2,29+2,26+2,69+1
230836,/player/230836/erlend-dahl-reitan/240002,24.0,2.0,2023-09-22,E. Reitan,Erlend Dahl Reitan,"RB, CB, RWB",69,71,1600000.0,4000.0,25,1997-09-11,180,74,298.0,Rosenborg,41.0,Eliteserien,1.0,RCB,2.0,,2016-11-01,2025.0,36,Norway,,,,Right,2,2,1,High/High,Lean (170-185),No,2100000.0,,Relentless,79.0,47.0,59.0,65.0,63.0,74.0,64,44,60,64,49,62,49,37,60,65,79,79,77,62,76,57,79,83,72,40,66,62,56,50,41,61.0,64,64,62,11,8,11,11,11,,59+2,59+2,59+2,62,59,59,59,62,60+2,60+2,60+2,64+2,61+2,61+2,61+2,64+2,67+2,64+2,64+2,64+2,67+2,67+2,65+2,65+2,65+2,67+2,16+2
241726,/player/241726/adrian-nilsen-pereira/240002,24.0,2.0,2023-09-22,A. Pereira,Adrian Nilsen Pereira,"LB, LWB",67,72,1400000.0,2000.0,23,1999-08-31,177,75,298.0,Rosenborg,41.0,Eliteserien,1.0,LB,19.0,,2021-08-26,2025.0,36,Norway,,,,Left,3,3,1,High/High,Lean (170-185),No,1900000.0,,Rapid,81.0,59.0,60.0,67.0,59.0,69.0,66,56,48,60,52,66,64,58,58,65,81,81,72,60,79,72,68,81,63,59,67,61,59,55,45,63.0,57,61,61,8,10,9,6,12,,62+2,62+2,62+2,64,63,63,63,64,62+2,62+2,62+2,65+2,61+2,61+2,61+2,65+2,66+2,62+2,62+2,62+2,66+2,65+2,60+2,60+2,60+2,65+2,15+2
227601,/player/227601/adam-andersson/240002,24.0,2.0,2023-09-22,A. Andersson,Carl Adam Andersson,"RB, RWB, LB",67,70,1200000.0,3000.0,26,1996-11-11,176,68,298.0,Rosenborg,41.0,Eliteserien,1.0,RB,25.0,,2021-01-11,2024.0,46,Sweden,,,,Right,4,2,1,High/Medium,Lean (170-185),No,1600000.0,,,75.0,45.0,60.0,65.0,61.0,67.0,58,38,48,64,54,62,61,48,58,66,74,76,75,63,74,54,63,80,61,46,67,62,58,58,50,64.0,60,64,62,14,14,7,15,14,,56+2,56+2,56+2,61,59,59,59,61,61+2,61+2,61+2,63+2,62+2,62+2,62+2,63+2,65+2,64+2,64+2,64+2,65+2,65+2,62+2,62+2,62+2,65+2,19+2
212040,/player/212040/ulrik-yttergard-jenssen/240002,24.0,2.0,2023-09-22,U. Jenssen,Ulrik Yttergård Jenssen,CB,67,69,1100000.0,3000.0,26,1996-07-17,186,82,298.0,Rosenborg,41.0,Eliteserien,1.0,LCB,23.0,,2023-01-08,2026.0,36,Norway,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,1500000.0,,,53.0,54.0,62.0,61.0,66.0,73.0,60,52,66,68,54,60,60,47,69,65,54,52,48,66,52,65,73,69,78,48,63,64,53,54,44,66.0,66,67,64,11,12,8,14,7,,60+2,60+2,60+2,58,59,59,59,58,59+2,59+2,59+2,60+2,63+2,63+2,63+2,60+2,64+2,66+2,66+2,66+2,64+2,64+2,67+2,67+2,67+2,64+2,17+2
260567,/player/260567/ole-christian-saeter/240002,24.0,2.0,2023-09-22,O. Sæter,Ole Christian Hammerfjell Sæter,ST,67,68,1200000.0,3000.0,27,1996-03-30,186,80,298.0,Rosenborg,41.0,Eliteserien,1.0,ST,9.0,,2021-01-08,2026.0,36,Norway,,,,Left,5,2,1,High/Medium,Normal (185+),No,1600000.0,,,69.0,67.0,51.0,62.0,29.0,77.0,44,67,67,57,64,61,47,48,40,64,71,68,61,62,64,72,81,72,80,63,74,25,67,57,64,62.0,24,26,24,11,5,10,13,12,,67+1,67+1,67+1,62,64,64,64,62,61+2,61+2,61+2,61+2,55+2,55+2,55+2,61+2,47+2,46+2,46+2,46+2,47+2,45+2,46+2,46+2,46+2,45+2,16+2
152996,/player/152996/per-ciljan-skjelbred/240002,24.0,2.0,2023-09-22,P. Skjelbred,Per Ciljan Skjelbred,CM,67,67,325000.0,2000.0,36,1987-06-16,178,74,298.0,Rosenborg,41.0,Eliteserien,1.0,SUB,5.0,,2020-06-30,2023.0,36,Norway,,,,Right,3,3,1,Medium/Medium,Lean (170-185),Yes,406000.0,,Slide Tackle,52.0,53.0,66.0,68.0,65.0,63.0,61,50,50,69,48,66,64,60,67,68,54,51,70,72,72,57,55,64,58,54,76,67,65,67,57,72.0,67,66,63,7,13,11,6,7,,59+2,59+2,59+2,63,63,63,63,63,65+2,65+2,65+2,64+2,67,67,67,64+2,65+2,67,67,67,65+2,64+2,64+2,64+2,64+2,64+2,15+2
255339,/player/255339/jayden-nelson/240002,24.0,2.0,2023-09-22,J. Nelson,Jayden Nelson,"LW, RW, CM",66,76,1900000.0,2000.0,20,2002-09-26,170,66,298.0,Rosenborg,41.0,Eliteserien,1.0,LW,11.0,,2023-02-08,2026.0,70,Canada,,,,Right,4,4,1,Medium/Medium,Lean (170-),No,2800000.0,#Acrobat,"Rapid, Flair",89.0,58.0,56.0,72.0,48.0,47.0,53,56,46,61,40,72,53,52,46,66,90,89,90,55,84,63,55,64,38,62,45,49,61,57,53,68.0,48,53,36,14,11,12,13,6,,61+2,61+2,61+2,66,65,65,65,66,64+2,64+2,64+2,65+2,59+2,59+2,59+2,65+2,58+2,53+2,53+2,53+2,58+2,56+2,49+2,49+2,49+2,56+2,16+2
