player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
219558,/player/219558/gilbert-koomson/240002,24.0,2.0,2023-09-22,G. Koomson,Gilbert Koomson,RW,66,66,850000.0,2000.0,28,1994-09-09,180,69,1757.0,Sandefjord,41.0,Eliteserien,1.0,RW,7.0,,2023-02-28,2024.0,117,Ghana,,,,Right,3,3,1,Medium/Low,Normal (170-185),No,1100000.0,,Rapid,85.0,60.0,60.0,67.0,37.0,62.0,59,61,49,60,48,66,59,63,58,65,84,86,80,60,69,63,68,68,61,57,56,31,65,60,65,69.0,39,38,30,12,6,15,12,13,,63+2,63+2,63+2,66,65,65,65,66,64+2,64+2,64+2,65+1,59+2,59+2,59+2,65+1,54+2,51+2,51+2,51+2,54+2,52+2,46+2,46+2,46+2,52+2,16+2
201993,/player/201993/alexander-ruud-tveter/240002,24.0,2.0,2023-09-22,A. Tveter,Alexander Ruud Tveter,ST,65,65,575000.0,1000.0,32,1991-03-07,190,86,1757.0,Sandefjord,41.0,Eliteserien,1.0,ST,9.0,,2021-05-10,2023.0,36,Norway,,,,Left,2,3,1,High/Medium,Normal (185+),No,719000.0,,,54.0,68.0,59.0,60.0,33.0,74.0,62,66,66,60,63,58,45,64,54,63,54,54,53,61,59,79,75,67,83,65,61,37,62,61,55,65.0,24,30,25,11,15,14,11,10,,65,65,65,60,62,62,62,60,60+2,60+2,60+2,60+2,58+2,58+2,58+2,60+2,49+2,49+2,49+2,49+2,49+2,47+2,47+2,47+2,47+2,47+2,17+2
266659,/player/266659/jesper-taaje/240002,24.0,2.0,2023-09-22,J. Taaje,Jesper Taaje,CB,64,71,1100000.0,1000.0,25,1997-10-25,192,85,1757.0,Sandefjord,41.0,Eliteserien,1.0,RCB,15.0,,2022-01-21,2023.0,36,Norway,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,1600000.0,,"Power Header, Long Ball Pass, Bruiser, Aerial",63.0,29.0,43.0,53.0,62.0,73.0,27,25,70,57,22,53,24,27,57,56,61,65,50,59,37,41,77,66,79,26,65,60,23,34,35,59.0,61,63,62,13,9,10,12,11,,46+2,46+2,46+2,45,46,46,46,45,47+2,47+2,47+2,48+2,51+2,51+2,51+2,48+2,57+2,60+2,60+2,60+2,57+2,58+2,64+2,64+2,64+2,58+2,16+2
225766,/player/225766/hugo-keto/240002,24.0,2.0,2023-09-22,H. Keto,Hugo Keto,GK,64,70,725000.0,850.0,25,1998-02-09,192,79,1757.0,Sandefjord,41.0,Eliteserien,1.0,GK,1.0,,2022-01-24,2024.0,17,Finland,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,1100000.0,,Footwork,,,,,,,13,16,19,26,19,20,18,19,20,24,49,41,46,59,50,45,61,25,57,18,25,18,8,48,25,38.0,9,17,14,64,62,60,63,64,46.0,28+2,28+2,28+2,27,29,29,29,27,29+2,29+2,29+2,28+2,28+2,28+2,28+2,28+2,24+2,25+2,25+2,25+2,24+2,24+2,25+2,25+2,25+2,24+2,63+2
242975,/player/242975/sander-moen-foss/240002,24.0,2.0,2023-09-22,S. Foss,Sander Moen Foss,CB,64,70,850000.0,950.0,24,1998-12-31,185,80,1757.0,Sandefjord,41.0,Eliteserien,1.0,LCB,17.0,,2018-03-11,2023.0,36,Norway,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,1200000.0,,,52.0,25.0,41.0,46.0,64.0,69.0,34,20,64,52,28,38,27,24,48,50,62,43,52,60,64,33,73,62,75,24,62,64,26,33,32,59.0,64,65,63,14,12,9,9,13,,41+2,41+2,41+2,41,40,40,40,41,42+2,42+2,42+2,44+2,47+2,47+2,47+2,44+2,55+2,58+2,58+2,58+2,55+2,57+2,64+2,64+2,64+2,57+2,17+2
241955,/player/241955/simon-amin/240002,24.0,2.0,2023-09-22,S. Amin,Simon Amin,CM,62,67,575000.0,900.0,25,1997-11-13,182,68,1757.0,Sandefjord,41.0,Eliteserien,1.0,SUB,21.0,,2023-01-09,2024.0,186,Syria,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,762000.0,,,67.0,44.0,60.0,64.0,53.0,63.0,50,42,35,65,40,62,56,42,65,64,70,64,73,60,68,46,54,68,64,46,57,56,57,62,35,61.0,55,58,46,5,12,9,12,13,,53+2,53+2,53+2,59,58,58,58,59,61+2,61+2,61+2,61+2,62+2,62+2,62+2,61+2,59+2,60+2,60+2,60+2,59+2,57+2,55+2,55+2,55+2,57+2,16+2
273649,/player/273649/fredrik-berglie/240002,24.0,2.0,2023-09-22,F. Berglie,Fredrik Tobias Berglie,CB,62,67,525000.0,850.0,26,1996-12-28,184,75,1757.0,Sandefjord,41.0,Eliteserien,1.0,SUB,19.0,,2023-01-20,2024.0,36,Norway,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,696000.0,,Power Header,59.0,26.0,40.0,44.0,63.0,65.0,31,23,64,52,24,36,26,30,48,45,55,62,50,62,61,34,70,58,72,24,56,62,28,29,34,53.0,63,63,61,12,6,15,9,14,,42+2,42+2,42+2,40,40,40,40,40,41+2,41+2,41+2,43+2,45+2,45+2,45+2,43+2,54+2,56+2,56+2,56+2,54+2,57+2,62+2,62+2,62+2,57+2,16+2
262911,/player/262911/aleksander-d-nilsson/240002,24.0,2.0,2023-09-22,A. Nilsson,Aleksander D. Nilsson,CM,61,75,775000.0,650.0,20,2002-09-05,178,72,1757.0,Sandefjord,41.0,Eliteserien,1.0,LCM,8.0,,2022-08-01,2024.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,1500000.0,,,66.0,48.0,56.0,62.0,51.0,53.0,38,41,42,64,40,60,42,37,63,63,68,65,73,57,72,65,48,71,51,50,39,57,58,63,41,51.0,45,55,50,11,5,10,8,9,,55+2,55+2,55+2,58,59,59,59,58,60+2,60+2,60+2,59+2,61+2,61+2,61+2,59+2,57+2,57+2,57+2,57+2,57+2,56+2,51+2,51+2,51+2,56+2,14+2
272967,/player/272967/danilo-al-saed/240002,24.0,2.0,2023-09-22,D. Al Saed,Danilo Al Saed,LW,61,67,525000.0,850.0,24,1999-02-24,178,67,1757.0,Sandefjord,41.0,Eliteserien,1.0,LW,14.0,,2023-01-08,2025.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,761000.0,,Whipped Cross,82.0,54.0,51.0,63.0,23.0,50.0,52,55,41,53,47,62,47,42,42,62,83,81,77,51,73,56,49,59,44,51,52,16,56,56,45,52.0,17,26,29,13,9,11,6,10,,56+2,56+2,56+2,61,59,59,59,61,58+2,58+2,58+2,59+2,51+2,51+2,51+2,59+2,46+2,40+2,40+2,40+2,46+2,43+2,35+2,35+2,35+2,43+2,14+2
272968,/player/272968/filip-ottosson/240002,24.0,2.0,2023-09-22,F. Ottosson,Filip Ottosson,"CM, CDM",61,62,375000.0,900.0,26,1996-09-12,174,72,1757.0,Sandefjord,41.0,Eliteserien,1.0,CDM,18.0,,2023-01-08,2025.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,497000.0,,,64.0,43.0,59.0,61.0,55.0,56.0,55,43,45,64,40,59,50,40,62,63,63,65,63,61,76,45,50,67,52,42,55,61,54,61,32,57.0,48,60,56,10,9,6,7,12,,53+2,53+2,53+2,58,57,57,57,58,59+2,59+2,59+2,60+2,61+1,61+1,61+1,60+2,60+2,60+2,60+2,60+2,60+2,59+2,56+2,56+2,56+2,59+2,15+2
