player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224322,/player/224322/kjetil-haug/240002,24.0,2.0,2023-09-22,K. Haug,Christian Kjetil Haug,GK,68,74,1500000.0,7000.0,25,1998-06-12,187,85,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,GK,1.0,Toulouse,,2023.0,36,Norway,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,,,,,,,,,,18,13,22,38,20,17,21,19,37,24,43,49,47,58,41,51,61,27,59,14,26,17,12,40,22,31.0,23,14,20,69,67,68,68,69,45.0,29+2,29+2,29+2,28,29,29,29,28,30+2,30+2,30+2,29+2,30+2,30+2,30+2,29+2,28+2,29+2,29+2,29+2,28+2,27+2,28+2,28+2,28+2,27+2,67+2
213498,/player/213498/serge-junior-m-ngouali/240002,24.0,2.0,2023-09-22,S. Ngouali,Serge-Junior Bertil Nicolas Martinsson-Ngouali,"CM, CDM",68,68,1000000.0,2000.0,31,1992-01-23,175,75,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,SUB,18.0,,2022-02-02,2024.0,115,Gabon,,,,Right,3,3,1,Medium/High,Stocky (170-185),No,1300000.0,,,64.0,60.0,65.0,70.0,65.0,73.0,54,59,58,69,54,66,62,50,69,69,66,63,77,70,90,63,71,75,73,61,72,67,65,68,46,72.0,68,64,62,7,14,8,6,12,,64+2,64+2,64+2,65,66,66,66,65,67+1,67+1,67+1,66+2,68,68,68,66+2,66+2,68,68,68,66+2,65+2,67+1,67+1,67+1,65+2,16+2
222081,/player/222081/niklas-sandberg/240002,24.0,2.0,2023-09-22,N. Sandberg,Niklas Sandberg,"RM, RW",68,68,1200000.0,2000.0,28,1995-05-18,183,73,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,RM,23.0,,2023-08-08,2026.0,36,Norway,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,1500000.0,,Finesse Shot,70.0,63.0,65.0,66.0,51.0,67.0,67,63,61,65,60,66,65,61,64,66,71,70,68,65,71,64,71,77,63,63,64,50,63,67,70,67.0,47,53,52,13,12,6,15,7,,64+2,64+2,64+2,66,65,65,65,66,66+2,66+2,66+2,67+1,64+2,64+2,64+2,67+1,62+2,60+2,60+2,60+2,62+2,60+2,57+2,57+2,57+2,60+2,17+2
235670,/player/235670/ramon-pascal-lundqvist/240002,24.0,2.0,2023-09-22,R. Lundqvist,Ramon Pascal Lundqvist,"CAM, CM, ST",67,69,1300000.0,2000.0,26,1997-05-10,178,74,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,CAM,10.0,,2023-03-07,2023.0,46,Sweden,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,1700000.0,,"Power Shot, Dead Ball, Pinged Pass",66.0,67.0,68.0,69.0,57.0,63.0,69,63,45,68,55,69,73,73,65,70,69,63,70,64,67,74,60,71,63,71,53,65,61,69,67,65.0,54,60,50,6,7,14,6,9,,64+2,64+2,64+2,67,66,66,66,67,67+2,67+2,67+2,67+2,67+2,67+2,67+2,67+2,64+2,63+2,63+2,63+2,64+2,62+2,58+2,58+2,58+2,62+2,14+2
183339,/player/183339/jo-inge-berget/240002,24.0,2.0,2023-09-22,J. Berget,Jo Inge Berget,"RM, ST, LM",67,67,800000.0,2000.0,32,1990-09-11,186,81,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,SUB,14.0,,2023-08-31,2023.0,36,Norway,,,,Right,3,3,1,High/High,Normal (185+),No,1000000.0,,,71.0,66.0,65.0,65.0,59.0,75.0,68,63,62,63,64,64,62,63,65,64,67,74,64,69,66,74,74,77,74,62,77,60,68,65,70,67.0,60,58,54,15,7,15,7,16,,67,67,67,66,66,66,66,66,65+2,65+2,65+2,66+1,65+2,65+2,65+2,66+1,64+2,64+2,64+2,64+2,64+2,64+2,63+2,63+2,63+2,64+2,18+2
216286,/player/216286/jeppe-andersen/240002,24.0,2.0,2023-09-22,J. Andersen,Jeppe Andrup Andersen,"CM, CDM",67,67,975000.0,2000.0,30,1992-12-06,178,75,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,RCM,8.0,,2023-01-08,2025.0,13,Denmark,,,,Right,3,3,1,High/High,Stocky (170-185),No,1200000.0,,"Long Ball Pass, Slide Tackle, Relentless",71.0,61.0,64.0,67.0,61.0,81.0,62,57,54,65,59,65,59,64,66,66,68,73,66,71,80,67,72,85,80,65,81,66,66,65,55,70.0,60,62,60,14,13,13,8,14,,65+2,65+2,65+2,65,65,65,65,65,66+1,66+1,66+1,67,67,67,67,67,67,67,67,67,67,66+1,66+1,66+1,66+1,66+1,19+2
225133,/player/225133/mikkel-maigaard/240002,24.0,2.0,2023-09-22,M. Maigaard,Mikkel Maigaard Jakobsen,"RM, LM, CM",66,66,900000.0,2000.0,27,1995-09-20,180,75,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,LM,25.0,,2021-08-31,2023.0,13,Denmark,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1100000.0,,,62.0,60.0,65.0,65.0,54.0,66.0,62,58,58,67,49,64,69,67,63,67,59,64,63,63,63,61,64,79,63,62,58,56,67,66,64,63.0,49,58,53,10,10,15,12,9,,62+2,62+2,62+2,64,64,64,64,64,65+1,65+1,65+1,65+1,65+1,65+1,65+1,65+1,62+2,61+2,61+2,61+2,62+2,61+2,58+2,58+2,58+2,61+2,16+2
241645,/player/241645/victor-torp/240002,24.0,2.0,2023-09-22,V. Torp,Victor Torp Overgaard,"CAM, CM, ST",65,72,1400000.0,1000.0,23,1999-07-30,178,68,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,LCM,29.0,,2022-08-01,2025.0,13,Denmark,,,,Right,4,3,1,High/Medium,Lean (170-185),No,2000000.0,,Technical,68.0,60.0,65.0,69.0,53.0,56.0,62,58,42,67,56,67,66,65,63,70,69,67,76,59,76,67,50,63,54,59,56,54,62,64,56,67.0,54,55,50,10,8,14,9,7,,61+2,61+2,61+2,65,64,64,64,65,65+2,65+2,65+2,65+2,64+2,64+2,64+2,65+2,60+2,60+2,60+2,60+2,60+2,59+2,54+2,54+2,54+2,59+2,14+2
213864,/player/213864/bjorn-inge-utvik/240002,24.0,2.0,2023-09-22,B. Utvik,Bjørn Inge Utvik,CB,65,68,800000.0,1000.0,27,1996-02-28,183,75,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,RCB,4.0,,2018-01-16,2023.0,36,Norway,,,,Right,3,2,1,Medium/High,Normal (170-185),No,1100000.0,,"Long Ball Pass, Aerial",41.0,37.0,48.0,52.0,65.0,72.0,46,33,64,58,34,44,40,36,49,56,42,40,55,65,55,43,66,74,74,37,66,65,38,39,43,68.0,66,66,64,10,11,12,12,15,,48+2,48+2,48+2,46,46,46,46,46,47+2,47+2,47+2,49+2,53+2,53+2,53+2,49+2,59+2,62+2,62+2,62+2,59+2,60+2,65+2,65+2,65+2,60+2,18+2
207559,/player/207559/simon-tibbling/240002,24.0,2.0,2023-09-22,S. Tibbling,Simon Hjalmar Friedel Tibbling,"LM, RM, CM",65,65,725000.0,2000.0,28,1994-09-07,175,74,112199.0,Sarpsborg 08,41.0,Eliteserien,1.0,SUB,11.0,,2022-08-01,2024.0,46,Sweden,,,,Right,3,3,1,High/Medium,Lean (170-185),No,906000.0,,Technical,63.0,54.0,63.0,67.0,52.0,62.0,62,52,45,65,55,66,60,50,62,65,65,62,72,64,75,57,57,73,60,52,52,57,60,64,56,64.0,54,50,45,13,15,12,9,14,,58+2,58+2,58+2,63,61,61,61,63,63+2,63+2,63+2,64+1,63+2,63+2,63+2,64+1,60+2,59+2,59+2,59+2,60+2,58+2,54+2,54+2,54+2,58+2,18+2
