player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
190697,/player/190697/stefan-strandberg/240002,24.0,2.0,2023-09-22,S. Strandberg,Ken Remi Stefan Strandberg,CB,72,72,1500000.0,4000.0,32,1990-07-25,189,80,920.0,Vålerenga,41.0,Eliteserien,1.0,RCB,4.0,,2022-08-02,2024.0,36,Norway,1352.0,RCB,4.0,Right,3,2,1,Medium/High,Normal (185+),No,1900000.0,,"Jockey, Aerial",52.0,42.0,54.0,57.0,72.0,78.0,38,36,70,66,35,52,34,54,67,63,50,54,48,74,63,64,75,73,84,35,69,72,41,46,51,67.0,74,72,66,7,12,9,14,13,,55+2,55+2,55+2,51,54,54,54,51,54+2,54+2,54+2,55+2,60+2,60+2,60+2,55+2,64+2,69+2,69+2,69+2,64+2,65+2,72,72,72,65+2,18+2
232655,/player/232655/simen-juklerod/240002,24.0,2.0,2023-09-22,S. Juklerød,Simen Kristiansen Juklerød,"LWB, LB",70,70,1400000.0,3000.0,29,1994-05-18,187,79,920.0,Vålerenga,41.0,Eliteserien,1.0,LWB,18.0,,2022-08-31,2026.0,36,Norway,,,,Left,3,3,1,High/Medium,Normal (185+),No,1800000.0,,Rapid,81.0,64.0,65.0,66.0,59.0,71.0,67,61,36,66,58,65,67,67,60,67,75,86,72,66,58,71,63,80,72,66,60,63,66,66,58,67.0,58,64,63,6,9,13,5,11,,64+2,64+2,64+2,68,67,67,67,68,67+2,67+2,67+2,68+2,66+2,66+2,66+2,68+2,68+2,65+2,65+2,65+2,68+2,66+2,61+2,61+2,61+2,66+2,14+2
214877,/player/214877/henrik-bjordal/240002,24.0,2.0,2023-09-22,H. Bjørdal,Henrik Rørvik Bjørdal,CM,69,71,1700000.0,3000.0,26,1997-02-04,188,86,920.0,Vålerenga,41.0,Eliteserien,1.0,LCM,8.0,,2020-09-11,2026.0,36,Norway,,,,Right,3,3,1,High/High,Normal (185+),No,2300000.0,"#Engine, #Strength","Jockey, Bruiser, Relentless",71.0,65.0,67.0,68.0,63.0,83.0,67,65,63,70,57,67,59,49,66,69,69,73,70,67,62,67,81,90,86,63,69,62,64,69,65,70.0,64,64,58,8,14,12,8,11,,67+2,67+2,67+2,68,67,67,67,68,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,68+2,68+2,67+2,67+2,67+2,67+2,67+2,17+2
186267,/player/186267/vegar-eggen-hedenstad/240002,24.0,2.0,2023-09-22,V. Hedenstad,Vegar Eggen Hedenstad,"RWB, RB",68,68,825000.0,2000.0,32,1991-06-26,178,74,920.0,Vålerenga,41.0,Eliteserien,1.0,SUB,6.0,,2022-01-15,2024.0,36,Norway,,,,Right,3,3,1,High/High,Lean (170-185),No,1000000.0,,,75.0,51.0,62.0,65.0,60.0,71.0,65,44,51,64,45,63,65,68,56,64,77,74,76,63,74,70,69,85,65,51,68,59,58,60,45,63.0,59,64,63,12,16,7,7,7,,59+2,59+2,59+2,62,61,61,61,62,62+2,62+2,62+2,64+2,62+2,62+2,62+2,64+2,66+2,63+2,63+2,63+2,66+2,65+2,62+2,62+2,62+2,65+2,16+2
258355,/player/258355/elias-k-hagen/240002,24.0,2.0,2023-09-22,E. Hagen,Elias Kristoffersen Hagen,"CM, CDM",67,75,2300000.0,2000.0,23,2000-01-20,188,72,920.0,Vålerenga,41.0,Eliteserien,1.0,CDM,15.0,,2023-08-01,2027.0,36,Norway,,,,Right,3,3,1,Medium/Medium,Lean (185+),No,3300000.0,,,66.0,55.0,67.0,66.0,61.0,62.0,65,56,45,70,40,66,64,58,67,68,67,65,65,64,63,54,56,81,57,57,52,67,60,67,50,64.0,60,64,60,9,8,5,9,14,,59+2,59+2,59+2,65,63,63,63,65,65+2,65+2,65+2,66+2,67+2,67+2,67+2,66+2,67+2,66+2,66+2,66+2,67+2,65+2,60+2,60+2,60+2,65+2,16+2
193422,/player/193422/torgeir-borven/240002,24.0,2.0,2023-09-22,T. Børven,Torgeir Børven,ST,67,67,850000.0,2000.0,31,1991-12-03,185,72,920.0,Vålerenga,41.0,Eliteserien,1.0,SUB,9.0,,2022-08-12,2024.0,36,Norway,,,,Right,4,2,1,High/Low,Lean (185+),No,1100000.0,,"Finesse Shot, Chip Shot",66.0,66.0,56.0,64.0,33.0,65.0,54,66,67,61,66,62,62,58,42,65,66,66,71,68,65,68,74,70,72,62,41,22,70,59,61,64.0,37,27,22,8,7,16,14,16,,67,67,67,64,65,65,65,64,63+2,63+2,63+2,62+2,57+2,57+2,57+2,62+2,49+2,46+2,46+2,46+2,49+2,47+2,44+2,44+2,44+2,47+2,18+2
271326,/player/271326/daniel-hakans/240002,24.0,2.0,2023-09-22,D. Håkans,Daniel Håkans,"RW, LW, LWB",66,76,1900000.0,2000.0,22,2000-10-26,178,70,920.0,Vålerenga,41.0,Eliteserien,1.0,SUB,11.0,,2023-02-04,2026.0,17,Finland,,,,Right,5,4,1,High/Medium,Lean (170-185),No,2800000.0,#Speedster,Rapid,90.0,57.0,54.0,69.0,30.0,56.0,56,59,46,57,48,68,52,47,46,68,90,90,83,56,83,60,61,72,48,54,53,28,62,56,43,64.0,32,25,24,10,14,8,5,14,,61+2,61+2,61+2,66,64,64,64,66,63+2,63+2,63+2,65+2,56+2,56+2,56+2,65+2,52+2,45+2,45+2,45+2,52+2,49+2,40+2,40+2,40+2,49+2,16+2
222215,/player/222215/petter-strand/240002,24.0,2.0,2023-09-22,P. Strand,Petter Dahle Strand,CM,66,66,850000.0,2000.0,28,1994-08-24,177,70,920.0,Vålerenga,41.0,Eliteserien,1.0,RCM,24.0,,2022-01-11,2025.0,36,Norway,,,,Right,3,3,1,High/High,Lean (170-185),No,1100000.0,#Engine,"Intercept, Anticipate, Relentless",77.0,60.0,63.0,68.0,63.0,72.0,57,55,48,65,55,65,65,62,62,67,79,76,84,66,72,71,68,89,67,60,66,66,62,64,56,62.0,62,66,62,14,10,9,7,10,,63+2,63+2,63+2,65,65,65,65,65,65+1,65+1,65+1,66,66,66,66,66,68-2,66,66,66,68-2,67-1,64+2,64+2,64+2,67-1,16+2
228454,/player/228454/mohamed-ofkir/240002,24.0,2.0,2023-09-22,M. Ofkir,Mohamed Ofkir,"LW, RW, ST",66,66,925000.0,2000.0,26,1996-08-04,176,71,920.0,Vålerenga,41.0,Eliteserien,1.0,RS,10.0,,2023-01-25,2026.0,36,Norway,,,,Right,4,3,1,High/Medium,Normal (170-185),No,1200000.0,,Rapid,84.0,62.0,57.0,67.0,30.0,60.0,57,62,33,58,46,66,62,53,48,66,85,84,81,62,74,66,59,73,56,64,54,22,62,60,46,61.0,35,28,30,15,12,14,7,7,,61+2,61+2,61+2,66,65,65,65,66,64+2,64+2,64+2,65+1,57+2,57+2,57+2,65+1,52+2,47+2,47+2,47+2,52+2,49+2,40+2,40+2,40+2,49+2,16+2
256967,/player/256967/martin-kreuzriegler/240002,24.0,2.0,2023-09-22,M. Kreuzriegler,Martin Kreuzriegler,"CB, LWB",65,66,650000.0,2000.0,29,1994-01-10,182,80,920.0,Vålerenga,41.0,Eliteserien,1.0,SUB,23.0,,2023-08-01,2024.0,4,Austria,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,861000.0,,,62.0,33.0,46.0,49.0,65.0,66.0,34,36,66,57,27,44,38,27,59,55,59,65,33,64,57,36,72,56,72,22,63,65,30,37,55,57.0,64,66,65,13,11,11,13,9,,48+2,48+2,48+2,46,46,46,46,46,47+2,47+2,47+2,49+2,51+2,51+2,51+2,49+2,58+2,61+2,61+2,61+2,58+2,60+2,65+1,65+1,65+1,60+2,17+2
