player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
252484,/player/252484/ronaldo-deaconu/240002,24.0,2.0,2023-09-22,R. Deaconu,Ronaldo Octavian Andrei Deaconu,"CM, CAM",67,69,1300000.0,2000.0,26,1997-05-13,182,75,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,RM,10.0,,2022-07-29,2024.0,39,Romania,,,,Left,2,3,1,Medium/Medium,Normal (170-185),No,1900000.0,,"Finesse Shot, Pinged Pass, Technical, Flair",66.0,67.0,70.0,69.0,51.0,62.0,73,62,47,69,53,69,76,75,68,69,69,64,71,67,72,73,60,70,62,75,54,55,61,67,69,64.0,48,54,48,8,11,9,11,11,,64+2,64+2,64+2,68,67,67,67,68,68+1,68+1,68+1,68+1,67+2,67+2,67+2,68+1,62+2,61+2,61+2,61+2,62+2,60+2,55+2,55+2,55+2,60+2,16+2
215581,/player/215581/jakub-lukowski/240002,24.0,2.0,2023-09-22,J. Łukowski,Jakub Łukowski,"LM, ST, RM",66,66,900000.0,2000.0,27,1996-05-25,172,74,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,RES,7.0,,2021-02-26,2024.0,37,Poland,,,,Right,3,3,1,High/Medium,Lean (170-185),No,1200000.0,,Rapid,80.0,65.0,60.0,68.0,35.0,60.0,60,65,50,63,50,67,54,54,58,63,81,80,84,53,87,69,67,73,57,63,48,62,65,59,67,61.0,25,25,24,16,10,15,11,13,,63+2,63+2,63+2,66,65,65,65,66,64+2,64+2,64+2,65+1,60+2,60+2,60+2,65+1,55+2,51+2,51+2,51+2,55+2,52+2,44+2,44+2,44+2,52+2,17+2
231601,/player/231601/adrian-dalmau-vaquer/240002,24.0,2.0,2023-09-22,Dalmau,Adriàn Dalmau Vaquer,ST,66,66,850000.0,2000.0,29,1994-03-23,182,74,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,SUB,20.0,,2023-07-08,2025.0,45,Spain,,,,Right,3,3,1,Medium/Low,Lean (170-185),No,1100000.0,,,67.0,68.0,52.0,65.0,40.0,57.0,53,68,72,56,63,64,62,47,41,64,68,66,70,63,65,68,73,60,59,67,45,34,69,53,68,66.0,45,33,27,7,13,12,11,8,,66,66,66,63,64,64,64,63,61+2,61+2,61+2,61+2,55+2,55+2,55+2,61+2,50+2,47+2,47+2,47+2,50+2,49+2,47+2,47+2,47+2,49+2,16+2
231923,/player/231923/martin-remacle/240002,24.0,2.0,2023-09-22,M. Remacle,Martin Remacle,"CM, CDM",65,68,925000.0,1000.0,26,1997-05-16,176,73,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,RCM,88.0,,2023-07-07,2025.0,7,Belgium,,,,Right,4,3,1,Medium/Medium,Normal (170-185),No,1300000.0,,Technical,64.0,62.0,66.0,66.0,58.0,64.0,63,60,54,70,49,64,64,63,62,66,65,63,73,63,79,70,63,68,63,65,63,64,57,65,45,69.0,56,58,55,9,15,10,6,6,,62+2,62+2,62+2,64,64,64,64,64,65+2,65+2,65+2,64+2,65+2,65+2,65+2,64+2,63+2,63+2,63+2,63+2,63+2,62+2,60+2,60+2,60+2,62+2,15+2
211243,/player/211243/david-gonzalez-plata/240002,24.0,2.0,2023-09-22,Nono,David González Plata,"LM, CM, RM",65,65,575000.0,1000.0,32,1991-05-28,170,71,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,LM,11.0,,2022-12-09,2024.0,45,Spain,,,,Right,3,3,1,Medium/Medium,Normal (170-),No,776000.0,,Rapid,79.0,65.0,63.0,65.0,37.0,58.0,63,59,64,65,65,60,71,70,61,63,81,77,87,62,89,75,73,69,55,71,50,44,60,59,65,60.0,40,24,27,10,11,11,12,11,,64+1,64+1,64+1,65,64,64,64,65,64+1,64+1,64+1,64+1,60+2,60+2,60+2,64+1,54+2,51+2,51+2,51+2,54+2,52+2,46+2,46+2,46+2,52+2,17+2
248056,/player/248056/marius-briceag/240002,24.0,2.0,2023-09-22,M. Briceag,Marius Ionuț Briceag,"LB, LWB",65,65,525000.0,1000.0,31,1992-04-06,175,79,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,LB,5.0,,2023-01-26,2024.0,39,Romania,,,,Left,2,2,1,Medium/High,Normal (170-185),No,709000.0,,Slide Tackle,77.0,51.0,55.0,54.0,62.0,69.0,63,46,57,61,50,51,39,42,58,53,80,75,65,59,59,66,77,68,71,52,63,63,41,42,37,64.0,62,63,62,11,15,14,6,14,,56+2,56+2,56+2,56,54,54,54,56,54+2,54+2,54+2,57+2,55+2,55+2,55+2,57+2,63+2,61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,63+2,17+2
257887,/player/257887/mateusz-czyzycki/240002,24.0,2.0,2023-09-22,M. Czyżycki,Mateusz Czyżycki,"CM, CDM, CAM",64,68,800000.0,1000.0,25,1998-02-08,175,72,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,LCM,98.0,,2023-07-01,2025.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,1100000.0,,,71.0,62.0,58.0,64.0,54.0,57.0,48,65,49,63,56,64,44,43,64,62,72,70,74,65,58,58,53,77,46,66,61,58,59,63,44,55.0,47,60,53,7,8,10,14,8,,61+2,61+2,61+2,63,63,63,63,63,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,60+2,60+2,60+2,60+2,60+2,60+2,55+2,55+2,55+2,60+2,15+2
220616,/player/220616/milosz-trojak/240002,24.0,2.0,2023-09-22,M. Trojak,Miłosz Trojak,"CB, CDM",64,65,550000.0,1000.0,29,1994-05-05,191,87,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,LCB,66.0,,2022-06-17,2024.0,37,Poland,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,784000.0,,"Block, Intercept",55.0,47.0,59.0,58.0,63.0,72.0,57,39,66,64,33,56,49,33,63,56,53,56,65,66,68,58,71,72,75,57,63,59,38,60,52,60.0,67,62,62,12,7,10,12,15,,53+2,53+2,53+2,55,54,54,54,55,56+2,56+2,56+2,56+2,60+2,60+2,60+2,56+2,61+2,63+2,63+2,63+2,61+2,62+2,64+1,64+1,64+1,62+2,17+2
222101,/player/222101/kyrylo-petrov/240002,24.0,2.0,2023-09-22,K. Petrov,Kyrylo Petrov,"CB, CDM",64,64,275000.0,1000.0,33,1990-06-22,186,85,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,SUB,90.0,,2022-04-06,2024.0,49,Ukraine,,,,Right,3,2,1,Medium/High,Stocky (185+),No,371000.0,,,54.0,28.0,38.0,44.0,62.0,73.0,31,23,64,53,29,33,31,31,30,52,53,54,48,62,60,38,75,61,84,27,61,60,28,30,38,45.0,61,64,63,12,12,15,10,14,,44+2,44+2,44+2,41,41,41,41,41,41+2,41+2,41+2,42+2,44+2,44+2,44+2,42+2,54+2,56+2,56+2,56+2,54+2,57+2,64,64,64,57+2,18+2
269348,/player/269348/dalibor-takac/240002,24.0,2.0,2023-09-22,D. Takáč,Dalibor Takáč,"CM, CDM",63,67,675000.0,1000.0,25,1997-10-11,178,75,111083.0,Korona Kielce,66.0,Ekstraklasa,1.0,CDM,8.0,,2022-01-18,2024.0,43,Slovakia,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,962000.0,,,72.0,48.0,59.0,63.0,61.0,63.0,48,47,60,67,35,60,39,39,65,65,75,69,69,58,70,49,70,70,59,51,64,63,61,63,41,59.0,63,59,57,9,12,7,13,9,,58+2,58+2,58+2,61,60,60,60,61,62+2,62+2,62+2,62+2,63+2,63+2,63+2,62+2,62+2,63+2,63+2,63+2,62+2,62+2,61+2,61+2,61+2,62+2,16+2
