player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
206626,/player/206626/mikael-ishak/240002,24.0,2.0,2023-09-22,M. Ishak,Mikael Ishak,ST,73,73,3000000.0,10000.0,30,1993-03-31,184,81,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,ST,9.0,,2020-07-20,2025.0,46,Sweden,,,,Right,5,3,1,Medium/High,Normal (170-185),Yes,4200000.0,#Strength,,72.0,73.0,57.0,65.0,38.0,81.0,57,76,71,66,70,64,38,47,43,68,69,74,62,69,67,75,86,75,90,65,66,30,76,57,73,65.0,24,43,46,12,11,15,15,9,,73,73,73,67,69,69,69,67,66+2,66+2,66+2,66+2,61+2,61+2,61+2,66+2,55+2,53+2,53+2,53+2,55+2,54+2,53+2,53+2,53+2,54+2,18+2
243551,/player/243551/ali-gholizadeh/240002,24.0,2.0,2023-09-22,A. Gholizadeh,Ali Gholizadeh,"RM, CAM, CF",73,73,3200000.0,9000.0,27,1996-03-10,176,72,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,RES,8.0,,2023-07-11,2026.0,161,Iran,,,,Left,3,4,1,Medium/Medium,Normal (170-185),No,4500000.0,,"Technical, Flair",76.0,68.0,68.0,76.0,48.0,68.0,65,68,34,68,58,76,68,65,65,76,79,74,78,70,79,72,62,79,66,69,62,43,70,72,55,70.0,49,55,47,14,12,13,10,8,,67+2,67+2,67+2,72,71,71,71,72,72+1,72+1,72+1,72+1,69+2,69+2,69+2,72+1,63+2,61+2,61+2,61+2,63+2,60+2,54+2,54+2,54+2,60+2,18+2
214658,/player/214658/jesper-karlstrom/240002,24.0,2.0,2023-09-22,J. Karlström,Jesper Karlström,CDM,72,73,2300000.0,8000.0,28,1995-06-21,182,81,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,CDM,6.0,,2021-01-25,2026.0,46,Sweden,1363.0,SUB,16.0,Right,3,2,1,Medium/High,Normal (170-185),No,3400000.0,,Relentless,67.0,54.0,65.0,67.0,70.0,83.0,62,51,62,69,58,66,63,59,66,69,71,63,65,71,67,58,81,86,83,59,80,71,56,61,48,69.0,71,72,67,11,8,10,11,16,,62+2,62+2,62+2,64,63,63,63,64,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,70+2,71+2,71+2,71+2,70+2,70+2,72+1,72+1,72+1,70+2,18+2
247144,/player/247144/dino-hotic/240002,24.0,2.0,2023-09-22,D. Hotić,Dino Hotić,"CAM, RM, CF",72,72,2500000.0,8000.0,27,1995-07-26,168,69,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,SUB,21.0,,2023-07-12,2026.0,8,Bosnia and Herzegovina,,,,Left,4,4,1,High/Medium,Normal (170-),No,3500000.0,,Finesse Shot,75.0,70.0,74.0,73.0,48.0,71.0,80,66,46,70,68,71,77,77,73,73,85,67,78,69,89,74,70,80,67,76,71,57,68,76,76,74.0,43,48,45,9,10,6,15,12,,68+2,68+2,68+2,73-1,71,71,71,73-1,72,72,72,73-1,70+2,70+2,70+2,73-1,65+2,63+2,63+2,63+2,65+2,62+2,56+2,56+2,56+2,62+2,18+2
226518,/player/226518/antonio-milic/240002,24.0,2.0,2023-09-22,A. Milić,Antonio Milić,CB,71,72,1700000.0,7000.0,29,1994-03-10,190,81,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,LCB,16.0,,2021-01-25,2026.0,10,Croatia,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,2500000.0,,,41.0,42.0,60.0,51.0,72.0,75.0,63,34,72,60,37,43,68,64,62,62,42,40,40,67,42,57,76,60,84,45,71,72,47,52,43,66.0,74,71,69,11,8,8,11,10,,53+2,53+2,53+2,50,51,51,51,50,52+2,52+2,52+2,53+2,58+2,58+2,58+2,53+2,63+2,67+2,67+2,67+2,63+2,64+2,71+1,71+1,71+1,64+2,16+2
258698,/player/258698/afonso-gamelas-de-pinho-sousa/240002,24.0,2.0,2023-09-22,Afonso Sousa,Afonso Gamelas de Pinho Sousa,"CAM, CM",70,79,3500000.0,6000.0,23,2000-05-03,174,64,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,RCM,7.0,,2022-07-01,2026.0,38,Portugal,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,5600000.0,,Technical,78.0,62.0,66.0,73.0,56.0,54.0,59,57,47,69,54,73,69,42,67,72,77,78,72,72,80,75,57,64,47,59,58,56,72,72,59,66.0,55,59,56,5,14,14,14,7,,66+2,66+2,66+2,69,70,70,70,69,70+2,70+2,70+2,70+2,68+2,68+2,68+2,70+2,64+2,63+2,63+2,63+2,64+2,63+2,57+2,57+2,57+2,63+2,17+2
258276,/player/258276/joel-vieira-pereira/240002,24.0,2.0,2023-09-22,Joel Pereira,Joel Vieira Pereira,RB,70,72,1800000.0,6000.0,26,1996-09-28,178,73,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,SUB,2.0,,2021-07-01,2025.0,38,Portugal,,,,Right,3,2,1,High/Medium,Lean (170-185),No,2700000.0,,"Long Ball Pass, Slide Tackle",73.0,41.0,67.0,67.0,64.0,66.0,75,34,49,67,50,67,66,51,71,67,77,69,72,65,66,53,66,77,62,40,60,67,52,62,42,57.0,65,66,65,14,9,6,13,9,,55+2,55+2,55+2,63,59,59,59,63,62+2,62+2,62+2,66+2,65+2,65+2,65+2,66+2,69+2,67+2,67+2,67+2,69+2,68+2,63+2,63+2,63+2,68+2,17+2
209417,/player/209417/radoslaw-murawski/240002,24.0,2.0,2023-09-22,R. Murawski,Radosław Paweł Murawski,"CDM, CM",70,70,1400000.0,6000.0,29,1994-04-22,173,68,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,SUB,22.0,,2021-07-01,2026.0,37,Poland,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,2000000.0,,"Tiki Taka, Jockey",76.0,57.0,65.0,69.0,65.0,72.0,58,53,59,68,48,66,58,61,68,70,80,73,82,64,81,64,72,88,60,59,84,68,51,67,66,66.0,64,67,64,9,9,16,14,6,,61+2,61+2,61+2,65,64,64,64,65,66+2,66+2,66+2,66+2,67+2,67+2,67+2,66+2,69+1,69+1,69+1,69+1,69+1,68+2,66+2,66+2,66+2,68+2,16+2
224838,/player/224838/filip-dagerstal/240002,24.0,2.0,2023-09-22,F. Dagerstål,Filip Dagerstål,CB,69,74,1800000.0,5000.0,26,1997-02-01,189,78,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,SUB,25.0,,2023-05-24,2026.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,2700000.0,,Long Ball Pass,63.0,43.0,59.0,59.0,69.0,76.0,55,37,62,66,34,53,46,38,64,64,55,69,61,67,50,65,72,77,78,40,70,70,36,55,37,72.0,71,70,66,7,9,8,15,13,,54+2,54+2,54+2,55,54,54,54,55,56+2,56+2,56+2,58+2,61+2,61+2,61+2,58+2,66+2,68+2,68+2,68+2,66+2,67+2,69+2,69+2,69+2,67+2,17+2
238303,/player/238303/kristoffer-velde/240002,24.0,2.0,2023-09-22,K. Velde,Kristoffer Velde,"LM, RM",69,74,2100000.0,5000.0,23,1999-09-09,179,65,873.0,Lech Poznań,66.0,Ekstraklasa,1.0,LM,11.0,,2022-01-29,2025.0,36,Norway,,,,Right,3,4,1,Medium/Medium,Lean (170-185),No,3100000.0,,Technical,80.0,67.0,61.0,72.0,43.0,61.0,63,66,52,64,45,72,66,51,52,69,78,82,84,61,86,74,66,70,58,66,58,42,68,63,67,61.0,38,47,36,8,5,12,9,11,,66+2,66+2,66+2,69,68,68,68,69,67+2,67+2,67+2,68+2,62+2,62+2,62+2,68+2,58+2,54+2,54+2,54+2,58+2,55+2,50+2,50+2,50+2,55+2,14+2
