player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
211626,/player/211626/damian-kadzior/240002,24.0,2.0,2023-09-22,D. Kądzior,Damian Kądzior,"RM, LM, CF",71,71,1600000.0,7000.0,31,1992-06-16,174,71,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,RM,11.0,,2021-07-19,2025.0,37,Poland,,,,Left,2,3,1,High/Medium,Lean (170-185),No,2200000.0,,"Finesse Shot, Long Ball Pass, Whipped Cross",89.0,66.0,68.0,70.0,46.0,66.0,68,63,60,68,66,68,74,71,67,68,85,93,88,62,80,72,76,80,60,68,59,53,67,68,50,65.0,44,41,42,8,10,15,10,9,,68+2,68+2,68+2,70,69,69,69,70,69+2,69+2,69+2,70+1,66+2,66+2,66+2,70+1,62+2,59+2,59+2,59+2,62+2,60+2,54+2,54+2,54+2,60+2,15+2
242514,/player/242514/frantisek-plach/240002,24.0,2.0,2023-09-22,F. Plach,František Plach,GK,69,69,750000.0,4000.0,31,1992-03-08,192,80,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,GK,26.0,,2018-01-10,2026.0,43,Slovakia,,,,Left,2,1,1,Medium/Medium,Lean (185+),No,1000000.0,,,,,,,,,15,9,14,24,7,10,12,10,23,18,35,29,39,72,53,50,58,19,60,8,28,8,9,55,10,59.0,21,23,15,68,67,66,67,68,33.0,25+2,25+2,25+2,23,26,26,26,23,27+2,27+2,27+2,24+2,27+2,27+2,27+2,24+2,23+2,26+2,26+2,26+2,23+2,23+2,27+2,27+2,27+2,23+2,68+1
214882,/player/214882/jakub-czerwinski/240002,24.0,2.0,2023-09-22,J. Czerwiński,Jakub Czerwiński,CB,68,68,825000.0,4000.0,31,1991-08-06,183,82,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,LCB,4.0,,2018-07-01,2024.0,37,Poland,,,,Right,3,2,1,Medium/High,Stocky (170-185),No,1100000.0,,"Power Header, Bruiser",52.0,32.0,44.0,45.0,67.0,80.0,30,23,67,58,44,31,33,24,58,52,54,50,63,62,64,57,76,75,84,22,77,66,35,30,33,64.0,66,68,65,7,7,9,14,13,,47+2,47+2,47+2,41,43,43,43,41,43+2,43+2,43+2,45+2,50+2,50+2,50+2,45+2,58+2,63+2,63+2,63+2,58+2,60+2,68,68,68,60+2,16+2
224062,/player/224062/patryk-dziczek/240002,24.0,2.0,2023-09-22,P. Dziczek,Patryk Dziczek,CDM,67,70,1200000.0,3000.0,25,1998-03-25,182,80,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,RDM,16.0,,2022-08-31,2025.0,37,Poland,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,1700000.0,,Bruiser,57.0,48.0,60.0,66.0,64.0,67.0,43,43,63,70,31,63,40,40,68,68,59,55,68,64,74,47,67,60,66,55,79,68,63,64,62,64.0,61,64,62,10,8,12,11,15,,57+2,57+2,57+2,60,61,61,61,60,63+2,63+2,63+2,61+2,65+2,65+2,65+2,61+2,61+2,66+2,66+2,66+2,61+2,62+2,65+2,65+2,65+2,62+2,17+2
244213,/player/244213/jorge-felix-munoz-garcia/240002,24.0,2.0,2023-09-22,Jorge Félix,Jorge Félix Muñoz García,"LM, CAM, ST",67,67,850000.0,3000.0,31,1991-08-22,175,76,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,ST,7.0,,2022-08-02,2024.0,45,Spain,,,,Right,4,4,1,Medium/Low,Lean (170-185),No,1100000.0,,"Chip Shot, Technical",66.0,64.0,65.0,68.0,29.0,49.0,67,65,57,68,58,66,59,45,63,66,66,66,77,64,77,65,59,62,50,61,30,20,66,66,64,68.0,34,22,22,8,6,10,7,7,,64+2,64+2,64+2,66,65,65,65,66,66+1,66+1,66+1,66+1,61+2,61+2,61+2,66+1,50+2,46+2,46+2,46+2,50+2,46+2,38+2,38+2,38+2,46+2,13+2
257339,/player/257339/ariel-mosor/240002,24.0,2.0,2023-09-22,A. Mosór,Ariel Mosór,CB,66,76,1800000.0,2000.0,20,2003-02-19,184,82,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,RCB,2.0,,2021-06-18,2024.0,37,Poland,,,,Right,2,2,1,Medium/High,Normal (170-185),No,2800000.0,,"Intercept, Aerial",66.0,33.0,43.0,48.0,66.0,73.0,28,28,68,58,31,36,30,32,51,56,66,66,58,62,64,49,78,68,78,26,64,68,37,33,37,55.0,66,66,62,7,6,8,12,15,,49+2,49+2,49+2,45,46,46,46,45,46+2,46+2,46+2,48+2,51+2,51+2,51+2,48+2,58+2,61+2,61+2,61+2,58+2,61+2,66+2,66+2,66+2,61+2,16+2
240501,/player/240501/alexandros-katranis/240002,24.0,2.0,2023-09-22,A. Katránis,Aléxandros Katránis,"LB, LM",66,68,975000.0,2000.0,25,1998-05-04,175,74,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,LB,98.0,,2021-09-01,2024.0,22,Greece,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,1400000.0,,Jockey,72.0,47.0,59.0,64.0,62.0,66.0,63,40,64,62,39,63,58,42,52,64,71,72,70,62,72,58,72,69,63,52,69,62,48,58,52,59.0,59,64,60,10,8,7,6,9,,56+2,56+2,56+2,60,58,58,58,60,59+2,59+2,59+2,61+2,59+2,59+2,59+2,61+2,64+2,62+2,62+2,62+2,64+2,64+2,63+2,63+2,63+2,64+2,14+2
234883,/player/234883/grzegorz-tomasiewicz/240002,24.0,2.0,2023-09-22,G. Tomasiewicz,Grzegorz Tomasiewicz,"CDM, CM",66,67,875000.0,3000.0,27,1996-05-05,166,64,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,LDM,20.0,,2022-06-23,2024.0,37,Poland,,,,Right,3,3,1,High/High,Lean (170-),No,1200000.0,#Engine,,70.0,59.0,62.0,70.0,62.0,58.0,59,60,45,65,53,67,58,55,62,69,73,67,83,67,81,52,49,86,41,62,69,64,60,62,64,61.0,60,66,65,11,14,14,11,13,,60+2,60+2,60+2,65,64,64,64,65,65+2,65+2,65+2,66+1,66+1,66+1,66+1,66+1,67,65+2,65+2,65+2,67,66+1,60+2,60+2,60+2,66+1,18+2
189311,/player/189311/tom-hateley/240002,24.0,2.0,2023-09-22,T. Hateley,Tom Hateley,"CDM, CM",66,66,425000.0,3000.0,33,1989-09-12,180,84,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,SUB,24.0,,2021-10-11,2024.0,14,England,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,574000.0,,Long Ball Pass,62.0,55.0,65.0,62.0,64.0,73.0,63,43,64,66,45,61,69,68,64,62,61,63,65,61,69,71,74,67,76,65,71,64,55,64,62,67.0,63,65,60,9,7,6,13,8,,59+2,59+2,59+2,60,60,60,60,60,61+2,61+2,61+2,61+2,63+2,63+2,63+2,61+2,63+2,65+1,65+1,65+1,63+2,63+2,65+1,65+1,65+1,63+2,15+2
190915,/player/190915/kamil-wilczek/240002,24.0,2.0,2023-09-22,K. Wilczek,Kamil Antoni Wilczek,ST,66,66,375000.0,2000.0,35,1988-01-14,184,83,111086.0,Piast Gliwice,66.0,Ekstraklasa,1.0,RES,10.0,,2022-01-31,2024.0,37,Poland,,,,Left,2,2,1,Medium/Medium,Normal (170-185),No,506000.0,,Power Header,50.0,67.0,62.0,64.0,38.0,69.0,60,67,69,66,67,63,54,43,62,66,52,49,61,68,65,70,70,61,72,64,71,47,71,66,72,69.0,26,39,25,13,9,7,7,13,,66,66,66,63,65,65,65,63,65+1,65+1,65+1,63+2,63+2,63+2,63+2,63+2,51+2,54+2,54+2,54+2,51+2,49+2,50+2,50+2,50+2,49+2,17+2
