player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
188062,/player/188062/krystian-getinger/240002,24.0,2.0,2023-09-22,K. Getinger,Krystian Getinger,"LWB, LM",67,67,375000.0,2000.0,34,1988-08-29,188,78,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,LWB,23.0,,2013-07-11,2024.0,37,Poland,,,,Left,4,2,1,High/Medium,Lean (185+),No,506000.0,,Relentless,75.0,61.0,62.0,62.0,61.0,72.0,64,58,54,61,51,61,60,68,57,65,76,74,60,63,62,66,71,80,70,68,67,60,64,66,49,61.0,62,61,62,12,6,8,9,8,,63+2,63+2,63+2,64,64,64,64,64,64+2,64+2,64+2,65+2,63+2,63+2,63+2,65+2,65+2,63+2,63+2,63+2,65+2,65+2,63+2,63+2,63+2,65+2,15+2
209413,/player/209413/mateusz-matras/240002,24.0,2.0,2023-09-22,M. Matras,Mateusz Matras,CB,67,67,650000.0,2000.0,32,1991-01-23,193,88,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,CB,21.0,,2020-08-20,2024.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,878000.0,#Strength,"Block, Slide Tackle",44.0,49.0,55.0,47.0,64.0,80.0,47,44,67,61,32,45,44,37,60,52,32,54,29,64,33,61,71,63,90,53,77,64,45,57,43,64.0,64,65,57,8,6,14,13,11,,54+2,54+2,54+2,49,51,51,51,49,52+2,52+2,52+2,51+2,57+2,57+2,57+2,51+2,57+2,63+2,63+2,63+2,57+2,58+2,67,67,67,58+2,16+2
251089,/player/251089/maciej-domanski/240002,24.0,2.0,2023-09-22,M. Domański,Maciej Domański,"LM, CF, RM",67,67,800000.0,2000.0,32,1990-09-05,168,62,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,RM,10.0,,2020-01-31,2025.0,37,Poland,,,,Right,3,3,1,High/High,Lean (170-),No,1100000.0,#Engine,,69.0,66.0,66.0,66.0,56.0,68.0,64,64,68,68,52,63,63,62,62,63,71,67,80,65,83,68,71,90,58,70,65,49,66,67,68,64.0,66,51,44,14,6,12,10,10,,65+2,65+2,65+2,66,66,66,66,66,66+1,66+1,66+1,66+1,65+2,65+2,65+2,66+1,63+2,61+2,61+2,61+2,63+2,61+2,58+2,58+2,58+2,61+2,16+2
263158,/player/263158/koki-hinokio/240002,24.0,2.0,2023-09-22,K. Hinokio,檜尾 昂樹,"LM, CM, RM",66,73,1700000.0,1000.0,22,2001-02-26,165,60,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,LM,8.0,,2023-02-07,2025.0,163,Japan,,,,Right,3,3,1,High/Medium,Normal (170-),No,2600000.0,,,70.0,59.0,61.0,68.0,38.0,49.0,55,58,38,66,42,65,56,51,58,67,68,72,77,66,92,63,38,95,33,63,34,45,57,66,49,64.0,44,28,31,11,13,14,13,6,,58+2,58+2,58+2,64,64,64,64,64,65+2,65+2,65+2,65+2,63+2,63+2,63+2,65+2,57+2,53+2,53+2,53+2,57+2,53+2,41+2,41+2,41+2,53+2,17+2
255105,/player/255105/ilya-shkurin/240002,24.0,2.0,2023-09-22,I. Shkurin,Ilya Shkurin,ST,66,72,1400000.0,1000.0,23,1999-08-17,188,80,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,ST,17.0,,2020-01-09,2024.0,6,Belarus,,,,Right,3,2,1,Medium/Low,Normal (185+),No,2200000.0,,,73.0,62.0,60.0,62.0,34.0,74.0,54,65,68,66,56,64,49,46,52,59,74,72,63,67,58,64,80,72,75,55,70,21,67,68,64,59.0,35,32,26,8,11,7,8,11,,66+2,66+2,66+2,64,65,65,65,64,64+2,64+2,64+2,64+2,59+2,59+2,59+2,64+2,51+2,50+2,50+2,50+2,51+2,49+2,48+2,48+2,48+2,49+2,16+2
277885,/player/277885/alvis-jaunzems/240002,24.0,2.0,2023-09-22,A. Jaunzems,Alvis Jaunzems,"RWB, RB, CM",65,71,1100000.0,1000.0,24,1999-06-16,179,76,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,SUB,27.0,,2023-08-21,2025.0,28,Latvia,,,,Right,3,2,1,High/Low,Normal (170-185),No,1700000.0,,,75.0,60.0,60.0,65.0,56.0,66.0,61,59,39,63,39,66,55,48,61,62,80,71,72,61,64,64,63,79,67,67,47,56,61,58,49,56.0,56,60,58,10,6,13,13,10,,61+2,61+2,61+2,64,63,63,63,64,63+2,63+2,63+2,65+2,62+2,62+2,62+2,65+2,63+2,60+2,60+2,60+2,63+2,62+2,57+2,57+2,57+2,62+2,16+2
199647,/player/199647/piotr-wlazlo/240002,24.0,2.0,2023-09-22,P. Wlazło,Piotr Wlazło,"CM, CDM",65,65,325000.0,1000.0,34,1989-06-03,184,69,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,LCM,18.0,,2022-06-17,2024.0,37,Poland,,,,Right,3,2,1,Medium/High,Normal (170-185),No,439000.0,,,49.0,61.0,66.0,64.0,61.0,70.0,62,58,59,72,56,61,63,65,67,66,44,53,61,64,73,62,61,72,70,67,70,63,56,59,69,68.0,58,63,59,11,11,15,9,7,,60+2,60+2,60+2,61,61,61,61,61,62+2,62+2,62+2,62+2,65,65,65,62+2,63+2,65,65,65,63+2,62+2,63+2,63+2,63+2,62+2,16+2
276734,/player/276734/matthew-guillaumier/240002,24.0,2.0,2023-09-22,M. Guillaumier,Matthew Guillaumier,"CM, CDM",64,69,850000.0,1000.0,25,1998-04-09,183,78,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,SUB,16.0,,2023-07-13,2025.0,32,Malta,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1200000.0,,,63.0,59.0,64.0,65.0,55.0,57.0,59,56,68,68,51,67,52,56,67,63,60,65,63,57,70,65,66,71,58,61,37,58,61,65,54,59.0,42,62,51,11,12,6,5,8,,62+2,62+2,62+2,62,63,63,63,62,64+2,64+2,64+2,63+2,64+2,64+2,64+2,63+2,60+2,59+2,59+2,59+2,60+2,59+2,56+2,56+2,56+2,59+2,14+2
273622,/player/273622/krzysztof-wolkowicz/240002,24.0,2.0,2023-09-22,K. Wołkowicz,Krzysztof Wołkowicz,"LWB, LM",64,64,525000.0,1000.0,28,1994-09-12,180,72,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,SUB,11.0,,2023-07-01,2025.0,37,Poland,,,,Left,3,2,1,Medium/Medium,Normal (170-185),No,709000.0,,,78.0,57.0,60.0,60.0,54.0,67.0,63,58,43,64,53,62,59,51,62,57,78,78,56,56,64,55,63,75,65,56,62,57,60,53,51,60.0,54,55,53,13,12,12,9,5,,59+2,59+2,59+2,62,60,60,60,62,60+2,60+2,60+2,63+1,60+2,60+2,60+2,63+1,62+2,59+2,59+2,59+2,62+2,60+2,56+2,56+2,56+2,60+2,15+2
266736,/player/266736/bert-esselink/240002,24.0,2.0,2023-09-22,B. Esselink,Bert Esselink,CB,63,72,1000000.0,800.0,23,1999-08-16,191,78,114004.0,Stal Mielec,66.0,Ekstraklasa,1.0,LCB,3.0,,2023-07-03,2024.0,34,Netherlands,,,,Right,3,2,1,Low/Medium,Normal (185+),No,1600000.0,,,58.0,31.0,46.0,43.0,62.0,71.0,35,26,66,61,26,32,45,16,56,52,57,59,53,54,60,51,72,72,74,25,60,63,32,31,26,46.0,58,64,62,10,9,5,8,10,,46+2,46+2,46+2,42,43,43,43,42,44+2,44+2,44+2,46+2,50+2,50+2,50+2,46+2,57+2,59+2,59+2,59+2,57+2,59+2,63+2,63+2,63+2,59+2,14+2
