player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
198046,/player/198046/damian-dabrowski/240002,24.0,2.0,2023-09-22,D. Dąbrowski,Damian Dąbrowski,CDM,72,72,2000000.0,8000.0,30,1992-08-27,182,81,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,LDM,8.0,,2023-07-01,2026.0,37,Poland,,,,Right,3,2,1,High/High,Normal (170-185),No,2700000.0,,Pinged Pass,70.0,56.0,68.0,66.0,66.0,81.0,67,49,58,72,53,61,64,61,68,69,75,66,72,68,74,72,78,85,80,57,78,71,52,65,51,77.0,63,69,66,6,6,6,16,9,,62+2,62+2,62+2,64,63,63,63,64,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,70+2,71+1,71+1,71+1,70+2,69+2,69+2,69+2,69+2,69+2,16+2
207683,/player/207683/sokratis-dioudis/240002,24.0,2.0,2023-09-22,S. Dioudis,Sokratis Dioudis,GK,72,72,1600000.0,7000.0,30,1993-02-03,190,77,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,GK,87.0,,2023-01-27,2026.0,22,Greece,,,,Right,2,1,1,Medium/Medium,Lean (185+),No,2200000.0,,,,,,,,,13,13,15,26,18,13,19,19,23,24,40,45,63,66,59,51,62,33,65,20,18,21,13,34,28,56.0,17,20,11,72,69,68,70,74,42.0,29+2,29+2,29+2,26,27,27,27,26,28+2,28+2,28+2,26+2,27+2,27+2,27+2,26+2,26+2,27+2,27+2,27+2,26+2,26+2,27+2,27+2,27+2,26+2,71+1
194431,/player/194431/mikkel-kirkeskov/240002,24.0,2.0,2023-09-22,M. Kirkeskov,Mikkel Kirkeskov Andersen,"LB, LM",68,68,875000.0,5000.0,31,1991-09-05,185,80,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,SUB,3.0,,2023-07-31,2024.0,13,Denmark,,,,Left,3,2,1,High/Medium,Normal (185+),No,1200000.0,,Block,72.0,51.0,67.0,67.0,62.0,73.0,73,40,52,70,38,67,74,64,68,68,74,71,74,60,69,68,71,75,73,61,73,61,48,56,54,60.0,60,65,67,7,10,14,8,12,,58+2,58+2,58+2,63,61,61,61,63,62+2,62+2,62+2,65+2,64+2,64+2,64+2,65+2,67+1,66+2,66+2,66+2,67+1,66+2,64+2,64+2,64+2,66+2,15+2
258307,/player/258307/sergiy-buletsa/240002,24.0,2.0,2023-09-22,S. Buletsa,Sergiy Buletsa,"CAM, LM",67,73,1600000.0,500.0,24,1999-02-16,172,71,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,SUB,16.0,Dynamo Kyiv,,2024.0,49,Ukraine,,,,Right,3,3,1,High/Medium,Normal (170-185),No,,,,78.0,57.0,61.0,68.0,38.0,53.0,41,63,42,69,37,67,40,44,70,67,77,78,76,63,78,40,55,64,52,68,41,27,57,68,45,54.0,36,44,43,6,9,9,10,6,,59+2,59+2,59+2,65,64,64,64,65,67+2,67+2,67+2,65+2,64+2,64+2,64+2,65+2,53+2,53+2,53+2,53+2,53+2,51+2,45+2,45+2,45+2,51+2,14+2
224045,/player/224045/juan-munoz-munoz/240002,24.0,2.0,2023-09-22,Juan Muñoz,Juan Muñoz Muñoz,"ST, CAM, CM",67,68,1200000.0,5000.0,27,1995-11-12,185,80,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,SUB,18.0,,2023-07-11,2025.0,45,Spain,,,,Right,3,3,1,Medium/Low,Normal (185+),No,1700000.0,,Trivela,61.0,69.0,54.0,67.0,21.0,68.0,53,69,65,63,68,67,56,65,42,68,62,61,69,66,62,71,70,71,70,68,58,20,68,43,72,60.0,12,17,18,9,7,8,10,14,,67+1,67+1,67+1,64,65,65,65,64,62+2,62+2,62+2,62+2,56+2,56+2,56+2,62+2,46+2,43+2,43+2,43+2,46+2,43+2,39+2,39+2,39+2,43+2,16+2
201081,/player/201081/bartosz-kopacz/240002,24.0,2.0,2023-09-22,B. Kopacz,Bartosz Kopacz,"CB, RB",67,67,700000.0,4000.0,31,1992-05-21,188,85,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,RCB,2.0,,2022-01-29,2025.0,37,Poland,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,945000.0,,Power Header,63.0,37.0,52.0,51.0,65.0,74.0,60,35,70,63,24,42,35,23,44,56,61,65,57,66,66,48,79,70,81,29,60,63,41,42,54,59.0,66,65,64,15,15,8,10,10,,51+2,51+2,51+2,51,50,50,50,51,50+2,50+2,50+2,53+2,53+2,53+2,53+2,53+2,63+2,61+2,61+2,61+2,63+2,64+2,67,67,67,64+2,18+2
225445,/player/225445/damjan-bohar/240002,24.0,2.0,2023-09-22,D. Bohar,Damjan Bohar,LM,67,67,850000.0,4000.0,31,1991-10-18,172,69,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,LM,39.0,,2022-06-22,2024.0,44,Slovenia,,,,Right,3,3,1,High/Medium,Normal (170-185),No,1100000.0,,Rapid,77.0,63.0,65.0,66.0,33.0,65.0,66,64,43,66,45,66,65,59,63,66,72,81,79,55,70,66,57,73,59,65,73,34,63,63,58,55.0,35,30,28,11,12,13,9,10,,62+2,62+2,62+2,66,65,65,65,66,65+2,65+2,65+2,66+1,61+2,61+2,61+2,66+1,54+2,52+2,52+2,52+2,54+2,51+2,45+2,45+2,45+2,51+2,16+2
255779,/player/255779/kacper-chodyna/240002,24.0,2.0,2023-09-22,K. Chodyna,Kacper Chodyna,"RM, RB",66,72,1400000.0,3000.0,24,1999-05-24,176,68,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,RM,7.0,,2020-02-07,2025.0,37,Poland,,,,Right,2,3,1,Medium/Medium,Normal (170-185),No,2200000.0,,Rapid,85.0,55.0,59.0,66.0,59.0,67.0,61,55,54,64,45,64,51,35,57,64,84,85,83,62,79,64,71,85,60,47,62,61,54,59,66,58.0,56,61,60,9,7,6,14,14,,61+2,61+2,61+2,64,62,62,62,64,63+2,63+2,63+2,65+2,62+2,62+2,62+2,65+2,66+2,62+2,62+2,62+2,66+2,65+2,61+2,61+2,61+2,65+2,16+2
257471,/player/257471/luis-carlos-machado-mata/240002,24.0,2.0,2023-09-22,Luís Mata,Luís Carlos Machado Mata,LB,66,69,1000000.0,3000.0,25,1997-07-06,180,70,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,RES,55.0,,2023-02-07,2025.0,38,Portugal,,,,Left,3,2,1,High/Medium,Lean (170-185),No,1400000.0,,,74.0,35.0,58.0,64.0,62.0,58.0,63,31,45,62,29,61,57,36,55,67,70,77,66,60,81,42,53,76,50,31,56,61,61,54,40,59.0,65,65,60,13,10,11,7,7,,52+2,52+2,52+2,59,57,57,57,59,58+2,58+2,58+2,62+2,60+2,60+2,60+2,62+2,65+2,62+2,62+2,62+2,65+2,64+2,59+2,59+2,59+2,64+2,15+2
222329,/player/222329/mateusz-wdowiak/240002,24.0,2.0,2023-09-22,M. Wdowiak,Mateusz Wdowiak,"CF, RM",66,67,1000000.0,4000.0,26,1996-08-28,174,60,110749.0,Zagłębie Lubin,66.0,Ekstraklasa,1.0,RES,77.0,,2023-08-08,2026.0,37,Poland,,,,Right,2,3,1,High/Medium,Lean (170-185),No,1400000.0,#Speedster,Quick Step,91.0,58.0,61.0,69.0,42.0,59.0,59,55,55,65,54,66,58,38,62,68,90,91,82,66,85,66,70,71,52,59,57,41,66,60,50,63.0,44,38,32,9,7,12,15,13,,64+2,64+2,64+2,67,66,66,66,67,66+1,66+1,66+1,68-1,62+2,62+2,62+2,68-1,58+2,54+2,54+2,54+2,58+2,56+2,49+2,49+2,49+2,56+2,17+2
