player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
224358,/player/224358/daniel-ramirez-fernandez/240002,24.0,2.0,2023-09-22,Dani Ramírez,Daniel Ramírez Fernández,"CAM, CM",67,67,850000.0,2000.0,31,1992-06-18,175,70,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,RCM,16.0,,2023-07-04,2024.0,45,Spain,,,,Left,4,3,1,High/Low,Normal (170-185),No,1100000.0,,"Technical, Flair",66.0,64.0,67.0,69.0,36.0,56.0,62,63,51,70,49,68,67,67,65,70,68,65,67,61,78,66,60,58,58,65,45,41,67,69,70,71.0,34,32,29,13,7,8,10,10,,64+2,64+2,64+2,67,67,67,67,67,67,67,67,66+1,64+2,64+2,64+2,66+1,53+2,52+2,52+2,52+2,53+2,50+2,45+2,45+2,45+2,50+2,16+2
226208,/player/226208/ignacio-monsalve-vicente/240002,24.0,2.0,2023-09-22,Nacho Monsalve,Ignacio Monsalve Vicente,"CB, RB",66,67,800000.0,2000.0,29,1994-04-27,188,74,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,RCB,4.0,,2021-07-01,2024.0,45,Spain,,,,Right,3,2,1,Medium/Medium,Lean (185+),No,1100000.0,,,55.0,31.0,51.0,53.0,67.0,68.0,57,29,62,55,26,53,48,25,58,57,54,55,31,59,65,42,69,62,72,20,63,67,47,42,37,59.0,67,69,70,9,15,16,9,6,,48+2,48+2,48+2,49,48,48,48,49,49+2,49+2,49+2,53+2,53+2,53+2,53+2,53+2,61+2,62+2,62+2,62+2,61+2,62+2,66+1,66+1,66+1,62+2,15+2
251004,/player/251004/jose-antonio-ruiz-lopez/240002,24.0,2.0,2023-09-22,Pirulo,José Antonio Ruiz López,"RM, LM",66,66,700000.0,2000.0,31,1992-04-17,177,70,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,RM,10.0,,2019-07-01,2025.0,45,Spain,,,,Left,3,3,1,Medium/Low,Normal (170-185),No,945000.0,,Technical,77.0,64.0,62.0,66.0,26.0,66.0,55,66,31,65,58,67,65,55,63,68,68,85,68,54,74,64,58,71,75,59,39,17,66,62,62,52.0,32,24,22,10,6,5,12,13,,63+2,63+2,63+2,65,65,65,65,65,65+1,65+1,65+1,65+1,60+2,60+2,60+2,65+1,49+2,47+2,47+2,47+2,49+2,45+2,38+2,38+2,38+2,45+2,15+2
275231,/player/275231/aleksander-bobek/240002,24.0,2.0,2023-09-22,A. Bobek,Aleksander Bobek,GK,65,81,1600000.0,500.0,19,2004-04-07,196,80,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,GK,1.0,,2020-06-04,2025.0,37,Poland,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,3200000.0,,,,,,,,,13,6,10,28,8,11,10,11,20,19,31,34,32,48,30,44,55,32,60,7,22,13,9,43,18,46.0,9,9,7,67,63,59,66,71,32.0,22+2,22+2,22+2,21,22,22,22,21,24+2,24+2,24+2,23+2,24+2,24+2,24+2,23+2,20+2,22+2,22+2,22+2,20+2,19+2,21+2,21+2,21+2,19+2,64+2
276363,/player/276363/kay-tejan/240002,24.0,2.0,2023-09-22,K. Tejan,Kay Tejan,ST,65,67,900000.0,2000.0,26,1997-02-03,186,85,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,ST,9.0,,2023-07-03,2025.0,34,Netherlands,,,,Left,3,4,1,Medium/Medium,Stocky (185+),No,1300000.0,#Strength,"Technical, Flair",66.0,63.0,52.0,63.0,32.0,84.0,58,68,64,59,62,64,51,39,38,64,63,68,64,54,62,67,82,71,95,48,72,36,60,47,64,61.0,23,32,19,8,10,7,11,14,,65+2,65+2,65+2,61,61,61,61,61,58+2,58+2,58+2,60+2,53+2,53+2,53+2,60+2,49+2,48+2,48+2,48+2,49+2,47+2,48+2,48+2,48+2,47+2,15+2
208169,/player/208169/levent-gulen/240002,24.0,2.0,2023-09-22,L. Gülen,Levent Gülen,"CB, RB",65,66,650000.0,2000.0,29,1994-02-24,185,77,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,RES,2.0,,2023-08-25,2024.0,47,Switzerland,,,,Right,3,2,1,Medium/High,Normal (185+),No,926000.0,,,78.0,30.0,49.0,61.0,63.0,74.0,38,24,64,60,37,58,38,30,60,62,77,78,70,64,73,42,83,73,80,22,56,62,43,40,44,58.0,63,65,61,8,11,15,14,13,,51+2,51+2,51+2,53,52,52,52,53,53+2,53+2,53+2,56+2,56+2,56+2,56+2,56+2,62+2,62+2,62+2,62+2,62+2,63+2,65+1,65+1,65+1,63+2,17+2
213855,/player/213855/marcin-flis/240002,24.0,2.0,2023-09-22,M. Flis,Marcin Flis,CB,65,66,650000.0,2000.0,29,1994-02-10,185,75,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,LCB,5.0,,2023-07-03,2025.0,37,Poland,,,,Left,3,2,1,Medium/Medium,Normal (185+),No,926000.0,,,69.0,31.0,51.0,54.0,64.0,73.0,53,33,62,64,35,47,44,38,52,54,66,72,73,62,67,23,75,74,76,33,64,64,33,29,33,62.0,63,64,65,15,13,7,12,16,,47+2,47+2,47+2,50,47,47,47,50,49+2,49+2,49+2,53+2,52+2,52+2,52+2,53+2,63+2,61+2,61+2,61+2,63+2,64+2,65+1,65+1,65+1,64+2,19+2
219702,/player/219702/kamil-dankowski/240002,24.0,2.0,2023-09-22,K. Dankowski,Kamil Dankowski,"RB, LB",65,66,775000.0,2000.0,26,1996-07-22,177,67,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,RB,8.0,,2020-09-01,2025.0,37,Poland,,,,Right,3,2,1,High/Medium,Normal (170-185),No,1100000.0,,,76.0,52.0,55.0,64.0,61.0,66.0,58,49,52,60,49,62,47,49,53,60,79,74,80,59,76,70,70,70,66,38,59,59,62,48,53,58.0,60,64,63,11,14,7,7,10,,59+2,59+2,59+2,60,59,59,59,60,58+2,58+2,58+2,61+2,57+2,57+2,57+2,61+2,63+2,60+2,60+2,60+2,63+2,63+2,61+2,61+2,61+2,63+2,16+2
257434,/player/257434/adrian-malachowski/240002,24.0,2.0,2023-09-22,A. Małachowski,Adrian Małachowski,"CDM, CM, CB",64,69,775000.0,1000.0,25,1998-03-10,183,78,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,SUB,7.0,,2023-08-18,2025.0,37,Poland,,,,Right,2,2,1,Medium/Medium,Normal (170-185),No,1100000.0,,"Pinged Pass, Long Ball Pass",59.0,51.0,60.0,63.0,63.0,70.0,60,50,62,62,48,63,61,52,59,64,64,55,63,62,66,55,69,77,68,49,65,63,55,61,48,59.0,62,63,62,14,7,7,8,5,,58+2,58+2,58+2,60,59,59,59,60,60+2,60+2,60+2,61+2,62+2,62+2,62+2,61+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,63+2,14+2
213423,/player/213423/bartosz-szeliga/240002,24.0,2.0,2023-09-22,B. Szeliga,Bartosz Szeliga,"RM, LB, LM",64,64,575000.0,2000.0,30,1993-01-10,184,79,111085.0,ŁKS Łódź,66.0,Ekstraklasa,1.0,LM,26.0,,2021-06-29,2025.0,37,Poland,,,,Right,4,3,1,Medium/High,Normal (170-185),No,776000.0,,,78.0,59.0,57.0,62.0,51.0,73.0,61,57,47,59,61,61,49,42,57,63,77,79,72,49,73,60,71,80,75,64,61,50,64,53,50,54.0,46,58,51,13,7,13,12,9,,61+2,61+2,61+2,62,61,61,61,62,61+2,61+2,61+2,63+1,59+2,59+2,59+2,63+1,60+2,57+2,57+2,57+2,60+2,59+2,56+2,56+2,56+2,59+2,15+2
