player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
258885,/player/258885/luiz-lucio-reis-junior/240002,24.0,2.0,2023-09-22,Luiz Júnior,Luiz Lúcio Reis Júnior,GK,74,83,8000000.0,6000.0,22,2001-01-14,194,88,112809.0,Famalicão,308.0,Liga Portugal,1.0,GK,31.0,,2019-07-01,2027.0,54,Brazil,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,18400000.0,,,,,,,,,13,9,13,19,6,10,13,14,26,18,29,31,31,66,25,51,61,22,70,5,24,14,8,42,14,40.0,6,10,12,74,73,68,74,75,30.0,24+2,24+2,24+2,21,23,23,23,21,23+2,23+2,23+2,22+2,24+2,24+2,24+2,22+2,20+2,23+2,23+2,23+2,20+2,20+2,23+2,23+2,23+2,20+2,73+2
236830,/player/236830/zaydou-youssouf/240002,24.0,2.0,2023-09-22,Z. Youssouf,Zaydou Youssouf,"CM, CDM, RM",74,80,6500000.0,8000.0,23,1999-07-11,182,77,112809.0,Famalicão,308.0,Liga Portugal,1.0,LCM,28.0,,2022-08-04,2026.0,18,France,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,15000000.0,,"Press Proven, Trivela",64.0,60.0,72.0,79.0,65.0,73.0,62,57,47,77,55,82,66,65,75,79,64,64,73,71,73,72,64,78,72,54,72,70,71,72,55,70.0,64,70,61,13,9,10,12,11,,67+2,67+2,67+2,71,71,71,71,71,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,70+2,72+2,72+2,72+2,70+2,68+2,67+2,67+2,67+2,68+2,18+2
252095,/player/252095/riccieli-da-silva-junior/240002,24.0,2.0,2023-09-22,Riccieli,Riccieli Eduardo da Silva Júnior,CB,72,79,4400000.0,6000.0,24,1998-09-17,184,76,112809.0,Famalicão,308.0,Liga Portugal,1.0,RCB,15.0,,2019-07-23,2027.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,10100000.0,,,53.0,33.0,50.0,56.0,73.0,76.0,61,24,65,59,33,54,36,33,39,62,52,54,44,70,49,55,80,69,80,27,75,70,34,39,48,62.0,76,74,75,6,7,14,12,13,,50+2,50+2,50+2,50,49,49,49,50,49+2,49+2,49+2,53+2,53+2,53+2,53+2,53+2,66+2,65+2,65+2,65+2,66+2,67+2,72+2,72+2,72+2,67+2,16+2
266905,/player/266905/henrique-pereira-araujo/240002,24.0,2.0,2023-09-22,Henrique Araújo,Henrique Pereira Araújo,ST,71,85,4600000.0,7000.0,21,2002-01-19,182,72,112809.0,Famalicão,308.0,Liga Portugal,1.0,SUB,9.0,Benfica,,2024.0,38,Portugal,,,,Right,2,2,1,Medium/Low,Normal (170-185),No,,,Finesse Shot,70.0,71.0,56.0,65.0,27.0,70.0,47,73,72,62,61,66,69,42,48,68,73,68,50,72,67,74,83,67,75,64,59,14,72,61,69,61.0,21,27,21,8,8,11,9,10,,71+2,71+2,71+2,66,69,69,69,66,65+2,65+2,65+2,65+2,59+2,59+2,59+2,65+2,47+2,46+2,46+2,46+2,47+2,45+2,44+2,44+2,44+2,45+2,16+2
251615,/player/251615/francisco-sampaio-moura/240002,24.0,2.0,2023-09-22,Francisco Moura,Francisco Sampaio Moura,"LB, LM",71,78,3600000.0,5000.0,23,1999-08-16,182,66,112809.0,Famalicão,308.0,Liga Portugal,1.0,LB,74.0,,2022-08-28,2027.0,38,Portugal,,,,Left,2,3,1,High/Medium,Normal (170-185),No,8300000.0,,,70.0,55.0,66.0,72.0,68.0,67.0,69,60,54,68,34,72,62,60,64,72,72,69,70,70,69,59,68,66,66,43,71,69,67,63,50,73.0,69,72,67,15,10,6,5,14,,64+2,64+2,64+2,68,66,66,66,68,67+2,67+2,67+2,68+2,67+2,67+2,67+2,68+2,69+2,69+2,69+2,69+2,69+2,69+2,68+2,68+2,68+2,69+2,17+2
229319,/player/229319/jhonder-cadiz/240002,24.0,2.0,2023-09-22,J. Cádiz,Jhonder Leonel Cádiz Fernández,ST,71,71,2000000.0,7000.0,27,1995-07-29,190,76,112809.0,Famalicão,308.0,Liga Portugal,1.0,ST,29.0,,2022-01-31,2024.0,61,Venezuela,,,,Right,2,3,1,Medium/Medium,Lean (185+),No,4200000.0,,Aerial,62.0,70.0,54.0,68.0,32.0,75.0,46,74,71,64,66,70,40,35,44,69,59,65,61,72,48,72,78,75,77,59,70,26,74,59,68,72.0,25,31,24,9,10,7,9,6,,71,71,71,66,68,68,68,66,66+2,66+2,66+2,65+2,60+2,60+2,60+2,65+2,50+2,50+2,50+2,50+2,50+2,47+2,47+2,47+2,47+2,47+2,15+2
258889,/player/258889/nathan-santos-de-araujo/240002,24.0,2.0,2023-09-22,Nathan,Nathan Santos de Araújo,"RB, RWB, CB",70,81,3400000.0,4000.0,21,2001-09-05,183,75,112809.0,Famalicão,308.0,Liga Portugal,1.0,SUB,22.0,,2023-08-08,2024.0,54,Brazil,,,,Right,3,2,1,High/Medium,Normal (170-185),No,7800000.0,,Rapid,83.0,39.0,57.0,71.0,65.0,70.0,61,35,51,64,40,74,51,40,47,70,84,82,70,66,59,41,73,73,68,39,69,62,60,53,43,65.0,65,72,66,8,6,9,6,11,,57+2,57+2,57+2,64,61,61,61,64,62+2,62+2,62+2,65+2,61+2,61+2,61+2,65+2,68+2,64+2,64+2,64+2,68+2,68+2,66+2,66+2,66+2,68+2,14+2
248386,/player/248386/gustavo-enrique-assuncao-da-silva/240002,24.0,2.0,2023-09-22,Gustavo Assunção,Gustavo Enrique Giordano Amaro Assunção da Silva,"CDM, CM",70,77,3000000.0,5000.0,23,2000-03-30,178,70,112809.0,Famalicão,308.0,Liga Portugal,1.0,CDM,12.0,,2019-07-01,2025.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Lean (170-185),No,6900000.0,,,65.0,58.0,64.0,73.0,67.0,65.0,50,54,54,70,56,72,58,63,69,73,66,65,76,70,75,70,61,76,58,60,68,68,56,64,42,75.0,68,70,68,6,7,10,7,13,,63+2,63+2,63+2,65,66,66,66,65,67+2,67+2,67+2,66+2,68+2,68+2,68+2,66+2,67+2,69+2,69+2,69+2,67+2,67+2,66+2,66+2,66+2,67+2,15+2
262416,/player/262416/francisco-jorge-tavares-oliveira/240002,24.0,2.0,2023-09-22,Chiquinho,Francisco Jorge Tavares Oliveira,"RM, LM",69,77,3100000.0,23000.0,23,2000-02-05,179,72,112809.0,Famalicão,308.0,Liga Portugal,1.0,SUB,10.0,Wolverhampton Wanderers,,2024.0,38,Portugal,,,,Right,3,3,1,High/Medium,Normal (170-185),Yes,,,Rapid,85.0,62.0,61.0,72.0,34.0,57.0,70,66,52,60,50,75,66,47,56,70,83,87,73,64,68,71,72,59,64,46,35,31,63,61,65,64.0,36,30,32,14,12,7,15,12,,66+2,66+2,66+2,69,67,67,67,69,66+2,66+2,66+2,68+2,59+2,59+2,59+2,68+2,55+2,49+2,49+2,49+2,55+2,52+2,44+2,44+2,44+2,52+2,19+2
251446,/player/251446/enea-mihaj/240002,24.0,2.0,2023-09-22,E. Mihaj,Enea Mihaj,CB,69,76,2600000.0,4000.0,24,1998-07-05,186,78,112809.0,Famalicão,308.0,Liga Portugal,1.0,LCB,4.0,,2022-08-15,2025.0,1,Albania,,,,Right,2,2,1,Low/Medium,Normal (185+),No,6000000.0,,,61.0,42.0,50.0,49.0,71.0,71.0,48,33,69,65,44,47,34,25,61,47,59,63,51,60,59,67,73,67,74,37,68,68,42,29,40,63.0,70,73,72,8,9,8,11,8,,52+2,52+2,52+2,48,49,49,49,48,48+2,48+2,48+2,51+2,53+2,53+2,53+2,51+2,62+2,64+2,64+2,64+2,62+2,64+2,69+2,69+2,69+2,64+2,15+2
