player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
251681,/player/251681/jobson-de-brito-gonzaga/240002,24.0,2.0,2023-09-22,Maracás,Jóbson de Brito Gonzaga,CB,72,73,2200000.0,10000.0,29,1994-04-27,184,71,1900.0,Moreirense,308.0,Liga Portugal,1.0,RCB,26.0,,2023-07-08,2026.0,54,Brazil,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,4700000.0,,Aerial,75.0,30.0,50.0,58.0,73.0,72.0,40,26,69,66,28,51,33,35,63,62,73,76,62,72,63,48,76,74,70,20,73,74,25,28,42,64.0,75,73,71,13,5,11,6,12,,50+2,50+2,50+2,50,49,49,49,50,50+2,50+2,50+2,54+2,56+2,56+2,56+2,54+2,67+2,68+2,68+2,68+2,67+2,69+2,72+1,72+1,72+1,69+2,16+2
257162,/player/257162/fabiano-josue-de-souza-silva/240002,24.0,2.0,2023-09-22,Fabiano Souza,Fabiano Josué de Souza Silva,"RB, RM",70,77,3000000.0,6000.0,23,2000-03-14,170,68,1900.0,Moreirense,308.0,Liga Portugal,1.0,RB,2.0,,2023-08-09,2026.0,54,Brazil,,,,Right,2,3,1,High/High,Normal (170-),No,6800000.0,,"Jockey, Long Throw",84.0,52.0,62.0,69.0,64.0,72.0,66,51,57,63,45,68,53,39,62,67,86,83,75,66,83,68,77,81,67,40,74,67,63,63,40,62.0,63,65,63,9,10,10,8,11,,63+2,63+2,63+2,66,65,65,65,66,64+2,64+2,64+2,68+2,64+2,64+2,64+2,68+2,69+2,66+2,66+2,66+2,69+2,68+2,66+2,66+2,66+2,68+2,16+2
247258,/player/247258/lawrence-ofori/240002,24.0,2.0,2023-09-22,L. Ofori,Lawrence Ofori,"CM, CDM",70,75,2300000.0,8000.0,25,1998-06-28,181,73,1900.0,Moreirense,308.0,Liga Portugal,1.0,LCM,80.0,,2022-07-01,2026.0,117,Ghana,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,4900000.0,,Technical,72.0,64.0,66.0,75.0,61.0,61.0,60,63,48,74,48,76,63,47,67,78,69,74,68,72,76,69,61,67,61,67,54,64,66,65,53,72.0,67,59,58,10,13,13,12,14,,67+2,67+2,67+2,70,70,70,70,70,71+2,71+2,71+2,70+2,70+2,70+2,70+2,70+2,67+2,67+2,67+2,67+2,67+2,65+2,62+2,62+2,62+2,65+2,19+2
213705,/player/213705/joao-pedro-gomes-camacho/240002,24.0,2.0,2023-09-22,Camacho,João Pedro Gomes Camacho,"LW, RW, LM",70,70,1600000.0,9000.0,29,1994-06-23,171,66,1900.0,Moreirense,308.0,Liga Portugal,1.0,RW,19.0,,2023-05-30,2024.0,38,Portugal,,,,Right,3,4,1,High/Medium,Normal (170-185),No,3300000.0,,,78.0,67.0,65.0,75.0,33.0,59.0,67,64,43,65,54,74,74,66,59,73,79,78,82,71,80,76,57,74,51,68,62,26,66,64,67,76.0,33,35,29,16,12,13,13,15,,66+2,66+2,66+2,70,70,70,70,70,69+1,69+1,69+1,70,64+2,64+2,64+2,70,56+2,52+2,52+2,52+2,56+2,52+2,44+2,44+2,44+2,52+2,20+2
275545,/player/275545/alan-de-souza-guimaraes/240002,24.0,2.0,2023-09-22,Alan,Alan de Souza Guimarães,"CAM, CM",69,75,2200000.0,6000.0,23,2000-03-08,165,59,1900.0,Moreirense,308.0,Liga Portugal,1.0,CAM,11.0,,2022-08-11,2026.0,54,Brazil,,,,Right,2,3,1,Medium/Low,Lean (170-),No,5000000.0,,,75.0,62.0,65.0,71.0,50.0,45.0,57,61,36,70,57,70,56,51,66,70,77,74,71,67,95,63,44,73,31,64,45,56,64,71,55,67.0,46,54,47,12,6,8,8,7,,61+2,61+2,61+2,68,67,67,67,68,69+2,69+2,69+2,68+2,67+2,67+2,67+2,68+2,62+2,60+2,60+2,60+2,62+2,60+2,50+2,50+2,50+2,60+2,15+2
258328,/player/258328/kewin-oliveira-silva/240002,24.0,2.0,2023-09-22,Kewin,Kewin Oliveira Silva,GK,69,71,1200000.0,5000.0,28,1995-01-25,189,84,1900.0,Moreirense,308.0,Liga Portugal,1.0,GK,40.0,,2021-07-06,2025.0,54,Brazil,,,,Right,3,1,1,Medium/Medium,Lean (185+),No,2600000.0,,,,,,,,,13,8,14,28,7,9,11,14,35,17,29,30,37,62,32,50,55,25,58,8,18,11,7,42,11,38.0,8,10,11,71,65,66,70,68,29.0,23+2,23+2,23+2,21,23,23,23,21,25+2,25+2,25+2,23+2,26+2,26+2,26+2,23+2,20+2,24+2,24+2,24+2,20+2,20+2,21+2,21+2,21+2,20+2,68+2
232459,/player/232459/carlos-santos-rodrigues/240002,24.0,2.0,2023-09-22,Carlos Ponck,Carlos dos Santos Rodrigues,CB,69,70,1300000.0,7000.0,28,1995-01-13,183,84,1900.0,Moreirense,308.0,Liga Portugal,1.0,SUB,14.0,,2023-09-04,2026.0,104,Cape Verde Islands,,,,Right,2,2,1,Medium/High,Stocky (170-185),No,2800000.0,,,68.0,45.0,51.0,60.0,68.0,76.0,48,35,70,59,33,59,41,45,54,61,67,68,61,63,57,70,79,70,79,46,75,66,45,44,49,63.0,69,69,66,13,12,9,11,10,,56+2,56+2,56+2,55,55,55,55,55,54+2,54+2,54+2,56+2,57+2,57+2,57+2,56+2,63+2,64+2,64+2,64+2,63+2,65+2,69+1,69+1,69+1,65+2,17+2
246093,/player/246093/andre-luis-silva-de-aguiar/240002,24.0,2.0,2023-09-22,André Luís,André Luís Silva de Aguiar,ST,69,69,1400000.0,8000.0,29,1994-03-09,184,78,1900.0,Moreirense,308.0,Liga Portugal,1.0,ST,9.0,,2020-10-06,2024.0,54,Brazil,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,2900000.0,,Power Header,67.0,69.0,49.0,66.0,24.0,70.0,36,71,75,58,69,65,57,39,41,66,68,67,73,70,70,70,77,70,68,63,74,17,72,54,66,61.0,21,16,21,10,11,11,6,12,,69,69,69,63,66,66,66,63,63+2,63+2,63+2,61+2,56+2,56+2,56+2,61+2,44+2,44+2,44+2,44+2,44+2,43+2,42+2,42+2,42+2,43+2,16+2
258596,/player/258596/goncalo-baptista-franco/240002,24.0,2.0,2023-09-22,Gonçalo Franco,Gonçalo Baptista Franco,"CM, CDM, ST",68,76,2700000.0,5000.0,22,2000-11-17,176,69,1900.0,Moreirense,308.0,Liga Portugal,1.0,RCM,88.0,,2020-09-03,2025.0,38,Portugal,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,6100000.0,,,65.0,62.0,64.0,68.0,64.0,72.0,59,62,46,68,57,67,60,56,67,72,66,64,64,68,74,67,64,75,72,60,72,63,67,65,58,64.0,69,66,60,7,10,12,15,13,,64+2,64+2,64+2,66,66,66,66,66,67+2,67+2,67+2,67+2,68+2,68+2,68+2,67+2,66+2,68+2,68+2,68+2,66+2,65+2,65+2,65+2,65+2,65+2,18+2
203239,/player/203239/caio-gobbo-secco/240002,24.0,2.0,2023-09-22,Caio Secco,Caio Gobbo Secco,GK,68,68,600000.0,4000.0,32,1990-12-22,195,92,1900.0,Moreirense,308.0,Liga Portugal,1.0,SUB,22.0,,2023-07-05,2025.0,54,Brazil,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,1200000.0,,,,,,,,,15,15,12,37,18,14,12,15,36,20,44,41,57,71,28,44,61,30,63,13,30,26,15,52,17,36.0,13,17,17,64,67,59,70,68,43.0,28+2,28+2,28+2,28,30,30,30,28,32+2,32+2,32+2,30+2,33+2,33+2,33+2,30+2,28+2,31+2,31+2,31+2,28+2,27+2,28+2,28+2,28+2,27+2,67+1
