player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
251942,/player/251942/joao-pedro-loureiro-da-costa/240002,24.0,2.0,2023-09-22,Costinha,João Pedro Loureiro da Costa,"RWB, RB",74,81,8000000.0,8000.0,23,2000-03-26,181,76,744.0,Rio Ave,308.0,Liga Portugal,1.0,RWB,20.0,,2020-08-12,2026.0,38,Portugal,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,18400000.0,,"Anticipate, Bruiser",71.0,52.0,61.0,68.0,72.0,75.0,69,50,65,70,30,67,64,43,63,71,72,70,60,70,66,50,75,78,70,57,85,72,63,40,66,70.0,73,73,72,14,13,14,13,8,,62+2,62+2,62+2,64,63,63,63,64,62+2,62+2,62+2,66+2,65+2,65+2,65+2,66+2,72+2,70+2,70+2,70+2,72+2,72+2,72+2,72+2,72+2,72+2,18+2
251294,/player/251294/goncalo-rosa-pereira-rodrigues/240002,24.0,2.0,2023-09-22,Guga Rodrigues,Gonçalo Rosa Gonçalves Pereira Rodrigues,CM,74,77,5500000.0,9000.0,25,1997-07-18,170,61,744.0,Rio Ave,308.0,Liga Portugal,1.0,RCM,6.0,,2021-01-14,2024.0,38,Portugal,,,,Right,4,3,1,Medium/Medium,Normal (170-),No,12000000.0,,"Dead Ball, Incisive Pass, Long Ball Pass, First Touch, Press Proven",68.0,66.0,75.0,75.0,66.0,63.0,75,60,58,77,50,72,73,69,76,77,70,66,80,76,84,75,65,74,57,73,66,67,66,73,66,76.0,66,69,66,15,7,13,12,8,,67+2,67+2,67+2,72,71,71,71,72,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,71+2,71+2,71+2,71+2,71+2,70+2,66+2,66+2,66+2,70+2,18+2
213374,/player/213374/aderllan-de-jesus-santos/240002,24.0,2.0,2023-09-22,Aderllan Santos,Aderllan Leandro de Jesus Santos,CB,73,73,1000000.0,8000.0,34,1989-04-09,193,86,744.0,Rio Ave,308.0,Liga Portugal,1.0,CB,33.0,,2019-08-13,2025.0,54,Brazil,,,,Right,2,2,1,Medium/Medium,Normal (185+),No,2100000.0,,"Intercept, Aerial",58.0,52.0,49.0,52.0,74.0,79.0,42,38,74,61,46,50,44,61,51,54,48,66,49,74,31,77,77,73,81,63,81,74,27,34,60,72.0,77,71,73,10,13,13,8,12,,55+2,55+2,55+2,50,51,51,51,50,50+2,50+2,50+2,51+2,55+2,55+2,55+2,51+2,65+2,67+2,67+2,67+2,65+2,67+2,73,73,73,67+2,18+2
224540,/player/224540/emmanuel-boateng/240002,24.0,2.0,2023-09-22,E. Boateng,Emmanuel Okyere Boateng,"ST, LM",72,73,2700000.0,8000.0,27,1996-05-23,175,65,744.0,Rio Ave,308.0,Liga Portugal,1.0,RS,22.0,,2022-08-17,2024.0,117,Ghana,,,,Right,4,4,1,High/Medium,Lean (170-185),No,5900000.0,"#Speedster, #Acrobat","Rapid, Quick Step, Aerial",91.0,71.0,59.0,71.0,39.0,76.0,57,72,71,66,67,70,59,53,46,67,92,91,90,69,80,76,90,81,74,66,69,37,70,60,64,67.0,36,35,33,15,13,13,14,12,,72+1,72+1,72+1,71,71,71,71,71,69+2,69+2,69+2,69+2,62+2,62+2,62+2,69+2,58+2,53+2,53+2,53+2,58+2,56+2,52+2,52+2,52+2,56+2,20+2
230117,/player/230117/jhonatan-luiz-siqueira/240002,24.0,2.0,2023-09-22,Jhonatan,Jhonatan Luiz da Siqueira,GK,72,72,1200000.0,6000.0,32,1991-05-08,189,82,744.0,Rio Ave,308.0,Liga Portugal,1.0,GK,18.0,,2021-07-16,2025.0,54,Brazil,,,,Right,2,1,1,Medium/Medium,Normal (185+),No,2500000.0,,,,,,,,,18,12,14,23,12,12,12,15,21,15,31,35,34,62,50,53,58,34,62,16,22,25,10,61,11,30.0,13,17,12,74,72,70,69,72,33.0,25+2,25+2,25+2,24,26,26,26,24,27+2,27+2,27+2,25+2,28+2,28+2,28+2,25+2,24+2,27+2,27+2,27+2,24+2,24+2,26+2,26+2,26+2,24+2,71+1
269489,/player/269489/fabio-ronaldo-costa-conceicao/240002,24.0,2.0,2023-09-22,Fábio Ronaldo,Fábio Ronaldo Costa Conceição,"LWB, LM, LW",70,78,3400000.0,5000.0,22,2001-04-28,178,66,744.0,Rio Ave,308.0,Liga Portugal,1.0,LWB,77.0,,2021-08-01,2026.0,38,Portugal,,,,Right,3,3,1,High/Low,Lean (170-185),No,7800000.0,,,82.0,69.0,61.0,70.0,63.0,60.0,68,69,57,62,67,72,57,45,53,73,83,81,64,65,72,75,74,67,62,66,45,67,63,62,70,56.0,64,61,64,12,9,12,8,10,,68+2,68+2,68+2,70,69,69,69,70,67+2,67+2,67+2,69+2,64+2,64+2,64+2,69+2,68+2,63+2,63+2,63+2,68+2,67+2,63+2,63+2,63+2,67+2,16+2
269487,/player/269487/renato-pantalon/240002,24.0,2.0,2023-09-22,R. Pantalon,Renato Pantalon,CB,70,74,2000000.0,5000.0,25,1997-10-27,194,86,744.0,Rio Ave,308.0,Liga Portugal,1.0,RCB,42.0,,2021-07-19,2024.0,10,Croatia,,,,Right,3,2,1,Low/High,Lean (185+),No,4400000.0,#Strength,,53.0,32.0,39.0,41.0,70.0,78.0,27,30,66,50,28,26,27,32,48,55,53,53,40,67,42,42,78,58,92,25,69,70,24,29,48,57.0,70,72,69,14,9,7,9,9,,45+2,45+2,45+2,39,41,41,41,39,41+2,41+2,41+2,42+2,47+2,47+2,47+2,42+2,57+2,62+2,62+2,62+2,57+2,60+2,70+2,70+2,70+2,60+2,16+2
252150,/player/252150/patrick-william-sa-de-oliveira/240002,24.0,2.0,2023-09-22,Patrick William,Patrick William Sá De Oliveira,CB,69,72,1600000.0,5000.0,26,1997-06-03,185,78,744.0,Rio Ave,308.0,Liga Portugal,1.0,LCB,4.0,,2022-07-08,2025.0,54,Brazil,,,,Right,3,2,1,Medium/High,Normal (185+),No,3500000.0,,"Bruiser, Aerial",57.0,61.0,63.0,56.0,68.0,75.0,64,54,67,66,56,52,60,70,57,60,53,60,49,66,50,77,80,73,77,70,73,67,33,60,57,73.0,68,69,68,12,10,13,9,10,,59+2,59+2,59+2,57,57,57,57,57,57+2,57+2,57+2,58+2,61+2,61+2,61+2,58+2,65+2,66+2,66+2,66+2,65+2,66+2,69+2,69+2,69+2,66+2,17+2
186748,/player/186748/vitor-hugo-gomes-da-silva/240002,24.0,2.0,2023-09-22,Vítor Gomes,Vitor Hugo Gomes da Silva,"CM, CDM",69,69,550000.0,4000.0,35,1987-12-25,183,81,744.0,Rio Ave,308.0,Liga Portugal,1.0,CDM,8.0,,2022-05-31,2024.0,38,Portugal,,,,Right,3,3,1,Low/Medium,Normal (170-185),No,1200000.0,,,51.0,65.0,71.0,68.0,64.0,70.0,73,59,70,72,57,68,61,73,71,71,49,52,60,69,59,77,70,56,75,70,77,68,67,71,59,70.0,57,65,66,6,15,9,15,7,,67+2,67+2,67+2,66,67,67,67,66,68+1,68+1,68+1,66+2,69,69,69,66+2,65+2,68+1,68+1,68+1,65+2,65+2,67+2,67+2,67+2,65+2,17+2
212889,/player/212889/josue-humberto-goncalves-leal-sa/240002,24.0,2.0,2023-09-22,Josué Sá,Josué Humberto Gonçalves Leal Sá,CB,69,69,950000.0,5000.0,31,1992-06-17,187,78,744.0,Rio Ave,308.0,Liga Portugal,1.0,SUB,23.0,,2022-08-26,2024.0,38,Portugal,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,2000000.0,,Long Ball Pass,45.0,36.0,49.0,64.0,70.0,73.0,32,34,70,64,33,63,42,31,64,66,40,49,62,69,59,48,61,71,77,27,70,69,38,34,40,68.0,70,70,68,16,11,11,13,16,,52+2,52+2,52+2,50,51,51,51,50,53+2,53+2,53+2,53+2,58+2,58+2,58+2,53+2,61+2,67+2,67+2,67+2,61+2,63+2,69,69,69,63+2,20+2
