player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
213516,/player/213516/ricardo-jorge-da-luz-horta/240002,24.0,2.0,2023-09-22,Ricardo Horta,Ricardo Jorge da Luz Horta,"CAM, CF, RM",82,82,30500000.0,24000.0,28,1994-09-15,173,63,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,CAM,21.0,,2017-07-19,2026.0,38,Portugal,1354.0,SUB,25.0,Right,3,3,1,High/High,Lean (170-185),No,61000000.0,,"Finesse Shot, Power Shot, Incisive Pass, Tiki Taka, First Touch",80.0,83.0,80.0,80.0,43.0,70.0,77,83,55,82,82,81,80,80,74,79,82,78,83,82,85,83,72,83,63,84,69,55,83,84,77,73.0,32,44,35,7,9,10,8,13,,78+2,78+2,78+2,81,81,81,81,81,82,82,82,81+1,78+2,78+2,78+2,81+1,66+2,64+2,64+2,64+2,66+2,62+2,54+2,54+2,54+2,62+2,17+2
252308,/player/252308/ali-al-musrati/240002,24.0,2.0,2023-09-22,A. Al Musrati,Almoatasembellah Ali Mohamed Al musrati,"CDM, CM",81,82,26500000.0,19000.0,27,1996-04-06,189,83,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,RDM,8.0,,2020-08-07,2026.0,123,Libya,,,,Right,2,2,1,Medium/High,Normal (185+),No,55000000.0,#Strength,"Incisive Pass, Long Ball Pass, Intercept, Anticipate, Bruiser, Relentless",62.0,66.0,71.0,71.0,80.0,84.0,60,61,72,80,55,71,43,48,81,78,59,64,56,76,45,79,74,82,87,69,79,82,73,72,51,81.0,80,82,79,15,6,8,8,8,,72+2,72+2,72+2,70,72,72,72,70,73+2,73+2,73+2,72+2,77+2,77+2,77+2,72+2,75+2,80+2,80+2,80+2,75+2,76+2,80+2,80+2,80+2,76+2,17+2
208104,/player/208104/matheus-lima-magalhaes/240002,24.0,2.0,2023-09-22,Matheus,Matheus Lima Magalhães,GK,80,80,14000000.0,15000.0,30,1992-07-19,190,84,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,GK,1.0,,2014-07-01,2027.0,54,Brazil,,,,Right,3,1,1,Medium/Medium,Normal (185+),No,28000000.0,,Far Throw,,,,,,,15,12,14,27,13,12,21,12,36,22,44,47,45,75,48,61,68,32,71,15,19,26,12,52,13,46.0,16,20,15,82,75,81,79,82,45.0,30+2,30+2,30+2,27,30,30,30,27,30+2,30+2,30+2,29+2,32+2,32+2,32+2,29+2,28+2,31+2,31+2,31+2,28+2,28+2,29+2,29+2,29+2,28+2,79+1
231652,/player/231652/simon-banza/240002,24.0,2.0,2023-09-22,S. Banza,Simon Bokoté Banza,ST,78,79,17000000.0,19000.0,26,1996-08-13,189,77,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,23.0,,2022-07-19,2027.0,18,France,,,,Right,3,3,1,High/Low,Lean (185+),No,35300000.0,,"First Touch, Press Proven, Acrobatic, Aerial",74.0,78.0,55.0,76.0,31.0,77.0,36,81,78,64,76,76,54,52,52,80,73,74,69,78,66,78,88,73,81,74,67,17,80,61,68,73.0,42,19,18,8,7,9,5,6,,78+1,78+1,78+1,71,75,75,75,71,72+2,72+2,72+2,69+2,64+2,64+2,64+2,69+2,50+2,50+2,50+2,50+2,50+2,47+2,48+2,48+2,48+2,47+2,14+2
171791,/player/171791/jose-miguel-da-rocha-fonte/240002,24.0,2.0,2023-09-22,José Fonte,José Miguel da Rocha Fonte,CB,78,78,2500000.0,10000.0,39,1983-12-22,191,81,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,RCB,6.0,,2023-07-18,2024.0,38,Portugal,,,,Right,3,2,3,Medium/High,Lean (185+),Yes,5000000.0,,"Power Header, Slide Tackle",31.0,46.0,62.0,61.0,80.0,80.0,47,42,81,74,36,61,51,32,69,68,31,31,31,81,46,60,76,76,82,43,83,81,48,63,43,79.0,81,80,75,7,11,16,10,6,,58+3,58+3,58+3,55,58,58,58,55,60+3,60+3,60+3,59+3,68+3,68+3,68+3,59+3,68+3,76+2,76+2,76+2,68+3,69+3,78,78,78,69+3,17+3
197965,/player/197965/luis-miguel-afonso-fernandes/240002,24.0,2.0,2023-09-22,Pizzi,Luís Miguel Afonso Fernandes,"CM, RM",78,78,8500000.0,17000.0,33,1989-10-06,177,72,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,22.0,,2023-01-30,2024.0,38,Portugal,,,,Right,4,3,3,High/Medium,Normal (170-185),Yes,17000000.0,,"Pinged Pass, First Touch",71.0,75.0,79.0,81.0,63.0,62.0,73,74,45,81,78,82,83,77,77,83,72,70,73,79,77,75,68,65,59,76,63,63,80,83,78,84.0,67,67,52,15,14,9,9,15,,73+3,73+3,73+3,78,78,78,78,78,80-2,80-2,80-2,78,78,78,78,78,70+3,71+3,71+3,71+3,70+3,67+3,64+3,64+3,64+3,67+3,20+3
226370,/player/226370/andre-filipe-luz-horta/240002,24.0,2.0,2023-09-22,André Horta,André Filipe Luz Horta,"CM, CDM",77,80,13500000.0,16000.0,26,1996-11-07,175,62,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,LDM,10.0,,2019-07-01,2027.0,38,Portugal,,,,Right,3,3,1,High/Medium,Lean (170-185),No,28000000.0,,"Dead Ball, Technical",73.0,70.0,76.0,78.0,67.0,71.0,72,68,51,81,67,77,68,58,77,77,73,73,86,78,81,75,74,83,65,73,68,68,72,76,57,76.0,69,69,64,6,15,15,10,8,,71+2,71+2,71+2,75,75,75,75,75,76+2,76+2,76+2,76+2,77+2,77+2,77+2,76+2,73+2,73+2,73+2,73+2,73+2,71+2,68+2,68+2,68+2,71+2,18+2
211368,/player/211368/armindo-tue-na-bangna/240002,24.0,2.0,2023-09-22,Bruma,Armindo Tué Na Bangna,"LM, LW, RW",77,77,10500000.0,17000.0,28,1994-10-24,173,70,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,LM,7.0,,2023-06-20,2027.0,38,Portugal,,,,Right,3,4,2,High/Low,Lean (170-185),Yes,21000000.0,#Acrobat,"Rapid, Trickster, Quick Step",89.0,73.0,69.0,82.0,32.0,60.0,70,73,53,70,64,83,77,70,61,82,91,88,90,66,87,75,71,70,56,72,56,38,73,70,68,68.0,26,27,28,11,13,8,12,8,,73+2,73+2,73+2,77,76,76,76,77,75+2,75+2,75+2,76+1,68+2,68+2,68+2,76+1,58+2,53+2,53+2,53+2,58+2,54+2,45+2,45+2,45+2,54+2,17+2
239250,/player/239250/abel-ruiz-ortega/240002,24.0,2.0,2023-09-22,Abel Ruiz,Abel Ruiz Ortega,ST,76,84,17000000.0,14000.0,23,2000-01-28,180,75,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,ST,9.0,,2020-07-01,2025.0,45,Spain,1362.0,RES,18.0,Right,3,4,1,High/Medium,Normal (170-185),No,37400000.0,,,77.0,76.0,69.0,76.0,39.0,71.0,60,78,72,75,74,76,58,56,67,77,76,78,75,76,72,77,83,82,74,73,46,24,75,73,73,73.0,45,38,20,6,10,10,10,8,,76+2,76+2,76+2,75,76,76,76,75,75+2,75+2,75+2,74+2,70+2,70+2,70+2,74+2,57+2,56+2,56+2,56+2,57+2,54+2,50+2,50+2,50+2,54+2,16+2
240453,/player/240453/sikou-niakate/240002,24.0,2.0,2023-09-22,S. Niakaté,Sikou Niakaté,"CB, LB",76,81,10000000.0,12000.0,23,1999-07-10,186,76,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,LCB,4.0,,2023-07-03,2028.0,18,France,,,,Left,3,2,1,Medium/High,Normal (185+),No,20800000.0,,"Block, Intercept, Aerial",72.0,39.0,51.0,64.0,77.0,80.0,43,30,77,67,30,62,36,32,52,64,70,74,64,71,71,63,85,82,80,34,75,76,41,41,43,62.0,76,78,77,8,10,8,13,10,,57+2,57+2,57+2,56,56,56,56,56,56+2,56+2,56+2,58+2,60+2,60+2,60+2,58+2,70+2,70+2,70+2,70+2,70+2,72+2,76+2,76+2,76+2,72+2,17+2
162347,/player/162347/joao-filipe-moutinho/240002,24.0,2.0,2023-09-22,João Moutinho,João Filipe Iria Santos Moutinho,"CM, CAM",75,75,1800000.0,11000.0,36,1986-09-08,170,61,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,28.0,,2023-08-25,2024.0,38,Portugal,,,,Right,4,3,3,Medium/Medium,Normal (170-),Yes,3600000.0,,"Long Ball Pass, Trivela",41.0,69.0,78.0,76.0,67.0,63.0,73,66,62,80,70,75,78,74,79,79,50,33,70,69,81,75,60,72,55,70,70,70,65,80,70,87.0,68,66,65,13,15,15,13,13,,67+3,67+3,67+3,69,70,70,70,69,73+2,73+2,73+2,70+3,75,75,75,70+3,68+3,72+3,72+3,72+3,68+3,66+3,66+3,66+3,66+3,66+3,20+3
210679,/player/210679/paulo-andre-rodrigues-oliveira/240002,24.0,2.0,2023-09-22,Paulo Oliveira,Paulo André Rodrigues de Oliveira,CB,75,75,3800000.0,13000.0,31,1992-01-08,187,81,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,15.0,,2021-07-01,2025.0,38,Portugal,,,,Right,2,2,1,Medium/High,Lean (185+),Yes,7600000.0,,"Intercept, Slide Tackle",58.0,35.0,52.0,60.0,76.0,75.0,36,25,75,66,36,60,33,29,65,66,54,62,49,70,39,61,85,72,78,29,69,75,30,42,45,62.0,77,77,77,13,8,10,11,10,,52+2,52+2,52+2,51,52,52,52,51,53+2,53+2,53+2,55+2,60+2,60+2,60+2,55+2,66+2,70+2,70+2,70+2,66+2,68+2,75,75,75,68+2,17+2
212692,/player/212692/marcos-paulo-mesquita-lopes/240002,24.0,2.0,2023-09-22,Rony Lopes,Marcos Paulo Mesquita Lopes,"RM, RW, ST",75,75,6000000.0,14000.0,27,1995-12-28,174,68,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,20.0,,2023-08-02,2026.0,38,Portugal,,,,Left,3,4,1,Medium/Low,Stocky (170-185),No,12000000.0,,Technical,76.0,72.0,73.0,77.0,30.0,59.0,74,72,38,74,56,77,76,74,69,76,81,71,84,67,88,76,63,67,62,75,39,29,72,73,65,72.0,30,28,27,11,10,12,12,11,,69+2,69+2,69+2,74,73,73,73,74,74+1,74+1,74+1,74+1,68+2,68+2,68+2,74+1,56+2,52+2,52+2,52+2,56+2,51+2,42+2,42+2,42+2,51+2,17+2
245597,/player/245597/victor-gomez-perea/240002,24.0,2.0,2023-09-22,Víctor Gómez,Víctor Gómez Perea,"RB, RWB, LB",74,82,9000000.0,10000.0,23,2000-04-01,169,68,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,RB,2.0,,2023-06-07,2028.0,45,Spain,,,,Right,4,3,1,High/Medium,Lean (170-),No,19800000.0,,Block,80.0,51.0,72.0,73.0,68.0,69.0,76,40,62,74,42,71,71,50,70,74,82,78,76,77,76,65,76,80,64,60,67,68,70,70,46,65.0,70,67,66,11,9,12,12,6,,64+2,64+2,64+2,70,69,69,69,70,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,73+2,71+2,71+2,71+2,73+2,72+2,68+2,68+2,68+2,72+2,17+2
251377,/player/251377/rodrigo-zalazar/240002,24.0,2.0,2023-09-22,R. Zalazar,Rodrigo Zalazar Martínez,"CM, CAM",74,80,6500000.0,12000.0,23,1999-08-12,178,78,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,16.0,,2023-07-14,2028.0,60,Uruguay,,,,Right,3,3,1,High/High,Normal (170-185),Yes,14300000.0,,"Power Shot, Pinged Pass, Whipped Cross, Technical, Flair, Trivela",78.0,69.0,72.0,79.0,62.0,69.0,64,64,54,78,55,80,65,67,74,77,79,78,85,75,85,77,67,84,58,75,79,61,68,71,64,63.0,62,65,62,7,7,9,5,12,,70+2,70+2,70+2,74,74,74,74,74,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,71+2,70+2,70+2,70+2,71+2,69+2,65+2,65+2,65+2,69+2,15+2
224921,/player/224921/adrian-marin-gomez/240002,24.0,2.0,2023-09-22,Adrián Marín,Adrián Marín Gómez,"LB, LWB",74,77,5000000.0,12000.0,26,1997-01-09,181,73,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,LB,19.0,,2023-07-01,2026.0,45,Spain,,,,Left,2,3,1,Medium/Medium,Lean (170-185),Yes,10400000.0,,"Block, Anticipate",73.0,48.0,66.0,69.0,69.0,73.0,72,43,59,71,50,68,65,40,70,72,72,74,70,69,60,63,72,81,70,42,71,70,58,57,42,68.0,69,71,73,9,14,14,8,8,,61+2,61+2,61+2,65,63,63,63,65,64+2,64+2,64+2,68+2,67+2,67+2,67+2,68+2,72+2,71+2,71+2,71+2,72+2,72+2,70+2,70+2,70+2,72+2,16+2
184133,/player/184133/andre-castro-pereira/240002,24.0,2.0,2023-09-22,Castro,André de Castro Pereira,"CM, CDM",73,73,1200000.0,9000.0,35,1988-04-02,181,78,1896.0,Sporting Braga,308.0,Liga Portugal,1.0,SUB,88.0,,2020-08-04,2024.0,38,Portugal,,,,Right,2,3,1,High/High,Stocky (170-185),No,2400000.0,,Power Shot,66.0,71.0,71.0,73.0,69.0,78.0,66,64,55,74,62,74,71,55,72,74,65,66,74,70,71,82,72,76,77,78,83,71,70,73,63,69.0,69,72,71,8,16,13,6,13,,70+2,70+2,70+2,71,71,71,71,71,72+1,72+1,72+1,71+2,73,73,73,71+2,71+2,73,73,73,71+2,70+2,71+2,71+2,71+2,70+2,17+2
